linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0411
ward,euclidean,maxclust,3,0.0444
ward,euclidean,maxclust,4,0.0478
ward,euclidean,maxclust,5,0.0536
ward,euclidean,maxclust,6,0.0597
ward,euclidean,maxclust,7,0.0654
ward,euclidean,maxclust,8,0.0706
ward,euclidean,maxclust,9,0.0779
ward,euclidean,maxclust,10,0.0753
ward,euclidean,maxclust,11,0.0805
ward,euclidean,maxclust,12,0.0876
ward,euclidean,maxclust,13,0.0911
ward,euclidean,maxclust,14,0.088
ward,euclidean,maxclust,15,0.0924
ward,euclidean,maxclust,16,0.0969
ward,euclidean,maxclust,17,0.102
ward,euclidean,maxclust,18,0.1067
ward,euclidean,maxclust,19,0.1121
ward,euclidean,maxclust,20,0.1168
ward,euclidean,maxclust,21,0.122
ward,euclidean,maxclust,22,0.1224
ward,euclidean,maxclust,23,0.1273
ward,euclidean,maxclust,24,0.1323
ward,euclidean,maxclust,25,0.1371
ward,euclidean,distance,5.0,0.077
ward,euclidean,distance,10.0,0.1349
ward,euclidean,distance,15.0,0.1504
ward,euclidean,distance,20.0,0.1647
average,euclidean,maxclust,2,0.0429
average,euclidean,maxclust,3,0.0473
average,euclidean,maxclust,4,0.0501
average,euclidean,maxclust,5,0.0567
average,euclidean,maxclust,6,0.0623
average,euclidean,maxclust,7,0.0693
average,euclidean,maxclust,8,0.0692
average,euclidean,maxclust,9,0.0757
average,euclidean,maxclust,10,0.0805
average,euclidean,maxclust,11,0.0857
average,euclidean,maxclust,12,0.0867
average,euclidean,maxclust,13,0.0914
average,euclidean,maxclust,14,0.0963
average,euclidean,maxclust,15,0.1004
average,euclidean,maxclust,16,0.1043
average,euclidean,maxclust,17,0.1089
average,euclidean,maxclust,18,0.1145
average,euclidean,maxclust,19,0.119
average,euclidean,maxclust,20,0.125
average,euclidean,maxclust,21,0.125
average,euclidean,maxclust,22,0.1301
average,euclidean,maxclust,23,0.1355
average,euclidean,maxclust,24,0.1405
