linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0344
ward,euclidean,maxclust,3,0.0332
ward,euclidean,maxclust,4,0.0372
ward,euclidean,maxclust,5,0.0455
ward,euclidean,maxclust,6,0.0537
ward,euclidean,maxclust,7,0.0615
ward,euclidean,maxclust,8,0.0684
ward,euclidean,maxclust,9,0.0744
ward,euclidean,maxclust,10,0.0759
ward,euclidean,maxclust,11,0.0792
ward,euclidean,maxclust,12,0.0838
ward,euclidean,maxclust,13,0.0862
ward,euclidean,maxclust,14,0.0919
ward,euclidean,maxclust,15,0.0972
ward,euclidean,maxclust,16,0.0998
ward,euclidean,maxclust,17,0.1042
ward,euclidean,maxclust,18,0.1047
ward,euclidean,maxclust,19,0.1097
ward,euclidean,maxclust,20,0.1147
ward,euclidean,maxclust,21,0.1193
ward,euclidean,maxclust,22,0.1212
ward,euclidean,maxclust,23,0.1261
ward,euclidean,maxclust,24,0.127
ward,euclidean,maxclust,25,0.13
ward,euclidean,distance,5.0,0.0969
ward,euclidean,distance,10.0,0.1528
ward,euclidean,distance,15.0,0.149
ward,euclidean,distance,20.0,0.1498
average,euclidean,maxclust,2,0.0373
average,euclidean,maxclust,3,0.0388
average,euclidean,maxclust,4,0.0426
average,euclidean,maxclust,5,0.0481
average,euclidean,maxclust,6,0.0541
average,euclidean,maxclust,7,0.0633
average,euclidean,maxclust,8,0.07
average,euclidean,maxclust,9,0.0776
average,euclidean,maxclust,10,0.0785
average,euclidean,maxclust,11,0.0822
average,euclidean,maxclust,12,0.0885
average,euclidean,maxclust,13,0.0941
average,euclidean,maxclust,14,0.098
average,euclidean,maxclust,15,0.1008
average,euclidean,maxclust,16,0.1047
average,euclidean,maxclust,17,0.1088
average,euclidean,maxclust,18,0.1126
average,euclidean,maxclust,19,0.1159
average,euclidean,maxclust,20,0.1198
average,euclidean,maxclust,21,0.1239
average,euclidean,maxclust,22,0.1285
average,euclidean,maxclust,23,0.1318
average,euclidean,maxclust,24,0.1333
average,euclidean,maxclust,25,0.1385
average,euclidean,distance,5.0,0.1169
average,euclidean,distance,10.0,0.1378
average,euclidean,distance,15.0,0.1739
average,cityblock,maxclust,2,0.0281
average,cityblock,maxclust,3,0.0166
average,cityblock,maxclust,4,0.0214
average,cityblock,maxclust,5,0.0075
average,cityblock,maxclust,6,0.011
average,cityblock,maxclust,7,0.0094
average,cityblock,maxclust,8,0.0178
average,cityblock,maxclust,9,0.0271
average,cityblock,maxclust,10,0.0273
average,cityblock,maxclust,11,0.0323
average,cityblock,maxclust,12,0.0415
average,cityblock,maxclust,13,0.0402
average,cityblock,maxclust,14,0.0356
average,cityblock,maxclust,15,0.036
average,cityblock,maxclust,16,0.0344
average,cityblock,maxclust,17,0.0311
average,cityblock,maxclust,18,0.0337
average,cityblock,maxclust,19,0.0291
average,cityblock,maxclust,20,0.0281
average,cityblock,maxclust,21,0.0294
average,cityblock,maxclust,22,0.0258
average,cityblock,maxclust,23,0.025
average,cityblock,maxclust,24,0.0192
average,cityblock,maxclust,25,0.0148
average,cityblock,distance,20.0,0.0018
average,cosine,maxclust,2,0.0369
average,cosine,maxclust,3,0.037
average,cosine,maxclust,4,0.0405
average,cosine,maxclust,5,0.046
average,cosine,maxclust,6,0.0531
average,cosine,maxclust,7,0.0612
average,cosine,maxclust,8,0.0675
average,cosine,maxclust,9,0.0747
average,cosine,maxclust,10,0.0826
average,cosine,maxclust,11,0.0839
average,cosine,maxclust,12,0.0886
average,cosine,maxclust,13,0.0923
average,cosine,maxclust,14,0.0961
average,cosine,maxclust,15,0.0997
average,cosine,maxclust,16,0.1042
average,cosine,maxclust,17,0.1069
average,cosine,maxclust,18,0.1117
average,cosine,maxclust,19,0.115
average,cosine,maxclust,20,0.1185
average,cosine,maxclust,21,0.1231
average,cosine,maxclust,22,0.1278
average,cosine,maxclust,23,0.1323
average,cosine,maxclust,24,0.1357
average,cosine,maxclust,25,0.1403
average,correlation,maxclust,2,0.0349
average,correlation,maxclust,3,0.0375
average,correlation,maxclust,4,0.0404
average,correlation,maxclust,5,0.047
average,correlation,maxclust,6,0.0523
average,correlation,maxclust,7,0.0601
average,correlation,maxclust,8,0.069
average,correlation,maxclust,9,0.0764
average,correlation,maxclust,10,0.0776
average,correlation,maxclust,11,0.0845
average,correlation,maxclust,12,0.0881
average,correlation,maxclust,13,0.0927
average,correlation,maxclust,14,0.0968
average,correlation,maxclust,15,0.0996
average,correlation,maxclust,16,0.0969
average,correlation,maxclust,17,0.1016
average,correlation,maxclust,18,0.1049
average,correlation,maxclust,19,0.1097
average,correlation,maxclust,20,0.1132
average,correlation,maxclust,21,0.1169
average,correlation,maxclust,22,0.1217
average,correlation,maxclust,23,0.1265
average,correlation,maxclust,24,0.1312
average,correlation,maxclust,25,0.1346
complete,euclidean,maxclust,2,0.005
complete,euclidean,maxclust,3,0.0146
complete,euclidean,maxclust,4,0.0256
complete,euclidean,maxclust,5,0.0366
complete,euclidean,maxclust,6,0.0412
complete,euclidean,maxclust,7,0.0412
complete,euclidean,maxclust,8,0.0562
complete,euclidean,maxclust,9,0.0526
complete,euclidean,maxclust,10,0.0523
complete,euclidean,maxclust,11,0.0558
complete,euclidean,maxclust,12,0.0592
complete,euclidean,maxclust,13,0.0671
complete,euclidean,maxclust,14,0.0727
complete,euclidean,maxclust,15,0.0722
complete,euclidean,maxclust,16,0.0837
complete,euclidean,maxclust,17,0.0822
complete,euclidean,maxclust,18,0.0812
complete,euclidean,maxclust,19,0.0787
complete,euclidean,maxclust,20,0.0805
complete,euclidean,maxclust,21,0.0789
complete,euclidean,maxclust,22,0.0787
complete,euclidean,maxclust,23,0.0776
complete,euclidean,maxclust,24,0.0763
complete,euclidean,maxclust,25,0.0769
complete,euclidean,distance,5.0,0.0972
complete,euclidean,distance,10.0,0.1405
complete,euclidean,distance,15.0,0.1124
complete,euclidean,distance,20.0,0.0722
complete,cityblock,maxclust,2,0.0148
complete,cityblock,maxclust,3,0.02
complete,cityblock,maxclust,4,0.0261
complete,cityblock,maxclust,5,0.0293
complete,cityblock,maxclust,6,0.03
