linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0252
ward,euclidean,maxclust,3,0.0278
ward,euclidean,maxclust,4,0.0321
ward,euclidean,maxclust,5,0.0339
ward,euclidean,maxclust,6,0.0384
ward,euclidean,maxclust,7,0.043
ward,euclidean,maxclust,8,0.0469
ward,euclidean,maxclust,9,0.0524
ward,euclidean,maxclust,10,0.0561
ward,euclidean,maxclust,11,0.0616
ward,euclidean,maxclust,12,0.0661
ward,euclidean,maxclust,13,0.0692
ward,euclidean,maxclust,14,0.0735
ward,euclidean,maxclust,15,0.0781
ward,euclidean,maxclust,16,0.0824
ward,euclidean,maxclust,17,0.0833
ward,euclidean,maxclust,18,0.0838
ward,euclidean,maxclust,19,0.0861
ward,euclidean,maxclust,20,0.0866
ward,euclidean,maxclust,21,0.0882
ward,euclidean,maxclust,22,0.0884
ward,euclidean,maxclust,23,0.0891
ward,euclidean,maxclust,24,0.0905
ward,euclidean,maxclust,25,0.0919
ward,euclidean,distance,5.0,0.0663
ward,euclidean,distance,10.0,0.1202
ward,euclidean,distance,15.0,0.1447
ward,euclidean,distance,20.0,0.1449
average,euclidean,maxclust,2,0.0272
average,euclidean,maxclust,3,0.0286
average,euclidean,maxclust,4,0.0332
average,euclidean,maxclust,5,0.0362
average,euclidean,maxclust,6,0.0416
average,euclidean,maxclust,7,0.0452
average,euclidean,maxclust,8,0.0497
average,euclidean,maxclust,9,0.0541
average,euclidean,maxclust,10,0.061
average,euclidean,maxclust,11,0.0636
average,euclidean,maxclust,12,0.066
average,euclidean,maxclust,13,0.0674
average,euclidean,maxclust,14,0.0712
average,euclidean,maxclust,15,0.0736
average,euclidean,maxclust,16,0.0786
average,euclidean,maxclust,17,0.077
average,euclidean,maxclust,18,0.0812
average,euclidean,maxclust,19,0.0842
average,euclidean,maxclust,20,0.0873
average,euclidean,maxclust,21,0.0906
average,euclidean,maxclust,22,0.0877
average,euclidean,maxclust,23,0.0866
average,euclidean,maxclust,24,0.0852
average,euclidean,maxclust,25,0.0829
average,euclidean,distance,5.0,0.0719
average,euclidean,distance,10.0,0.1641
average,euclidean,distance,15.0,0.1127
average,cityblock,maxclust,2,-0.001
average,cityblock,maxclust,3,-0.024
average,cityblock,maxclust,4,-0.0313
average,cityblock,maxclust,5,-0.0368
average,cityblock,maxclust,6,-0.042
average,cityblock,maxclust,7,-0.0483
average,cityblock,maxclust,8,-0.0521
average,cityblock,maxclust,9,-0.0549
average,cityblock,maxclust,10,-0.056
average,cityblock,maxclust,11,-0.0592
average,cityblock,maxclust,12,-0.0606
average,cityblock,maxclust,13,-0.0616
average,cityblock,maxclust,14,-0.0622
average,cityblock,maxclust,15,-0.0631
average,cityblock,maxclust,16,-0.068
average,cityblock,maxclust,17,-0.0694
average,cityblock,maxclust,18,-0.0697
average,cityblock,maxclust,19,-0.071
average,cityblock,maxclust,20,-0.0723
average,cityblock,maxclust,21,-0.0731
average,cityblock,maxclust,22,-0.0737
average,cityblock,maxclust,23,-0.074
average,cityblock,maxclust,24,-0.0746
average,cityblock,maxclust,25,-0.0755
average,cityblock,distance,20.0,0.0004
average,cosine,maxclust,2,0.0273
average,cosine,maxclust,3,0.0274
average,cosine,maxclust,4,0.0315
average,cosine,maxclust,5,0.0375
average,cosine,maxclust,6,0.0408
average,cosine,maxclust,7,0.0453
average,cosine,maxclust,8,0.0503
average,cosine,maxclust,9,0.055
average,cosine,maxclust,10,0.0585
average,cosine,maxclust,11,0.0615
average,cosine,maxclust,12,0.0629
average,cosine,maxclust,13,0.0674
average,cosine,maxclust,14,0.0718
average,cosine,maxclust,15,0.078
average,cosine,maxclust,16,0.0819
average,cosine,maxclust,17,0.0847
average,cosine,maxclust,18,0.0827
average,cosine,maxclust,19,0.0858
average,cosine,maxclust,20,0.0868
average,cosine,maxclust,21,0.0901
average,cosine,maxclust,22,0.0914
average,cosine,maxclust,23,0.0932
average,cosine,maxclust,24,0.0955
average,cosine,maxclust,25,0.0975
average,correlation,maxclust,2,0.0273
average,correlation,maxclust,3,0.0274
average,correlation,maxclust,4,0.0315
average,correlation,maxclust,5,0.0375
average,correlation,maxclust,6,0.0408
average,correlation,maxclust,7,0.0453
average,correlation,maxclust,8,0.0503
average,correlation,maxclust,9,0.055
average,correlation,maxclust,10,0.0585
average,correlation,maxclust,11,0.0615
average,correlation,maxclust,12,0.0629
average,correlation,maxclust,13,0.0674
average,correlation,maxclust,14,0.0718
average,correlation,maxclust,15,0.078
average,correlation,maxclust,16,0.0819
average,correlation,maxclust,17,0.0847
average,correlation,maxclust,18,0.0827
average,correlation,maxclust,19,0.0858
average,correlation,maxclust,20,0.0868
average,correlation,maxclust,21,0.0901
average,correlation,maxclust,22,0.0914
average,correlation,maxclust,23,0.0932
average,correlation,maxclust,24,0.0955
average,correlation,maxclust,25,0.0975
complete,euclidean,maxclust,2,0.0092
complete,euclidean,maxclust,3,0.0077
complete,euclidean,maxclust,4,0.0085
complete,euclidean,maxclust,5,0.0094
