linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.2989
ward,euclidean,maxclust,3,0.2692
ward,euclidean,maxclust,4,0.276
ward,euclidean,maxclust,5,0.2557
ward,euclidean,maxclust,6,0.239
ward,euclidean,maxclust,7,0.2188
ward,euclidean,maxclust,8,0.2388
ward,euclidean,maxclust,9,0.2254
ward,euclidean,maxclust,10,0.2311
ward,euclidean,maxclust,11,0.2326
ward,euclidean,maxclust,12,0.2449
ward,euclidean,maxclust,13,0.2623
ward,euclidean,maxclust,14,0.2831
ward,euclidean,maxclust,15,0.2959
ward,euclidean,maxclust,16,0.3084
ward,euclidean,maxclust,17,0.3235
ward,euclidean,maxclust,18,0.3344
ward,euclidean,maxclust,19,0.3319
ward,euclidean,maxclust,20,0.3282
ward,euclidean,maxclust,21,0.3307
ward,euclidean,maxclust,22,0.3325
ward,euclidean,maxclust,23,0.3317
ward,euclidean,maxclust,24,0.325
ward,euclidean,maxclust,25,0.3222
ward,euclidean,distance,5.0,0.2611
ward,euclidean,distance,10.0,0.2495
ward,euclidean,distance,15.0,0.2757
ward,euclidean,distance,20.0,0.2888
average,euclidean,maxclust,2,0.2459
average,euclidean,maxclust,3,0.2894
average,euclidean,maxclust,4,0.2543
average,euclidean,maxclust,5,0.2623
average,euclidean,maxclust,6,0.246
average,euclidean,maxclust,7,0.2453
average,euclidean,maxclust,8,0.237
average,euclidean,maxclust,9,0.2238
average,euclidean,maxclust,10,0.2126
average,euclidean,maxclust,11,0.2284
average,euclidean,maxclust,12,0.2276
average,euclidean,maxclust,13,0.2272
average,euclidean,maxclust,14,0.227
average,euclidean,maxclust,15,0.2242
average,euclidean,maxclust,16,0.2219
average,euclidean,maxclust,17,0.22
average,euclidean,maxclust,18,0.215
average,euclidean,maxclust,19,0.2104
average,euclidean,maxclust,20,0.2098
average,euclidean,maxclust,21,0.2209
average,euclidean,maxclust,22,0.2181
average,euclidean,maxclust,23,0.216
average,euclidean,maxclust,24,0.2148
average,euclidean,maxclust,25,0.2056
average,euclidean,distance,5.0,0.3037
average,euclidean,distance,10.0,0.2627
average,euclidean,distance,15.0,0.246
average,cityblock,maxclust,2,0.2855
average,cityblock,maxclust,3,0.2744
average,cityblock,maxclust,4,0.2557
average,cityblock,maxclust,5,0.2477
average,cityblock,maxclust,6,0.2391
average,cityblock,maxclust,7,0.2361
average,cityblock,maxclust,8,0.2299
average,cityblock,maxclust,9,0.2208
average,cityblock,maxclust,10,0.226
average,cityblock,maxclust,11,0.2189
average,cityblock,maxclust,12,0.2081
average,cityblock,maxclust,13,0.1999
average,cityblock,maxclust,14,0.2024
average,cityblock,maxclust,15,0.1992
average,cityblock,maxclust,16,0.2168
average,cityblock,maxclust,17,0.2159
average,cityblock,maxclust,18,0.2166
average,cityblock,maxclust,19,0.2149
average,cityblock,maxclust,20,0.2476
average,cityblock,maxclust,21,0.2476
average,cityblock,maxclust,22,0.2623
average,cityblock,maxclust,23,0.2858
average,cityblock,maxclust,24,0.2866
average,cityblock,maxclust,25,0.2859
average,cityblock,distance,5.0,0.1382
average,cityblock,distance,10.0,0.1994
average,cityblock,distance,15.0,0.2765
average,cityblock,distance,20.0,0.3061
average,cosine,maxclust,2,0.2849
average,cosine,maxclust,3,0.2996
average,cosine,maxclust,4,0.2874
average,cosine,maxclust,5,0.2719
average,cosine,maxclust,6,0.2592
average,cosine,maxclust,7,0.2562
average,cosine,maxclust,8,0.2533
average,cosine,maxclust,9,0.2513
average,cosine,maxclust,10,0.2497
average,cosine,maxclust,11,0.2364
average,cosine,maxclust,12,0.2357
average,cosine,maxclust,13,0.2363
average,cosine,maxclust,14,0.2245
average,cosine,maxclust,15,0.2225
average,cosine,maxclust,16,0.2195
average,cosine,maxclust,17,0.2117
average,cosine,maxclust,18,0.2074
average,cosine,maxclust,19,0.2005
average,cosine,maxclust,20,0.1992
average,cosine,maxclust,21,0.1942
average,cosine,maxclust,22,0.1936
average,cosine,maxclust,23,0.1882
average,cosine,maxclust,24,0.1811
average,cosine,maxclust,25,0.181
average,correlation,maxclust,2,0.2849
average,correlation,maxclust,3,0.2996
average,correlation,maxclust,4,0.2874
average,correlation,maxclust,5,0.2719
average,correlation,maxclust,6,0.2592
average,correlation,maxclust,7,0.2562
average,correlation,maxclust,8,0.2533
