linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.2386
ward,euclidean,maxclust,3,0.2836
ward,euclidean,maxclust,4,0.2947
ward,euclidean,maxclust,5,0.2909
ward,euclidean,maxclust,6,0.2787
ward,euclidean,maxclust,7,0.2652
ward,euclidean,maxclust,8,0.257
ward,euclidean,maxclust,9,0.2429
ward,euclidean,maxclust,10,0.2331
ward,euclidean,maxclust,11,0.2314
ward,euclidean,maxclust,12,0.2442
ward,euclidean,maxclust,13,0.2521
ward,euclidean,maxclust,14,0.2619
ward,euclidean,maxclust,15,0.2707
ward,euclidean,maxclust,16,0.2773
ward,euclidean,maxclust,17,0.2714
ward,euclidean,maxclust,18,0.2776
ward,euclidean,maxclust,19,0.2776
ward,euclidean,maxclust,20,0.291
ward,euclidean,maxclust,21,0.2942
ward,euclidean,maxclust,22,0.2999
ward,euclidean,maxclust,23,0.3055
ward,euclidean,maxclust,24,0.3157
ward,euclidean,maxclust,25,0.3188
ward,euclidean,distance,5.0,0.2716
ward,euclidean,distance,10.0,0.2676
ward,euclidean,distance,15.0,0.2859
ward,euclidean,distance,20.0,0.3002
average,euclidean,maxclust,2,0.2298
average,euclidean,maxclust,3,0.2557
average,euclidean,maxclust,4,0.2906
average,euclidean,maxclust,5,0.3026
average,euclidean,maxclust,6,0.2936
average,euclidean,maxclust,7,0.2773
average,euclidean,maxclust,8,0.2726
average,euclidean,maxclust,9,0.2602
average,euclidean,maxclust,10,0.2567
average,euclidean,maxclust,11,0.2436
average,euclidean,maxclust,12,0.2441
average,euclidean,maxclust,13,0.26
average,euclidean,maxclust,14,0.2561
average,euclidean,maxclust,15,0.2465
average,euclidean,maxclust,16,0.2452
average,euclidean,maxclust,17,0.2433
average,euclidean,maxclust,18,0.2393
average,euclidean,maxclust,19,0.2375
average,euclidean,maxclust,20,0.2356
average,euclidean,maxclust,21,0.2303
average,euclidean,maxclust,22,0.2348
average,euclidean,maxclust,23,0.2415
average,euclidean,maxclust,24,0.2401
average,euclidean,maxclust,25,0.2388
