linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.138
ward,euclidean,maxclust,3,0.1459
ward,euclidean,maxclust,4,0.1595
ward,euclidean,maxclust,5,0.1819
ward,euclidean,maxclust,6,0.1983
ward,euclidean,maxclust,7,0.2053
ward,euclidean,maxclust,8,0.1999
ward,euclidean,maxclust,9,0.1969
ward,euclidean,maxclust,10,0.1995
ward,euclidean,maxclust,11,0.21
ward,euclidean,maxclust,12,0.2209
ward,euclidean,maxclust,13,0.23
ward,euclidean,maxclust,14,0.2234
ward,euclidean,maxclust,15,0.2168
ward,euclidean,maxclust,16,0.2208
ward,euclidean,maxclust,17,0.2267
ward,euclidean,maxclust,18,0.2311
ward,euclidean,maxclust,19,0.237
ward,euclidean,maxclust,20,0.2349
ward,euclidean,maxclust,21,0.241
ward,euclidean,maxclust,22,0.2472
ward,euclidean,maxclust,23,0.2518
ward,euclidean,maxclust,24,0.2483
ward,euclidean,maxclust,25,0.2525
ward,euclidean,distance,5.0,0.2682
ward,euclidean,distance,10.0,0.2834
ward,euclidean,distance,15.0,0.3136
ward,euclidean,distance,20.0,0.3184
average,euclidean,maxclust,2,0.1394
average,euclidean,maxclust,3,0.1521
average,euclidean,maxclust,4,0.1625
average,euclidean,maxclust,5,0.1484
average,euclidean,maxclust,6,0.1385
average,euclidean,maxclust,7,0.1472
average,euclidean,maxclust,8,0.1561
average,euclidean,maxclust,9,0.1546
average,euclidean,maxclust,10,0.1487
average,euclidean,maxclust,11,0.1456
average,euclidean,maxclust,12,0.1717
average,euclidean,maxclust,13,0.1955
average,euclidean,maxclust,14,0.1928
average,euclidean,maxclust,15,0.1893
average,euclidean,maxclust,16,0.1926
average,euclidean,maxclust,17,0.1964
average,euclidean,maxclust,18,0.1871
average,euclidean,maxclust,19,0.1903
average,euclidean,maxclust,20,0.1984
average,euclidean,maxclust,21,0.2007
average,euclidean,maxclust,22,0.2007
average,euclidean,maxclust,23,0.2033
average,euclidean,maxclust,24,0.201
average,euclidean,maxclust,25,0.205
average,euclidean,distance,5.0,0.3378
average,euclidean,distance,10.0,0.3296
average,euclidean,distance,15.0,0.2063
average,cityblock,maxclust,2,0.1319
average,cityblock,maxclust,3,0.1418
average,cityblock,maxclust,4,0.1569
average,cityblock,maxclust,5,0.1567
average,cityblock,maxclust,6,0.1602
average,cityblock,maxclust,7,0.1651
average,cityblock,maxclust,8,0.156
average,cityblock,maxclust,9,0.154
average,cityblock,maxclust,10,0.1535
average,cityblock,maxclust,11,0.1581
average,cityblock,maxclust,12,0.1992
average,cityblock,maxclust,13,0.1982
average,cityblock,maxclust,14,0.2076
average,cityblock,maxclust,15,0.2009
average,cityblock,maxclust,16,0.1978
average,cityblock,maxclust,17,0.1971
average,cityblock,maxclust,18,0.1975
average,cityblock,maxclust,19,0.1975
average,cityblock,maxclust,20,0.1978
average,cityblock,maxclust,21,0.2022
average,cityblock,maxclust,22,0.202
average,cityblock,maxclust,23,0.2018
average,cityblock,maxclust,24,0.2081
average,cityblock,maxclust,25,0.2082
average,cityblock,distance,5.0,0.1324
average,cityblock,distance,10.0,0.136
average,cityblock,distance,15.0,0.2189
average,cityblock,distance,20.0,0.2565
average,cosine,maxclust,2,0.1361
average,cosine,maxclust,3,0.1382
average,cosine,maxclust,4,0.1761
average,cosine,maxclust,5,0.1694
average,cosine,maxclust,6,0.1579
average,cosine,maxclust,7,0.1778
average,cosine,maxclust,8,0.1751
average,cosine,maxclust,9,0.1839
average,cosine,maxclust,10,0.1783
average,cosine,maxclust,11,0.1879
average,cosine,maxclust,12,0.1922
average,cosine,maxclust,13,0.1946
average,cosine,maxclust,14,0.1982
average,cosine,maxclust,15,0.1953
average,cosine,maxclust,16,0.1979
average,cosine,maxclust,17,0.2001
average,cosine,maxclust,18,0.1989
average,cosine,maxclust,19,0.1992
average,cosine,maxclust,20,0.1976
average,cosine,maxclust,21,0.1972
average,cosine,maxclust,22,0.1965
average,cosine,maxclust,23,0.1977
average,cosine,maxclust,24,0.2014
average,cosine,maxclust,25,0.2033
average,correlation,maxclust,2,0.1361
average,correlation,maxclust,3,0.1382
average,correlation,maxclust,4,0.1761
average,correlation,maxclust,5,0.1694
average,correlation,maxclust,6,0.1579
average,correlation,maxclust,7,0.1778
average,correlation,maxclust,8,0.1751
average,correlation,maxclust,9,0.1839
average,correlation,maxclust,10,0.1783
average,correlation,maxclust,11,0.1879
average,correlation,maxclust,12,0.1922
average,correlation,maxclust,13,0.1946
average,correlation,maxclust,14,0.1982
average,correlation,maxclust,15,0.1953
average,correlation,maxclust,16,0.1979
average,correlation,maxclust,17,0.2001
average,correlation,maxclust,18,0.1989
average,correlation,maxclust,19,0.1992
average,correlation,maxclust,20,0.1976
average,correlation,maxclust,21,0.1972
average,correlation,maxclust,22,0.1965
average,correlation,maxclust,23,0.1977
average,correlation,maxclust,24,0.2014
average,correlation,maxclust,25,0.2033
complete,euclidean,maxclust,2,0.1348
complete,euclidean,maxclust,3,0.1456
complete,euclidean,maxclust,4,0.1473
complete,euclidean,maxclust,5,0.1394
complete,euclidean,maxclust,6,0.1239
complete,euclidean,maxclust,7,0.1152
complete,euclidean,maxclust,8,0.1222
complete,euclidean,maxclust,9,0.1022
complete,euclidean,maxclust,10,0.1327
complete,euclidean,maxclust,11,0.1365
complete,euclidean,maxclust,12,0.1477
complete,euclidean,maxclust,13,0.1495
complete,euclidean,maxclust,14,0.152
complete,euclidean,maxclust,15,0.1502
complete,euclidean,maxclust,16,0.1618
complete,euclidean,maxclust,17,0.1599
complete,euclidean,maxclust,18,0.1718
complete,euclidean,maxclust,19,0.1743
complete,euclidean,maxclust,20,0.1748
complete,euclidean,maxclust,21,0.1768
complete,euclidean,maxclust,22,0.1843
complete,euclidean,maxclust,23,0.1955
complete,euclidean,maxclust,24,0.1942
