linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1312
ward,euclidean,maxclust,3,0.1374
ward,euclidean,maxclust,4,0.16
ward,euclidean,maxclust,5,0.1555
ward,euclidean,maxclust,6,0.156
ward,euclidean,maxclust,7,0.1774
ward,euclidean,maxclust,8,0.1948
ward,euclidean,maxclust,9,0.2152
ward,euclidean,maxclust,10,0.229
ward,euclidean,maxclust,11,0.2352
ward,euclidean,maxclust,12,0.2444
ward,euclidean,maxclust,13,0.2528
ward,euclidean,maxclust,14,0.2603
ward,euclidean,maxclust,15,0.2676
ward,euclidean,maxclust,16,0.2757
ward,euclidean,maxclust,17,0.2715
ward,euclidean,maxclust,18,0.2797
ward,euclidean,maxclust,19,0.2862
ward,euclidean,maxclust,20,0.2931
ward,euclidean,maxclust,21,0.2994
ward,euclidean,maxclust,22,0.3056
ward,euclidean,maxclust,23,0.2987
ward,euclidean,maxclust,24,0.2977
ward,euclidean,maxclust,25,0.2999
ward,euclidean,distance,5.0,0.2669
ward,euclidean,distance,10.0,0.2786
ward,euclidean,distance,15.0,0.2922
ward,euclidean,distance,20.0,0.307
average,euclidean,maxclust,2,0.1463
average,euclidean,maxclust,3,0.1393
average,euclidean,maxclust,4,0.171
average,euclidean,maxclust,5,0.1646
average,euclidean,maxclust,6,0.1604
average,euclidean,maxclust,7,0.1541
average,euclidean,maxclust,8,0.1667
average,euclidean,maxclust,9,0.1909
average,euclidean,maxclust,10,0.1998
average,euclidean,maxclust,11,0.1986
average,euclidean,maxclust,12,0.1948
average,euclidean,maxclust,13,0.1927
average,euclidean,maxclust,14,0.1914
average,euclidean,maxclust,15,0.1882
average,euclidean,maxclust,16,0.1843
average,euclidean,maxclust,17,0.1802
average,euclidean,maxclust,18,0.1767
average,euclidean,maxclust,19,0.1845
average,euclidean,maxclust,20,0.202
average,euclidean,maxclust,21,0.2044
average,euclidean,maxclust,22,0.2098
average,euclidean,maxclust,23,0.2257
average,euclidean,maxclust,24,0.2292
average,euclidean,maxclust,25,0.2365
average,euclidean,distance,5.0,0.3398
average,euclidean,distance,10.0,0.3343
average,euclidean,distance,15.0,0.2442
average,cityblock,maxclust,2,0.1458
average,cityblock,maxclust,3,0.1106
average,cityblock,maxclust,4,0.1445
average,cityblock,maxclust,5,0.1626
average,cityblock,maxclust,6,0.1816
average,cityblock,maxclust,7,0.2061
average,cityblock,maxclust,8,0.1946
average,cityblock,maxclust,9,0.1949
average,cityblock,maxclust,10,0.2118
average,cityblock,maxclust,11,0.2122
average,cityblock,maxclust,12,0.2121
average,cityblock,maxclust,13,0.2119
average,cityblock,maxclust,14,0.2099
average,cityblock,maxclust,15,0.2087
average,cityblock,maxclust,16,0.2141
average,cityblock,maxclust,17,0.2202
average,cityblock,maxclust,18,0.2181
average,cityblock,maxclust,19,0.2245
