linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1703
ward,euclidean,maxclust,3,0.1434
ward,euclidean,maxclust,4,0.1364
ward,euclidean,maxclust,5,0.1472
ward,euclidean,maxclust,6,0.1631
ward,euclidean,maxclust,7,0.1614
ward,euclidean,maxclust,8,0.1702
ward,euclidean,maxclust,9,0.1832
ward,euclidean,maxclust,10,0.1832
ward,euclidean,maxclust,11,0.1778
ward,euclidean,maxclust,12,0.1875
ward,euclidean,maxclust,13,0.192
ward,euclidean,maxclust,14,0.1963
ward,euclidean,maxclust,15,0.2064
ward,euclidean,maxclust,16,0.2094
ward,euclidean,maxclust,17,0.2066
ward,euclidean,maxclust,18,0.2088
ward,euclidean,maxclust,19,0.2149
ward,euclidean,maxclust,20,0.2202
ward,euclidean,maxclust,21,0.2253
ward,euclidean,maxclust,22,0.2322
ward,euclidean,maxclust,23,0.2323
ward,euclidean,maxclust,24,0.2323
ward,euclidean,maxclust,25,0.2373
ward,euclidean,distance,5.0,0.2486
ward,euclidean,distance,10.0,0.2668
ward,euclidean,distance,15.0,0.3036
ward,euclidean,distance,20.0,0.3054
average,euclidean,maxclust,2,0.1579
average,euclidean,maxclust,3,0.1726
average,euclidean,maxclust,4,0.1597
average,euclidean,maxclust,5,0.1701
average,euclidean,maxclust,6,0.1627
average,euclidean,maxclust,7,0.156
average,euclidean,maxclust,8,0.1531
average,euclidean,maxclust,9,0.1729
average,euclidean,maxclust,10,0.171
average,euclidean,maxclust,11,0.1708
average,euclidean,maxclust,12,0.1691
average,euclidean,maxclust,13,0.1843
average,euclidean,maxclust,14,0.1838
average,euclidean,maxclust,15,0.185
average,euclidean,maxclust,16,0.183
average,euclidean,maxclust,17,0.1807
average,euclidean,maxclust,18,0.1922
average,euclidean,maxclust,19,0.19
average,euclidean,maxclust,20,0.1885
average,euclidean,maxclust,21,0.1912
average,euclidean,maxclust,22,0.1904
average,euclidean,maxclust,23,0.1977
average,euclidean,maxclust,24,0.1953
average,euclidean,maxclust,25,0.1938
average,euclidean,distance,5.0,0.3306
average,euclidean,distance,10.0,0.327
average,euclidean,distance,15.0,0.1904
average,cityblock,maxclust,2,0.1425
average,cityblock,maxclust,3,0.1686
average,cityblock,maxclust,4,0.1726
average,cityblock,maxclust,5,0.1586
average,cityblock,maxclust,6,0.1438
average,cityblock,maxclust,7,0.1405
average,cityblock,maxclust,8,0.1454
average,cityblock,maxclust,9,0.1551
average,cityblock,maxclust,10,0.1584
average,cityblock,maxclust,11,0.1579
average,cityblock,maxclust,12,0.1575
average,cityblock,maxclust,13,0.1577
average,cityblock,maxclust,14,0.1674
average,cityblock,maxclust,15,0.166
average,cityblock,maxclust,16,0.2031
average,cityblock,maxclust,17,0.2022
average,cityblock,maxclust,18,0.2012
average,cityblock,maxclust,19,0.201
average,cityblock,maxclust,20,0.2009
average,cityblock,maxclust,21,0.198
average,cityblock,maxclust,22,0.2115
average,cityblock,maxclust,23,0.2103
average,cityblock,maxclust,24,0.2099
average,cityblock,maxclust,25,0.2125
average,cityblock,distance,5.0,0.1432
average,cityblock,distance,10.0,0.1361
average,cityblock,distance,15.0,0.181
average,cityblock,distance,20.0,0.224
average,cosine,maxclust,2,0.1551
average,cosine,maxclust,3,0.1654
average,cosine,maxclust,4,0.1672
average,cosine,maxclust,5,0.1758
average,cosine,maxclust,6,0.177
average,cosine,maxclust,7,0.1758
average,cosine,maxclust,8,0.1742
average,cosine,maxclust,9,0.1728
average,cosine,maxclust,10,0.1706
average,cosine,maxclust,11,0.1679
average,cosine,maxclust,12,0.18
