linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.2384
ward,euclidean,maxclust,3,0.2707
ward,euclidean,maxclust,4,0.2614
ward,euclidean,maxclust,5,0.2477
ward,euclidean,maxclust,6,0.232
ward,euclidean,maxclust,7,0.2231
ward,euclidean,maxclust,8,0.2052
ward,euclidean,maxclust,9,0.1842
ward,euclidean,maxclust,10,0.1663
ward,euclidean,maxclust,11,0.169
ward,euclidean,maxclust,12,0.1557
ward,euclidean,maxclust,13,0.1639
ward,euclidean,maxclust,14,0.1556
ward,euclidean,maxclust,15,0.1495
ward,euclidean,maxclust,16,0.153
ward,euclidean,maxclust,17,0.1555
ward,euclidean,maxclust,18,0.1396
ward,euclidean,maxclust,19,0.1433
ward,euclidean,maxclust,20,0.1463
ward,euclidean,maxclust,21,0.1456
ward,euclidean,maxclust,22,0.1459
ward,euclidean,maxclust,23,0.1484
ward,euclidean,maxclust,24,0.1436
ward,euclidean,maxclust,25,0.1377
ward,euclidean,distance,5.0,0.231
ward,euclidean,distance,10.0,0.2023
ward,euclidean,distance,15.0,0.1943
ward,euclidean,distance,20.0,0.1901
average,euclidean,maxclust,2,0.2497
average,euclidean,maxclust,3,0.2669
average,euclidean,maxclust,4,0.2882
average,euclidean,maxclust,5,0.2746
average,euclidean,maxclust,6,0.2604
average,euclidean,maxclust,7,0.2427
average,euclidean,maxclust,8,0.2343
average,euclidean,maxclust,9,0.2141
average,euclidean,maxclust,10,0.2102
average,euclidean,maxclust,11,0.2024
average,euclidean,maxclust,12,0.197
average,euclidean,maxclust,13,0.1947
average,euclidean,maxclust,14,0.1935
average,euclidean,maxclust,15,0.1894
average,euclidean,maxclust,16,0.1895
average,euclidean,maxclust,17,0.1879
average,euclidean,maxclust,18,0.1814
average,euclidean,maxclust,19,0.1751
average,euclidean,maxclust,20,0.174
average,euclidean,maxclust,21,0.1702
average,euclidean,maxclust,22,0.1675
average,euclidean,maxclust,23,0.1639
average,euclidean,maxclust,24,0.1609
average,euclidean,maxclust,25,0.1587
average,euclidean,distance,5.0,0.1949
average,euclidean,distance,10.0,0.1409
average,euclidean,distance,15.0,0.2604
average,cityblock,maxclust,2,0.2482
average,cityblock,maxclust,3,0.235
average,cityblock,maxclust,4,0.267
average,cityblock,maxclust,5,0.2552
average,cityblock,maxclust,6,0.2297
average,cityblock,maxclust,7,0.2272
average,cityblock,maxclust,8,0.2119
average,cityblock,maxclust,9,0.2059
average,cityblock,maxclust,10,0.1825
average,cityblock,maxclust,11,0.1818
average,cityblock,maxclust,12,0.1765
average,cityblock,maxclust,13,0.1855
average,cityblock,maxclust,14,0.1691
average,cityblock,maxclust,15,0.1923
average,cityblock,maxclust,16,0.1884
average,cityblock,maxclust,17,0.1825
average,cityblock,maxclust,18,0.1854
average,cityblock,maxclust,19,0.1847
average,cityblock,maxclust,20,0.1809
average,cityblock,maxclust,21,0.1733
average,cityblock,maxclust,22,0.1675
average,cityblock,maxclust,23,0.1645
average,cityblock,maxclust,24,0.1622
average,cityblock,maxclust,25,0.1702
average,cityblock,distance,5.0,0.0231
average,cityblock,distance,10.0,0.1508
average,cityblock,distance,15.0,0.2411
average,cityblock,distance,20.0,0.2478
average,cosine,maxclust,2,0.2517
average,cosine,maxclust,3,0.2632
average,cosine,maxclust,4,0.2428
average,cosine,maxclust,5,0.2262
average,cosine,maxclust,6,0.2489
average,cosine,maxclust,7,0.2391
average,cosine,maxclust,8,0.232
average,cosine,maxclust,9,0.2209
average,cosine,maxclust,10,0.2145
average,cosine,maxclust,11,0.2135
average,cosine,maxclust,12,0.2005
average,cosine,maxclust,13,0.2021
average,cosine,maxclust,14,0.198
average,cosine,maxclust,15,0.1935
average,cosine,maxclust,16,0.187
average,cosine,maxclust,17,0.1873
average,cosine,maxclust,18,0.1855
average,cosine,maxclust,19,0.1839
average,cosine,maxclust,20,0.1807
average,cosine,maxclust,21,0.1811
average,cosine,maxclust,22,0.1779
average,cosine,maxclust,23,0.176
average,cosine,maxclust,24,0.1732
average,cosine,maxclust,25,0.1735
average,correlation,maxclust,2,0.2517
average,correlation,maxclust,3,0.2632
average,correlation,maxclust,4,0.2428
average,correlation,maxclust,5,0.2262
average,correlation,maxclust,6,0.2489
average,correlation,maxclust,7,0.2391
average,correlation,maxclust,8,0.232
average,correlation,maxclust,9,0.2209
average,correlation,maxclust,10,0.2145
average,correlation,maxclust,11,0.2135
average,correlation,maxclust,12,0.2005
average,correlation,maxclust,13,0.2021
average,correlation,maxclust,14,0.198
average,correlation,maxclust,15,0.1935
average,correlation,maxclust,16,0.187
average,correlation,maxclust,17,0.1873
average,correlation,maxclust,18,0.1855
average,correlation,maxclust,19,0.1839
average,correlation,maxclust,20,0.1807
average,correlation,maxclust,21,0.1811
average,correlation,maxclust,22,0.1779
average,correlation,maxclust,23,0.176
average,correlation,maxclust,24,0.1732
average,correlation,maxclust,25,0.1735
complete,euclidean,maxclust,2,0.2343
complete,euclidean,maxclust,3,0.2394
complete,euclidean,maxclust,4,0.2571
complete,euclidean,maxclust,5,0.2534
complete,euclidean,maxclust,6,0.2469
complete,euclidean,maxclust,7,0.2255
complete,euclidean,maxclust,8,0.2052
complete,euclidean,maxclust,9,0.1876
complete,euclidean,maxclust,10,0.1621
complete,euclidean,maxclust,11,0.1598
complete,euclidean,maxclust,12,0.1591
complete,euclidean,maxclust,13,0.1606
complete,euclidean,maxclust,14,0.1508
complete,euclidean,maxclust,15,0.1464
complete,euclidean,maxclust,16,0.1354
complete,euclidean,maxclust,17,0.1307
complete,euclidean,maxclust,18,0.1313
complete,euclidean,maxclust,19,0.1315
complete,euclidean,maxclust,20,0.1253
complete,euclidean,maxclust,21,0.1289
complete,euclidean,maxclust,22,0.129
complete,euclidean,maxclust,23,0.131
complete,euclidean,maxclust,24,0.1314
complete,euclidean,maxclust,25,0.1281
complete,euclidean,distance,5.0,0.1986
complete,euclidean,distance,10.0,0.1474
complete,euclidean,distance,15.0,0.111
complete,euclidean,distance,20.0,0.1621
complete,cityblock,maxclust,2,0.2221
complete,cityblock,maxclust,3,0.2595
complete,cityblock,maxclust,4,0.2637
complete,cityblock,maxclust,5,0.2376
complete,cityblock,maxclust,6,0.1979
complete,cityblock,maxclust,7,0.1808
complete,cityblock,maxclust,8,0.1654
complete,cityblock,maxclust,9,0.176
complete,cityblock,maxclust,10,0.1701
complete,cityblock,maxclust,11,0.1473
