linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.2433
ward,euclidean,maxclust,3,0.2599
ward,euclidean,maxclust,4,0.246
ward,euclidean,maxclust,5,0.2349
ward,euclidean,maxclust,6,0.2257
ward,euclidean,maxclust,7,0.2078
ward,euclidean,maxclust,8,0.2163
ward,euclidean,maxclust,9,0.2227
ward,euclidean,maxclust,10,0.2415
ward,euclidean,maxclust,11,0.2629
ward,euclidean,maxclust,12,0.2805
ward,euclidean,maxclust,13,0.2799
ward,euclidean,maxclust,14,0.2789
ward,euclidean,maxclust,15,0.2785
ward,euclidean,maxclust,16,0.2941
ward,euclidean,maxclust,17,0.3042
ward,euclidean,maxclust,18,0.306
ward,euclidean,maxclust,19,0.3156
ward,euclidean,maxclust,20,0.3143
ward,euclidean,maxclust,21,0.311
ward,euclidean,maxclust,22,0.3129
ward,euclidean,maxclust,23,0.3076
ward,euclidean,maxclust,24,0.3104
ward,euclidean,maxclust,25,0.3084
ward,euclidean,distance,5.0,0.2156
ward,euclidean,distance,10.0,0.2355
ward,euclidean,distance,15.0,0.2204
ward,euclidean,distance,20.0,0.2146
average,euclidean,maxclust,2,0.2689
average,euclidean,maxclust,3,0.2483
average,euclidean,maxclust,4,0.2261
average,euclidean,maxclust,5,0.2492
average,euclidean,maxclust,6,0.2438
average,euclidean,maxclust,7,0.2512
average,euclidean,maxclust,8,0.2489
average,euclidean,maxclust,9,0.2418
average,euclidean,maxclust,10,0.2348
average,euclidean,maxclust,11,0.2321
average,euclidean,maxclust,12,0.2405
average,euclidean,maxclust,13,0.2317
average,euclidean,maxclust,14,0.2193
average,euclidean,maxclust,15,0.2173
average,euclidean,maxclust,16,0.2167
average,euclidean,maxclust,17,0.242
average,euclidean,maxclust,18,0.2282
average,euclidean,maxclust,19,0.223
average,euclidean,maxclust,20,0.221
average,euclidean,maxclust,21,0.22
average,euclidean,maxclust,22,0.2185
average,euclidean,maxclust,23,0.2175
average,euclidean,maxclust,24,0.2286
average,euclidean,maxclust,25,0.2418
average,euclidean,distance,5.0,0.3068
average,euclidean,distance,10.0,0.3228
average,euclidean,distance,15.0,0.2489
average,cityblock,maxclust,2,0.2337
average,cityblock,maxclust,3,0.2637
average,cityblock,maxclust,4,0.2438
average,cityblock,maxclust,5,0.2581
average,cityblock,maxclust,6,0.2538
average,cityblock,maxclust,7,0.2503
average,cityblock,maxclust,8,0.2416
average,cityblock,maxclust,9,0.2267
average,cityblock,maxclust,10,0.2187
average,cityblock,maxclust,11,0.2293
average,cityblock,maxclust,12,0.2323
average,cityblock,maxclust,13,0.2324
average,cityblock,maxclust,14,0.2239
average,cityblock,maxclust,15,0.2236
average,cityblock,maxclust,16,0.2153
average,cityblock,maxclust,17,0.2073
average,cityblock,maxclust,18,0.2209
average,cityblock,maxclust,19,0.2203
average,cityblock,maxclust,20,0.2163
average,cityblock,maxclust,21,0.2104
average,cityblock,maxclust,22,0.2282
average,cityblock,maxclust,23,0.2266
average,cityblock,maxclust,24,0.2245
average,cityblock,maxclust,25,0.2194
average,cityblock,distance,5.0,0.0854
average,cityblock,distance,10.0,0.1446
average,cityblock,distance,15.0,0.1986
average,cityblock,distance,20.0,0.2375
average,cosine,maxclust,2,0.2585
average,cosine,maxclust,3,0.2583
average,cosine,maxclust,4,0.2377
average,cosine,maxclust,5,0.2477
average,cosine,maxclust,6,0.2251
average,cosine,maxclust,7,0.2125
average,cosine,maxclust,8,0.2049
average,cosine,maxclust,9,0.1919
average,cosine,maxclust,10,0.2103
average,cosine,maxclust,11,0.2172
average,cosine,maxclust,12,0.2239
average,cosine,maxclust,13,0.2237
average,cosine,maxclust,14,0.223
average,cosine,maxclust,15,0.2197
average,cosine,maxclust,16,0.2213
average,cosine,maxclust,17,0.2205
average,cosine,maxclust,18,0.2205
average,cosine,maxclust,19,0.2169
average,cosine,maxclust,20,0.2164
average,cosine,maxclust,21,0.2219
average,cosine,maxclust,22,0.2211
average,cosine,maxclust,23,0.2456
average,cosine,maxclust,24,0.2418
average,cosine,maxclust,25,0.2375
average,correlation,maxclust,2,0.2585
average,correlation,maxclust,3,0.2583
average,correlation,maxclust,4,0.2377
average,correlation,maxclust,5,0.2477
average,correlation,maxclust,6,0.2251
average,correlation,maxclust,7,0.2125
average,correlation,maxclust,8,0.2049
average,correlation,maxclust,9,0.1919
average,correlation,maxclust,10,0.2103
average,correlation,maxclust,11,0.2172
average,correlation,maxclust,12,0.2239
average,correlation,maxclust,13,0.2237
average,correlation,maxclust,14,0.223
average,correlation,maxclust,15,0.2197
average,correlation,maxclust,16,0.2213
average,correlation,maxclust,17,0.2205
average,correlation,maxclust,18,0.2205
average,correlation,maxclust,19,0.2169
average,correlation,maxclust,20,0.2164
average,correlation,maxclust,21,0.2219
average,correlation,maxclust,22,0.2211
average,correlation,maxclust,23,0.2456
average,correlation,maxclust,24,0.2418
average,correlation,maxclust,25,0.2375
complete,euclidean,maxclust,2,0.2334
complete,euclidean,maxclust,3,0.2501
complete,euclidean,maxclust,4,0.2217
complete,euclidean,maxclust,5,0.2455
complete,euclidean,maxclust,6,0.2457
complete,euclidean,maxclust,7,0.229
complete,euclidean,maxclust,8,0.2308
complete,euclidean,maxclust,9,0.192
complete,euclidean,maxclust,10,0.1955
complete,euclidean,maxclust,11,0.2039
complete,euclidean,maxclust,12,0.1979
complete,euclidean,maxclust,13,0.199
complete,euclidean,maxclust,14,0.1864
complete,euclidean,maxclust,15,0.187
complete,euclidean,maxclust,16,0.1824
complete,euclidean,maxclust,17,0.1828
complete,euclidean,maxclust,18,0.1815
complete,euclidean,maxclust,19,0.1803
complete,euclidean,maxclust,20,0.1827
complete,euclidean,maxclust,21,0.1843
complete,euclidean,maxclust,22,0.1712
complete,euclidean,maxclust,23,0.1717
complete,euclidean,maxclust,24,0.1707
complete,euclidean,maxclust,25,0.1704
complete,euclidean,distance,5.0,0.2402
complete,euclidean,distance,10.0,0.2819
complete,euclidean,distance,15.0,0.2199
complete,euclidean,distance,20.0,0.1824
complete,cityblock,maxclust,2,0.2471
complete,cityblock,maxclust,3,0.2327
complete,cityblock,maxclust,4,0.2198
complete,cityblock,maxclust,5,0.209
complete,cityblock,maxclust,6,0.2065
complete,cityblock,maxclust,7,0.2243
complete,cityblock,maxclust,8,0.2138
complete,cityblock,maxclust,9,0.2156
complete,cityblock,maxclust,10,0.2286
complete,cityblock,maxclust,11,0.228
complete,cityblock,maxclust,12,0.218
complete,cityblock,maxclust,13,0.213
