linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.4849
ward,euclidean,maxclust,3,0.4561
ward,euclidean,maxclust,4,0.3894
ward,euclidean,maxclust,5,0.349
ward,euclidean,maxclust,6,0.3695
ward,euclidean,maxclust,7,0.3614
ward,euclidean,maxclust,8,0.3675
ward,euclidean,maxclust,9,0.3596
ward,euclidean,maxclust,10,0.3609
ward,euclidean,maxclust,11,0.3587
ward,euclidean,maxclust,12,0.363
ward,euclidean,maxclust,13,0.365
ward,euclidean,maxclust,14,0.3598
ward,euclidean,maxclust,15,0.3561
ward,euclidean,maxclust,16,0.3624
ward,euclidean,maxclust,17,0.3475
ward,euclidean,maxclust,18,0.3456
ward,euclidean,maxclust,19,0.3086
ward,euclidean,maxclust,20,0.3137
ward,euclidean,maxclust,21,0.3071
ward,euclidean,maxclust,22,0.3042
ward,euclidean,maxclust,23,0.2993
ward,euclidean,maxclust,24,0.3022
ward,euclidean,maxclust,25,0.3023
ward,euclidean,distance,5.0,0.195
ward,euclidean,distance,10.0,0.2023
ward,euclidean,distance,15.0,0.2162
ward,euclidean,distance,20.0,0.2253
average,euclidean,maxclust,2,0.5129
average,euclidean,maxclust,3,0.3979
average,euclidean,maxclust,4,0.4043
average,euclidean,maxclust,5,0.3961
average,euclidean,maxclust,6,0.4209
average,euclidean,maxclust,7,0.4202
average,euclidean,maxclust,8,0.4197
average,euclidean,maxclust,9,0.4191
average,euclidean,maxclust,10,0.4158
average,euclidean,maxclust,11,0.412
average,euclidean,maxclust,12,0.4062
average,euclidean,maxclust,13,0.3907
average,euclidean,maxclust,14,0.3885
average,euclidean,maxclust,15,0.3879
average,euclidean,maxclust,16,0.3872
average,euclidean,maxclust,17,0.3871
average,euclidean,maxclust,18,0.3841
average,euclidean,maxclust,19,0.3837
average,euclidean,maxclust,20,0.3815
average,euclidean,maxclust,21,0.3782
average,euclidean,maxclust,22,0.3778
average,euclidean,maxclust,23,0.3776
average,euclidean,maxclust,24,0.3723
average,euclidean,maxclust,25,0.3625
average,euclidean,distance,5.0,0.3593
average,euclidean,distance,10.0,0.2774
average,euclidean,distance,15.0,0.3961
average,euclidean,distance,20.0,0.5129
average,cityblock,maxclust,2,0.5179
average,cityblock,maxclust,3,0.4474
average,cityblock,maxclust,4,0.4054
average,cityblock,maxclust,5,0.361
average,cityblock,maxclust,6,0.355
average,cityblock,maxclust,7,0.349
average,cityblock,maxclust,8,0.3468
average,cityblock,maxclust,9,0.3468
average,cityblock,maxclust,10,0.3467
average,cityblock,maxclust,11,0.3216
average,cityblock,maxclust,12,0.3212
average,cityblock,maxclust,13,0.3405
average,cityblock,maxclust,14,0.3393
average,cityblock,maxclust,15,0.3361
average,cityblock,maxclust,16,0.3358
average,cityblock,maxclust,17,0.3354
average,cityblock,maxclust,18,0.3317
average,cityblock,maxclust,19,0.3313
average,cityblock,maxclust,20,0.3411
average,cityblock,maxclust,21,0.3407
average,cityblock,maxclust,22,0.3344
average,cityblock,maxclust,23,0.3301
average,cityblock,maxclust,24,0.33
average,cityblock,maxclust,25,0.3298
average,cityblock,distance,5.0,0.0793
average,cityblock,distance,10.0,0.1289
average,cityblock,distance,15.0,0.1908
average,cityblock,distance,20.0,0.2533
average,cosine,maxclust,2,0.4957
average,cosine,maxclust,3,0.4511
average,cosine,maxclust,4,0.4476
average,cosine,maxclust,5,0.4298
average,cosine,maxclust,6,0.425
average,cosine,maxclust,7,0.4171
average,cosine,maxclust,8,0.4152
average,cosine,maxclust,9,0.4112
average,cosine,maxclust,10,0.4121
average,cosine,maxclust,11,0.4124
average,cosine,maxclust,12,0.4117
average,cosine,maxclust,13,0.4089
average,cosine,maxclust,14,0.4076
average,cosine,maxclust,15,0.3969
average,cosine,maxclust,16,0.3948
average,cosine,maxclust,17,0.3929
average,cosine,maxclust,18,0.3928
average,cosine,maxclust,19,0.3913
average,cosine,maxclust,20,0.3909
average,cosine,maxclust,21,0.3905
average,cosine,maxclust,22,0.3881
average,cosine,maxclust,23,0.3847
average,cosine,maxclust,24,0.3825
average,cosine,maxclust,25,0.3721
average,correlation,maxclust,2,0.4957
average,correlation,maxclust,3,0.4511
average,correlation,maxclust,4,0.4476
average,correlation,maxclust,5,0.4298
average,correlation,maxclust,6,0.425
average,correlation,maxclust,7,0.4171
average,correlation,maxclust,8,0.4152
average,correlation,maxclust,9,0.4112
average,correlation,maxclust,10,0.4121
average,correlation,maxclust,11,0.4124
average,correlation,maxclust,12,0.4117
average,correlation,maxclust,13,0.4089
average,correlation,maxclust,14,0.4076
average,correlation,maxclust,15,0.3969
average,correlation,maxclust,16,0.3948
average,correlation,maxclust,17,0.3929
average,correlation,maxclust,18,0.3928
average,correlation,maxclust,19,0.3913
average,correlation,maxclust,20,0.3909
average,correlation,maxclust,21,0.3905
average,correlation,maxclust,22,0.3881
average,correlation,maxclust,23,0.3847
average,correlation,maxclust,24,0.3825
average,correlation,maxclust,25,0.3721
complete,euclidean,maxclust,2,0.4696
complete,euclidean,maxclust,3,0.4102
complete,euclidean,maxclust,4,0.4311
complete,euclidean,maxclust,5,0.3616
complete,euclidean,maxclust,6,0.3522
complete,euclidean,maxclust,7,0.3332
complete,euclidean,maxclust,8,0.3265
complete,euclidean,maxclust,9,0.3233
complete,euclidean,maxclust,10,0.3292
