linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.3548
ward,euclidean,maxclust,3,0.3441
ward,euclidean,maxclust,4,0.3695
ward,euclidean,maxclust,5,0.3749
ward,euclidean,maxclust,6,0.3754
ward,euclidean,maxclust,7,0.3804
ward,euclidean,maxclust,8,0.3837
ward,euclidean,maxclust,9,0.3902
ward,euclidean,maxclust,10,0.3912
ward,euclidean,maxclust,11,0.3811
ward,euclidean,maxclust,12,0.38
ward,euclidean,maxclust,13,0.3739
ward,euclidean,maxclust,14,0.3725
ward,euclidean,maxclust,15,0.3713
ward,euclidean,maxclust,16,0.372
ward,euclidean,maxclust,17,0.3709
ward,euclidean,maxclust,18,0.3647
ward,euclidean,maxclust,19,0.3571
ward,euclidean,maxclust,20,0.3535
ward,euclidean,maxclust,21,0.3482
ward,euclidean,maxclust,22,0.3403
ward,euclidean,maxclust,23,0.3364
ward,euclidean,maxclust,24,0.3273
ward,euclidean,maxclust,25,0.3191
ward,euclidean,distance,5.0,0.2618
ward,euclidean,distance,10.0,0.3054
ward,euclidean,distance,15.0,0.3421
ward,euclidean,distance,20.0,0.3677
average,euclidean,maxclust,2,0.3497
average,euclidean,maxclust,3,0.3787
average,euclidean,maxclust,4,0.3677
average,euclidean,maxclust,5,0.3595
average,euclidean,maxclust,6,0.3824
average,euclidean,maxclust,7,0.391
average,euclidean,maxclust,8,0.3864
average,euclidean,maxclust,9,0.3863
average,euclidean,maxclust,10,0.3827
average,euclidean,maxclust,11,0.3738
average,euclidean,maxclust,12,0.3631
average,euclidean,maxclust,13,0.3628
average,euclidean,maxclust,14,0.3677
average,euclidean,maxclust,15,0.3676
average,euclidean,maxclust,16,0.3764
average,euclidean,maxclust,17,0.3736
average,euclidean,maxclust,18,0.3704
average,euclidean,maxclust,19,0.3622
average,euclidean,maxclust,20,0.3621
average,euclidean,maxclust,21,0.3611
average,euclidean,maxclust,22,0.3707
average,euclidean,maxclust,23,0.3652
average,euclidean,maxclust,24,0.3651
average,euclidean,maxclust,25,0.3705
average,euclidean,distance,5.0,0.3289
average,euclidean,distance,10.0,0.3738
average,euclidean,distance,15.0,0.3787
average,cityblock,maxclust,2,0.3256
average,cityblock,maxclust,3,0.3844
average,cityblock,maxclust,4,0.3838
average,cityblock,maxclust,5,0.3842
average,cityblock,maxclust,6,0.3846
average,cityblock,maxclust,7,0.3837
average,cityblock,maxclust,8,0.3713
average,cityblock,maxclust,9,0.3711
average,cityblock,maxclust,10,0.3602
average,cityblock,maxclust,11,0.3771
average,cityblock,maxclust,12,0.3822
average,cityblock,maxclust,13,0.3781
average,cityblock,maxclust,14,0.3854
average,cityblock,maxclust,15,0.3858
average,cityblock,maxclust,16,0.3901
average,cityblock,maxclust,17,0.3908
average,cityblock,maxclust,18,0.3876
average,cityblock,maxclust,19,0.3876
average,cityblock,maxclust,20,0.3788
average,cityblock,maxclust,21,0.3742
average,cityblock,maxclust,22,0.3715
average,cityblock,maxclust,23,0.3695
average,cityblock,maxclust,24,0.3683
average,cityblock,maxclust,25,0.3542
average,cityblock,distance,5.0,0.2388
average,cityblock,distance,10.0,0.2799
average,cityblock,distance,15.0,0.3286
average,cityblock,distance,20.0,0.3652
average,cosine,maxclust,2,0.3535
average,cosine,maxclust,3,0.376
average,cosine,maxclust,4,0.3831
average,cosine,maxclust,5,0.3764
average,cosine,maxclust,6,0.3502
average,cosine,maxclust,7,0.3636
