linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1692
ward,euclidean,maxclust,3,0.1835
ward,euclidean,maxclust,4,0.1778
ward,euclidean,maxclust,5,0.1774
ward,euclidean,maxclust,6,0.1778
ward,euclidean,maxclust,7,0.1692
ward,euclidean,maxclust,8,0.1684
ward,euclidean,maxclust,9,0.1651
ward,euclidean,maxclust,10,0.1586
ward,euclidean,maxclust,11,0.163
ward,euclidean,maxclust,12,0.1579
ward,euclidean,maxclust,13,0.1527
ward,euclidean,maxclust,14,0.1484
ward,euclidean,maxclust,15,0.1543
ward,euclidean,maxclust,16,0.1541
ward,euclidean,maxclust,17,0.1561
ward,euclidean,maxclust,18,0.1616
ward,euclidean,maxclust,19,0.1607
ward,euclidean,maxclust,20,0.1598
ward,euclidean,maxclust,21,0.1537
ward,euclidean,maxclust,22,0.1576
ward,euclidean,maxclust,23,0.1637
ward,euclidean,maxclust,24,0.159
ward,euclidean,maxclust,25,0.1534
ward,euclidean,distance,5.0,0.1787
ward,euclidean,distance,10.0,0.2033
ward,euclidean,distance,15.0,0.2007
ward,euclidean,distance,20.0,0.1988
average,euclidean,maxclust,2,0.1712
average,euclidean,maxclust,3,0.1836
average,euclidean,maxclust,4,0.1844
average,euclidean,maxclust,5,0.1884
average,euclidean,maxclust,6,0.1803
average,euclidean,maxclust,7,0.1687
average,euclidean,maxclust,8,0.1552
average,euclidean,maxclust,9,0.1569
average,euclidean,maxclust,10,0.1405
average,euclidean,maxclust,11,0.143
average,euclidean,maxclust,12,0.1533
average,euclidean,maxclust,13,0.1536
average,euclidean,maxclust,14,0.158
average,euclidean,maxclust,15,0.1572
average,euclidean,maxclust,16,0.1619
average,euclidean,maxclust,17,0.1599
average,euclidean,maxclust,18,0.1551
average,euclidean,maxclust,19,0.1536
average,euclidean,maxclust,20,0.1547
average,euclidean,maxclust,21,0.1563
average,euclidean,maxclust,22,0.158
average,euclidean,maxclust,23,0.1665
average,euclidean,maxclust,24,0.1639
average,euclidean,maxclust,25,0.1631
average,euclidean,distance,5.0,0.2055
average,euclidean,distance,10.0,0.1827
average,euclidean,distance,15.0,0.1552
average,cityblock,maxclust,2,0.1829
average,cityblock,maxclust,3,0.192
average,cityblock,maxclust,4,0.1795
average,cityblock,maxclust,5,0.166
average,cityblock,maxclust,6,0.1651
average,cityblock,maxclust,7,0.1543
average,cityblock,maxclust,8,0.1499
average,cityblock,maxclust,9,0.1469
average,cityblock,maxclust,10,0.159
average,cityblock,maxclust,11,0.147
average,cityblock,maxclust,12,0.1529
average,cityblock,maxclust,13,0.1637
average,cityblock,maxclust,14,0.1626
average,cityblock,maxclust,15,0.163
average,cityblock,maxclust,16,0.1618
average,cityblock,maxclust,17,0.1603
average,cityblock,maxclust,18,0.1586
average,cityblock,maxclust,19,0.163
average,cityblock,maxclust,20,0.1614
average,cityblock,maxclust,21,0.1598
average,cityblock,maxclust,22,0.1564
average,cityblock,maxclust,23,0.1558
average,cityblock,maxclust,24,0.1673
average,cityblock,maxclust,25,0.1672
average,cityblock,distance,10.0,0.0155
average,cityblock,distance,15.0,0.0751
average,cityblock,distance,20.0,0.129
average,cosine,maxclust,2,0.163
average,cosine,maxclust,3,0.1699
average,cosine,maxclust,4,0.1826
average,cosine,maxclust,5,0.1623
average,cosine,maxclust,6,0.176
average,cosine,maxclust,7,0.1738
average,cosine,maxclust,8,0.1717
average,cosine,maxclust,9,0.1705
average,cosine,maxclust,10,0.1678
average,cosine,maxclust,11,0.1671
average,cosine,maxclust,12,0.169
