linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0283
ward,euclidean,maxclust,3,0.0284
ward,euclidean,maxclust,4,0.0291
ward,euclidean,maxclust,5,0.0297
ward,euclidean,maxclust,6,0.0333
ward,euclidean,maxclust,7,0.0378
ward,euclidean,maxclust,8,0.0433
ward,euclidean,maxclust,9,0.0492
ward,euclidean,maxclust,10,0.0512
ward,euclidean,maxclust,11,0.0555
ward,euclidean,maxclust,12,0.0622
ward,euclidean,maxclust,13,0.0614
ward,euclidean,maxclust,14,0.0608
ward,euclidean,maxclust,15,0.0666
ward,euclidean,maxclust,16,0.0718
ward,euclidean,maxclust,17,0.0765
ward,euclidean,maxclust,18,0.0745
ward,euclidean,maxclust,19,0.0716
ward,euclidean,maxclust,20,0.0691
ward,euclidean,maxclust,21,0.0656
ward,euclidean,maxclust,22,0.0627
ward,euclidean,maxclust,23,0.0639
ward,euclidean,maxclust,24,0.0655
ward,euclidean,maxclust,25,0.0625
ward,euclidean,distance,10.0,0.1191
ward,euclidean,distance,15.0,0.1053
ward,euclidean,distance,20.0,0.075
average,euclidean,maxclust,2,0.0282
average,euclidean,maxclust,3,0.03
average,euclidean,maxclust,4,0.0331
average,euclidean,maxclust,5,0.0397
average,euclidean,maxclust,6,0.0435
average,euclidean,maxclust,7,0.0455
average,euclidean,maxclust,8,0.0478
average,euclidean,maxclust,9,0.0521
average,euclidean,maxclust,10,0.0562
average,euclidean,maxclust,11,0.0632
average,euclidean,maxclust,12,0.0705
average,euclidean,maxclust,13,0.0796
average,euclidean,maxclust,14,0.0804
average,euclidean,maxclust,15,0.0828
average,euclidean,maxclust,16,0.0828
average,euclidean,maxclust,17,0.0826
average,euclidean,maxclust,18,0.0831
average,euclidean,maxclust,19,0.0824
average,euclidean,maxclust,20,0.0807
average,euclidean,maxclust,21,0.0821
average,euclidean,maxclust,22,0.0815
average,euclidean,maxclust,23,0.081
average,euclidean,maxclust,24,0.0808
average,euclidean,maxclust,25,0.0782
average,euclidean,distance,10.0,0.1154
average,euclidean,distance,15.0,0.0714
average,cityblock,maxclust,2,0.0245
average,cityblock,maxclust,3,0.0183
average,cityblock,maxclust,4,0.0142
average,cityblock,maxclust,5,0.0187
average,cityblock,maxclust,6,0.0289
average,cityblock,maxclust,7,0.0399
average,cityblock,maxclust,8,0.0361
average,cityblock,maxclust,9,0.0464
average,cityblock,maxclust,10,0.0518
average,cityblock,maxclust,11,0.048
average,cityblock,maxclust,12,0.0537
average,cityblock,maxclust,13,0.058
average,cityblock,maxclust,14,0.0639
average,cityblock,maxclust,15,0.0691
average,cityblock,maxclust,16,0.0617
average,cityblock,maxclust,17,0.0521
average,cityblock,maxclust,18,0.0584
average,cityblock,maxclust,19,0.06
average,cityblock,maxclust,20,0.0587
average,cityblock,maxclust,21,0.0579
average,cityblock,maxclust,22,0.0528
average,cityblock,maxclust,23,0.0527
average,cityblock,maxclust,24,0.052
average,cityblock,maxclust,25,0.05
average,cosine,maxclust,2,0.0291
average,cosine,maxclust,3,0.0292
average,cosine,maxclust,4,0.0337
average,cosine,maxclust,5,0.039
average,cosine,maxclust,6,0.0433
average,cosine,maxclust,7,0.0461
average,cosine,maxclust,8,0.0496
average,cosine,maxclust,9,0.0533
average,cosine,maxclust,10,0.0606
average,cosine,maxclust,11,0.0649
average,cosine,maxclust,12,0.0718
average,cosine,maxclust,13,0.0774
average,cosine,maxclust,14,0.0856
average,cosine,maxclust,15,0.0868
average,cosine,maxclust,16,0.087
average,cosine,maxclust,17,0.0852
average,cosine,maxclust,18,0.0853
average,cosine,maxclust,19,0.0826
average,cosine,maxclust,20,0.0825
average,cosine,maxclust,21,0.0827
average,cosine,maxclust,22,0.0803
average,cosine,maxclust,23,0.0802
average,cosine,maxclust,24,0.081
average,cosine,maxclust,25,0.0796
average,correlation,maxclust,2,0.0291
average,correlation,maxclust,3,0.0292
average,correlation,maxclust,4,0.0337
average,correlation,maxclust,5,0.039
average,correlation,maxclust,6,0.0433
average,correlation,maxclust,7,0.0461
average,correlation,maxclust,8,0.0496
average,correlation,maxclust,9,0.0533
average,correlation,maxclust,10,0.0606
average,correlation,maxclust,11,0.0649
average,correlation,maxclust,12,0.0718
average,correlation,maxclust,13,0.0774
average,correlation,maxclust,14,0.0856
average,correlation,maxclust,15,0.0868
average,correlation,maxclust,16,0.087
average,correlation,maxclust,17,0.0852
average,correlation,maxclust,18,0.0853
average,correlation,maxclust,19,0.0826
average,correlation,maxclust,20,0.0825
average,correlation,maxclust,21,0.0827
average,correlation,maxclust,22,0.0803
average,correlation,maxclust,23,0.0802
average,correlation,maxclust,24,0.081
average,correlation,maxclust,25,0.0796
complete,euclidean,maxclust,2,0.0236
complete,euclidean,maxclust,3,0.0205
complete,euclidean,maxclust,4,0.0201
complete,euclidean,maxclust,5,0.023
complete,euclidean,maxclust,6,0.0191
complete,euclidean,maxclust,7,0.0218
complete,euclidean,maxclust,8,0.0234
complete,euclidean,maxclust,9,0.0226
complete,euclidean,maxclust,10,0.0208
complete,euclidean,maxclust,11,0.0207
complete,euclidean,maxclust,12,0.0231
complete,euclidean,maxclust,13,0.0251
