linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0264
ward,euclidean,maxclust,3,0.0248
ward,euclidean,maxclust,4,0.0227
ward,euclidean,maxclust,5,0.0247
ward,euclidean,maxclust,6,0.0257
ward,euclidean,maxclust,7,0.0282
ward,euclidean,maxclust,8,0.0314
ward,euclidean,maxclust,9,0.036
ward,euclidean,maxclust,10,0.0393
ward,euclidean,maxclust,11,0.045
ward,euclidean,maxclust,12,0.0513
ward,euclidean,maxclust,13,0.0548
ward,euclidean,maxclust,14,0.0566
ward,euclidean,maxclust,15,0.0582
ward,euclidean,maxclust,16,0.061
ward,euclidean,maxclust,17,0.0591
ward,euclidean,maxclust,18,0.063
ward,euclidean,maxclust,19,0.0667
ward,euclidean,maxclust,20,0.0633
ward,euclidean,maxclust,21,0.0643
ward,euclidean,maxclust,22,0.0669
ward,euclidean,maxclust,23,0.0683
ward,euclidean,maxclust,24,0.0645
ward,euclidean,maxclust,25,0.0672
ward,euclidean,distance,10.0,0.1231
ward,euclidean,distance,15.0,0.1381
ward,euclidean,distance,20.0,0.1229
average,euclidean,maxclust,2,0.0271
average,euclidean,maxclust,3,0.0289
average,euclidean,maxclust,4,0.0298
average,euclidean,maxclust,5,0.0303
average,euclidean,maxclust,6,0.0351
average,euclidean,maxclust,7,0.0387
average,euclidean,maxclust,8,0.0391
average,euclidean,maxclust,9,0.044
average,euclidean,maxclust,10,0.047
average,euclidean,maxclust,11,0.0496
average,euclidean,maxclust,12,0.0562
average,euclidean,maxclust,13,0.0589
average,euclidean,maxclust,14,0.0586
average,euclidean,maxclust,15,0.0644
average,euclidean,maxclust,16,0.0682
average,euclidean,maxclust,17,0.0697
average,euclidean,maxclust,18,0.0737
average,euclidean,maxclust,19,0.0737
average,euclidean,maxclust,20,0.0746
average,euclidean,maxclust,21,0.0735
average,euclidean,maxclust,22,0.0739
average,euclidean,maxclust,23,0.0747
average,euclidean,maxclust,24,0.0731
average,euclidean,maxclust,25,0.0734
average,euclidean,distance,10.0,0.1262
average,euclidean,distance,15.0,0.0824
average,cityblock,maxclust,2,0.0207
average,cityblock,maxclust,3,0.0224
average,cityblock,maxclust,4,0.0063
average,cityblock,maxclust,5,-0.0019
average,cityblock,maxclust,6,-0.0062
average,cityblock,maxclust,7,-0.0019
average,cityblock,maxclust,8,-0.0048
average,cityblock,maxclust,9,-0.0011
average,cityblock,maxclust,10,0.0044
average,cityblock,maxclust,11,0.012
average,cityblock,maxclust,12,0.0058
