linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0565
ward,euclidean,maxclust,3,0.0465
ward,euclidean,maxclust,4,0.0453
ward,euclidean,maxclust,5,0.0567
ward,euclidean,maxclust,6,0.0786
ward,euclidean,maxclust,7,0.1001
ward,euclidean,maxclust,8,0.1163
ward,euclidean,maxclust,9,0.1313
ward,euclidean,maxclust,10,0.1457
ward,euclidean,maxclust,11,0.1587
ward,euclidean,maxclust,12,0.1736
ward,euclidean,maxclust,13,0.1861
ward,euclidean,maxclust,14,0.1999
ward,euclidean,maxclust,15,0.2102
ward,euclidean,maxclust,16,0.2206
ward,euclidean,maxclust,17,0.2311
ward,euclidean,maxclust,18,0.2245
ward,euclidean,maxclust,19,0.2301
ward,euclidean,maxclust,20,0.2358
ward,euclidean,maxclust,21,0.2408
ward,euclidean,maxclust,22,0.2465
ward,euclidean,maxclust,23,0.2488
ward,euclidean,maxclust,24,0.2512
ward,euclidean,maxclust,25,0.2457
ward,euclidean,distance,5.0,0.2337
ward,euclidean,distance,10.0,0.2056
ward,euclidean,distance,15.0,0.1875
ward,euclidean,distance,20.0,0.1794
average,euclidean,maxclust,2,0.0697
average,euclidean,maxclust,3,0.0796
average,euclidean,maxclust,4,0.0862
average,euclidean,maxclust,5,0.092
average,euclidean,maxclust,6,0.1057
average,euclidean,maxclust,7,0.1222
average,euclidean,maxclust,8,0.1343
average,euclidean,maxclust,9,0.1441
average,euclidean,maxclust,10,0.1533
average,euclidean,maxclust,11,0.1618
average,euclidean,maxclust,12,0.1697
average,euclidean,maxclust,13,0.1669
average,euclidean,maxclust,14,0.1721
average,euclidean,maxclust,15,0.189
average,euclidean,maxclust,16,0.2006
average,euclidean,maxclust,17,0.212
average,euclidean,maxclust,18,0.2239
average,euclidean,maxclust,19,0.2234
average,euclidean,maxclust,20,0.2187
average,euclidean,maxclust,21,0.2255
average,euclidean,maxclust,22,0.2368
average,euclidean,maxclust,23,0.2478
average,euclidean,maxclust,24,0.2477
average,euclidean,maxclust,25,0.247
