linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0713
ward,euclidean,maxclust,3,0.083
ward,euclidean,maxclust,4,0.0775
ward,euclidean,maxclust,5,0.0816
ward,euclidean,maxclust,6,0.0982
ward,euclidean,maxclust,7,0.0983
ward,euclidean,maxclust,8,0.1151
ward,euclidean,maxclust,9,0.1298
ward,euclidean,maxclust,10,0.1422
ward,euclidean,maxclust,11,0.1536
ward,euclidean,maxclust,12,0.1593
ward,euclidean,maxclust,13,0.1697
ward,euclidean,maxclust,14,0.1792
ward,euclidean,maxclust,15,0.1878
ward,euclidean,maxclust,16,0.1923
ward,euclidean,maxclust,17,0.2033
ward,euclidean,maxclust,18,0.1982
ward,euclidean,maxclust,19,0.206
ward,euclidean,maxclust,20,0.2133
ward,euclidean,maxclust,21,0.2134
ward,euclidean,maxclust,22,0.2211
ward,euclidean,maxclust,23,0.2278
ward,euclidean,maxclust,24,0.2311
ward,euclidean,maxclust,25,0.2372
ward,euclidean,distance,5.0,0.2081
ward,euclidean,distance,10.0,0.1963
ward,euclidean,distance,15.0,0.1814
ward,euclidean,distance,20.0,0.1835
average,euclidean,maxclust,2,0.0716
average,euclidean,maxclust,3,0.0849
average,euclidean,maxclust,4,0.0921
average,euclidean,maxclust,5,0.1033
average,euclidean,maxclust,6,0.1139
average,euclidean,maxclust,7,0.1153
average,euclidean,maxclust,8,0.1297
average,euclidean,maxclust,9,0.1395
average,euclidean,maxclust,10,0.1469
average,euclidean,maxclust,11,0.1509
average,euclidean,maxclust,12,0.1568
average,euclidean,maxclust,13,0.1559
average,euclidean,maxclust,14,0.157
average,euclidean,maxclust,15,0.17
average,euclidean,maxclust,16,0.1797
average,euclidean,maxclust,17,0.1795
average,euclidean,maxclust,18,0.1923
average,euclidean,maxclust,19,0.1908
average,euclidean,maxclust,20,0.2038
average,euclidean,maxclust,21,0.2106
average,euclidean,maxclust,22,0.2213
average,euclidean,maxclust,23,0.2351
average,euclidean,maxclust,24,0.2332
average,euclidean,maxclust,25,0.2328
average,euclidean,distance,5.0,0.1791
average,euclidean,distance,10.0,0.2311
average,euclidean,distance,15.0,0.24
average,cityblock,maxclust,2,0.0483
average,cityblock,maxclust,3,0.0343
average,cityblock,maxclust,4,0.0201
average,cityblock,maxclust,5,0.0216
average,cityblock,maxclust,6,0.028
average,cityblock,maxclust,7,0.0272
average,cityblock,maxclust,8,0.0268
average,cityblock,maxclust,9,0.0282
average,cityblock,maxclust,10,0.0272
average,cityblock,maxclust,11,0.0245
average,cityblock,maxclust,12,0.0244
average,cityblock,maxclust,13,0.0241
average,cityblock,maxclust,14,0.0243
average,cityblock,maxclust,15,0.0233
average,cityblock,maxclust,16,0.0243
average,cityblock,maxclust,17,0.0245
average,cityblock,maxclust,18,0.0238
average,cityblock,maxclust,19,0.0237
average,cityblock,maxclust,20,0.0239
average,cityblock,maxclust,21,0.0232
