linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.09
ward,euclidean,maxclust,3,0.0934
ward,euclidean,maxclust,4,0.1122
ward,euclidean,maxclust,5,0.1195
ward,euclidean,maxclust,6,0.1258
ward,euclidean,maxclust,7,0.1353
ward,euclidean,maxclust,8,0.1455
ward,euclidean,maxclust,9,0.1588
ward,euclidean,maxclust,10,0.1739
ward,euclidean,maxclust,11,0.1891
ward,euclidean,maxclust,12,0.1981
ward,euclidean,maxclust,13,0.1953
ward,euclidean,maxclust,14,0.2041
ward,euclidean,maxclust,15,0.2088
ward,euclidean,maxclust,16,0.2158
ward,euclidean,maxclust,17,0.2194
ward,euclidean,maxclust,18,0.2269
ward,euclidean,maxclust,19,0.2264
ward,euclidean,maxclust,20,0.228
ward,euclidean,maxclust,21,0.2201
ward,euclidean,maxclust,22,0.2185
ward,euclidean,maxclust,23,0.2176
ward,euclidean,maxclust,24,0.2177
ward,euclidean,maxclust,25,0.2176
ward,euclidean,distance,5.0,0.1991
ward,euclidean,distance,10.0,0.1601
ward,euclidean,distance,15.0,0.1414
ward,euclidean,distance,20.0,0.1251
average,euclidean,maxclust,2,0.0942
average,euclidean,maxclust,3,0.1066
average,euclidean,maxclust,4,0.1255
average,euclidean,maxclust,5,0.1385
average,euclidean,maxclust,6,0.1263
average,euclidean,maxclust,7,0.1307
average,euclidean,maxclust,8,0.142
average,euclidean,maxclust,9,0.1507
average,euclidean,maxclust,10,0.1681
average,euclidean,maxclust,11,0.1854
average,euclidean,maxclust,12,0.2011
average,euclidean,maxclust,13,0.2003
average,euclidean,maxclust,14,0.1977
average,euclidean,maxclust,15,0.2083
average,euclidean,maxclust,16,0.2081
average,euclidean,maxclust,17,0.216
average,euclidean,maxclust,18,0.2119
average,euclidean,maxclust,19,0.2103
average,euclidean,maxclust,20,0.2094
average,euclidean,maxclust,21,0.2083
average,euclidean,maxclust,22,0.2067
average,euclidean,maxclust,23,0.2029
average,euclidean,maxclust,24,0.2087
average,euclidean,maxclust,25,0.2079
average,euclidean,distance,5.0,0.1682
average,euclidean,distance,10.0,0.1747
average,euclidean,distance,15.0,0.2029
average,cityblock,maxclust,2,0.0813
average,cityblock,maxclust,3,0.0938
average,cityblock,maxclust,4,0.1149
average,cityblock,maxclust,5,0.1039
average,cityblock,maxclust,6,0.1259
average,cityblock,maxclust,7,0.1155
average,cityblock,maxclust,8,0.1059
average,cityblock,maxclust,9,0.1009
average,cityblock,maxclust,10,0.1117
average,cityblock,maxclust,11,0.1322
average,cityblock,maxclust,12,0.125
average,cityblock,maxclust,13,0.1227
average,cityblock,maxclust,14,0.1422
average,cityblock,maxclust,15,0.1583
average,cityblock,maxclust,16,0.1748
average,cityblock,maxclust,17,0.1714
average,cityblock,maxclust,18,0.1695
average,cityblock,maxclust,19,0.1817
average,cityblock,maxclust,20,0.1831
average,cityblock,maxclust,21,0.1978
average,cityblock,maxclust,22,0.197
average,cityblock,maxclust,23,0.1958
average,cityblock,maxclust,24,0.195
average,cityblock,maxclust,25,0.1906
average,cityblock,distance,15.0,0.005
average,cityblock,distance,20.0,0.0463
average,cosine,maxclust,2,0.0943
