linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0873
ward,euclidean,maxclust,3,0.1026
ward,euclidean,maxclust,4,0.1124
ward,euclidean,maxclust,5,0.1204
ward,euclidean,maxclust,6,0.1331
ward,euclidean,maxclust,7,0.1384
ward,euclidean,maxclust,8,0.1469
ward,euclidean,maxclust,9,0.1559
ward,euclidean,maxclust,10,0.1629
ward,euclidean,maxclust,11,0.1698
ward,euclidean,maxclust,12,0.1771
ward,euclidean,maxclust,13,0.1869
ward,euclidean,maxclust,14,0.1959
ward,euclidean,maxclust,15,0.2057
ward,euclidean,maxclust,16,0.2057
ward,euclidean,maxclust,17,0.2094
ward,euclidean,maxclust,18,0.216
ward,euclidean,maxclust,19,0.2093
ward,euclidean,maxclust,20,0.2109
ward,euclidean,maxclust,21,0.2129
ward,euclidean,maxclust,22,0.2096
ward,euclidean,maxclust,23,0.2087
ward,euclidean,maxclust,24,0.2084
ward,euclidean,maxclust,25,0.2082
ward,euclidean,distance,5.0,0.1743
ward,euclidean,distance,10.0,0.1517
ward,euclidean,distance,15.0,0.1361
ward,euclidean,distance,20.0,0.1307
average,euclidean,maxclust,2,0.0923
average,euclidean,maxclust,3,0.1125
average,euclidean,maxclust,4,0.1276
average,euclidean,maxclust,5,0.1287
average,euclidean,maxclust,6,0.1157
average,euclidean,maxclust,7,0.1245
average,euclidean,maxclust,8,0.1405
average,euclidean,maxclust,9,0.1489
average,euclidean,maxclust,10,0.1442
average,euclidean,maxclust,11,0.1415
average,euclidean,maxclust,12,0.1373
average,euclidean,maxclust,13,0.1544
average,euclidean,maxclust,14,0.1727
average,euclidean,maxclust,15,0.1904
average,euclidean,maxclust,16,0.1982
average,euclidean,maxclust,17,0.2047
average,euclidean,maxclust,18,0.2023
average,euclidean,maxclust,19,0.203
average,euclidean,maxclust,20,0.1998
average,euclidean,maxclust,21,0.1991
average,euclidean,maxclust,22,0.197
average,euclidean,maxclust,23,0.1962
average,euclidean,maxclust,24,0.2011
average,euclidean,maxclust,25,0.2103
average,euclidean,distance,5.0,0.1493
average,euclidean,distance,10.0,0.1914
average,euclidean,distance,15.0,0.1962
average,cityblock,maxclust,2,0.0945
average,cityblock,maxclust,3,0.0999
average,cityblock,maxclust,4,0.1089
average,cityblock,maxclust,5,0.1216
average,cityblock,maxclust,6,0.1138
average,cityblock,maxclust,7,0.1282
average,cityblock,maxclust,8,0.1212
average,cityblock,maxclust,9,0.1311
average,cityblock,maxclust,10,0.1258
average,cityblock,maxclust,11,0.1371
average,cityblock,maxclust,12,0.134
average,cityblock,maxclust,13,0.1328
average,cityblock,maxclust,14,0.1459
average,cityblock,maxclust,15,0.1602
average,cityblock,maxclust,16,0.1745
average,cityblock,maxclust,17,0.1875
average,cityblock,maxclust,18,0.1871
average,cityblock,maxclust,19,0.2009
average,cityblock,maxclust,20,0.1988
average,cityblock,maxclust,21,0.1982
average,cityblock,maxclust,22,0.1974
average,cityblock,maxclust,23,0.2094
average,cityblock,maxclust,24,0.2088
average,cityblock,maxclust,25,0.2081
average,cityblock,distance,15.0,0.0049
average,cityblock,distance,20.0,0.0466
average,cosine,maxclust,2,0.095
average,cosine,maxclust,3,0.1076
average,cosine,maxclust,4,0.1249
average,cosine,maxclust,5,0.1074
average,cosine,maxclust,6,0.1109
average,cosine,maxclust,7,0.1222
average,cosine,maxclust,8,0.1338
average,cosine,maxclust,9,0.1329
average,cosine,maxclust,10,0.1299
average,cosine,maxclust,11,0.1421
average,cosine,maxclust,12,0.1531
average,cosine,maxclust,13,0.1525
average,cosine,maxclust,14,0.1515
average,cosine,maxclust,15,0.1673
average,cosine,maxclust,16,0.1822
average,cosine,maxclust,17,0.1953
average,cosine,maxclust,18,0.1937
average,cosine,maxclust,19,0.1905
average,cosine,maxclust,20,0.207
average,cosine,maxclust,21,0.2147
average,cosine,maxclust,22,0.2265
average,cosine,maxclust,23,0.2261
average,cosine,maxclust,24,0.2249
average,cosine,maxclust,25,0.2245
average,correlation,maxclust,2,0.095
average,correlation,maxclust,3,0.1076
average,correlation,maxclust,4,0.1249
average,correlation,maxclust,5,0.1074
average,correlation,maxclust,6,0.1109
average,correlation,maxclust,7,0.1222
average,correlation,maxclust,8,0.1338
average,correlation,maxclust,9,0.1329
average,correlation,maxclust,10,0.1299
average,correlation,maxclust,11,0.1421
average,correlation,maxclust,12,0.1531
average,correlation,maxclust,13,0.1525
average,correlation,maxclust,14,0.1515
average,correlation,maxclust,15,0.1673
average,correlation,maxclust,16,0.1822
average,correlation,maxclust,17,0.1953
average,correlation,maxclust,18,0.1937
average,correlation,maxclust,19,0.1905
average,correlation,maxclust,20,0.207
average,correlation,maxclust,21,0.2147
average,correlation,maxclust,22,0.2265
average,correlation,maxclust,23,0.2261
average,correlation,maxclust,24,0.2249
