linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.064
ward,euclidean,maxclust,3,0.07
ward,euclidean,maxclust,4,0.0767
ward,euclidean,maxclust,5,0.0819
ward,euclidean,maxclust,6,0.0867
ward,euclidean,maxclust,7,0.0954
ward,euclidean,maxclust,8,0.1034
ward,euclidean,maxclust,9,0.1114
ward,euclidean,maxclust,10,0.1206
ward,euclidean,maxclust,11,0.1303
ward,euclidean,maxclust,12,0.1387
ward,euclidean,maxclust,13,0.1443
ward,euclidean,maxclust,14,0.1494
ward,euclidean,maxclust,15,0.1554
ward,euclidean,maxclust,16,0.1604
ward,euclidean,maxclust,17,0.166
ward,euclidean,maxclust,18,0.1688
ward,euclidean,maxclust,19,0.1697
ward,euclidean,maxclust,20,0.17
ward,euclidean,maxclust,21,0.1705
ward,euclidean,maxclust,22,0.1752
ward,euclidean,maxclust,23,0.1761
ward,euclidean,maxclust,24,0.1761
ward,euclidean,maxclust,25,0.1745
ward,euclidean,distance,5.0,0.243
ward,euclidean,distance,10.0,0.2457
ward,euclidean,distance,15.0,0.2297
ward,euclidean,distance,20.0,0.23
average,euclidean,maxclust,2,0.0609
average,euclidean,maxclust,3,0.0659
average,euclidean,maxclust,4,0.0705
average,euclidean,maxclust,5,0.0782
average,euclidean,maxclust,6,0.0857
average,euclidean,maxclust,7,0.0949
average,euclidean,maxclust,8,0.1058
average,euclidean,maxclust,9,0.1154
average,euclidean,maxclust,10,0.1256
average,euclidean,maxclust,11,0.1348
average,euclidean,maxclust,12,0.1372
average,euclidean,maxclust,13,0.1436
average,euclidean,maxclust,14,0.1528
average,euclidean,maxclust,15,0.1593
average,euclidean,maxclust,16,0.165
average,euclidean,maxclust,17,0.1698
average,euclidean,maxclust,18,0.1745
average,euclidean,maxclust,19,0.177
average,euclidean,maxclust,20,0.1787
average,euclidean,maxclust,21,0.1725
average,euclidean,maxclust,22,0.1738
average,euclidean,maxclust,23,0.1745
average,euclidean,maxclust,24,0.1755
average,euclidean,maxclust,25,0.1753
average,euclidean,distance,5.0,0.2238
average,euclidean,distance,10.0,0.1614
average,euclidean,distance,15.0,0.1787
average,cityblock,maxclust,2,0.0072
average,cityblock,maxclust,3,-0.0259
average,cityblock,maxclust,4,-0.0012
average,cityblock,maxclust,5,0.0222
average,cityblock,maxclust,6,0.008
average,cityblock,maxclust,7,0.0215
average,cityblock,maxclust,8,0.0389
average,cityblock,maxclust,9,0.0215
average,cityblock,maxclust,10,0.04
average,cityblock,maxclust,11,0.0262
average,cityblock,maxclust,12,0.0429
average,cityblock,maxclust,13,0.061
average,cityblock,maxclust,14,0.0446
average,cityblock,maxclust,15,0.0366
average,cityblock,maxclust,16,0.0257
average,cityblock,maxclust,17,0.0166
average,cityblock,maxclust,18,0.0337
average,cityblock,maxclust,19,0.0506
average,cityblock,maxclust,20,0.0664
average,cityblock,maxclust,21,0.0772
average,cityblock,maxclust,22,0.0733
average,cityblock,maxclust,23,0.0854
average,cityblock,maxclust,24,0.0763
average,cityblock,maxclust,25,0.0751
average,cityblock,distance,10.0,0.0211
average,cityblock,distance,15.0,0.058
average,cityblock,distance,20.0,0.0783
average,cosine,maxclust,2,0.064
average,cosine,maxclust,3,0.0675
average,cosine,maxclust,4,0.0727
average,cosine,maxclust,5,0.0796
average,cosine,maxclust,6,0.0876
average,cosine,maxclust,7,0.0955
average,cosine,maxclust,8,0.1052
average,cosine,maxclust,9,0.1139
average,cosine,maxclust,10,0.1223
average,cosine,maxclust,11,0.1286
average,cosine,maxclust,12,0.131
average,cosine,maxclust,13,0.1401
average,cosine,maxclust,14,0.1496
average,cosine,maxclust,15,0.1571
average,cosine,maxclust,16,0.1647
average,cosine,maxclust,17,0.1713
average,cosine,maxclust,18,0.1748
average,cosine,maxclust,19,0.1775
average,cosine,maxclust,20,0.1779
average,cosine,maxclust,21,0.1775
average,cosine,maxclust,22,0.178
average,cosine,maxclust,23,0.1792
average,cosine,maxclust,24,0.1763
average,cosine,maxclust,25,0.1754
average,correlation,maxclust,2,0.064
average,correlation,maxclust,3,0.0675
average,correlation,maxclust,4,0.0727
average,correlation,maxclust,5,0.0796
average,correlation,maxclust,6,0.0876
average,correlation,maxclust,7,0.0955
average,correlation,maxclust,8,0.1052
average,correlation,maxclust,9,0.1139
average,correlation,maxclust,10,0.1223
average,correlation,maxclust,11,0.1286
average,correlation,maxclust,12,0.131
average,correlation,maxclust,13,0.1401
average,correlation,maxclust,14,0.1496
average,correlation,maxclust,15,0.1571
average,correlation,maxclust,16,0.1647
average,correlation,maxclust,17,0.1713
average,correlation,maxclust,18,0.1748
average,correlation,maxclust,19,0.1775
average,correlation,maxclust,20,0.1779
average,correlation,maxclust,21,0.1775
average,correlation,maxclust,22,0.178
average,correlation,maxclust,23,0.1792
average,correlation,maxclust,24,0.1763
average,correlation,maxclust,25,0.1754
complete,euclidean,maxclust,2,0.0149
complete,euclidean,maxclust,3,0.0371
complete,euclidean,maxclust,4,0.0325
complete,euclidean,maxclust,5,0.0412
complete,euclidean,maxclust,6,0.0391
complete,euclidean,maxclust,7,0.0297
complete,euclidean,maxclust,8,0.047
complete,euclidean,maxclust,9,0.0528
complete,euclidean,maxclust,10,0.0651
complete,euclidean,maxclust,11,0.0699
complete,euclidean,maxclust,12,0.0742
complete,euclidean,maxclust,13,0.0801
complete,euclidean,maxclust,14,0.0826
