linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0131
ward,euclidean,maxclust,3,0.0069
ward,euclidean,maxclust,4,0.0033
ward,euclidean,maxclust,5,0.0017
ward,euclidean,maxclust,6,-0.0005
ward,euclidean,maxclust,7,0.0006
ward,euclidean,maxclust,8,-0.0021
ward,euclidean,maxclust,9,-0.0045
ward,euclidean,maxclust,10,-0.0057
ward,euclidean,maxclust,11,-0.0071
ward,euclidean,maxclust,12,-0.0078
ward,euclidean,maxclust,13,-0.0075
ward,euclidean,maxclust,14,-0.0077
ward,euclidean,maxclust,15,-0.0069
ward,euclidean,maxclust,16,-0.0055
ward,euclidean,maxclust,17,-0.0056
ward,euclidean,maxclust,18,-0.007
ward,euclidean,maxclust,19,-0.0077
ward,euclidean,maxclust,20,-0.0072
ward,euclidean,maxclust,21,-0.0067
ward,euclidean,maxclust,22,-0.0057
ward,euclidean,maxclust,23,-0.0066
ward,euclidean,maxclust,24,-0.0056
ward,euclidean,maxclust,25,-0.0059
ward,euclidean,distance,5.0,0.0744
ward,euclidean,distance,10.0,0.1528
ward,euclidean,distance,15.0,0.162
ward,euclidean,distance,20.0,0.0957
average,euclidean,maxclust,2,0.0138
average,euclidean,maxclust,3,0.0091
average,euclidean,maxclust,4,0.0068
average,euclidean,maxclust,5,0.0057
average,euclidean,maxclust,6,0.0048
average,euclidean,maxclust,7,0.0037
average,euclidean,maxclust,8,0.0036
average,euclidean,maxclust,9,0.0035
average,euclidean,maxclust,10,0.0051
average,euclidean,maxclust,11,0.0052
average,euclidean,maxclust,12,0.0051
average,euclidean,maxclust,13,0.005
average,euclidean,maxclust,14,0.0049
average,euclidean,maxclust,15,0.0046
average,euclidean,maxclust,16,0.0045
average,euclidean,maxclust,17,0.0043
average,euclidean,maxclust,18,0.0046
average,euclidean,maxclust,19,0.0047
average,euclidean,maxclust,20,0.0045
average,euclidean,maxclust,21,0.0045
average,euclidean,maxclust,22,0.004
average,euclidean,maxclust,23,0.004
average,euclidean,maxclust,24,0.0041
average,euclidean,maxclust,25,0.004
average,euclidean,distance,5.0,0.0772
average,euclidean,distance,10.0,0.1497
average,euclidean,distance,15.0,0.0293
average,cityblock,maxclust,2,0.0085
average,cityblock,maxclust,3,0.0034
average,cityblock,maxclust,4,0.0042
average,cityblock,maxclust,5,0.0014
average,cityblock,maxclust,6,0.0009
average,cityblock,maxclust,7,-0.0019
average,cityblock,maxclust,8,-0.0033
average,cityblock,maxclust,9,-0.0047
average,cityblock,maxclust,10,-0.0039
average,cityblock,maxclust,11,-0.0007
average,cityblock,maxclust,12,-0.0005
average,cityblock,maxclust,13,-0.0002
average,cityblock,maxclust,14,-0.0005
average,cityblock,maxclust,15,-0.0015
average,cityblock,maxclust,16,-0.0007
average,cityblock,maxclust,17,-0.0008
average,cityblock,maxclust,18,-0.001
average,cityblock,maxclust,19,-0.001
average,cityblock,maxclust,20,-0.001
average,cityblock,maxclust,21,-0.0028
average,cityblock,maxclust,22,-0.0028
average,cityblock,maxclust,23,-0.0027
average,cityblock,maxclust,24,-0.0026
average,cityblock,maxclust,25,-0.0022
average,cityblock,distance,15.0,0.0004
average,cityblock,distance,20.0,0.0006
average,cosine,maxclust,2,0.0129
average,cosine,maxclust,3,0.0077
average,cosine,maxclust,4,0.0049
average,cosine,maxclust,5,0.0048
average,cosine,maxclust,6,0.005
average,cosine,maxclust,7,0.0051
average,cosine,maxclust,8,0.0056
average,cosine,maxclust,9,0.0056
average,cosine,maxclust,10,0.0055
average,cosine,maxclust,11,0.0053
average,cosine,maxclust,12,0.0052
average,cosine,maxclust,13,0.005
average,cosine,maxclust,14,0.0048
average,cosine,maxclust,15,0.0049
average,cosine,maxclust,16,0.005
average,cosine,maxclust,17,0.0049
average,cosine,maxclust,18,0.0048
average,cosine,maxclust,19,0.0047
average,cosine,maxclust,20,0.0046
average,cosine,maxclust,21,0.0045
average,cosine,maxclust,22,0.0046
average,cosine,maxclust,23,0.0053
average,cosine,maxclust,24,0.0053
average,cosine,maxclust,25,0.0048
average,correlation,maxclust,2,0.0129
average,correlation,maxclust,3,0.0077
average,correlation,maxclust,4,0.0049
average,correlation,maxclust,5,0.0048
average,correlation,maxclust,6,0.005
average,correlation,maxclust,7,0.0051
average,correlation,maxclust,8,0.0056
average,correlation,maxclust,9,0.0056
average,correlation,maxclust,10,0.0055
average,correlation,maxclust,11,0.0053
average,correlation,maxclust,12,0.0052
average,correlation,maxclust,13,0.005
average,correlation,maxclust,14,0.0048
average,correlation,maxclust,15,0.0049
average,correlation,maxclust,16,0.005
average,correlation,maxclust,17,0.0049
average,correlation,maxclust,18,0.0048
average,correlation,maxclust,19,0.0047
average,correlation,maxclust,20,0.0046
average,correlation,maxclust,21,0.0045
average,correlation,maxclust,22,0.0046
average,correlation,maxclust,23,0.0053
average,correlation,maxclust,24,0.0053
average,correlation,maxclust,25,0.0048
complete,euclidean,maxclust,2,0.0087
complete,euclidean,maxclust,3,0.0028
complete,euclidean,maxclust,4,0.0001
complete,euclidean,maxclust,5,-0.0016
complete,euclidean,maxclust,6,-0.0023
complete,euclidean,maxclust,7,-0.0023
complete,euclidean,maxclust,8,-0.0026
complete,euclidean,maxclust,9,-0.0033
complete,euclidean,maxclust,10,-0.0052
complete,euclidean,maxclust,11,-0.0061
complete,euclidean,maxclust,12,-0.0074
complete,euclidean,maxclust,13,-0.0075
complete,euclidean,maxclust,14,-0.0069
complete,euclidean,maxclust,15,-0.0069
complete,euclidean,maxclust,16,-0.0079
complete,euclidean,maxclust,17,-0.0096
complete,euclidean,maxclust,18,-0.0096
complete,euclidean,maxclust,19,-0.0106
complete,euclidean,maxclust,20,-0.0104
complete,euclidean,maxclust,21,-0.0102
complete,euclidean,maxclust,22,-0.0105
complete,euclidean,maxclust,23,-0.0104
complete,euclidean,maxclust,24,-0.0111
complete,euclidean,maxclust,25,-0.0106
complete,euclidean,distance,5.0,0.0735
complete,euclidean,distance,10.0,0.1464
complete,euclidean,distance,15.0,0.0537
complete,euclidean,distance,20.0,-0.0156
complete,cityblock,maxclust,2,0.0058
complete,cityblock,maxclust,3,0.0017
complete,cityblock,maxclust,4,-0.0018
complete,cityblock,maxclust,5,-0.0031
complete,cityblock,maxclust,6,-0.0049
complete,cityblock,maxclust,7,-0.0057
complete,cityblock,maxclust,8,-0.0043
complete,cityblock,maxclust,9,-0.0059
complete,cityblock,maxclust,10,-0.0053
complete,cityblock,maxclust,11,-0.006
complete,cityblock,maxclust,12,-0.006
complete,cityblock,maxclust,13,-0.0069
complete,cityblock,maxclust,14,-0.0076
complete,cityblock,maxclust,15,-0.0096
complete,cityblock,maxclust,16,-0.0093
complete,cityblock,maxclust,17,-0.0112
complete,cityblock,maxclust,18,-0.0127
complete,cityblock,maxclust,19,-0.0138
complete,cityblock,maxclust,20,-0.0137
complete,cityblock,maxclust,21,-0.0143
complete,cityblock,maxclust,22,-0.0153
complete,cityblock,maxclust,23,-0.0153
complete,cityblock,maxclust,24,-0.0149
complete,cityblock,maxclust,25,-0.0147
complete,cityblock,distance,15.0,0.0004
complete,cityblock,distance,20.0,0.0005
complete,cosine,maxclust,2,0.0044
complete,cosine,maxclust,3,0.0014
complete,cosine,maxclust,4,-0.0009
complete,cosine,maxclust,5,-0.003
complete,cosine,maxclust,6,-0.0048
complete,cosine,maxclust,7,-0.0037
complete,cosine,maxclust,8,-0.0044
complete,cosine,maxclust,9,-0.0068
complete,cosine,maxclust,10,-0.0069
complete,cosine,maxclust,11,-0.0073
complete,cosine,maxclust,12,-0.0074
complete,cosine,maxclust,13,-0.0075
complete,cosine,maxclust,14,-0.0074
complete,cosine,maxclust,15,-0.0074
complete,cosine,maxclust,16,-0.0074
complete,cosine,maxclust,17,-0.0072
complete,cosine,maxclust,18,-0.0078
complete,cosine,maxclust,19,-0.008
complete,cosine,maxclust,20,-0.0084
complete,cosine,maxclust,21,-0.0091
complete,cosine,maxclust,22,-0.0094
complete,cosine,maxclust,23,-0.0093
complete,cosine,maxclust,24,-0.0094
complete,cosine,maxclust,25,-0.0097
complete,correlation,maxclust,2,0.0044
complete,correlation,maxclust,3,0.0014
complete,correlation,maxclust,4,-0.0009
complete,correlation,maxclust,5,-0.003
complete,correlation,maxclust,6,-0.0048
complete,correlation,maxclust,7,-0.0037
complete,correlation,maxclust,8,-0.0044
complete,correlation,maxclust,9,-0.0068
complete,correlation,maxclust,10,-0.0069
complete,correlation,maxclust,11,-0.0073
complete,correlation,maxclust,12,-0.0074
complete,correlation,maxclust,13,-0.0075
complete,correlation,maxclust,14,-0.0074
complete,correlation,maxclust,15,-0.0074
complete,correlation,maxclust,16,-0.0074
complete,correlation,maxclust,17,-0.0072
complete,correlation,maxclust,18,-0.0078
complete,correlation,maxclust,19,-0.008
complete,correlation,maxclust,20,-0.0084
complete,correlation,maxclust,21,-0.0091
complete,correlation,maxclust,22,-0.0094
complete,correlation,maxclust,23,-0.0093
complete,correlation,maxclust,24,-0.0094
complete,correlation,maxclust,25,-0.0097
