linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1248
ward,euclidean,maxclust,3,0.1126
ward,euclidean,maxclust,4,0.1249
ward,euclidean,maxclust,5,0.1507
ward,euclidean,maxclust,6,0.1691
ward,euclidean,maxclust,7,0.1504
ward,euclidean,maxclust,8,0.1633
ward,euclidean,maxclust,9,0.1443
ward,euclidean,maxclust,10,0.1361
ward,euclidean,maxclust,11,0.1441
ward,euclidean,maxclust,12,0.1527
ward,euclidean,maxclust,13,0.1588
ward,euclidean,maxclust,14,0.1465
ward,euclidean,maxclust,15,0.1515
ward,euclidean,maxclust,16,0.1552
ward,euclidean,maxclust,17,0.1601
ward,euclidean,maxclust,18,0.164
ward,euclidean,maxclust,19,0.1651
ward,euclidean,maxclust,20,0.1663
ward,euclidean,maxclust,21,0.1687
ward,euclidean,maxclust,22,0.1686
ward,euclidean,maxclust,23,0.1717
ward,euclidean,maxclust,24,0.158
ward,euclidean,maxclust,25,0.144
ward,euclidean,distance,5.0,0.1378
ward,euclidean,distance,10.0,0.1032
ward,euclidean,distance,15.0,0.0909
ward,euclidean,distance,20.0,0.0796
average,euclidean,maxclust,2,0.1182
average,euclidean,maxclust,3,0.1261
average,euclidean,maxclust,4,0.1344
average,euclidean,maxclust,5,0.1548
average,euclidean,maxclust,6,0.1786
average,euclidean,maxclust,7,0.1708
average,euclidean,maxclust,8,0.1749
average,euclidean,maxclust,9,0.1793
average,euclidean,maxclust,10,0.1828
average,euclidean,maxclust,11,0.1831
average,euclidean,maxclust,12,0.1879
average,euclidean,maxclust,13,0.193
average,euclidean,maxclust,14,0.1985
average,euclidean,maxclust,15,0.2151
average,euclidean,maxclust,16,0.2148
average,euclidean,maxclust,17,0.1999
average,euclidean,maxclust,18,0.1992
average,euclidean,maxclust,19,0.1983
average,euclidean,maxclust,20,0.1984
average,euclidean,maxclust,21,0.1961
average,euclidean,maxclust,22,0.194
average,euclidean,maxclust,23,0.1928
average,euclidean,maxclust,24,0.1906
average,euclidean,maxclust,25,0.1911
average,euclidean,distance,5.0,0.0992
average,euclidean,distance,10.0,0.144
average,euclidean,distance,15.0,0.1895
average,cityblock,maxclust,2,0.1223
average,cityblock,maxclust,3,0.1246
average,cityblock,maxclust,4,0.1317
average,cityblock,maxclust,5,0.1434
average,cityblock,maxclust,6,0.1343
average,cityblock,maxclust,7,0.1583
average,cityblock,maxclust,8,0.1738
average,cityblock,maxclust,9,0.1777
average,cityblock,maxclust,10,0.1816
average,cityblock,maxclust,11,0.1776
average,cityblock,maxclust,12,0.1828
average,cityblock,maxclust,13,0.1862
average,cityblock,maxclust,14,0.2062
average,cityblock,maxclust,15,0.2033
average,cityblock,maxclust,16,0.2033
average,cityblock,maxclust,17,0.2059
average,cityblock,maxclust,18,0.2093
average,cityblock,maxclust,19,0.2122
average,cityblock,maxclust,20,0.2082
average,cityblock,maxclust,21,0.2054
average,cityblock,maxclust,22,0.2105
average,cityblock,maxclust,23,0.21
average,cityblock,maxclust,24,0.2085
average,cityblock,maxclust,25,0.2077
average,cosine,maxclust,2,0.126
average,cosine,maxclust,3,0.1214
average,cosine,maxclust,4,0.1302
average,cosine,maxclust,5,0.1499
average,cosine,maxclust,6,0.1678
average,cosine,maxclust,7,0.1816
average,cosine,maxclust,8,0.1873
average,cosine,maxclust,9,0.1927
average,cosine,maxclust,10,0.1923
average,cosine,maxclust,11,0.1966
average,cosine,maxclust,12,0.2011
average,cosine,maxclust,13,0.2005
average,cosine,maxclust,14,0.205
average,cosine,maxclust,15,0.2114
average,cosine,maxclust,16,0.2148
average,cosine,maxclust,17,0.2102
average,cosine,maxclust,18,0.2137
average,cosine,maxclust,19,0.2116
average,cosine,maxclust,20,0.2122
average,cosine,maxclust,21,0.2077
average,cosine,maxclust,22,0.2072
average,cosine,maxclust,23,0.2057
average,cosine,maxclust,24,0.2035
average,cosine,maxclust,25,0.2029
average,correlation,maxclust,2,0.126
average,correlation,maxclust,3,0.1214
average,correlation,maxclust,4,0.1302
average,correlation,maxclust,5,0.1499
average,correlation,maxclust,6,0.1678
average,correlation,maxclust,7,0.1816
average,correlation,maxclust,8,0.1873
average,correlation,maxclust,9,0.1927
average,correlation,maxclust,10,0.1923
average,correlation,maxclust,11,0.1966
average,correlation,maxclust,12,0.2011
average,correlation,maxclust,13,0.2005
average,correlation,maxclust,14,0.205
average,correlation,maxclust,15,0.2114
average,correlation,maxclust,16,0.2148
average,correlation,maxclust,17,0.2102
average,correlation,maxclust,18,0.2137
average,correlation,maxclust,19,0.2116
average,correlation,maxclust,20,0.2122
average,correlation,maxclust,21,0.2077
average,correlation,maxclust,22,0.2072
average,correlation,maxclust,23,0.2057
average,correlation,maxclust,24,0.2035
average,correlation,maxclust,25,0.2029
complete,euclidean,maxclust,2,0.1124
complete,euclidean,maxclust,3,0.118
complete,euclidean,maxclust,4,0.1177
complete,euclidean,maxclust,5,0.1054
complete,euclidean,maxclust,6,0.114
complete,euclidean,maxclust,7,0.092
complete,euclidean,maxclust,8,0.081
complete,euclidean,maxclust,9,0.0982
complete,euclidean,maxclust,10,0.09
complete,euclidean,maxclust,11,0.0906
complete,euclidean,maxclust,12,0.1045
complete,euclidean,maxclust,13,0.1265
complete,euclidean,maxclust,14,0.1298
complete,euclidean,maxclust,15,0.1321
complete,euclidean,maxclust,16,0.1369
complete,euclidean,maxclust,17,0.1372
complete,euclidean,maxclust,18,0.1374
complete,euclidean,maxclust,19,0.1418
complete,euclidean,maxclust,20,0.1414
complete,euclidean,maxclust,21,0.1346
complete,euclidean,maxclust,22,0.1354
complete,euclidean,maxclust,23,0.1364
complete,euclidean,maxclust,24,0.142
complete,euclidean,maxclust,25,0.128
complete,euclidean,distance,5.0,0.1212
complete,euclidean,distance,10.0,0.0898
complete,euclidean,distance,15.0,0.0887
complete,euclidean,distance,20.0,0.1265
complete,cityblock,maxclust,2,0.1035
complete,cityblock,maxclust,3,0.1236
complete,cityblock,maxclust,4,0.1105
complete,cityblock,maxclust,5,0.0968
complete,cityblock,maxclust,6,0.104
complete,cityblock,maxclust,7,0.1183
complete,cityblock,maxclust,8,0.106
complete,cityblock,maxclust,9,0.1041
complete,cityblock,maxclust,10,0.102
complete,cityblock,maxclust,11,0.1061
complete,cityblock,maxclust,12,0.0993
complete,cityblock,maxclust,13,0.1176
complete,cityblock,maxclust,14,0.1242
complete,cityblock,maxclust,15,0.1196
complete,cityblock,maxclust,16,0.1197
complete,cityblock,maxclust,17,0.1224
complete,cityblock,maxclust,18,0.1043
complete,cityblock,maxclust,19,0.1157
complete,cityblock,maxclust,20,0.1134
complete,cityblock,maxclust,21,0.1185
complete,cityblock,maxclust,22,0.1225
complete,cityblock,maxclust,23,0.1308
complete,cityblock,maxclust,24,0.1322
complete,cityblock,maxclust,25,0.1313
complete,cosine,maxclust,2,0.1124
complete,cosine,maxclust,3,0.118
complete,cosine,maxclust,4,0.1177
complete,cosine,maxclust,5,0.1054
complete,cosine,maxclust,6,0.114
complete,cosine,maxclust,7,0.092
complete,cosine,maxclust,8,0.081
complete,cosine,maxclust,9,0.0982
complete,cosine,maxclust,10,0.09
complete,cosine,maxclust,11,0.0906
complete,cosine,maxclust,12,0.1045
complete,cosine,maxclust,13,0.1265
complete,cosine,maxclust,14,0.1298
complete,cosine,maxclust,15,0.1321
complete,cosine,maxclust,16,0.1369
complete,cosine,maxclust,17,0.1372
complete,cosine,maxclust,18,0.1374
complete,cosine,maxclust,19,0.1418
complete,cosine,maxclust,20,0.1414
complete,cosine,maxclust,21,0.1346
complete,cosine,maxclust,22,0.1354
complete,cosine,maxclust,23,0.1364
complete,cosine,maxclust,24,0.142
complete,cosine,maxclust,25,0.128
complete,correlation,maxclust,2,0.1124
