linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1255
ward,euclidean,maxclust,3,0.1205
ward,euclidean,maxclust,4,0.1407
ward,euclidean,maxclust,5,0.1358
ward,euclidean,maxclust,6,0.1313
ward,euclidean,maxclust,7,0.1489
ward,euclidean,maxclust,8,0.1335
ward,euclidean,maxclust,9,0.1422
ward,euclidean,maxclust,10,0.1502
ward,euclidean,maxclust,11,0.1441
ward,euclidean,maxclust,12,0.1507
ward,euclidean,maxclust,13,0.145
ward,euclidean,maxclust,14,0.1519
ward,euclidean,maxclust,15,0.1578
ward,euclidean,maxclust,16,0.1638
ward,euclidean,maxclust,17,0.1668
ward,euclidean,maxclust,18,0.1704
ward,euclidean,maxclust,19,0.1749
ward,euclidean,maxclust,20,0.1786
ward,euclidean,maxclust,21,0.1796
ward,euclidean,maxclust,22,0.165
ward,euclidean,maxclust,23,0.1651
ward,euclidean,maxclust,24,0.166
ward,euclidean,maxclust,25,0.166
ward,euclidean,distance,5.0,0.0886
ward,euclidean,distance,10.0,0.0871
ward,euclidean,distance,15.0,0.08
ward,euclidean,distance,20.0,0.0868
average,euclidean,maxclust,2,0.1148
average,euclidean,maxclust,3,0.1258
average,euclidean,maxclust,4,0.1386
average,euclidean,maxclust,5,0.1567
average,euclidean,maxclust,6,0.1801
average,euclidean,maxclust,7,0.1831
average,euclidean,maxclust,8,0.1875
average,euclidean,maxclust,9,0.1837
average,euclidean,maxclust,10,0.1781
average,euclidean,maxclust,11,0.1796
average,euclidean,maxclust,12,0.1838
average,euclidean,maxclust,13,0.1895
average,euclidean,maxclust,14,0.1946
average,euclidean,maxclust,15,0.1973
average,euclidean,maxclust,16,0.2
average,euclidean,maxclust,17,0.1947
average,euclidean,maxclust,18,0.19
average,euclidean,maxclust,19,0.1861
average,euclidean,maxclust,20,0.1836
average,euclidean,maxclust,21,0.1974
average,euclidean,maxclust,22,0.1941
average,euclidean,maxclust,23,0.1939
average,euclidean,maxclust,24,0.1943
average,euclidean,maxclust,25,0.1949
average,euclidean,distance,5.0,0.0612
average,euclidean,distance,10.0,0.1783
average,euclidean,distance,15.0,0.1869
average,cityblock,maxclust,2,0.1167
average,cityblock,maxclust,3,0.1182
average,cityblock,maxclust,4,0.1282
average,cityblock,maxclust,5,0.1443
average,cityblock,maxclust,6,0.161
average,cityblock,maxclust,7,0.1761
average,cityblock,maxclust,8,0.1787
average,cityblock,maxclust,9,0.1834
average,cityblock,maxclust,10,0.1868
average,cityblock,maxclust,11,0.1914
average,cityblock,maxclust,12,0.1996
average,cityblock,maxclust,13,0.2015
average,cityblock,maxclust,14,0.2122
average,cityblock,maxclust,15,0.2145
average,cityblock,maxclust,16,0.2179
average,cityblock,maxclust,17,0.2187
average,cityblock,maxclust,18,0.2215
average,cityblock,maxclust,19,0.2216
average,cityblock,maxclust,20,0.2213
average,cityblock,maxclust,21,0.2207
average,cityblock,maxclust,22,0.2212
average,cityblock,maxclust,23,0.2225
average,cityblock,maxclust,24,0.2198
average,cityblock,maxclust,25,0.2198
average,cityblock,distance,20.0,0.0025
average,cosine,maxclust,2,0.1192
average,cosine,maxclust,3,0.1217
average,cosine,maxclust,4,0.1346
average,cosine,maxclust,5,0.1542
average,cosine,maxclust,6,0.1734
average,cosine,maxclust,7,0.1766
average,cosine,maxclust,8,0.181
average,cosine,maxclust,9,0.1825
average,cosine,maxclust,10,0.1856
average,cosine,maxclust,11,0.1883
average,cosine,maxclust,12,0.1916
average,cosine,maxclust,13,0.2049
average,cosine,maxclust,14,0.2076
average,cosine,maxclust,15,0.2032
average,cosine,maxclust,16,0.2079
average,cosine,maxclust,17,0.2115
average,cosine,maxclust,18,0.2121
average,cosine,maxclust,19,0.2111
average,cosine,maxclust,20,0.2249
average,cosine,maxclust,21,0.2247
average,cosine,maxclust,22,0.225
average,cosine,maxclust,23,0.2249
average,cosine,maxclust,24,0.2251
average,cosine,maxclust,25,0.2267
average,correlation,maxclust,2,0.1192
average,correlation,maxclust,3,0.1217
average,correlation,maxclust,4,0.1346
average,correlation,maxclust,5,0.1542
average,correlation,maxclust,6,0.1734
average,correlation,maxclust,7,0.1766
average,correlation,maxclust,8,0.181
average,correlation,maxclust,9,0.1825
average,correlation,maxclust,10,0.1856
average,correlation,maxclust,11,0.1883
average,correlation,maxclust,12,0.1916
average,correlation,maxclust,13,0.2049
average,correlation,maxclust,14,0.2076
average,correlation,maxclust,15,0.2032
average,correlation,maxclust,16,0.2079
average,correlation,maxclust,17,0.2115
average,correlation,maxclust,18,0.2121
average,correlation,maxclust,19,0.2111
average,correlation,maxclust,20,0.2249
average,correlation,maxclust,21,0.2247
average,correlation,maxclust,22,0.225
average,correlation,maxclust,23,0.2249
average,correlation,maxclust,24,0.2251
average,correlation,maxclust,25,0.2267
complete,euclidean,maxclust,2,0.1171
complete,euclidean,maxclust,3,0.1162
complete,euclidean,maxclust,4,0.0962
complete,euclidean,maxclust,5,0.0855
complete,euclidean,maxclust,6,0.0949
complete,euclidean,maxclust,7,0.1039
complete,euclidean,maxclust,8,0.1195
complete,euclidean,maxclust,9,0.1271
complete,euclidean,maxclust,10,0.1315
complete,euclidean,maxclust,11,0.1288
complete,euclidean,maxclust,12,0.1332
complete,euclidean,maxclust,13,0.1374
complete,euclidean,maxclust,14,0.125
complete,euclidean,maxclust,15,0.1362
complete,euclidean,maxclust,16,0.1504
complete,euclidean,maxclust,17,0.1588
complete,euclidean,maxclust,18,0.161
complete,euclidean,maxclust,19,0.141
complete,euclidean,maxclust,20,0.1415
complete,euclidean,maxclust,21,0.1393
complete,euclidean,maxclust,22,0.1416
complete,euclidean,maxclust,23,0.13
complete,euclidean,maxclust,24,0.1287
complete,euclidean,maxclust,25,0.1419
complete,euclidean,distance,5.0,0.0715
complete,euclidean,distance,10.0,0.1024
complete,euclidean,distance,15.0,0.1431
complete,euclidean,distance,20.0,0.161
complete,cityblock,maxclust,2,0.1165
complete,cityblock,maxclust,3,0.1178
complete,cityblock,maxclust,4,0.115
complete,cityblock,maxclust,5,0.1051
complete,cityblock,maxclust,6,0.0938
complete,cityblock,maxclust,7,0.0953
complete,cityblock,maxclust,8,0.0892
complete,cityblock,maxclust,9,0.0992
complete,cityblock,maxclust,10,0.1068
complete,cityblock,maxclust,11,0.116
complete,cityblock,maxclust,12,0.1199
complete,cityblock,maxclust,13,0.1369
complete,cityblock,maxclust,14,0.1276
complete,cityblock,maxclust,15,0.1454
complete,cityblock,maxclust,16,0.1463
complete,cityblock,maxclust,17,0.1578
complete,cityblock,maxclust,18,0.1605
complete,cityblock,maxclust,19,0.1668
complete,cityblock,maxclust,20,0.158
complete,cityblock,maxclust,21,0.1619
complete,cityblock,maxclust,22,0.1567
complete,cityblock,maxclust,23,0.1513
complete,cityblock,maxclust,24,0.154
complete,cityblock,maxclust,25,0.157
