linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1712
ward,euclidean,maxclust,3,0.1774
ward,euclidean,maxclust,4,0.1655
ward,euclidean,maxclust,5,0.1713
ward,euclidean,maxclust,6,0.1833
ward,euclidean,maxclust,7,0.2019
ward,euclidean,maxclust,8,0.214
ward,euclidean,maxclust,9,0.2002
ward,euclidean,maxclust,10,0.1861
ward,euclidean,maxclust,11,0.1965
ward,euclidean,maxclust,12,0.1821
ward,euclidean,maxclust,13,0.1821
ward,euclidean,maxclust,14,0.1813
ward,euclidean,maxclust,15,0.1781
ward,euclidean,maxclust,16,0.1569
ward,euclidean,maxclust,17,0.1583
ward,euclidean,maxclust,18,0.1422
ward,euclidean,maxclust,19,0.1299
ward,euclidean,maxclust,20,0.1129
ward,euclidean,maxclust,21,0.11
ward,euclidean,maxclust,22,0.1019
ward,euclidean,maxclust,23,0.0996
ward,euclidean,maxclust,24,0.102
ward,euclidean,maxclust,25,0.0986
ward,euclidean,distance,5.0,0.165
ward,euclidean,distance,10.0,0.1021
ward,euclidean,distance,15.0,0.0923
ward,euclidean,distance,20.0,0.0813
average,euclidean,maxclust,2,0.1631
average,euclidean,maxclust,3,0.1894
average,euclidean,maxclust,4,0.1868
average,euclidean,maxclust,5,0.1894
average,euclidean,maxclust,6,0.1996
average,euclidean,maxclust,7,0.2107
average,euclidean,maxclust,8,0.2321
average,euclidean,maxclust,9,0.229
average,euclidean,maxclust,10,0.2097
average,euclidean,maxclust,11,0.2076
average,euclidean,maxclust,12,0.2059
average,euclidean,maxclust,13,0.2054
average,euclidean,maxclust,14,0.2044
average,euclidean,maxclust,15,0.2009
average,euclidean,maxclust,16,0.2024
average,euclidean,maxclust,17,0.1976
average,euclidean,maxclust,18,0.2107
average,euclidean,maxclust,19,0.2091
average,euclidean,maxclust,20,0.2053
average,euclidean,maxclust,21,0.2065
average,euclidean,maxclust,22,0.2064
average,euclidean,maxclust,23,0.2053
average,euclidean,maxclust,24,0.205
average,euclidean,maxclust,25,0.2036
average,euclidean,distance,5.0,0.1181
average,euclidean,distance,10.0,0.1669
average,euclidean,distance,15.0,0.2044
average,cityblock,maxclust,2,0.1721
average,cityblock,maxclust,3,0.1865
average,cityblock,maxclust,4,0.186
average,cityblock,maxclust,5,0.1963
average,cityblock,maxclust,6,0.1898
average,cityblock,maxclust,7,0.2032
average,cityblock,maxclust,8,0.2055
average,cityblock,maxclust,9,0.2337
average,cityblock,maxclust,10,0.2318
average,cityblock,maxclust,11,0.231
average,cityblock,maxclust,12,0.2329
average,cityblock,maxclust,13,0.2322
average,cityblock,maxclust,14,0.2331
average,cityblock,maxclust,15,0.2282
average,cityblock,maxclust,16,0.2284
average,cityblock,maxclust,17,0.2256
average,cityblock,maxclust,18,0.2254
average,cityblock,maxclust,19,0.2239
average,cityblock,maxclust,20,0.2206
average,cityblock,maxclust,21,0.218
average,cityblock,maxclust,22,0.2143
average,cityblock,maxclust,23,0.2104
average,cityblock,maxclust,24,0.2087
average,cityblock,maxclust,25,0.2073
average,cosine,maxclust,2,0.1718
average,cosine,maxclust,3,0.1722
average,cosine,maxclust,4,0.1844
average,cosine,maxclust,5,0.2001
average,cosine,maxclust,6,0.2203
average,cosine,maxclust,7,0.2228
average,cosine,maxclust,8,0.2341
average,cosine,maxclust,9,0.2295
average,cosine,maxclust,10,0.2234
average,cosine,maxclust,11,0.2201
average,cosine,maxclust,12,0.2198
average,cosine,maxclust,13,0.2176
average,cosine,maxclust,14,0.2116
average,cosine,maxclust,15,0.2097
average,cosine,maxclust,16,0.2094
average,cosine,maxclust,17,0.2082
average,cosine,maxclust,18,0.2015
average,cosine,maxclust,19,0.1958
average,cosine,maxclust,20,0.1929
average,cosine,maxclust,21,0.2007
average,cosine,maxclust,22,0.1989
average,cosine,maxclust,23,0.1987
average,cosine,maxclust,24,0.1983
average,cosine,maxclust,25,0.2095
average,correlation,maxclust,2,0.1718
average,correlation,maxclust,3,0.1722
average,correlation,maxclust,4,0.1844
average,correlation,maxclust,5,0.2001
average,correlation,maxclust,6,0.2203
average,correlation,maxclust,7,0.2228
average,correlation,maxclust,8,0.2341
average,correlation,maxclust,9,0.2295
average,correlation,maxclust,10,0.2234
average,correlation,maxclust,11,0.2201
average,correlation,maxclust,12,0.2198
average,correlation,maxclust,13,0.2176
average,correlation,maxclust,14,0.2116
average,correlation,maxclust,15,0.2097
average,correlation,maxclust,16,0.2094
