linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1564
ward,euclidean,maxclust,3,0.1699
ward,euclidean,maxclust,4,0.174
ward,euclidean,maxclust,5,0.1905
ward,euclidean,maxclust,6,0.1712
ward,euclidean,maxclust,7,0.1912
ward,euclidean,maxclust,8,0.2075
ward,euclidean,maxclust,9,0.1878
ward,euclidean,maxclust,10,0.1952
ward,euclidean,maxclust,11,0.1814
ward,euclidean,maxclust,12,0.1915
ward,euclidean,maxclust,13,0.1986
ward,euclidean,maxclust,14,0.1918
ward,euclidean,maxclust,15,0.1971
ward,euclidean,maxclust,16,0.1824
ward,euclidean,maxclust,17,0.1805
ward,euclidean,maxclust,18,0.1836
ward,euclidean,maxclust,19,0.1646
ward,euclidean,maxclust,20,0.1491
ward,euclidean,maxclust,21,0.1499
ward,euclidean,maxclust,22,0.1408
ward,euclidean,maxclust,23,0.144
ward,euclidean,maxclust,24,0.1407
ward,euclidean,maxclust,25,0.137
ward,euclidean,distance,5.0,0.1065
ward,euclidean,distance,10.0,0.0831
ward,euclidean,distance,15.0,0.0803
ward,euclidean,distance,20.0,0.0929
average,euclidean,maxclust,2,0.1604
average,euclidean,maxclust,3,0.1887
average,euclidean,maxclust,4,0.1794
average,euclidean,maxclust,5,0.1792
average,euclidean,maxclust,6,0.1835
average,euclidean,maxclust,7,0.1913
average,euclidean,maxclust,8,0.1929
average,euclidean,maxclust,9,0.1922
average,euclidean,maxclust,10,0.1923
average,euclidean,maxclust,11,0.1906
average,euclidean,maxclust,12,0.1865
average,euclidean,maxclust,13,0.1828
average,euclidean,maxclust,14,0.1805
average,euclidean,maxclust,15,0.1797
average,euclidean,maxclust,16,0.1957
average,euclidean,maxclust,17,0.1899
average,euclidean,maxclust,18,0.1904
average,euclidean,maxclust,19,0.1895
average,euclidean,maxclust,20,0.1876
average,euclidean,maxclust,21,0.2094
average,euclidean,maxclust,22,0.2087
average,euclidean,maxclust,23,0.2095
average,euclidean,maxclust,24,0.2064
average,euclidean,maxclust,25,0.2075
average,euclidean,distance,5.0,0.0736
average,euclidean,distance,10.0,0.2041
average,euclidean,distance,15.0,0.2034
average,cityblock,maxclust,2,0.163
average,cityblock,maxclust,3,0.1755
average,cityblock,maxclust,4,0.1732
average,cityblock,maxclust,5,0.1759
average,cityblock,maxclust,6,0.1812
average,cityblock,maxclust,7,0.1928
average,cityblock,maxclust,8,0.2092
average,cityblock,maxclust,9,0.2092
average,cityblock,maxclust,10,0.2205
average,cityblock,maxclust,11,0.2208
average,cityblock,maxclust,12,0.2247
average,cityblock,maxclust,13,0.2361
average,cityblock,maxclust,14,0.2363
average,cityblock,maxclust,15,0.2364
average,cityblock,maxclust,16,0.2394
average,cityblock,maxclust,17,0.2399
average,cityblock,maxclust,18,0.2404
average,cityblock,maxclust,19,0.2403
average,cityblock,maxclust,20,0.2404
average,cityblock,maxclust,21,0.2415
average,cityblock,maxclust,22,0.2441
average,cityblock,maxclust,23,0.2441
average,cityblock,maxclust,24,0.2444
average,cityblock,maxclust,25,0.2441
average,cityblock,distance,20.0,0.003
average,cosine,maxclust,2,0.1582
average,cosine,maxclust,3,0.1724
average,cosine,maxclust,4,0.1704
average,cosine,maxclust,5,0.1803
average,cosine,maxclust,6,0.1843
average,cosine,maxclust,7,0.1829
average,cosine,maxclust,8,0.1971
average,cosine,maxclust,9,0.2136
average,cosine,maxclust,10,0.225
average,cosine,maxclust,11,0.2278
average,cosine,maxclust,12,0.2289
average,cosine,maxclust,13,0.229
average,cosine,maxclust,14,0.2415
average,cosine,maxclust,15,0.2419
average,cosine,maxclust,16,0.2418
average,cosine,maxclust,17,0.2426
average,cosine,maxclust,18,0.2429
average,cosine,maxclust,19,0.2427
average,cosine,maxclust,20,0.2425
average,cosine,maxclust,21,0.2428
average,cosine,maxclust,22,0.243
average,cosine,maxclust,23,0.2431
average,cosine,maxclust,24,0.2445
average,cosine,maxclust,25,0.2446
average,correlation,maxclust,2,0.1582
average,correlation,maxclust,3,0.1724
average,correlation,maxclust,4,0.1704
average,correlation,maxclust,5,0.1803
average,correlation,maxclust,6,0.1843
average,correlation,maxclust,7,0.1829
average,correlation,maxclust,8,0.1971
average,correlation,maxclust,9,0.2136
average,correlation,maxclust,10,0.225
average,correlation,maxclust,11,0.2278
average,correlation,maxclust,12,0.2289
average,correlation,maxclust,13,0.229
average,correlation,maxclust,14,0.2415
average,correlation,maxclust,15,0.2419
average,correlation,maxclust,16,0.2418
average,correlation,maxclust,17,0.2426
average,correlation,maxclust,18,0.2429
average,correlation,maxclust,19,0.2427
average,correlation,maxclust,20,0.2425
average,correlation,maxclust,21,0.2428
average,correlation,maxclust,22,0.243
average,correlation,maxclust,23,0.2431
average,correlation,maxclust,24,0.2445
average,correlation,maxclust,25,0.2446
complete,euclidean,maxclust,2,0.151
complete,euclidean,maxclust,3,0.1665
complete,euclidean,maxclust,4,0.1754
complete,euclidean,maxclust,5,0.1427
complete,euclidean,maxclust,6,0.1184
complete,euclidean,maxclust,7,0.1193
complete,euclidean,maxclust,8,0.1084
complete,euclidean,maxclust,9,0.1284
complete,euclidean,maxclust,10,0.1476
complete,euclidean,maxclust,11,0.1461
complete,euclidean,maxclust,12,0.1476
complete,euclidean,maxclust,13,0.1522
complete,euclidean,maxclust,14,0.1617
complete,euclidean,maxclust,15,0.1593
complete,euclidean,maxclust,16,0.1591
complete,euclidean,maxclust,17,0.1593
complete,euclidean,maxclust,18,0.1524
complete,euclidean,maxclust,19,0.1501
complete,euclidean,maxclust,20,0.1505
complete,euclidean,maxclust,21,0.1531
complete,euclidean,maxclust,22,0.1547
complete,euclidean,maxclust,23,0.1547
complete,euclidean,maxclust,24,0.156
complete,euclidean,maxclust,25,0.1568
complete,euclidean,distance,5.0,0.086
complete,euclidean,distance,10.0,0.1065
complete,euclidean,distance,15.0,0.1746
complete,euclidean,distance,20.0,0.1522
complete,cityblock,maxclust,2,0.1389
complete,cityblock,maxclust,3,0.1757
complete,cityblock,maxclust,4,0.1789
complete,cityblock,maxclust,5,0.1545
complete,cityblock,maxclust,6,0.1457
complete,cityblock,maxclust,7,0.1481
complete,cityblock,maxclust,8,0.1412
complete,cityblock,maxclust,9,0.1398
complete,cityblock,maxclust,10,0.1285
complete,cityblock,maxclust,11,0.1112
complete,cityblock,maxclust,12,0.1166
complete,cityblock,maxclust,13,0.1195
complete,cityblock,maxclust,14,0.121
complete,cityblock,maxclust,15,0.13
complete,cityblock,maxclust,16,0.1373
complete,cityblock,maxclust,17,0.1381
complete,cityblock,maxclust,18,0.152
