linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0682
ward,euclidean,maxclust,3,0.0702
ward,euclidean,maxclust,4,0.0777
ward,euclidean,maxclust,5,0.0935
ward,euclidean,maxclust,6,0.1049
ward,euclidean,maxclust,7,0.1148
ward,euclidean,maxclust,8,0.1247
ward,euclidean,maxclust,9,0.1371
ward,euclidean,maxclust,10,0.1455
ward,euclidean,maxclust,11,0.1546
ward,euclidean,maxclust,12,0.1621
ward,euclidean,maxclust,13,0.1672
ward,euclidean,maxclust,14,0.1646
ward,euclidean,maxclust,15,0.1626
ward,euclidean,maxclust,16,0.1661
ward,euclidean,maxclust,17,0.1673
ward,euclidean,maxclust,18,0.1667
ward,euclidean,maxclust,19,0.1663
ward,euclidean,maxclust,20,0.1658
ward,euclidean,maxclust,21,0.1646
ward,euclidean,maxclust,22,0.1607
ward,euclidean,maxclust,23,0.1538
ward,euclidean,maxclust,24,0.1495
ward,euclidean,maxclust,25,0.1444
ward,euclidean,distance,10.0,0.0488
ward,euclidean,distance,15.0,0.0544
ward,euclidean,distance,20.0,0.0594
average,euclidean,maxclust,2,0.0799
average,euclidean,maxclust,3,0.0767
average,euclidean,maxclust,4,0.0878
average,euclidean,maxclust,5,0.1051
average,euclidean,maxclust,6,0.1184
average,euclidean,maxclust,7,0.126
average,euclidean,maxclust,8,0.136
average,euclidean,maxclust,9,0.1411
average,euclidean,maxclust,10,0.1485
average,euclidean,maxclust,11,0.1583
average,euclidean,maxclust,12,0.1617
average,euclidean,maxclust,13,0.1662
average,euclidean,maxclust,14,0.1681
average,euclidean,maxclust,15,0.1722
average,euclidean,maxclust,16,0.1741
average,euclidean,maxclust,17,0.175
average,euclidean,maxclust,18,0.176
average,euclidean,maxclust,19,0.1741
average,euclidean,maxclust,20,0.1741
average,euclidean,maxclust,21,0.1729
average,euclidean,maxclust,22,0.1701
average,euclidean,maxclust,23,0.1692
average,euclidean,maxclust,24,0.1685
average,euclidean,maxclust,25,0.1676
average,euclidean,distance,10.0,0.0782
average,euclidean,distance,15.0,0.1741
average,cityblock,maxclust,2,0.0681
average,cityblock,maxclust,3,0.0689
average,cityblock,maxclust,4,0.0816
average,cityblock,maxclust,5,0.101
average,cityblock,maxclust,6,0.1146
average,cityblock,maxclust,7,0.132
average,cityblock,maxclust,8,0.1364
average,cityblock,maxclust,9,0.1453
average,cityblock,maxclust,10,0.1522
average,cityblock,maxclust,11,0.1616
average,cityblock,maxclust,12,0.1654
average,cityblock,maxclust,13,0.171
average,cityblock,maxclust,14,0.1709
average,cityblock,maxclust,15,0.1758
average,cityblock,maxclust,16,0.1725
average,cityblock,maxclust,17,0.1683
average,cityblock,maxclust,18,0.1727
average,cityblock,maxclust,19,0.1692
average,cityblock,maxclust,20,0.1717
average,cityblock,maxclust,21,0.1701
average,cityblock,maxclust,22,0.1748
average,cityblock,maxclust,23,0.1741
average,cityblock,maxclust,24,0.1712
average,cityblock,maxclust,25,0.1702
average,cosine,maxclust,2,0.071
average,cosine,maxclust,3,0.0759
average,cosine,maxclust,4,0.0835
average,cosine,maxclust,5,0.1011
average,cosine,maxclust,6,0.1155
average,cosine,maxclust,7,0.1339
average,cosine,maxclust,8,0.1435
average,cosine,maxclust,9,0.1467
average,cosine,maxclust,10,0.1527
average,cosine,maxclust,11,0.1593
average,cosine,maxclust,12,0.165
average,cosine,maxclust,13,0.1719
average,cosine,maxclust,14,0.1801
average,cosine,maxclust,15,0.1797
average,cosine,maxclust,16,0.1793
average,cosine,maxclust,17,0.1727
average,cosine,maxclust,18,0.1683
average,cosine,maxclust,19,0.167
average,cosine,maxclust,20,0.1651
average,cosine,maxclust,21,0.1615
average,cosine,maxclust,22,0.161
average,cosine,maxclust,23,0.1597
average,cosine,maxclust,24,0.1577
average,cosine,maxclust,25,0.1598
average,correlation,maxclust,2,0.071
average,correlation,maxclust,3,0.0759
average,correlation,maxclust,4,0.0835
average,correlation,maxclust,5,0.1011
average,correlation,maxclust,6,0.1155
average,correlation,maxclust,7,0.1339
average,correlation,maxclust,8,0.1435
average,correlation,maxclust,9,0.1467
average,correlation,maxclust,10,0.1527
average,correlation,maxclust,11,0.1593
average,correlation,maxclust,12,0.165
average,correlation,maxclust,13,0.1719
average,correlation,maxclust,14,0.1801
average,correlation,maxclust,15,0.1797
average,correlation,maxclust,16,0.1793
average,correlation,maxclust,17,0.1727
average,correlation,maxclust,18,0.1683
average,correlation,maxclust,19,0.167
average,correlation,maxclust,20,0.1651
average,correlation,maxclust,21,0.1615
average,correlation,maxclust,22,0.161
average,correlation,maxclust,23,0.1597
average,correlation,maxclust,24,0.1577
average,correlation,maxclust,25,0.1598
complete,euclidean,maxclust,2,0.0619
complete,euclidean,maxclust,3,0.0566
complete,euclidean,maxclust,4,0.0503
complete,euclidean,maxclust,5,0.0584
complete,euclidean,maxclust,6,0.0598
complete,euclidean,maxclust,7,0.062
complete,euclidean,maxclust,8,0.0599
complete,euclidean,maxclust,9,0.057
complete,euclidean,maxclust,10,0.0643
complete,euclidean,maxclust,11,0.075
complete,euclidean,maxclust,12,0.0849
complete,euclidean,maxclust,13,0.0879
complete,euclidean,maxclust,14,0.0878
complete,euclidean,maxclust,15,0.1034
complete,euclidean,maxclust,16,0.1058
complete,euclidean,maxclust,17,0.1105
complete,euclidean,maxclust,18,0.1261
complete,euclidean,maxclust,19,0.1259
complete,euclidean,maxclust,20,0.1242
complete,euclidean,maxclust,21,0.1305
complete,euclidean,maxclust,22,0.135
complete,euclidean,maxclust,23,0.1329
complete,euclidean,maxclust,24,0.1358
complete,euclidean,maxclust,25,0.1361
complete,euclidean,distance,10.0,0.0466
complete,euclidean,distance,15.0,0.0835
complete,euclidean,distance,20.0,0.0643
complete,cityblock,maxclust,2,0.0499
complete,cityblock,maxclust,3,0.0436
complete,cityblock,maxclust,4,0.0477
complete,cityblock,maxclust,5,0.0611
complete,cityblock,maxclust,6,0.0753
complete,cityblock,maxclust,7,0.0756
complete,cityblock,maxclust,8,0.0812
complete,cityblock,maxclust,9,0.0856
complete,cityblock,maxclust,10,0.0972
complete,cityblock,maxclust,11,0.0998
complete,cityblock,maxclust,12,0.1121
complete,cityblock,maxclust,13,0.1151
complete,cityblock,maxclust,14,0.1063
complete,cityblock,maxclust,15,0.0991
complete,cityblock,maxclust,16,0.1067
complete,cityblock,maxclust,17,0.1146
complete,cityblock,maxclust,18,0.1266
complete,cityblock,maxclust,19,0.1329
complete,cityblock,maxclust,20,0.1466
complete,cityblock,maxclust,21,0.1424
complete,cityblock,maxclust,22,0.1488
complete,cityblock,maxclust,23,0.1515
complete,cityblock,maxclust,24,0.148
complete,cityblock,maxclust,25,0.1464
complete,cosine,maxclust,2,0.0619
complete,cosine,maxclust,3,0.0566
complete,cosine,maxclust,4,0.0503
complete,cosine,maxclust,5,0.0584
complete,cosine,maxclust,6,0.0598
complete,cosine,maxclust,7,0.062
complete,cosine,maxclust,8,0.0599
complete,cosine,maxclust,9,0.057
complete,cosine,maxclust,10,0.0643
complete,cosine,maxclust,11,0.075
complete,cosine,maxclust,12,0.0849
complete,cosine,maxclust,13,0.0879
complete,cosine,maxclust,14,0.0878
complete,cosine,maxclust,15,0.1034
complete,cosine,maxclust,16,0.1058
complete,cosine,maxclust,17,0.1105
complete,cosine,maxclust,18,0.1261
complete,cosine,maxclust,19,0.1259
