linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1186
ward,euclidean,maxclust,3,0.1117
ward,euclidean,maxclust,4,0.112
ward,euclidean,maxclust,5,0.1243
ward,euclidean,maxclust,6,0.1364
ward,euclidean,maxclust,7,0.1476
ward,euclidean,maxclust,8,0.1652
ward,euclidean,maxclust,9,0.1699
ward,euclidean,maxclust,10,0.1579
ward,euclidean,maxclust,11,0.1585
ward,euclidean,maxclust,12,0.1566
ward,euclidean,maxclust,13,0.1463
ward,euclidean,maxclust,14,0.1363
ward,euclidean,maxclust,15,0.1412
ward,euclidean,maxclust,16,0.1346
ward,euclidean,maxclust,17,0.1281
ward,euclidean,maxclust,18,0.1161
ward,euclidean,maxclust,19,0.106
ward,euclidean,maxclust,20,0.102
ward,euclidean,maxclust,21,0.0967
ward,euclidean,maxclust,22,0.0901
ward,euclidean,maxclust,23,0.0853
ward,euclidean,maxclust,24,0.0786
ward,euclidean,maxclust,25,0.0764
ward,euclidean,distance,5.0,0.002
ward,euclidean,distance,10.0,0.0726
ward,euclidean,distance,15.0,0.0564
ward,euclidean,distance,20.0,0.0497
average,euclidean,maxclust,2,0.1274
average,euclidean,maxclust,3,0.1178
average,euclidean,maxclust,4,0.128
average,euclidean,maxclust,5,0.1381
average,euclidean,maxclust,6,0.1555
average,euclidean,maxclust,7,0.1761
average,euclidean,maxclust,8,0.1947
average,euclidean,maxclust,9,0.1895
average,euclidean,maxclust,10,0.1789
average,euclidean,maxclust,11,0.1704
average,euclidean,maxclust,12,0.1631
average,euclidean,maxclust,13,0.1655
average,euclidean,maxclust,14,0.1691
average,euclidean,maxclust,15,0.1673
average,euclidean,maxclust,16,0.1623
average,euclidean,maxclust,17,0.1613
average,euclidean,maxclust,18,0.1531
average,euclidean,maxclust,19,0.1488
average,euclidean,maxclust,20,0.146
average,euclidean,maxclust,21,0.1428
average,euclidean,maxclust,22,0.1417
average,euclidean,maxclust,23,0.1401
average,euclidean,maxclust,24,0.1389
average,euclidean,maxclust,25,0.1384
average,euclidean,distance,5.0,0.002
average,euclidean,distance,10.0,0.0547
average,euclidean,distance,15.0,0.1631
average,cityblock,maxclust,2,0.1321
average,cityblock,maxclust,3,0.1386
average,cityblock,maxclust,4,0.1457
average,cityblock,maxclust,5,0.1669
average,cityblock,maxclust,6,0.18
average,cityblock,maxclust,7,0.183
average,cityblock,maxclust,8,0.1827
average,cityblock,maxclust,9,0.1753
average,cityblock,maxclust,10,0.1803
average,cityblock,maxclust,11,0.1765
average,cityblock,maxclust,12,0.1755
average,cityblock,maxclust,13,0.17
average,cityblock,maxclust,14,0.1669
average,cityblock,maxclust,15,0.1609
average,cityblock,maxclust,16,0.1578
average,cityblock,maxclust,17,0.1567
average,cityblock,maxclust,18,0.1562
average,cityblock,maxclust,19,0.1517
average,cityblock,maxclust,20,0.1512
average,cityblock,maxclust,21,0.1478
average,cityblock,maxclust,22,0.1479
average,cityblock,maxclust,23,0.1444
average,cityblock,maxclust,24,0.1445
average,cityblock,maxclust,25,0.1413
average,cosine,maxclust,2,0.1206
average,cosine,maxclust,3,0.1317
average,cosine,maxclust,4,0.1273
average,cosine,maxclust,5,0.1509
average,cosine,maxclust,6,0.1733
average,cosine,maxclust,7,0.1902
average,cosine,maxclust,8,0.194
average,cosine,maxclust,9,0.1832
average,cosine,maxclust,10,0.178
average,cosine,maxclust,11,0.1741
average,cosine,maxclust,12,0.1719
average,cosine,maxclust,13,0.1685
average,cosine,maxclust,14,0.1616
average,cosine,maxclust,15,0.1606
average,cosine,maxclust,16,0.1583
average,cosine,maxclust,17,0.1558
average,cosine,maxclust,18,0.1527
average,cosine,maxclust,19,0.1497
average,cosine,maxclust,20,0.1492
average,cosine,maxclust,21,0.145
average,cosine,maxclust,22,0.1489
average,cosine,maxclust,23,0.1479
average,cosine,maxclust,24,0.1459
average,cosine,maxclust,25,0.1453
average,correlation,maxclust,2,0.1206
average,correlation,maxclust,3,0.1317
average,correlation,maxclust,4,0.1273
average,correlation,maxclust,5,0.1509
average,correlation,maxclust,6,0.1733
average,correlation,maxclust,7,0.1902
average,correlation,maxclust,8,0.194
average,correlation,maxclust,9,0.1832
average,correlation,maxclust,10,0.178
average,correlation,maxclust,11,0.1741
average,correlation,maxclust,12,0.1719
average,correlation,maxclust,13,0.1685
average,correlation,maxclust,14,0.1616
average,correlation,maxclust,15,0.1606
average,correlation,maxclust,16,0.1583
average,correlation,maxclust,17,0.1558
average,correlation,maxclust,18,0.1527
average,correlation,maxclust,19,0.1497
average,correlation,maxclust,20,0.1492
average,correlation,maxclust,21,0.145
average,correlation,maxclust,22,0.1489
average,correlation,maxclust,23,0.1479
average,correlation,maxclust,24,0.1459
average,correlation,maxclust,25,0.1453
complete,euclidean,maxclust,2,0.1188
complete,euclidean,maxclust,3,0.1125
complete,euclidean,maxclust,4,0.1011
complete,euclidean,maxclust,5,0.1037
complete,euclidean,maxclust,6,0.1021
complete,euclidean,maxclust,7,0.1057
complete,euclidean,maxclust,8,0.1202
complete,euclidean,maxclust,9,0.1264
complete,euclidean,maxclust,10,0.1371
complete,euclidean,maxclust,11,0.1512
complete,euclidean,maxclust,12,0.164
complete,euclidean,maxclust,13,0.1574
complete,euclidean,maxclust,14,0.153
complete,euclidean,maxclust,15,0.1395
complete,euclidean,maxclust,16,0.1315
complete,euclidean,maxclust,17,0.1208
complete,euclidean,maxclust,18,0.1129
complete,euclidean,maxclust,19,0.1084
complete,euclidean,maxclust,20,0.1081
complete,euclidean,maxclust,21,0.1089
complete,euclidean,maxclust,22,0.1033
complete,euclidean,maxclust,23,0.1038
complete,euclidean,maxclust,24,0.1042
complete,euclidean,maxclust,25,0.1016
complete,euclidean,distance,5.0,0.002
complete,euclidean,distance,10.0,0.0452
complete,euclidean,distance,15.0,0.0733
complete,euclidean,distance,20.0,0.1264
complete,cityblock,maxclust,2,0.113
complete,cityblock,maxclust,3,0.1363
complete,cityblock,maxclust,4,0.1252
complete,cityblock,maxclust,5,0.1131
complete,cityblock,maxclust,6,0.1008
complete,cityblock,maxclust,7,0.1196
complete,cityblock,maxclust,8,0.1339
complete,cityblock,maxclust,9,0.1449
complete,cityblock,maxclust,10,0.1528
complete,cityblock,maxclust,11,0.1568
complete,cityblock,maxclust,12,0.1656
complete,cityblock,maxclust,13,0.1514
complete,cityblock,maxclust,14,0.1457
complete,cityblock,maxclust,15,0.133
complete,cityblock,maxclust,16,0.1264
complete,cityblock,maxclust,17,0.1196
complete,cityblock,maxclust,18,0.1173
complete,cityblock,maxclust,19,0.1178
complete,cityblock,maxclust,20,0.11
complete,cityblock,maxclust,21,0.1103
complete,cityblock,maxclust,22,0.1084
complete,cityblock,maxclust,23,0.1087
complete,cityblock,maxclust,24,0.1092
complete,cityblock,maxclust,25,0.1094
complete,cosine,maxclust,2,0.1188
complete,cosine,maxclust,3,0.1125
complete,cosine,maxclust,4,0.1011
complete,cosine,maxclust,5,0.1037
complete,cosine,maxclust,6,0.1021
complete,cosine,maxclust,7,0.1057
complete,cosine,maxclust,8,0.1202
complete,cosine,maxclust,9,0.1264
complete,cosine,maxclust,10,0.1371
complete,cosine,maxclust,11,0.1512
complete,cosine,maxclust,12,0.164
complete,cosine,maxclust,13,0.1574
complete,cosine,maxclust,14,0.153
complete,cosine,maxclust,15,0.1395
complete,cosine,maxclust,16,0.1315
complete,cosine,maxclust,17,0.1208
complete,cosine,maxclust,18,0.1129
complete,cosine,maxclust,19,0.1084
complete,cosine,maxclust,20,0.1081
complete,cosine,maxclust,21,0.1089
complete,cosine,maxclust,22,0.1033
complete,cosine,maxclust,23,0.1038
complete,cosine,maxclust,24,0.1042
complete,cosine,maxclust,25,0.1016
complete,correlation,maxclust,2,0.1188
complete,correlation,maxclust,3,0.1125
complete,correlation,maxclust,4,0.1011
complete,correlation,maxclust,5,0.1037
complete,correlation,maxclust,6,0.1021
complete,correlation,maxclust,7,0.1057
complete,correlation,maxclust,8,0.1202
complete,correlation,maxclust,9,0.1264
complete,correlation,maxclust,10,0.1371
complete,correlation,maxclust,11,0.1512
complete,correlation,maxclust,12,0.164
complete,correlation,maxclust,13,0.1574
complete,correlation,maxclust,14,0.153
complete,correlation,maxclust,15,0.1395
complete,correlation,maxclust,16,0.1315
complete,correlation,maxclust,17,0.1208
complete,correlation,maxclust,18,0.1129
complete,correlation,maxclust,19,0.1084
complete,correlation,maxclust,20,0.1081
complete,correlation,maxclust,21,0.1089
complete,correlation,maxclust,22,0.1033
complete,correlation,maxclust,23,0.1038
complete,correlation,maxclust,24,0.1042
complete,correlation,maxclust,25,0.1016
single,euclidean,maxclust,2,0.0243
single,euclidean,maxclust,3,-0.0222
single,euclidean,maxclust,4,-0.031
single,euclidean,maxclust,5,-0.0405
single,euclidean,maxclust,6,-0.0523
single,euclidean,maxclust,7,-0.096
single,euclidean,maxclust,8,-0.1053
single,euclidean,maxclust,9,-0.1064
single,euclidean,maxclust,10,-0.1161
single,euclidean,maxclust,11,-0.1213
single,euclidean,maxclust,12,-0.1293
single,euclidean,maxclust,13,-0.1334
single,euclidean,maxclust,14,-0.1368
single,euclidean,maxclust,15,-0.1422
single,euclidean,maxclust,16,-0.1432
single,euclidean,maxclust,17,-0.1489
single,euclidean,maxclust,18,-0.1528
single,euclidean,maxclust,19,-0.1575
single,euclidean,maxclust,20,-0.1589
single,euclidean,maxclust,21,-0.1692
single,euclidean,maxclust,22,-0.1733
single,euclidean,maxclust,23,-0.1749
single,euclidean,maxclust,24,-0.1775
single,euclidean,maxclust,25,-0.1831
single,euclidean,distance,5.0,-0.0065
single,cityblock,maxclust,2,0.0243
single,cityblock,maxclust,3,-0.0222
single,cityblock,maxclust,4,-0.031
single,cityblock,maxclust,5,-0.0429
single,cityblock,maxclust,6,-0.0523
single,cityblock,maxclust,7,-0.0652
single,cityblock,maxclust,8,-0.1078
single,cityblock,maxclust,9,-0.1088
single,cityblock,maxclust,10,-0.1154
single,cityblock,maxclust,11,-0.1206
single,cityblock,maxclust,12,-0.1293
single,cityblock,maxclust,13,-0.1338
single,cityblock,maxclust,14,-0.1368
single,cityblock,maxclust,15,-0.1377
single,cityblock,maxclust,16,-0.1438
single,cityblock,maxclust,17,-0.1465
