linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.081
ward,euclidean,maxclust,3,0.0717
ward,euclidean,maxclust,4,0.0795
ward,euclidean,maxclust,5,0.0945
ward,euclidean,maxclust,6,0.1085
ward,euclidean,maxclust,7,0.126
ward,euclidean,maxclust,8,0.1177
ward,euclidean,maxclust,9,0.1289
ward,euclidean,maxclust,10,0.1352
ward,euclidean,maxclust,11,0.1426
ward,euclidean,maxclust,12,0.1497
ward,euclidean,maxclust,13,0.1554
ward,euclidean,maxclust,14,0.1614
ward,euclidean,maxclust,15,0.1648
ward,euclidean,maxclust,16,0.15
ward,euclidean,maxclust,17,0.1512
ward,euclidean,maxclust,18,0.1439
ward,euclidean,maxclust,19,0.1447
ward,euclidean,maxclust,20,0.145
ward,euclidean,maxclust,21,0.1361
ward,euclidean,maxclust,22,0.1304
ward,euclidean,maxclust,23,0.1288
ward,euclidean,maxclust,24,0.1258
ward,euclidean,maxclust,25,0.1228
ward,euclidean,distance,5.0,0.0015
ward,euclidean,distance,10.0,0.0805
ward,euclidean,distance,15.0,0.0601
ward,euclidean,distance,20.0,0.0541
average,euclidean,maxclust,2,0.0812
average,euclidean,maxclust,3,0.0764
average,euclidean,maxclust,4,0.0906
average,euclidean,maxclust,5,0.1023
average,euclidean,maxclust,6,0.1143
average,euclidean,maxclust,7,0.1215
average,euclidean,maxclust,8,0.131
average,euclidean,maxclust,9,0.134
average,euclidean,maxclust,10,0.1466
average,euclidean,maxclust,11,0.1531
average,euclidean,maxclust,12,0.1607
average,euclidean,maxclust,13,0.1644
average,euclidean,maxclust,14,0.1703
average,euclidean,maxclust,15,0.1736
average,euclidean,maxclust,16,0.1737
average,euclidean,maxclust,17,0.1671
average,euclidean,maxclust,18,0.1629
average,euclidean,maxclust,19,0.1642
average,euclidean,maxclust,20,0.161
average,euclidean,maxclust,21,0.1568
average,euclidean,maxclust,22,0.1554
average,euclidean,maxclust,23,0.1547
average,euclidean,maxclust,24,0.1528
average,euclidean,maxclust,25,0.1512
average,euclidean,distance,5.0,0.0015
average,euclidean,distance,10.0,0.052
average,euclidean,distance,15.0,0.1642
average,cityblock,maxclust,2,0.0775
average,cityblock,maxclust,3,0.0803
average,cityblock,maxclust,4,0.0944
average,cityblock,maxclust,5,0.1049
average,cityblock,maxclust,6,0.1192
average,cityblock,maxclust,7,0.1263
average,cityblock,maxclust,8,0.1437
average,cityblock,maxclust,9,0.1494
average,cityblock,maxclust,10,0.1534
average,cityblock,maxclust,11,0.1564
average,cityblock,maxclust,12,0.1588
average,cityblock,maxclust,13,0.1636
average,cityblock,maxclust,14,0.1666
average,cityblock,maxclust,15,0.1681
average,cityblock,maxclust,16,0.1647
average,cityblock,maxclust,17,0.1656
average,cityblock,maxclust,18,0.16
average,cityblock,maxclust,19,0.1619
average,cityblock,maxclust,20,0.1602
average,cityblock,maxclust,21,0.1584
average,cityblock,maxclust,22,0.1538
average,cityblock,maxclust,23,0.1527
average,cityblock,maxclust,24,0.1513
average,cityblock,maxclust,25,0.1502
average,cosine,maxclust,2,0.0886
average,cosine,maxclust,3,0.0825
average,cosine,maxclust,4,0.0922
average,cosine,maxclust,5,0.1056
average,cosine,maxclust,6,0.1206
average,cosine,maxclust,7,0.1304
average,cosine,maxclust,8,0.1378
average,cosine,maxclust,9,0.1465
average,cosine,maxclust,10,0.1537
average,cosine,maxclust,11,0.1559
average,cosine,maxclust,12,0.1601
average,cosine,maxclust,13,0.1652
average,cosine,maxclust,14,0.1709
average,cosine,maxclust,15,0.173
average,cosine,maxclust,16,0.1691
average,cosine,maxclust,17,0.1693
average,cosine,maxclust,18,0.1643
average,cosine,maxclust,19,0.1589
average,cosine,maxclust,20,0.1553
average,cosine,maxclust,21,0.1546
average,cosine,maxclust,22,0.1544
average,cosine,maxclust,23,0.1542
average,cosine,maxclust,24,0.1522
average,cosine,maxclust,25,0.1499
average,correlation,maxclust,2,0.0886
average,correlation,maxclust,3,0.0825
average,correlation,maxclust,4,0.0922
average,correlation,maxclust,5,0.1056
average,correlation,maxclust,6,0.1206
average,correlation,maxclust,7,0.1304
average,correlation,maxclust,8,0.1378
average,correlation,maxclust,9,0.1465
average,correlation,maxclust,10,0.1537
average,correlation,maxclust,11,0.1559
average,correlation,maxclust,12,0.1601
average,correlation,maxclust,13,0.1652
average,correlation,maxclust,14,0.1709
average,correlation,maxclust,15,0.173
average,correlation,maxclust,16,0.1691
average,correlation,maxclust,17,0.1693
average,correlation,maxclust,18,0.1643
average,correlation,maxclust,19,0.1589
average,correlation,maxclust,20,0.1553
average,correlation,maxclust,21,0.1546
average,correlation,maxclust,22,0.1544
average,correlation,maxclust,23,0.1542
average,correlation,maxclust,24,0.1522
average,correlation,maxclust,25,0.1499
complete,euclidean,maxclust,2,0.0923
complete,euclidean,maxclust,3,0.0786
complete,euclidean,maxclust,4,0.0749
complete,euclidean,maxclust,5,0.0833
complete,euclidean,maxclust,6,0.0843
complete,euclidean,maxclust,7,0.0971
complete,euclidean,maxclust,8,0.1098
complete,euclidean,maxclust,9,0.1006
complete,euclidean,maxclust,10,0.1117
complete,euclidean,maxclust,11,0.1207
complete,euclidean,maxclust,12,0.1296
complete,euclidean,maxclust,13,0.1177
complete,euclidean,maxclust,14,0.1213
complete,euclidean,maxclust,15,0.1201
complete,euclidean,maxclust,16,0.1209
complete,euclidean,maxclust,17,0.1273
complete,euclidean,maxclust,18,0.1334
complete,euclidean,maxclust,19,0.1397
complete,euclidean,maxclust,20,0.1266
complete,euclidean,maxclust,21,0.1244
complete,euclidean,maxclust,22,0.1199
complete,euclidean,maxclust,23,0.12
complete,euclidean,maxclust,24,0.1216
complete,euclidean,maxclust,25,0.121
complete,euclidean,distance,5.0,0.0015
complete,euclidean,distance,10.0,0.0534
complete,euclidean,distance,15.0,0.0517
complete,euclidean,distance,20.0,0.1213
complete,cityblock,maxclust,2,0.0859
complete,cityblock,maxclust,3,0.0807
complete,cityblock,maxclust,4,0.0726
complete,cityblock,maxclust,5,0.0648
complete,cityblock,maxclust,6,0.0625
complete,cityblock,maxclust,7,0.076
complete,cityblock,maxclust,8,0.0802
complete,cityblock,maxclust,9,0.0831
complete,cityblock,maxclust,10,0.0958
complete,cityblock,maxclust,11,0.1115
complete,cityblock,maxclust,12,0.1234
complete,cityblock,maxclust,13,0.1224
complete,cityblock,maxclust,14,0.1214
complete,cityblock,maxclust,15,0.129
complete,cityblock,maxclust,16,0.1324
complete,cityblock,maxclust,17,0.135
complete,cityblock,maxclust,18,0.1398
complete,cityblock,maxclust,19,0.1312
complete,cityblock,maxclust,20,0.137
complete,cityblock,maxclust,21,0.1339
complete,cityblock,maxclust,22,0.1414
complete,cityblock,maxclust,23,0.134
complete,cityblock,maxclust,24,0.1243
complete,cityblock,maxclust,25,0.1212
complete,cosine,maxclust,2,0.0923
complete,cosine,maxclust,3,0.0786
complete,cosine,maxclust,4,0.0749
complete,cosine,maxclust,5,0.0833
complete,cosine,maxclust,6,0.0843
complete,cosine,maxclust,7,0.0971
complete,cosine,maxclust,8,0.1098
complete,cosine,maxclust,9,0.1006
complete,cosine,maxclust,10,0.1117
complete,cosine,maxclust,11,0.1207
complete,cosine,maxclust,12,0.1296
complete,cosine,maxclust,13,0.1177
