linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0262
ward,euclidean,maxclust,3,0.0185
ward,euclidean,maxclust,4,0.0165
ward,euclidean,maxclust,5,0.0197
ward,euclidean,maxclust,6,0.0246
ward,euclidean,maxclust,7,0.0263
ward,euclidean,maxclust,8,0.0206
ward,euclidean,maxclust,9,0.0206
ward,euclidean,maxclust,10,0.0195
ward,euclidean,maxclust,11,0.0168
ward,euclidean,maxclust,12,0.0139
ward,euclidean,maxclust,13,0.0127
ward,euclidean,maxclust,14,0.0119
ward,euclidean,maxclust,15,0.0124
ward,euclidean,maxclust,16,0.0127
ward,euclidean,maxclust,17,0.0113
ward,euclidean,maxclust,18,0.0084
ward,euclidean,maxclust,19,0.0074
ward,euclidean,maxclust,20,0.0096
ward,euclidean,maxclust,21,0.008
ward,euclidean,maxclust,22,0.0098
ward,euclidean,maxclust,23,0.0062
ward,euclidean,maxclust,24,0.0056
ward,euclidean,maxclust,25,0.0052
ward,euclidean,distance,5.0,0.0064
ward,euclidean,distance,10.0,0.1582
ward,euclidean,distance,15.0,0.1391
ward,euclidean,distance,20.0,0.0695
average,euclidean,maxclust,2,0.0268
average,euclidean,maxclust,3,0.0205
average,euclidean,maxclust,4,0.0218
average,euclidean,maxclust,5,0.0205
average,euclidean,maxclust,6,0.0227
average,euclidean,maxclust,7,0.0247
average,euclidean,maxclust,8,0.0217
average,euclidean,maxclust,9,0.0218
average,euclidean,maxclust,10,0.0201
average,euclidean,maxclust,11,0.0184
average,euclidean,maxclust,12,0.0193
average,euclidean,maxclust,13,0.0202
average,euclidean,maxclust,14,0.0207
average,euclidean,maxclust,15,0.0212
average,euclidean,maxclust,16,0.0207
average,euclidean,maxclust,17,0.0201
average,euclidean,maxclust,18,0.0195
average,euclidean,maxclust,19,0.0202
average,euclidean,maxclust,20,0.0209
average,euclidean,maxclust,21,0.0207
average,euclidean,maxclust,22,0.0199
average,euclidean,maxclust,23,0.0188
average,euclidean,maxclust,24,0.0183
average,euclidean,maxclust,25,0.0183
average,euclidean,distance,5.0,0.0066
average,euclidean,distance,10.0,0.1534
average,euclidean,distance,15.0,0.0384
average,cityblock,maxclust,2,0.0143
average,cityblock,maxclust,3,0.0161
average,cityblock,maxclust,4,0.0168
average,cityblock,maxclust,5,0.0197
average,cityblock,maxclust,6,0.0242
average,cityblock,maxclust,7,0.0225
average,cityblock,maxclust,8,0.019
average,cityblock,maxclust,9,0.0238
average,cityblock,maxclust,10,0.0213
average,cityblock,maxclust,11,0.0197
average,cityblock,maxclust,12,0.0185
average,cityblock,maxclust,13,0.0181
average,cityblock,maxclust,14,0.0178
average,cityblock,maxclust,15,0.0158
average,cityblock,maxclust,16,0.0137
average,cityblock,maxclust,17,0.0124
average,cityblock,maxclust,18,0.0112
average,cityblock,maxclust,19,0.0098
average,cityblock,maxclust,20,0.0084
average,cityblock,maxclust,21,0.0056
average,cityblock,maxclust,22,0.0084
average,cityblock,maxclust,23,0.0106
average,cityblock,maxclust,24,0.0095
average,cityblock,maxclust,25,0.0079
average,cosine,maxclust,2,0.0264
average,cosine,maxclust,3,0.0207
average,cosine,maxclust,4,0.0178
average,cosine,maxclust,5,0.0181
average,cosine,maxclust,6,0.0217
average,cosine,maxclust,7,0.0265
average,cosine,maxclust,8,0.0226
average,cosine,maxclust,9,0.0214
average,cosine,maxclust,10,0.0197
average,cosine,maxclust,11,0.0184
average,cosine,maxclust,12,0.0183
average,cosine,maxclust,13,0.0184
average,cosine,maxclust,14,0.0175
average,cosine,maxclust,15,0.0201
average,cosine,maxclust,16,0.0204
average,cosine,maxclust,17,0.0205
average,cosine,maxclust,18,0.0213
average,cosine,maxclust,19,0.0201
average,cosine,maxclust,20,0.0216
average,cosine,maxclust,21,0.0196
average,cosine,maxclust,22,0.0183
average,cosine,maxclust,23,0.0175
average,cosine,maxclust,24,0.0173
average,cosine,maxclust,25,0.0176
average,correlation,maxclust,2,0.027
average,correlation,maxclust,3,0.0222
average,correlation,maxclust,4,0.0235
average,correlation,maxclust,5,0.0221
average,correlation,maxclust,6,0.0253
average,correlation,maxclust,7,0.0266
average,correlation,maxclust,8,0.0254
average,correlation,maxclust,9,0.0244
average,correlation,maxclust,10,0.022
average,correlation,maxclust,11,0.021
average,correlation,maxclust,12,0.0211
average,correlation,maxclust,13,0.0185
average,correlation,maxclust,14,0.0183
average,correlation,maxclust,15,0.0188
average,correlation,maxclust,16,0.0163
average,correlation,maxclust,17,0.0142
average,correlation,maxclust,18,0.0157
average,correlation,maxclust,19,0.0166
average,correlation,maxclust,20,0.0195
average,correlation,maxclust,21,0.0192
average,correlation,maxclust,22,0.0207
average,correlation,maxclust,23,0.0209
average,correlation,maxclust,24,0.0201
average,correlation,maxclust,25,0.0199
complete,euclidean,maxclust,2,0.018
complete,euclidean,maxclust,3,0.0076
complete,euclidean,maxclust,4,0.005
complete,euclidean,maxclust,5,0.003
complete,euclidean,maxclust,6,-0.0005
complete,euclidean,maxclust,7,-0.0021
complete,euclidean,maxclust,8,-0.0035
complete,euclidean,maxclust,9,-0.0019
complete,euclidean,maxclust,10,-0.0023
complete,euclidean,maxclust,11,-0.0021
complete,euclidean,maxclust,12,-0.0054
complete,euclidean,maxclust,13,-0.0051
complete,euclidean,maxclust,14,-0.0056
complete,euclidean,maxclust,15,-0.0071
complete,euclidean,maxclust,16,-0.0069
complete,euclidean,maxclust,17,-0.0077
complete,euclidean,maxclust,18,-0.0081
complete,euclidean,maxclust,19,-0.0085
complete,euclidean,maxclust,20,-0.0103
complete,euclidean,maxclust,21,-0.01
complete,euclidean,maxclust,22,-0.0103
complete,euclidean,maxclust,23,-0.0092
complete,euclidean,maxclust,24,-0.0094
complete,euclidean,maxclust,25,-0.0104
complete,euclidean,distance,5.0,0.0063
complete,euclidean,distance,10.0,0.1509
complete,euclidean,distance,15.0,0.0551
complete,euclidean,distance,20.0,-0.0128
complete,cityblock,maxclust,2,0.0104
complete,cityblock,maxclust,3,0.0096
complete,cityblock,maxclust,4,0.0014
complete,cityblock,maxclust,5,-0.0056
complete,cityblock,maxclust,6,-0.002
complete,cityblock,maxclust,7,-0.0008
complete,cityblock,maxclust,8,-0.0026
