linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.2189
ward,euclidean,maxclust,3,0.2079
ward,euclidean,maxclust,4,0.2041
ward,euclidean,maxclust,5,0.1808
ward,euclidean,maxclust,6,0.1598
ward,euclidean,maxclust,7,0.1389
ward,euclidean,maxclust,8,0.1295
ward,euclidean,maxclust,9,0.1286
ward,euclidean,maxclust,10,0.1296
ward,euclidean,maxclust,11,0.122
ward,euclidean,maxclust,12,0.1161
ward,euclidean,maxclust,13,0.1224
ward,euclidean,maxclust,14,0.1215
ward,euclidean,maxclust,15,0.1143
ward,euclidean,maxclust,16,0.1128
ward,euclidean,maxclust,17,0.1111
ward,euclidean,maxclust,18,0.1111
ward,euclidean,maxclust,19,0.1115
ward,euclidean,maxclust,20,0.1097
ward,euclidean,maxclust,21,0.1149
ward,euclidean,maxclust,22,0.1157
ward,euclidean,maxclust,23,0.1212
ward,euclidean,maxclust,24,0.1179
ward,euclidean,maxclust,25,0.1117
ward,euclidean,distance,5.0,0.1756
ward,euclidean,distance,10.0,0.1103
ward,euclidean,distance,15.0,0.0935
ward,euclidean,distance,20.0,0.0846
average,euclidean,maxclust,2,0.2066
average,euclidean,maxclust,3,0.2372
average,euclidean,maxclust,4,0.2137
average,euclidean,maxclust,5,0.2008
average,euclidean,maxclust,6,0.1995
average,euclidean,maxclust,7,0.1957
average,euclidean,maxclust,8,0.1912
average,euclidean,maxclust,9,0.1857
average,euclidean,maxclust,10,0.1739
average,euclidean,maxclust,11,0.1712
average,euclidean,maxclust,12,0.1649
average,euclidean,maxclust,13,0.1756
average,euclidean,maxclust,14,0.1759
average,euclidean,maxclust,15,0.1714
average,euclidean,maxclust,16,0.1682
average,euclidean,maxclust,17,0.1662
average,euclidean,maxclust,18,0.1608
average,euclidean,maxclust,19,0.1573
average,euclidean,maxclust,20,0.1556
average,euclidean,maxclust,21,0.1538
average,euclidean,maxclust,22,0.1531
average,euclidean,maxclust,23,0.1529
