linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0324
ward,euclidean,maxclust,3,0.0329
ward,euclidean,maxclust,4,0.0365
ward,euclidean,maxclust,5,0.0409
ward,euclidean,maxclust,6,0.0458
ward,euclidean,maxclust,7,0.0491
ward,euclidean,maxclust,8,0.0546
ward,euclidean,maxclust,9,0.0582
ward,euclidean,maxclust,10,0.0638
ward,euclidean,maxclust,11,0.0692
ward,euclidean,maxclust,12,0.0729
ward,euclidean,maxclust,13,0.0787
ward,euclidean,maxclust,14,0.0835
ward,euclidean,maxclust,15,0.0881
ward,euclidean,maxclust,16,0.0926
ward,euclidean,maxclust,17,0.0965
ward,euclidean,maxclust,18,0.1001
ward,euclidean,maxclust,19,0.1019
ward,euclidean,maxclust,20,0.1048
ward,euclidean,maxclust,21,0.1049
ward,euclidean,maxclust,22,0.1041
ward,euclidean,maxclust,23,0.1036
ward,euclidean,maxclust,24,0.104
ward,euclidean,maxclust,25,0.1011
ward,euclidean,distance,5.0,0.1361
ward,euclidean,distance,10.0,0.1779
ward,euclidean,distance,15.0,0.1763
ward,euclidean,distance,20.0,0.1727
average,euclidean,maxclust,2,0.0325
average,euclidean,maxclust,3,0.034
average,euclidean,maxclust,4,0.0366
average,euclidean,maxclust,5,0.0415
average,euclidean,maxclust,6,0.0463
average,euclidean,maxclust,7,0.0521
average,euclidean,maxclust,8,0.0568
average,euclidean,maxclust,9,0.0621
average,euclidean,maxclust,10,0.0665
average,euclidean,maxclust,11,0.072
average,euclidean,maxclust,12,0.0769
average,euclidean,maxclust,13,0.0822
average,euclidean,maxclust,14,0.0879
average,euclidean,maxclust,15,0.0942
average,euclidean,maxclust,16,0.1011
average,euclidean,maxclust,17,0.1058
average,euclidean,maxclust,18,0.1046
average,euclidean,maxclust,19,0.1033
average,euclidean,maxclust,20,0.0962
average,euclidean,maxclust,21,0.0957
average,euclidean,maxclust,22,0.0994
average,euclidean,maxclust,23,0.0992
average,euclidean,maxclust,24,0.0988
average,euclidean,maxclust,25,0.1003
average,euclidean,distance,5.0,0.1344
average,euclidean,distance,10.0,0.1672
average,euclidean,distance,15.0,0.0979
average,cityblock,maxclust,2,0.019
average,cityblock,maxclust,3,0.015
average,cityblock,maxclust,4,0.0197
average,cityblock,maxclust,5,0.0253
average,cityblock,maxclust,6,0.0184
average,cityblock,maxclust,7,0.0274
average,cityblock,maxclust,8,0.0336
average,cityblock,maxclust,9,0.0247
average,cityblock,maxclust,10,0.0343
average,cityblock,maxclust,11,0.0267
average,cityblock,maxclust,12,0.0357
average,cityblock,maxclust,13,0.0343
average,cityblock,maxclust,14,0.033
average,cityblock,maxclust,15,0.0286
average,cityblock,maxclust,16,0.0282
average,cityblock,maxclust,17,0.0221
average,cityblock,maxclust,18,0.0206
average,cityblock,maxclust,19,0.0291
average,cityblock,maxclust,20,0.0247
average,cityblock,maxclust,21,0.0335
average,cityblock,maxclust,22,0.0401
average,cityblock,maxclust,23,0.0369
average,cityblock,maxclust,24,0.0334
average,cityblock,maxclust,25,0.0317
average,cityblock,distance,10.0,0.0021
average,cityblock,distance,15.0,0.0065
average,cityblock,distance,20.0,0.0231
average,cosine,maxclust,2,0.0314
average,cosine,maxclust,3,0.0346
average,cosine,maxclust,4,0.0393
average,cosine,maxclust,5,0.0423
average,cosine,maxclust,6,0.0466
average,cosine,maxclust,7,0.0526
average,cosine,maxclust,8,0.0587
average,cosine,maxclust,9,0.0631
average,cosine,maxclust,10,0.0513
average,cosine,maxclust,11,0.0577
average,cosine,maxclust,12,0.0632
average,cosine,maxclust,13,0.0686
average,cosine,maxclust,14,0.0758
average,cosine,maxclust,15,0.0827
average,cosine,maxclust,16,0.088
average,cosine,maxclust,17,0.0949
average,cosine,maxclust,18,0.0945
average,cosine,maxclust,19,0.0999
average,cosine,maxclust,20,0.1029
average,cosine,maxclust,21,0.1022
average,cosine,maxclust,22,0.1047
average,cosine,maxclust,23,0.1032
average,cosine,maxclust,24,0.1046
average,cosine,maxclust,25,0.1036
average,correlation,maxclust,2,0.0314
average,correlation,maxclust,3,0.0346
average,correlation,maxclust,4,0.0393
average,correlation,maxclust,5,0.0423
average,correlation,maxclust,6,0.0466
average,correlation,maxclust,7,0.0526
average,correlation,maxclust,8,0.0587
average,correlation,maxclust,9,0.0631
average,correlation,maxclust,10,0.0513
average,correlation,maxclust,11,0.0577
average,correlation,maxclust,12,0.0632
average,correlation,maxclust,13,0.0686
average,correlation,maxclust,14,0.0758
average,correlation,maxclust,15,0.0827
average,correlation,maxclust,16,0.088
average,correlation,maxclust,17,0.0949
average,correlation,maxclust,18,0.0945
average,correlation,maxclust,19,0.0999
average,correlation,maxclust,20,0.1029
average,correlation,maxclust,21,0.1022
average,correlation,maxclust,22,0.1047
average,correlation,maxclust,23,0.1032
average,correlation,maxclust,24,0.1046
average,correlation,maxclust,25,0.1036
complete,euclidean,maxclust,2,0.0056
complete,euclidean,maxclust,3,0.0054
complete,euclidean,maxclust,4,0.0068
complete,euclidean,maxclust,5,0.0069
complete,euclidean,maxclust,6,0.008
complete,euclidean,maxclust,7,0.0085
complete,euclidean,maxclust,8,0.0086
complete,euclidean,maxclust,9,0.0075
complete,euclidean,maxclust,10,0.0068
complete,euclidean,maxclust,11,0.0068
complete,euclidean,maxclust,12,0.007
complete,euclidean,maxclust,13,0.0076
complete,euclidean,maxclust,14,0.0071
complete,euclidean,maxclust,15,0.0062
complete,euclidean,maxclust,16,0.0042
complete,euclidean,maxclust,17,0.004
complete,euclidean,maxclust,18,0.0061
complete,euclidean,maxclust,19,0.0076
complete,euclidean,maxclust,20,0.0057
complete,euclidean,maxclust,21,0.0047
complete,euclidean,maxclust,22,0.0039
complete,euclidean,maxclust,23,0.0041
complete,euclidean,maxclust,24,0.005
complete,euclidean,maxclust,25,0.0065
complete,euclidean,distance,5.0,0.1291
complete,euclidean,distance,10.0,0.1617
complete,euclidean,distance,15.0,0.1115
complete,euclidean,distance,20.0,0.0125
complete,cityblock,maxclust,2,0.0088
complete,cityblock,maxclust,3,0.0035
complete,cityblock,maxclust,4,0.0049
complete,cityblock,maxclust,5,0.0096
complete,cityblock,maxclust,6,0.012
complete,cityblock,maxclust,7,0.0138
complete,cityblock,maxclust,8,0.01
complete,cityblock,maxclust,9,0.0109
complete,cityblock,maxclust,10,0.0155
complete,cityblock,maxclust,11,0.0174
complete,cityblock,maxclust,12,0.0198
complete,cityblock,maxclust,13,0.0186
complete,cityblock,maxclust,14,0.0168
complete,cityblock,maxclust,15,0.0195
complete,cityblock,maxclust,16,0.0233
complete,cityblock,maxclust,17,0.026
complete,cityblock,maxclust,18,0.0261
complete,cityblock,maxclust,19,0.0242
complete,cityblock,maxclust,20,0.0207
complete,cityblock,maxclust,21,0.0212
complete,cityblock,maxclust,22,0.019
complete,cityblock,maxclust,23,0.0199
complete,cityblock,maxclust,24,0.0231
complete,cityblock,maxclust,25,0.0205
complete,cityblock,distance,10.0,0.0021
complete,cityblock,distance,15.0,0.0065
complete,cityblock,distance,20.0,0.0212
complete,cosine,maxclust,2,0.0056
complete,cosine,maxclust,3,0.0054
complete,cosine,maxclust,4,0.0068
complete,cosine,maxclust,5,0.0069
complete,cosine,maxclust,6,0.008
complete,cosine,maxclust,7,0.0085
complete,cosine,maxclust,8,0.0086
complete,cosine,maxclust,9,0.0075
complete,cosine,maxclust,10,0.0068
complete,cosine,maxclust,11,0.0068
complete,cosine,maxclust,12,0.007
complete,cosine,maxclust,13,0.0076
complete,cosine,maxclust,14,0.0071
complete,cosine,maxclust,15,0.0062
complete,cosine,maxclust,16,0.0042
complete,cosine,maxclust,17,0.004
complete,cosine,maxclust,18,0.0061
complete,cosine,maxclust,19,0.0076
complete,cosine,maxclust,20,0.0057
complete,cosine,maxclust,21,0.0047
complete,cosine,maxclust,22,0.0039
complete,cosine,maxclust,23,0.0041
complete,cosine,maxclust,24,0.005
complete,cosine,maxclust,25,0.0065
complete,correlation,maxclust,2,0.0056
complete,correlation,maxclust,3,0.0054
complete,correlation,maxclust,4,0.0068
complete,correlation,maxclust,5,0.0069
complete,correlation,maxclust,6,0.008
complete,correlation,maxclust,7,0.0085
complete,correlation,maxclust,8,0.0086
complete,correlation,maxclust,9,0.0075
complete,correlation,maxclust,10,0.0068
complete,correlation,maxclust,11,0.0068
complete,correlation,maxclust,12,0.007
