linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.292
ward,euclidean,maxclust,3,0.3207
ward,euclidean,maxclust,4,0.3441
ward,euclidean,maxclust,5,0.3634
ward,euclidean,maxclust,6,0.3601
ward,euclidean,maxclust,7,0.3621
ward,euclidean,maxclust,8,0.3426
ward,euclidean,maxclust,9,0.3296
ward,euclidean,maxclust,10,0.3318
ward,euclidean,maxclust,11,0.3188
ward,euclidean,maxclust,12,0.3036
ward,euclidean,maxclust,13,0.2917
ward,euclidean,maxclust,14,0.2731
ward,euclidean,maxclust,15,0.2729
ward,euclidean,maxclust,16,0.2579
ward,euclidean,maxclust,17,0.248
ward,euclidean,maxclust,18,0.2439
ward,euclidean,maxclust,19,0.2347
ward,euclidean,maxclust,20,0.2297
ward,euclidean,maxclust,21,0.2224
ward,euclidean,maxclust,22,0.2198
ward,euclidean,maxclust,23,0.2216
ward,euclidean,maxclust,24,0.2124
ward,euclidean,maxclust,25,0.2098
ward,euclidean,distance,5.0,0.2017
ward,euclidean,distance,10.0,0.1739
ward,euclidean,distance,15.0,0.1712
ward,euclidean,distance,20.0,0.1612
average,euclidean,maxclust,2,0.2883
average,euclidean,maxclust,3,0.3346
average,euclidean,maxclust,4,0.3475
average,euclidean,maxclust,5,0.3707
average,euclidean,maxclust,6,0.3472
average,euclidean,maxclust,7,0.3473
average,euclidean,maxclust,8,0.3278
average,euclidean,maxclust,9,0.3222
average,euclidean,maxclust,10,0.3165
average,euclidean,maxclust,11,0.3174
average,euclidean,maxclust,12,0.3162
average,euclidean,maxclust,13,0.313
average,euclidean,maxclust,14,0.3101
average,euclidean,maxclust,15,0.309
average,euclidean,maxclust,16,0.308
average,euclidean,maxclust,17,0.3076
average,euclidean,maxclust,18,0.3079
average,euclidean,maxclust,19,0.3071
average,euclidean,maxclust,20,0.3058
average,euclidean,maxclust,21,0.3058
average,euclidean,maxclust,22,0.3049
average,euclidean,maxclust,23,0.3036
average,euclidean,maxclust,24,0.3027
average,euclidean,maxclust,25,0.2943
average,euclidean,distance,5.0,0.1795
average,euclidean,distance,10.0,0.3222
average,euclidean,distance,15.0,0.3707
average,cityblock,maxclust,2,0.2902
average,cityblock,maxclust,3,0.3353
average,cityblock,maxclust,4,0.3662
average,cityblock,maxclust,5,0.3486
average,cityblock,maxclust,6,0.3477
average,cityblock,maxclust,7,0.3443
average,cityblock,maxclust,8,0.319
average,cityblock,maxclust,9,0.3036
average,cityblock,maxclust,10,0.298
average,cityblock,maxclust,11,0.2942
average,cityblock,maxclust,12,0.2908
average,cityblock,maxclust,13,0.3016
average,cityblock,maxclust,14,0.2961
average,cityblock,maxclust,15,0.2926
average,cityblock,maxclust,16,0.2844
average,cityblock,maxclust,17,0.2769
average,cityblock,maxclust,18,0.2735
average,cityblock,maxclust,19,0.2639
average,cityblock,maxclust,20,0.2551
average,cityblock,maxclust,21,0.2508
average,cityblock,maxclust,22,0.2439
average,cityblock,maxclust,23,0.2341
average,cityblock,maxclust,24,0.2209
average,cityblock,maxclust,25,0.2175
average,cityblock,distance,5.0,0.0603
average,cityblock,distance,10.0,0.1961
average,cityblock,distance,15.0,0.1678
average,cityblock,distance,20.0,0.1455
average,cosine,maxclust,2,0.2943
average,cosine,maxclust,3,0.3213
average,cosine,maxclust,4,0.3421
average,cosine,maxclust,5,0.3541
average,cosine,maxclust,6,0.3603
average,cosine,maxclust,7,0.3586
average,cosine,maxclust,8,0.3546
average,cosine,maxclust,9,0.3435
average,cosine,maxclust,10,0.3373
average,cosine,maxclust,11,0.3124
average,cosine,maxclust,12,0.3082
average,cosine,maxclust,13,0.3053
average,cosine,maxclust,14,0.3033
average,cosine,maxclust,15,0.2927
average,cosine,maxclust,16,0.2915
average,cosine,maxclust,17,0.2886
average,cosine,maxclust,18,0.2877
average,cosine,maxclust,19,0.2864
average,cosine,maxclust,20,0.2845
average,cosine,maxclust,21,0.288
average,cosine,maxclust,22,0.2857
average,cosine,maxclust,23,0.284
average,cosine,maxclust,24,0.2837
average,cosine,maxclust,25,0.2831
average,correlation,maxclust,2,0.2943
average,correlation,maxclust,3,0.3213
average,correlation,maxclust,4,0.3421
average,correlation,maxclust,5,0.3541
average,correlation,maxclust,6,0.3603
average,correlation,maxclust,7,0.3586
average,correlation,maxclust,8,0.3546
average,correlation,maxclust,9,0.3435
average,correlation,maxclust,10,0.3373
average,correlation,maxclust,11,0.3124
average,correlation,maxclust,12,0.3082
average,correlation,maxclust,13,0.3053
average,correlation,maxclust,14,0.3033
average,correlation,maxclust,15,0.2927
average,correlation,maxclust,16,0.2915
average,correlation,maxclust,17,0.2886
average,correlation,maxclust,18,0.2877
average,correlation,maxclust,19,0.2864
average,correlation,maxclust,20,0.2845
average,correlation,maxclust,21,0.288
average,correlation,maxclust,22,0.2857
average,correlation,maxclust,23,0.284
average,correlation,maxclust,24,0.2837
average,correlation,maxclust,25,0.2831
complete,euclidean,maxclust,2,0.2844
complete,euclidean,maxclust,3,0.3343
complete,euclidean,maxclust,4,0.3502
complete,euclidean,maxclust,5,0.3833
complete,euclidean,maxclust,6,0.3669
complete,euclidean,maxclust,7,0.3397
complete,euclidean,maxclust,8,0.3467
complete,euclidean,maxclust,9,0.3337
complete,euclidean,maxclust,10,0.3287
complete,euclidean,maxclust,11,0.3033
complete,euclidean,maxclust,12,0.2868
complete,euclidean,maxclust,13,0.2814
complete,euclidean,maxclust,14,0.2594
complete,euclidean,maxclust,15,0.2525
complete,euclidean,maxclust,16,0.2428
complete,euclidean,maxclust,17,0.2391
complete,euclidean,maxclust,18,0.2396
complete,euclidean,maxclust,19,0.228
complete,euclidean,maxclust,20,0.2292
complete,euclidean,maxclust,21,0.2238
complete,euclidean,maxclust,22,0.219
complete,euclidean,maxclust,23,0.22
complete,euclidean,maxclust,24,0.2143
complete,euclidean,maxclust,25,0.2151
complete,euclidean,distance,5.0,0.1495
complete,euclidean,distance,10.0,0.2086
complete,euclidean,distance,15.0,0.2868
complete,euclidean,distance,20.0,0.3397
complete,cityblock,maxclust,2,0.2281
complete,cityblock,maxclust,3,0.3306
complete,cityblock,maxclust,4,0.3599
complete,cityblock,maxclust,5,0.3606
complete,cityblock,maxclust,6,0.3462
complete,cityblock,maxclust,7,0.3243
complete,cityblock,maxclust,8,0.3356
complete,cityblock,maxclust,9,0.3447
complete,cityblock,maxclust,10,0.3228
complete,cityblock,maxclust,11,0.3041
complete,cityblock,maxclust,12,0.289
complete,cityblock,maxclust,13,0.2699
complete,cityblock,maxclust,14,0.2668
complete,cityblock,maxclust,15,0.2475
complete,cityblock,maxclust,16,0.2408
complete,cityblock,maxclust,17,0.238
complete,cityblock,maxclust,18,0.2323
complete,cityblock,maxclust,19,0.2326
complete,cityblock,maxclust,20,0.2237
complete,cityblock,maxclust,21,0.2223
complete,cityblock,maxclust,22,0.2231
complete,cityblock,maxclust,23,0.2251
complete,cityblock,maxclust,24,0.2235
complete,cityblock,maxclust,25,0.2233
complete,cityblock,distance,5.0,0.0552
complete,cityblock,distance,10.0,0.1626
complete,cityblock,distance,15.0,0.1652
complete,cityblock,distance,20.0,0.1573
complete,cosine,maxclust,2,0.2844
complete,cosine,maxclust,3,0.3343
complete,cosine,maxclust,4,0.3502
complete,cosine,maxclust,5,0.3833
complete,cosine,maxclust,6,0.3669
complete,cosine,maxclust,7,0.3397
complete,cosine,maxclust,8,0.3467
complete,cosine,maxclust,9,0.3337
complete,cosine,maxclust,10,0.3287
complete,cosine,maxclust,11,0.3033
complete,cosine,maxclust,12,0.2868
complete,cosine,maxclust,13,0.2814
