linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.111
ward,euclidean,maxclust,3,0.0963
ward,euclidean,maxclust,4,0.0634
ward,euclidean,maxclust,5,0.0599
ward,euclidean,maxclust,6,0.053
ward,euclidean,maxclust,7,0.0531
ward,euclidean,maxclust,8,0.0522
ward,euclidean,maxclust,9,0.0516
ward,euclidean,maxclust,10,0.0444
ward,euclidean,maxclust,11,0.0476
ward,euclidean,maxclust,12,0.0406
ward,euclidean,maxclust,13,0.0457
ward,euclidean,maxclust,14,0.0434
ward,euclidean,maxclust,15,0.0433
ward,euclidean,maxclust,16,0.0388
ward,euclidean,maxclust,17,0.039
ward,euclidean,maxclust,18,0.0391
ward,euclidean,maxclust,19,0.0416
ward,euclidean,maxclust,20,0.0388
ward,euclidean,maxclust,21,0.0362
ward,euclidean,maxclust,22,0.0349
ward,euclidean,maxclust,23,0.0374
ward,euclidean,maxclust,24,0.0344
ward,euclidean,maxclust,25,0.0321
ward,euclidean,distance,5.0,0.1581
ward,euclidean,distance,10.0,0.1581
ward,euclidean,distance,15.0,0.1023
ward,euclidean,distance,20.0,0.0653
average,euclidean,maxclust,2,0.1061
average,euclidean,maxclust,3,0.0783
average,euclidean,maxclust,4,0.0641
average,euclidean,maxclust,5,0.0523
average,euclidean,maxclust,6,0.047
average,euclidean,maxclust,7,0.04
average,euclidean,maxclust,8,0.0516
average,euclidean,maxclust,9,0.0498
average,euclidean,maxclust,10,0.0479
average,euclidean,maxclust,11,0.0442
average,euclidean,maxclust,12,0.0493
average,euclidean,maxclust,13,0.0479
average,euclidean,maxclust,14,0.0459
average,euclidean,maxclust,15,0.052
average,euclidean,maxclust,16,0.0515
average,euclidean,maxclust,17,0.0492
average,euclidean,maxclust,18,0.0487
average,euclidean,maxclust,19,0.0467
average,euclidean,maxclust,20,0.0463
average,euclidean,maxclust,21,0.0458
average,euclidean,maxclust,22,0.0445
average,euclidean,maxclust,23,0.0605
average,euclidean,maxclust,24,0.0601
average,euclidean,maxclust,25,0.0595
average,euclidean,distance,5.0,0.1395
average,euclidean,distance,10.0,0.0602
average,euclidean,distance,15.0,0.0383
average,cityblock,maxclust,2,0.1141
average,cityblock,maxclust,3,0.0951
average,cityblock,maxclust,4,0.0789
average,cityblock,maxclust,5,0.0625
average,cityblock,maxclust,6,0.054
average,cityblock,maxclust,7,0.0592
average,cityblock,maxclust,8,0.0566
average,cityblock,maxclust,9,0.0525
average,cityblock,maxclust,10,0.0523
average,cityblock,maxclust,11,0.0465
average,cityblock,maxclust,12,0.0481
average,cityblock,maxclust,13,0.053
average,cityblock,maxclust,14,0.056
average,cityblock,maxclust,15,0.0518
average,cityblock,maxclust,16,0.0518
average,cityblock,maxclust,17,0.0443
average,cityblock,maxclust,18,0.0422
average,cityblock,maxclust,19,0.0419
average,cityblock,maxclust,20,0.0424
average,cityblock,maxclust,21,0.037
average,cityblock,maxclust,22,0.0346
average,cityblock,maxclust,23,0.0384
average,cityblock,maxclust,24,0.0353
average,cityblock,maxclust,25,0.0344
average,cityblock,distance,10.0,0.0014
average,cityblock,distance,15.0,0.0026
average,cityblock,distance,20.0,0.0171
average,cosine,maxclust,2,0.1088
average,cosine,maxclust,3,0.088
average,cosine,maxclust,4,0.0749
average,cosine,maxclust,5,0.0651
average,cosine,maxclust,6,0.0623
average,cosine,maxclust,7,0.0619
average,cosine,maxclust,8,0.0605
average,cosine,maxclust,9,0.0591
average,cosine,maxclust,10,0.0567
average,cosine,maxclust,11,0.0519
average,cosine,maxclust,12,0.0473
average,cosine,maxclust,13,0.0454
average,cosine,maxclust,14,0.0439
average,cosine,maxclust,15,0.0417
average,cosine,maxclust,16,0.0406
average,cosine,maxclust,17,0.04
average,cosine,maxclust,18,0.0385
average,cosine,maxclust,19,0.0378
average,cosine,maxclust,20,0.0366
average,cosine,maxclust,21,0.0359
average,cosine,maxclust,22,0.0345
average,cosine,maxclust,23,0.0325
average,cosine,maxclust,24,0.031
average,cosine,maxclust,25,0.0303
average,correlation,maxclust,2,0.1088
average,correlation,maxclust,3,0.088
average,correlation,maxclust,4,0.0749
average,correlation,maxclust,5,0.0651
average,correlation,maxclust,6,0.0623
average,correlation,maxclust,7,0.0619
average,correlation,maxclust,8,0.0605
average,correlation,maxclust,9,0.0591
average,correlation,maxclust,10,0.0567
average,correlation,maxclust,11,0.0519
average,correlation,maxclust,12,0.0473
average,correlation,maxclust,13,0.0454
average,correlation,maxclust,14,0.0439
average,correlation,maxclust,15,0.0417
average,correlation,maxclust,16,0.0406
average,correlation,maxclust,17,0.04
average,correlation,maxclust,18,0.0385
average,correlation,maxclust,19,0.0378
average,correlation,maxclust,20,0.0366
average,correlation,maxclust,21,0.0359
average,correlation,maxclust,22,0.0345
average,correlation,maxclust,23,0.0325
average,correlation,maxclust,24,0.031
average,correlation,maxclust,25,0.0303
complete,euclidean,maxclust,2,0.1004
complete,euclidean,maxclust,3,0.1002
complete,euclidean,maxclust,4,0.0643
complete,euclidean,maxclust,5,0.0541
complete,euclidean,maxclust,6,0.0458
complete,euclidean,maxclust,7,0.0384
complete,euclidean,maxclust,8,0.0363
complete,euclidean,maxclust,9,0.0328
complete,euclidean,maxclust,10,0.0315
complete,euclidean,maxclust,11,0.0331
complete,euclidean,maxclust,12,0.0289
complete,euclidean,maxclust,13,0.0267
complete,euclidean,maxclust,14,0.0274
complete,euclidean,maxclust,15,0.0268
complete,euclidean,maxclust,16,0.0246
complete,euclidean,maxclust,17,0.0239
complete,euclidean,maxclust,18,0.025
complete,euclidean,maxclust,19,0.0258
complete,euclidean,maxclust,20,0.0233
complete,euclidean,maxclust,21,0.0201
complete,euclidean,maxclust,22,0.0208
complete,euclidean,maxclust,23,0.0192
complete,euclidean,maxclust,24,0.0186
complete,euclidean,maxclust,25,0.0181
complete,euclidean,distance,5.0,0.1368
complete,euclidean,distance,10.0,0.0824
complete,euclidean,distance,15.0,0.0246
complete,euclidean,distance,20.0,0.0008
complete,cityblock,maxclust,2,0.068
complete,cityblock,maxclust,3,0.0748
complete,cityblock,maxclust,4,0.0595
complete,cityblock,maxclust,5,0.0479
complete,cityblock,maxclust,6,0.0533
complete,cityblock,maxclust,7,0.0407
complete,cityblock,maxclust,8,0.0366
complete,cityblock,maxclust,9,0.0395
complete,cityblock,maxclust,10,0.0411
complete,cityblock,maxclust,11,0.0398
complete,cityblock,maxclust,12,0.0392
complete,cityblock,maxclust,13,0.0371
complete,cityblock,maxclust,14,0.0341
complete,cityblock,maxclust,15,0.0324
complete,cityblock,maxclust,16,0.0318
complete,cityblock,maxclust,17,0.0312
complete,cityblock,maxclust,18,0.032
complete,cityblock,maxclust,19,0.0308
complete,cityblock,maxclust,20,0.0295
complete,cityblock,maxclust,21,0.0254
complete,cityblock,maxclust,22,0.0234
complete,cityblock,maxclust,23,0.0223
complete,cityblock,maxclust,24,0.0217
