linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1059
ward,euclidean,maxclust,3,0.0938
ward,euclidean,maxclust,4,0.1115
ward,euclidean,maxclust,5,0.1039
ward,euclidean,maxclust,6,0.1032
ward,euclidean,maxclust,7,0.1223
ward,euclidean,maxclust,8,0.1396
ward,euclidean,maxclust,9,0.1552
ward,euclidean,maxclust,10,0.1445
ward,euclidean,maxclust,11,0.1552
ward,euclidean,maxclust,12,0.1485
ward,euclidean,maxclust,13,0.1572
ward,euclidean,maxclust,14,0.1656
ward,euclidean,maxclust,15,0.1748
ward,euclidean,maxclust,16,0.1822
ward,euclidean,maxclust,17,0.1891
ward,euclidean,maxclust,18,0.1827
ward,euclidean,maxclust,19,0.1863
ward,euclidean,maxclust,20,0.1911
ward,euclidean,maxclust,21,0.193
ward,euclidean,maxclust,22,0.1942
ward,euclidean,maxclust,23,0.1922
ward,euclidean,maxclust,24,0.1953
ward,euclidean,maxclust,25,0.1861
ward,euclidean,distance,5.0,0.1806
ward,euclidean,distance,10.0,0.1234
ward,euclidean,distance,15.0,0.0919
ward,euclidean,distance,20.0,0.0705
average,euclidean,maxclust,2,0.0981
average,euclidean,maxclust,3,0.1038
average,euclidean,maxclust,4,0.1033
average,euclidean,maxclust,5,0.1222
average,euclidean,maxclust,6,0.1318
average,euclidean,maxclust,7,0.1405
average,euclidean,maxclust,8,0.1428
average,euclidean,maxclust,9,0.1439
average,euclidean,maxclust,10,0.1445
average,euclidean,maxclust,11,0.1562
average,euclidean,maxclust,12,0.1786
average,euclidean,maxclust,13,0.1841
average,euclidean,maxclust,14,0.1997
average,euclidean,maxclust,15,0.2057
average,euclidean,maxclust,16,0.2073
average,euclidean,maxclust,17,0.2067
average,euclidean,maxclust,18,0.2068
average,euclidean,maxclust,19,0.2051
average,euclidean,maxclust,20,0.2021
average,euclidean,maxclust,21,0.2024
average,euclidean,maxclust,22,0.198
average,euclidean,maxclust,23,0.1975
average,euclidean,maxclust,24,0.1985
average,euclidean,maxclust,25,0.1965
average,euclidean,distance,5.0,0.1717
average,euclidean,distance,10.0,0.173
average,euclidean,distance,15.0,0.1965
average,cityblock,maxclust,2,0.0926
average,cityblock,maxclust,3,0.1028
average,cityblock,maxclust,4,0.1038
average,cityblock,maxclust,5,0.11
average,cityblock,maxclust,6,0.1309
average,cityblock,maxclust,7,0.1465
average,cityblock,maxclust,8,0.1674
average,cityblock,maxclust,9,0.169
average,cityblock,maxclust,10,0.1738
average,cityblock,maxclust,11,0.1752
average,cityblock,maxclust,12,0.175
average,cityblock,maxclust,13,0.1734
average,cityblock,maxclust,14,0.1797
average,cityblock,maxclust,15,0.1785
average,cityblock,maxclust,16,0.176
average,cityblock,maxclust,17,0.1804
average,cityblock,maxclust,18,0.1849
average,cityblock,maxclust,19,0.1895
average,cityblock,maxclust,20,0.1879
average,cityblock,maxclust,21,0.1851
average,cityblock,maxclust,22,0.1837
average,cityblock,maxclust,23,0.1818
average,cityblock,maxclust,24,0.181
average,cityblock,maxclust,25,0.1792
average,cityblock,distance,10.0,0.0009
average,cityblock,distance,15.0,0.0068
average,cityblock,distance,20.0,0.0619
average,cosine,maxclust,2,0.1061
average,cosine,maxclust,3,0.0985
average,cosine,maxclust,4,0.1041
average,cosine,maxclust,5,0.1197
average,cosine,maxclust,6,0.1249
average,cosine,maxclust,7,0.1345
average,cosine,maxclust,8,0.1534
average,cosine,maxclust,9,0.1516
average,cosine,maxclust,10,0.1519
average,cosine,maxclust,11,0.1531
average,cosine,maxclust,12,0.1649
average,cosine,maxclust,13,0.1711
average,cosine,maxclust,14,0.1865
average,cosine,maxclust,15,0.187
average,cosine,maxclust,16,0.1878
average,cosine,maxclust,17,0.2004
average,cosine,maxclust,18,0.2024
average,cosine,maxclust,19,0.1996
average,cosine,maxclust,20,0.1988
average,cosine,maxclust,21,0.1977
average,cosine,maxclust,22,0.1984
average,cosine,maxclust,23,0.2052
average,cosine,maxclust,24,0.2033
average,cosine,maxclust,25,0.2015
average,correlation,maxclust,2,0.1061
average,correlation,maxclust,3,0.0985
average,correlation,maxclust,4,0.1041
average,correlation,maxclust,5,0.1197
average,correlation,maxclust,6,0.1249
average,correlation,maxclust,7,0.1345
average,correlation,maxclust,8,0.1534
average,correlation,maxclust,9,0.1516
average,correlation,maxclust,10,0.1519
average,correlation,maxclust,11,0.1531
average,correlation,maxclust,12,0.1649
average,correlation,maxclust,13,0.1711
average,correlation,maxclust,14,0.1865
average,correlation,maxclust,15,0.187
average,correlation,maxclust,16,0.1878
average,correlation,maxclust,17,0.2004
average,correlation,maxclust,18,0.2024
average,correlation,maxclust,19,0.1996
average,correlation,maxclust,20,0.1988
average,correlation,maxclust,21,0.1977
average,correlation,maxclust,22,0.1984
average,correlation,maxclust,23,0.2052
average,correlation,maxclust,24,0.2033
average,correlation,maxclust,25,0.2015
complete,euclidean,maxclust,2,0.0897
complete,euclidean,maxclust,3,0.0586
complete,euclidean,maxclust,4,0.0579
complete,euclidean,maxclust,5,0.0735
complete,euclidean,maxclust,6,0.0841
complete,euclidean,maxclust,7,0.0934
complete,euclidean,maxclust,8,0.0906
complete,euclidean,maxclust,9,0.0871
complete,euclidean,maxclust,10,0.0948
complete,euclidean,maxclust,11,0.1
complete,euclidean,maxclust,12,0.1014
complete,euclidean,maxclust,13,0.098
complete,euclidean,maxclust,14,0.1099
complete,euclidean,maxclust,15,0.1087
complete,euclidean,maxclust,16,0.1062
complete,euclidean,maxclust,17,0.1083
complete,euclidean,maxclust,18,0.1068
complete,euclidean,maxclust,19,0.1038
complete,euclidean,maxclust,20,0.1124
complete,euclidean,maxclust,21,0.1085
complete,euclidean,maxclust,22,0.1069
complete,euclidean,maxclust,23,0.11
complete,euclidean,maxclust,24,0.1108
complete,euclidean,maxclust,25,0.1088
complete,euclidean,distance,5.0,0.1558
complete,euclidean,distance,10.0,0.1127
complete,euclidean,distance,15.0,0.1441
complete,euclidean,distance,20.0,0.1482
complete,cityblock,maxclust,2,0.0918
complete,cityblock,maxclust,3,0.0782
complete,cityblock,maxclust,4,0.0865
complete,cityblock,maxclust,5,0.0858
complete,cityblock,maxclust,6,0.0837
complete,cityblock,maxclust,7,0.0875
complete,cityblock,maxclust,8,0.0954
complete,cityblock,maxclust,9,0.1013
complete,cityblock,maxclust,10,0.0992
complete,cityblock,maxclust,11,0.1085
complete,cityblock,maxclust,12,0.1064
complete,cityblock,maxclust,13,0.1193
complete,cityblock,maxclust,14,0.126
complete,cityblock,maxclust,15,0.1287
complete,cityblock,maxclust,16,0.1263
complete,cityblock,maxclust,17,0.1278
complete,cityblock,maxclust,18,0.1357
complete,cityblock,maxclust,19,0.1425
complete,cityblock,maxclust,20,0.1362
complete,cityblock,maxclust,21,0.1382
complete,cityblock,maxclust,22,0.1373
complete,cityblock,maxclust,23,0.1351
complete,cityblock,maxclust,24,0.1351
complete,cityblock,maxclust,25,0.136
complete,cityblock,distance,10.0,0.0009
complete,cityblock,distance,15.0,0.0066
complete,cityblock,distance,20.0,0.059
complete,cosine,maxclust,2,0.0897
complete,cosine,maxclust,3,0.0586
complete,cosine,maxclust,4,0.0579
complete,cosine,maxclust,5,0.0735
complete,cosine,maxclust,6,0.0841
complete,cosine,maxclust,7,0.0934
complete,cosine,maxclust,8,0.0906
complete,cosine,maxclust,9,0.0871
complete,cosine,maxclust,10,0.0948
complete,cosine,maxclust,11,0.1
complete,cosine,maxclust,12,0.1014
complete,cosine,maxclust,13,0.098
complete,cosine,maxclust,14,0.1099
complete,cosine,maxclust,15,0.1087
complete,cosine,maxclust,16,0.1062
complete,cosine,maxclust,17,0.1083
complete,cosine,maxclust,18,0.1068
complete,cosine,maxclust,19,0.1038
complete,cosine,maxclust,20,0.1124
complete,cosine,maxclust,21,0.1085
complete,cosine,maxclust,22,0.1069
complete,cosine,maxclust,23,0.11
complete,cosine,maxclust,24,0.1108
complete,cosine,maxclust,25,0.1088
complete,correlation,maxclust,2,0.0897
complete,correlation,maxclust,3,0.0586
complete,correlation,maxclust,4,0.0579
complete,correlation,maxclust,5,0.0735
complete,correlation,maxclust,6,0.0841
complete,correlation,maxclust,7,0.0934
complete,correlation,maxclust,8,0.0906
complete,correlation,maxclust,9,0.0871
complete,correlation,maxclust,10,0.0948
complete,correlation,maxclust,11,0.1
complete,correlation,maxclust,12,0.1014
complete,correlation,maxclust,13,0.098
complete,correlation,maxclust,14,0.1099
complete,correlation,maxclust,15,0.1087
complete,correlation,maxclust,16,0.1062
complete,correlation,maxclust,17,0.1083
complete,correlation,maxclust,18,0.1068
complete,correlation,maxclust,19,0.1038
complete,correlation,maxclust,20,0.1124
complete,correlation,maxclust,21,0.1085
complete,correlation,maxclust,22,0.1069
complete,correlation,maxclust,23,0.11
complete,correlation,maxclust,24,0.1108
complete,correlation,maxclust,25,0.1088
