linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0622
ward,euclidean,maxclust,3,0.0538
ward,euclidean,maxclust,4,0.0556
ward,euclidean,maxclust,5,0.0532
ward,euclidean,maxclust,6,0.0567
ward,euclidean,maxclust,7,0.0594
ward,euclidean,maxclust,8,0.0667
ward,euclidean,maxclust,9,0.0697
ward,euclidean,maxclust,10,0.0749
ward,euclidean,maxclust,11,0.0758
ward,euclidean,maxclust,12,0.0793
ward,euclidean,maxclust,13,0.0756
ward,euclidean,maxclust,14,0.0809
ward,euclidean,maxclust,15,0.081
ward,euclidean,maxclust,16,0.0847
ward,euclidean,maxclust,17,0.0819
ward,euclidean,maxclust,18,0.0846
ward,euclidean,maxclust,19,0.0865
ward,euclidean,maxclust,20,0.0882
ward,euclidean,maxclust,21,0.0871
ward,euclidean,maxclust,22,0.0906
ward,euclidean,maxclust,23,0.0898
ward,euclidean,maxclust,24,0.0902
ward,euclidean,maxclust,25,0.0878
ward,euclidean,distance,5.0,0.2805
ward,euclidean,distance,10.0,0.2253
ward,euclidean,distance,15.0,0.1446
ward,euclidean,distance,20.0,0.1006
average,euclidean,maxclust,2,0.0668
average,euclidean,maxclust,3,0.0548
average,euclidean,maxclust,4,0.0542
average,euclidean,maxclust,5,0.0608
average,euclidean,maxclust,6,0.0635
average,euclidean,maxclust,7,0.0667
average,euclidean,maxclust,8,0.0697
average,euclidean,maxclust,9,0.0751
average,euclidean,maxclust,10,0.0709
average,euclidean,maxclust,11,0.0717
average,euclidean,maxclust,12,0.0743
average,euclidean,maxclust,13,0.0773
average,euclidean,maxclust,14,0.0797
average,euclidean,maxclust,15,0.0812
average,euclidean,maxclust,16,0.085
average,euclidean,maxclust,17,0.0882
average,euclidean,maxclust,18,0.0874
average,euclidean,maxclust,19,0.0874
average,euclidean,maxclust,20,0.0913
average,euclidean,maxclust,21,0.0955
average,euclidean,maxclust,22,0.0939
average,euclidean,maxclust,23,0.0967
average,euclidean,maxclust,24,0.0982
average,euclidean,maxclust,25,0.0982
average,euclidean,distance,5.0,0.2531
average,euclidean,distance,10.0,0.0706
average,euclidean,distance,15.0,0.0967
average,cityblock,maxclust,2,0.0694
average,cityblock,maxclust,3,0.0583
average,cityblock,maxclust,4,0.0573
average,cityblock,maxclust,5,0.0618
average,cityblock,maxclust,6,0.0565
average,cityblock,maxclust,7,0.0469
average,cityblock,maxclust,8,0.0542
average,cityblock,maxclust,9,0.054
average,cityblock,maxclust,10,0.0509
average,cityblock,maxclust,11,0.0572
average,cityblock,maxclust,12,0.0598
average,cityblock,maxclust,13,0.0637
average,cityblock,maxclust,14,0.0697
average,cityblock,maxclust,15,0.0751
average,cityblock,maxclust,16,0.0824
average,cityblock,maxclust,17,0.0794
average,cityblock,maxclust,18,0.0801
average,cityblock,maxclust,19,0.0831
average,cityblock,maxclust,20,0.0866
average,cityblock,maxclust,21,0.0871
average,cityblock,maxclust,22,0.0855
average,cityblock,maxclust,23,0.0829
average,cityblock,maxclust,24,0.0857
average,cityblock,maxclust,25,0.0904
average,cityblock,distance,5.0,0.0003
average,cityblock,distance,10.0,0.0053
average,cityblock,distance,15.0,0.0095
average,cityblock,distance,20.0,0.0257
average,cosine,maxclust,2,0.0756
average,cosine,maxclust,3,0.055
average,cosine,maxclust,4,0.0552
average,cosine,maxclust,5,0.049
average,cosine,maxclust,6,0.0604
average,cosine,maxclust,7,0.061
average,cosine,maxclust,8,0.0619
average,cosine,maxclust,9,0.0685
average,cosine,maxclust,10,0.0673
average,cosine,maxclust,11,0.0667
average,cosine,maxclust,12,0.0733
average,cosine,maxclust,13,0.0718
average,cosine,maxclust,14,0.0737
average,cosine,maxclust,15,0.0762
average,cosine,maxclust,16,0.08
average,cosine,maxclust,17,0.0855
average,cosine,maxclust,18,0.091
average,cosine,maxclust,19,0.0913
average,cosine,maxclust,20,0.093
average,cosine,maxclust,21,0.0943
average,cosine,maxclust,22,0.0957
average,cosine,maxclust,23,0.1011
average,cosine,maxclust,24,0.0991
average,cosine,maxclust,25,0.0975
average,correlation,maxclust,2,0.0756
average,correlation,maxclust,3,0.055
average,correlation,maxclust,4,0.0552
average,correlation,maxclust,5,0.049
average,correlation,maxclust,6,0.0604
average,correlation,maxclust,7,0.061
average,correlation,maxclust,8,0.0619
average,correlation,maxclust,9,0.0685
average,correlation,maxclust,10,0.0672
average,correlation,maxclust,11,0.0667
average,correlation,maxclust,12,0.0733
average,correlation,maxclust,13,0.0718
average,correlation,maxclust,14,0.0737
average,correlation,maxclust,15,0.0762
average,correlation,maxclust,16,0.08
average,correlation,maxclust,17,0.0855
average,correlation,maxclust,18,0.091
average,correlation,maxclust,19,0.0913
average,correlation,maxclust,20,0.093
average,correlation,maxclust,21,0.0943
average,correlation,maxclust,22,0.0957
average,correlation,maxclust,23,0.1011
average,correlation,maxclust,24,0.0991
average,correlation,maxclust,25,0.0975
complete,euclidean,maxclust,2,0.0491
complete,euclidean,maxclust,3,0.0355
complete,euclidean,maxclust,4,0.028
complete,euclidean,maxclust,5,0.0289
complete,euclidean,maxclust,6,0.0238
complete,euclidean,maxclust,7,0.026
complete,euclidean,maxclust,8,0.0284
complete,euclidean,maxclust,9,0.0314
complete,euclidean,maxclust,10,0.0328
complete,euclidean,maxclust,11,0.0355
complete,euclidean,maxclust,12,0.0371
complete,euclidean,maxclust,13,0.0359
complete,euclidean,maxclust,14,0.0378
complete,euclidean,maxclust,15,0.0366
complete,euclidean,maxclust,16,0.0417
complete,euclidean,maxclust,17,0.0389
complete,euclidean,maxclust,18,0.0376
complete,euclidean,maxclust,19,0.0377
complete,euclidean,maxclust,20,0.0363
complete,euclidean,maxclust,21,0.0336
complete,euclidean,maxclust,22,0.0353
complete,euclidean,maxclust,23,0.0341
complete,euclidean,maxclust,24,0.0356
complete,euclidean,maxclust,25,0.035
complete,euclidean,distance,5.0,0.2467
complete,euclidean,distance,10.0,0.0928
complete,euclidean,distance,15.0,0.05
complete,euclidean,distance,20.0,0.0418
complete,cityblock,maxclust,2,0.044
complete,cityblock,maxclust,3,0.043
complete,cityblock,maxclust,4,0.0439
complete,cityblock,maxclust,5,0.036
complete,cityblock,maxclust,6,0.0331
complete,cityblock,maxclust,7,0.032
complete,cityblock,maxclust,8,0.0232
complete,cityblock,maxclust,9,0.0227
complete,cityblock,maxclust,10,0.023
complete,cityblock,maxclust,11,0.028
complete,cityblock,maxclust,12,0.0262
complete,cityblock,maxclust,13,0.0328
complete,cityblock,maxclust,14,0.0403
complete,cityblock,maxclust,15,0.0344
complete,cityblock,maxclust,16,0.0376
complete,cityblock,maxclust,17,0.0351
complete,cityblock,maxclust,18,0.0421
complete,cityblock,maxclust,19,0.0394
complete,cityblock,maxclust,20,0.0383
complete,cityblock,maxclust,21,0.0384
complete,cityblock,maxclust,22,0.0379
complete,cityblock,maxclust,23,0.0391
complete,cityblock,maxclust,24,0.0363
complete,cityblock,maxclust,25,0.0389
complete,cityblock,distance,5.0,0.0003
complete,cityblock,distance,10.0,0.005
complete,cityblock,distance,15.0,0.0084
complete,cityblock,distance,20.0,0.0243
complete,cosine,maxclust,2,0.0634
complete,cosine,maxclust,3,0.0475
complete,cosine,maxclust,4,0.0408
complete,cosine,maxclust,5,0.0331
complete,cosine,maxclust,6,0.0308
complete,cosine,maxclust,7,0.0294
complete,cosine,maxclust,8,0.0359
complete,cosine,maxclust,9,0.038
complete,cosine,maxclust,10,0.0476
complete,cosine,maxclust,11,0.0449
complete,cosine,maxclust,12,0.0404
complete,cosine,maxclust,13,0.0426
complete,cosine,maxclust,14,0.0424
complete,cosine,maxclust,15,0.0459
complete,cosine,maxclust,16,0.0466
complete,cosine,maxclust,17,0.0524
complete,cosine,maxclust,18,0.0531
complete,cosine,maxclust,19,0.0513
complete,cosine,maxclust,20,0.0555
complete,cosine,maxclust,21,0.0563
complete,cosine,maxclust,22,0.055
complete,cosine,maxclust,23,0.0538
complete,cosine,maxclust,24,0.0542
complete,cosine,maxclust,25,0.0528
complete,correlation,maxclust,2,0.0528
complete,correlation,maxclust,3,0.0388
complete,correlation,maxclust,4,0.0405
complete,correlation,maxclust,5,0.0412
complete,correlation,maxclust,6,0.0358
complete,correlation,maxclust,7,0.0313
complete,correlation,maxclust,8,0.0377
complete,correlation,maxclust,9,0.045
complete,correlation,maxclust,10,0.041
complete,correlation,maxclust,11,0.0494
complete,correlation,maxclust,12,0.0493
complete,correlation,maxclust,13,0.0475
complete,correlation,maxclust,14,0.0523
complete,correlation,maxclust,15,0.0517
complete,correlation,maxclust,16,0.044
complete,correlation,maxclust,17,0.0479
complete,correlation,maxclust,18,0.0463
complete,correlation,maxclust,19,0.0464
complete,correlation,maxclust,20,0.0483
complete,correlation,maxclust,21,0.0474
complete,correlation,maxclust,22,0.046
complete,correlation,maxclust,23,0.0481
complete,correlation,maxclust,24,0.045
complete,correlation,maxclust,25,0.045
single,euclidean,maxclust,2,-0.0016
single,euclidean,maxclust,3,-0.0074
single,euclidean,maxclust,4,-0.0136
single,euclidean,maxclust,5,-0.0194
single,euclidean,maxclust,6,-0.0252
single,euclidean,maxclust,7,-0.0309
single,euclidean,maxclust,8,-0.0363
single,euclidean,maxclust,9,-0.0418
single,euclidean,maxclust,10,-0.0753
single,euclidean,maxclust,11,-0.1108
single,euclidean,maxclust,12,-0.1137
single,euclidean,maxclust,13,-0.1166
single,euclidean,maxclust,14,-0.1192
single,euclidean,maxclust,15,-0.1212
single,euclidean,maxclust,16,-0.1239
single,euclidean,maxclust,17,-0.1259
single,euclidean,maxclust,18,-0.1282
single,euclidean,maxclust,19,-0.1306
single,euclidean,maxclust,20,-0.1323
single,euclidean,maxclust,21,-0.1342
single,euclidean,maxclust,22,-0.1359
single,euclidean,maxclust,23,-0.138
single,euclidean,maxclust,24,-0.1394
single,euclidean,maxclust,25,-0.141
single,euclidean,distance,5.0,-0.2203
single,cityblock,maxclust,2,-0.0016
single,cityblock,maxclust,3,-0.0474
single,cityblock,maxclust,4,-0.0925
single,cityblock,maxclust,5,-0.096
single,cityblock,maxclust,6,-0.0989
single,cityblock,maxclust,7,-0.1014
single,cityblock,maxclust,8,-0.1064
single,cityblock,maxclust,9,-0.1076
single,cityblock,maxclust,10,-0.1107
single,cityblock,maxclust,11,-0.1131
single,cityblock,maxclust,12,-0.1154
single,cityblock,maxclust,13,-0.1176
single,cityblock,maxclust,14,-0.1203
single,cityblock,maxclust,15,-0.123
single,cityblock,maxclust,16,-0.125
