linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0958
ward,euclidean,maxclust,3,0.1156
ward,euclidean,maxclust,4,0.1128
ward,euclidean,maxclust,5,0.1064
ward,euclidean,maxclust,6,0.1148
ward,euclidean,maxclust,7,0.1217
ward,euclidean,maxclust,8,0.1309
ward,euclidean,maxclust,9,0.1463
ward,euclidean,maxclust,10,0.1532
ward,euclidean,maxclust,11,0.1632
ward,euclidean,maxclust,12,0.1619
ward,euclidean,maxclust,13,0.1616
ward,euclidean,maxclust,14,0.171
ward,euclidean,maxclust,15,0.1724
ward,euclidean,maxclust,16,0.1762
ward,euclidean,maxclust,17,0.1779
ward,euclidean,maxclust,18,0.1691
ward,euclidean,maxclust,19,0.171
ward,euclidean,maxclust,20,0.1686
ward,euclidean,maxclust,21,0.1651
ward,euclidean,maxclust,22,0.1581
ward,euclidean,maxclust,23,0.1605
ward,euclidean,maxclust,24,0.1578
ward,euclidean,maxclust,25,0.1597
ward,euclidean,distance,5.0,0.0503
ward,euclidean,distance,10.0,0.076
ward,euclidean,distance,15.0,0.0582
ward,euclidean,distance,20.0,0.0487
average,euclidean,maxclust,2,0.0997
average,euclidean,maxclust,3,0.109
average,euclidean,maxclust,4,0.1046
average,euclidean,maxclust,5,0.1102
average,euclidean,maxclust,6,0.1225
average,euclidean,maxclust,7,0.1155
average,euclidean,maxclust,8,0.1105
average,euclidean,maxclust,9,0.1052
average,euclidean,maxclust,10,0.1183
average,euclidean,maxclust,11,0.1185
average,euclidean,maxclust,12,0.1171
average,euclidean,maxclust,13,0.127
average,euclidean,maxclust,14,0.1301
average,euclidean,maxclust,15,0.1274
average,euclidean,maxclust,16,0.1411
average,euclidean,maxclust,17,0.1395
average,euclidean,maxclust,18,0.1341
average,euclidean,maxclust,19,0.1332
average,euclidean,maxclust,20,0.132
average,euclidean,maxclust,21,0.1306
average,euclidean,maxclust,22,0.1474
average,euclidean,maxclust,23,0.1637
average,euclidean,maxclust,24,0.1625
average,euclidean,maxclust,25,0.1619
average,euclidean,distance,5.0,0.0396
average,euclidean,distance,10.0,0.1349
average,euclidean,distance,15.0,0.1509
average,cityblock,maxclust,2,0.0991
average,cityblock,maxclust,3,0.1165
average,cityblock,maxclust,4,0.1226
average,cityblock,maxclust,5,0.1219
average,cityblock,maxclust,6,0.1208
average,cityblock,maxclust,7,0.1197
average,cityblock,maxclust,8,0.133
average,cityblock,maxclust,9,0.1467
average,cityblock,maxclust,10,0.1644
average,cityblock,maxclust,11,0.1639
average,cityblock,maxclust,12,0.1783
average,cityblock,maxclust,13,0.1816
average,cityblock,maxclust,14,0.1815
average,cityblock,maxclust,15,0.1776
average,cityblock,maxclust,16,0.1754
average,cityblock,maxclust,17,0.1811
average,cityblock,maxclust,18,0.1806
average,cityblock,maxclust,19,0.1775
average,cityblock,maxclust,20,0.1773
average,cityblock,maxclust,21,0.176
average,cityblock,maxclust,22,0.1738
average,cityblock,maxclust,23,0.1778
average,cityblock,maxclust,24,0.1768
average,cityblock,maxclust,25,0.1765
average,cityblock,distance,15.0,0.0031
