linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1376
ward,euclidean,maxclust,3,0.1135
ward,euclidean,maxclust,4,0.0979
ward,euclidean,maxclust,5,0.1031
ward,euclidean,maxclust,6,0.0876
ward,euclidean,maxclust,7,0.0759
ward,euclidean,maxclust,8,0.0701
ward,euclidean,maxclust,9,0.0765
ward,euclidean,maxclust,10,0.0758
ward,euclidean,maxclust,11,0.0783
ward,euclidean,maxclust,12,0.0798
ward,euclidean,maxclust,13,0.08
ward,euclidean,maxclust,14,0.0649
ward,euclidean,maxclust,15,0.064
ward,euclidean,maxclust,16,0.0666
ward,euclidean,maxclust,17,0.0737
ward,euclidean,maxclust,18,0.0793
ward,euclidean,maxclust,19,0.0809
ward,euclidean,maxclust,20,0.0754
ward,euclidean,maxclust,21,0.0715
ward,euclidean,maxclust,22,0.0663
ward,euclidean,maxclust,23,0.0685
ward,euclidean,maxclust,24,0.0698
ward,euclidean,maxclust,25,0.0648
ward,euclidean,distance,5.0,0.1169
ward,euclidean,distance,10.0,0.1079
ward,euclidean,distance,15.0,0.0723
ward,euclidean,distance,20.0,0.0532
average,euclidean,maxclust,2,0.1383
average,euclidean,maxclust,3,0.1268
average,euclidean,maxclust,4,0.1139
average,euclidean,maxclust,5,0.1038
average,euclidean,maxclust,6,0.0938
average,euclidean,maxclust,7,0.0904
average,euclidean,maxclust,8,0.0876
average,euclidean,maxclust,9,0.0838
average,euclidean,maxclust,10,0.0778
average,euclidean,maxclust,11,0.0728
average,euclidean,maxclust,12,0.0754
average,euclidean,maxclust,13,0.0801
average,euclidean,maxclust,14,0.0763
average,euclidean,maxclust,15,0.0742
average,euclidean,maxclust,16,0.0717
average,euclidean,maxclust,17,0.0697
average,euclidean,maxclust,18,0.0689
average,euclidean,maxclust,19,0.0658
average,euclidean,maxclust,20,0.0627
average,euclidean,maxclust,21,0.0646
average,euclidean,maxclust,22,0.0723
average,euclidean,maxclust,23,0.0712
average,euclidean,maxclust,24,0.0704
average,euclidean,maxclust,25,0.074
average,euclidean,distance,5.0,0.0847
average,euclidean,distance,10.0,0.0739
average,euclidean,distance,15.0,0.0673
average,cityblock,maxclust,2,0.1436
average,cityblock,maxclust,3,0.1161
average,cityblock,maxclust,4,0.0991
average,cityblock,maxclust,5,0.0927
average,cityblock,maxclust,6,0.0941
average,cityblock,maxclust,7,0.0835
average,cityblock,maxclust,8,0.0931
average,cityblock,maxclust,9,0.0877
average,cityblock,maxclust,10,0.09
average,cityblock,maxclust,11,0.0835
average,cityblock,maxclust,12,0.0914
average,cityblock,maxclust,13,0.0899
average,cityblock,maxclust,14,0.098
average,cityblock,maxclust,15,0.0955
average,cityblock,maxclust,16,0.0939
average,cityblock,maxclust,17,0.0928
average,cityblock,maxclust,18,0.0908
average,cityblock,maxclust,19,0.0901
average,cityblock,maxclust,20,0.09
average,cityblock,maxclust,21,0.0869
average,cityblock,maxclust,22,0.0856
average,cityblock,maxclust,23,0.0849
average,cityblock,maxclust,24,0.083
average,cityblock,maxclust,25,0.083
average,cityblock,distance,10.0,0.0006
average,cityblock,distance,15.0,0.0054
average,cityblock,distance,20.0,0.0394
average,cosine,maxclust,2,0.142
average,cosine,maxclust,3,0.123
average,cosine,maxclust,4,0.1184
average,cosine,maxclust,5,0.1047
average,cosine,maxclust,6,0.0937
average,cosine,maxclust,7,0.0905
average,cosine,maxclust,8,0.092
average,cosine,maxclust,9,0.0857
average,cosine,maxclust,10,0.0831
average,cosine,maxclust,11,0.0812
average,cosine,maxclust,12,0.0939
average,cosine,maxclust,13,0.0909
average,cosine,maxclust,14,0.0848
average,cosine,maxclust,15,0.0872
average,cosine,maxclust,16,0.0862
average,cosine,maxclust,17,0.0849
average,cosine,maxclust,18,0.0821
average,cosine,maxclust,19,0.0806
average,cosine,maxclust,20,0.0801
average,cosine,maxclust,21,0.0783
average,cosine,maxclust,22,0.08
average,cosine,maxclust,23,0.079
