linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1289
ward,euclidean,maxclust,3,0.1433
ward,euclidean,maxclust,4,0.1435
ward,euclidean,maxclust,5,0.1479
ward,euclidean,maxclust,6,0.1623
ward,euclidean,maxclust,7,0.1789
ward,euclidean,maxclust,8,0.1934
ward,euclidean,maxclust,9,0.2103
ward,euclidean,maxclust,10,0.2017
ward,euclidean,maxclust,11,0.1947
ward,euclidean,maxclust,12,0.1994
ward,euclidean,maxclust,13,0.1989
ward,euclidean,maxclust,14,0.2022
ward,euclidean,maxclust,15,0.2113
ward,euclidean,maxclust,16,0.2087
ward,euclidean,maxclust,17,0.2175
ward,euclidean,maxclust,18,0.2062
ward,euclidean,maxclust,19,0.1971
ward,euclidean,maxclust,20,0.1877
ward,euclidean,maxclust,21,0.1838
ward,euclidean,maxclust,22,0.1858
ward,euclidean,maxclust,23,0.1782
ward,euclidean,maxclust,24,0.1847
ward,euclidean,maxclust,25,0.1782
ward,euclidean,distance,5.0,0.1612
ward,euclidean,distance,10.0,0.098
ward,euclidean,distance,15.0,0.0738
ward,euclidean,distance,20.0,0.0618
average,euclidean,maxclust,2,0.1497
average,euclidean,maxclust,3,0.1449
average,euclidean,maxclust,4,0.1364
average,euclidean,maxclust,5,0.1457
average,euclidean,maxclust,6,0.1734
average,euclidean,maxclust,7,0.1702
average,euclidean,maxclust,8,0.1891
average,euclidean,maxclust,9,0.1917
average,euclidean,maxclust,10,0.2166
average,euclidean,maxclust,11,0.2278
average,euclidean,maxclust,12,0.225
average,euclidean,maxclust,13,0.2246
average,euclidean,maxclust,14,0.2242
average,euclidean,maxclust,15,0.2289
average,euclidean,maxclust,16,0.2261
average,euclidean,maxclust,17,0.2256
average,euclidean,maxclust,18,0.2294
average,euclidean,maxclust,19,0.2286
average,euclidean,maxclust,20,0.2286
average,euclidean,maxclust,21,0.2269
average,euclidean,maxclust,22,0.2248
average,euclidean,maxclust,23,0.2245
average,euclidean,maxclust,24,0.2229
average,euclidean,maxclust,25,0.2226
average,euclidean,distance,5.0,0.1107
average,euclidean,distance,10.0,0.1581
average,euclidean,distance,15.0,0.2242
average,cityblock,maxclust,2,0.1452
average,cityblock,maxclust,3,0.1369
average,cityblock,maxclust,4,0.1428
average,cityblock,maxclust,5,0.1511
average,cityblock,maxclust,6,0.1501
average,cityblock,maxclust,7,0.1776
average,cityblock,maxclust,8,0.1905
average,cityblock,maxclust,9,0.1876
average,cityblock,maxclust,10,0.188
average,cityblock,maxclust,11,0.1856
average,cityblock,maxclust,12,0.2012
average,cityblock,maxclust,13,0.2041
average,cityblock,maxclust,14,0.2038
average,cityblock,maxclust,15,0.2257
average,cityblock,maxclust,16,0.2237
average,cityblock,maxclust,17,0.2358
average,cityblock,maxclust,18,0.2347
average,cityblock,maxclust,19,0.231
average,cityblock,maxclust,20,0.2283
average,cityblock,maxclust,21,0.2312
average,cityblock,maxclust,22,0.2302
average,cityblock,maxclust,23,0.2302
average,cityblock,maxclust,24,0.2281
average,cityblock,maxclust,25,0.2276
average,cityblock,distance,10.0,0.0007
average,cityblock,distance,15.0,0.0092
average,cityblock,distance,20.0,0.0791
average,cosine,maxclust,2,0.1497
average,cosine,maxclust,3,0.1356
average,cosine,maxclust,4,0.1419
average,cosine,maxclust,5,0.1494
average,cosine,maxclust,6,0.1482
average,cosine,maxclust,7,0.1552
average,cosine,maxclust,8,0.1853
average,cosine,maxclust,9,0.1864
average,cosine,maxclust,10,0.182
average,cosine,maxclust,11,0.2004
average,cosine,maxclust,12,0.2235
average,cosine,maxclust,13,0.237
average,cosine,maxclust,14,0.2364
average,cosine,maxclust,15,0.2325
average,cosine,maxclust,16,0.2317
average,cosine,maxclust,17,0.234
average,cosine,maxclust,18,0.2338
average,cosine,maxclust,19,0.2319
average,cosine,maxclust,20,0.2294
average,cosine,maxclust,21,0.2269
average,cosine,maxclust,22,0.2247
average,cosine,maxclust,23,0.2218
average,cosine,maxclust,24,0.2204
average,cosine,maxclust,25,0.2195
average,correlation,maxclust,2,0.1497
average,correlation,maxclust,3,0.1356
average,correlation,maxclust,4,0.1419
average,correlation,maxclust,5,0.1494
average,correlation,maxclust,6,0.1482
average,correlation,maxclust,7,0.1552
average,correlation,maxclust,8,0.1853
average,correlation,maxclust,9,0.1864
average,correlation,maxclust,10,0.182
average,correlation,maxclust,11,0.2004
average,correlation,maxclust,12,0.2235
average,correlation,maxclust,13,0.237
average,correlation,maxclust,14,0.2364
average,correlation,maxclust,15,0.2325
average,correlation,maxclust,16,0.2317
average,correlation,maxclust,17,0.234
average,correlation,maxclust,18,0.2338
average,correlation,maxclust,19,0.2319
average,correlation,maxclust,20,0.2294
average,correlation,maxclust,21,0.2269
average,correlation,maxclust,22,0.2247
average,correlation,maxclust,23,0.2218
average,correlation,maxclust,24,0.2204
average,correlation,maxclust,25,0.2195
complete,euclidean,maxclust,2,0.0852
complete,euclidean,maxclust,3,0.0955
complete,euclidean,maxclust,4,0.0883
complete,euclidean,maxclust,5,0.0967
complete,euclidean,maxclust,6,0.0822
complete,euclidean,maxclust,7,0.0876
complete,euclidean,maxclust,8,0.0825
complete,euclidean,maxclust,9,0.1003
complete,euclidean,maxclust,10,0.101
complete,euclidean,maxclust,11,0.1068
complete,euclidean,maxclust,12,0.1077
complete,euclidean,maxclust,13,0.0954
complete,euclidean,maxclust,14,0.0873
complete,euclidean,maxclust,15,0.0887
complete,euclidean,maxclust,16,0.0971
complete,euclidean,maxclust,17,0.0982
complete,euclidean,maxclust,18,0.115
complete,euclidean,maxclust,19,0.1148
complete,euclidean,maxclust,20,0.1295
complete,euclidean,maxclust,21,0.1365
complete,euclidean,maxclust,22,0.1228
complete,euclidean,maxclust,23,0.1226
complete,euclidean,maxclust,24,0.122
complete,euclidean,maxclust,25,0.1223
complete,euclidean,distance,5.0,0.1068
complete,euclidean,distance,10.0,0.0684
complete,euclidean,distance,15.0,0.1378
complete,euclidean,distance,20.0,0.1536
complete,cityblock,maxclust,2,0.1346
complete,cityblock,maxclust,3,0.1229
complete,cityblock,maxclust,4,0.1018
complete,cityblock,maxclust,5,0.1033
complete,cityblock,maxclust,6,0.108
complete,cityblock,maxclust,7,0.1158
complete,cityblock,maxclust,8,0.1217
