linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1461
ward,euclidean,maxclust,3,0.1258
ward,euclidean,maxclust,4,0.1025
ward,euclidean,maxclust,5,0.0856
ward,euclidean,maxclust,6,0.0843
ward,euclidean,maxclust,7,0.0906
ward,euclidean,maxclust,8,0.0978
ward,euclidean,maxclust,9,0.1077
ward,euclidean,maxclust,10,0.1131
ward,euclidean,maxclust,11,0.123
ward,euclidean,maxclust,12,0.1234
ward,euclidean,maxclust,13,0.1278
ward,euclidean,maxclust,14,0.1248
ward,euclidean,maxclust,15,0.1327
ward,euclidean,maxclust,16,0.1257
ward,euclidean,maxclust,17,0.1279
ward,euclidean,maxclust,18,0.1303
ward,euclidean,maxclust,19,0.1238
ward,euclidean,maxclust,20,0.1256
ward,euclidean,maxclust,21,0.1262
ward,euclidean,maxclust,22,0.1239
ward,euclidean,maxclust,23,0.1248
ward,euclidean,maxclust,24,0.1286
ward,euclidean,maxclust,25,0.1266
ward,euclidean,distance,5.0,0.2238
ward,euclidean,distance,10.0,0.1443
ward,euclidean,distance,15.0,0.1054
ward,euclidean,distance,20.0,0.0892
average,euclidean,maxclust,2,0.1486
average,euclidean,maxclust,3,0.1276
average,euclidean,maxclust,4,0.1074
average,euclidean,maxclust,5,0.1238
average,euclidean,maxclust,6,0.1247
average,euclidean,maxclust,7,0.1247
average,euclidean,maxclust,8,0.1211
average,euclidean,maxclust,9,0.117
average,euclidean,maxclust,10,0.1225
average,euclidean,maxclust,11,0.1223
average,euclidean,maxclust,12,0.1069
average,euclidean,maxclust,13,0.1053
average,euclidean,maxclust,14,0.102
average,euclidean,maxclust,15,0.1105
average,euclidean,maxclust,16,0.1072
average,euclidean,maxclust,17,0.1049
average,euclidean,maxclust,18,0.0971
average,euclidean,maxclust,19,0.0941
average,euclidean,maxclust,20,0.0873
average,euclidean,maxclust,21,0.0866
average,euclidean,maxclust,22,0.0825
average,euclidean,maxclust,23,0.0986
average,euclidean,maxclust,24,0.0928
average,euclidean,maxclust,25,0.1008
average,euclidean,distance,5.0,0.1773
average,euclidean,distance,10.0,0.1173
average,euclidean,distance,15.0,0.0873
average,cityblock,maxclust,2,0.1488
average,cityblock,maxclust,3,0.1298
average,cityblock,maxclust,4,0.1199
average,cityblock,maxclust,5,0.1192
average,cityblock,maxclust,6,0.1226
average,cityblock,maxclust,7,0.1169
average,cityblock,maxclust,8,0.1202
average,cityblock,maxclust,9,0.1101
average,cityblock,maxclust,10,0.1043
average,cityblock,maxclust,11,0.1014
average,cityblock,maxclust,12,0.0911
average,cityblock,maxclust,13,0.0886
average,cityblock,maxclust,14,0.0875
average,cityblock,maxclust,15,0.0937
average,cityblock,maxclust,16,0.102
average,cityblock,maxclust,17,0.095
average,cityblock,maxclust,18,0.1077
average,cityblock,maxclust,19,0.1025
average,cityblock,maxclust,20,0.1005
average,cityblock,maxclust,21,0.1059
average,cityblock,maxclust,22,0.1051
average,cityblock,maxclust,23,0.1059
average,cityblock,maxclust,24,0.1163
average,cityblock,maxclust,25,0.1159
average,cityblock,distance,10.0,0.0012
average,cityblock,distance,15.0,0.0062
average,cityblock,distance,20.0,0.0437
average,cosine,maxclust,2,0.1443
average,cosine,maxclust,3,0.1325
average,cosine,maxclust,4,0.1197
average,cosine,maxclust,5,0.1208
average,cosine,maxclust,6,0.1145
average,cosine,maxclust,7,0.1121
average,cosine,maxclust,8,0.1089
average,cosine,maxclust,9,0.1138
average,cosine,maxclust,10,0.1126
average,cosine,maxclust,11,0.1073
average,cosine,maxclust,12,0.1037
average,cosine,maxclust,13,0.1013
average,cosine,maxclust,14,0.1096
average,cosine,maxclust,15,0.1064
average,cosine,maxclust,16,0.1066
average,cosine,maxclust,17,0.1035
average,cosine,maxclust,18,0.1007
average,cosine,maxclust,19,0.1003
average,cosine,maxclust,20,0.0963
average,cosine,maxclust,21,0.0951
average,cosine,maxclust,22,0.0937
average,cosine,maxclust,23,0.0978
average,cosine,maxclust,24,0.0936
average,cosine,maxclust,25,0.091
average,correlation,maxclust,2,0.1441
average,correlation,maxclust,3,0.1324
average,correlation,maxclust,4,0.1173
average,correlation,maxclust,5,0.1148
average,correlation,maxclust,6,0.1213
average,correlation,maxclust,7,0.1164
average,correlation,maxclust,8,0.1132
