linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1256
ward,euclidean,maxclust,3,0.124
ward,euclidean,maxclust,4,0.1407
ward,euclidean,maxclust,5,0.1678
ward,euclidean,maxclust,6,0.1708
ward,euclidean,maxclust,7,0.193
ward,euclidean,maxclust,8,0.2129
ward,euclidean,maxclust,9,0.2129
ward,euclidean,maxclust,10,0.2279
ward,euclidean,maxclust,11,0.2442
ward,euclidean,maxclust,12,0.2555
ward,euclidean,maxclust,13,0.252
ward,euclidean,maxclust,14,0.2459
ward,euclidean,maxclust,15,0.246
ward,euclidean,maxclust,16,0.2444
ward,euclidean,maxclust,17,0.2488
ward,euclidean,maxclust,18,0.2402
ward,euclidean,maxclust,19,0.2374
ward,euclidean,maxclust,20,0.2249
ward,euclidean,maxclust,21,0.217
ward,euclidean,maxclust,22,0.2135
ward,euclidean,maxclust,23,0.21
ward,euclidean,maxclust,24,0.21
ward,euclidean,maxclust,25,0.213
ward,euclidean,distance,5.0,0.1249
ward,euclidean,distance,10.0,0.0735
ward,euclidean,distance,15.0,0.0647
ward,euclidean,distance,20.0,0.0636
average,euclidean,maxclust,2,0.1168
average,euclidean,maxclust,3,0.1394
average,euclidean,maxclust,4,0.1464
average,euclidean,maxclust,5,0.169
average,euclidean,maxclust,6,0.1863
average,euclidean,maxclust,7,0.1866
average,euclidean,maxclust,8,0.1942
average,euclidean,maxclust,9,0.2116
average,euclidean,maxclust,10,0.2276
average,euclidean,maxclust,11,0.2495
average,euclidean,maxclust,12,0.2744
average,euclidean,maxclust,13,0.2729
average,euclidean,maxclust,14,0.2776
average,euclidean,maxclust,15,0.2701
average,euclidean,maxclust,16,0.2706
average,euclidean,maxclust,17,0.2702
average,euclidean,maxclust,18,0.2664
average,euclidean,maxclust,19,0.2651
average,euclidean,maxclust,20,0.2629
average,euclidean,maxclust,21,0.2625
average,euclidean,maxclust,22,0.2624
average,euclidean,maxclust,23,0.2615
average,euclidean,maxclust,24,0.262
average,euclidean,maxclust,25,0.2625
average,euclidean,distance,5.0,0.089
average,euclidean,distance,10.0,0.2279
average,euclidean,distance,15.0,0.2706
average,cityblock,maxclust,2,0.1201
average,cityblock,maxclust,3,0.1332
average,cityblock,maxclust,4,0.154
average,cityblock,maxclust,5,0.1722
average,cityblock,maxclust,6,0.1882
average,cityblock,maxclust,7,0.2069
average,cityblock,maxclust,8,0.2341
average,cityblock,maxclust,9,0.2375
average,cityblock,maxclust,10,0.237
average,cityblock,maxclust,11,0.2592
average,cityblock,maxclust,12,0.2556
average,cityblock,maxclust,13,0.2563
average,cityblock,maxclust,14,0.2511
average,cityblock,maxclust,15,0.2465
average,cityblock,maxclust,16,0.2482
average,cityblock,maxclust,17,0.2443
average,cityblock,maxclust,18,0.2356
average,cityblock,maxclust,19,0.2298
average,cityblock,maxclust,20,0.2389
average,cityblock,maxclust,21,0.2359
average,cityblock,maxclust,22,0.2279
average,cityblock,maxclust,23,0.2364
average,cityblock,maxclust,24,0.2402
average,cityblock,maxclust,25,0.2372
average,cityblock,distance,10.0,0.0001
average,cityblock,distance,15.0,0.0059
average,cityblock,distance,20.0,0.0567
average,cosine,maxclust,2,0.1248
average,cosine,maxclust,3,0.1408
average,cosine,maxclust,4,0.144
average,cosine,maxclust,5,0.1746
average,cosine,maxclust,6,0.1967
average,cosine,maxclust,7,0.1952
average,cosine,maxclust,8,0.2152
average,cosine,maxclust,9,0.2336
average,cosine,maxclust,10,0.245
average,cosine,maxclust,11,0.2444
average,cosine,maxclust,12,0.251
average,cosine,maxclust,13,0.2512
average,cosine,maxclust,14,0.2571
average,cosine,maxclust,15,0.2546
average,cosine,maxclust,16,0.2566
average,cosine,maxclust,17,0.2561
average,cosine,maxclust,18,0.2565
average,cosine,maxclust,19,0.2564
average,cosine,maxclust,20,0.2548
average,cosine,maxclust,21,0.2559
average,cosine,maxclust,22,0.2526
average,cosine,maxclust,23,0.2532
average,cosine,maxclust,24,0.2538
average,cosine,maxclust,25,0.253
average,correlation,maxclust,2,0.1248
average,correlation,maxclust,3,0.1408
average,correlation,maxclust,4,0.144
average,correlation,maxclust,5,0.1746
average,correlation,maxclust,6,0.1967
average,correlation,maxclust,7,0.1952
average,correlation,maxclust,8,0.2152
average,correlation,maxclust,9,0.2336
average,correlation,maxclust,10,0.245
average,correlation,maxclust,11,0.2444
average,correlation,maxclust,12,0.251
average,correlation,maxclust,13,0.2512
average,correlation,maxclust,14,0.2571
average,correlation,maxclust,15,0.2546
average,correlation,maxclust,16,0.2566
average,correlation,maxclust,17,0.2561
average,correlation,maxclust,18,0.2565
average,correlation,maxclust,19,0.2564
average,correlation,maxclust,20,0.2548
average,correlation,maxclust,21,0.2559
average,correlation,maxclust,22,0.2526
average,correlation,maxclust,23,0.2532
average,correlation,maxclust,24,0.2538
average,correlation,maxclust,25,0.253
complete,euclidean,maxclust,2,0.1165
complete,euclidean,maxclust,3,0.1069
complete,euclidean,maxclust,4,0.125
complete,euclidean,maxclust,5,0.1498
complete,euclidean,maxclust,6,0.1548
complete,euclidean,maxclust,7,0.1566
complete,euclidean,maxclust,8,0.1629
complete,euclidean,maxclust,9,0.1626
complete,euclidean,maxclust,10,0.146
complete,euclidean,maxclust,11,0.1551
complete,euclidean,maxclust,12,0.1637
complete,euclidean,maxclust,13,0.1629
complete,euclidean,maxclust,14,0.1605
complete,euclidean,maxclust,15,0.1721
complete,euclidean,maxclust,16,0.1698
complete,euclidean,maxclust,17,0.1599
complete,euclidean,maxclust,18,0.168
complete,euclidean,maxclust,19,0.182
complete,euclidean,maxclust,20,0.1837
complete,euclidean,maxclust,21,0.1862
complete,euclidean,maxclust,22,0.2045
complete,euclidean,maxclust,23,0.2053
complete,euclidean,maxclust,24,0.2067
complete,euclidean,maxclust,25,0.223
complete,euclidean,distance,5.0,0.0885
complete,euclidean,distance,10.0,0.081
complete,euclidean,distance,15.0,0.1805
complete,euclidean,distance,20.0,0.223
complete,cityblock,maxclust,2,0.1008
complete,cityblock,maxclust,3,0.0896
complete,cityblock,maxclust,4,0.1186
complete,cityblock,maxclust,5,0.1237
complete,cityblock,maxclust,6,0.1406
complete,cityblock,maxclust,7,0.143
complete,cityblock,maxclust,8,0.1522
complete,cityblock,maxclust,9,0.1614
complete,cityblock,maxclust,10,0.1655
complete,cityblock,maxclust,11,0.1702
complete,cityblock,maxclust,12,0.1917
complete,cityblock,maxclust,13,0.1926
complete,cityblock,maxclust,14,0.1826
complete,cityblock,maxclust,15,0.1821
complete,cityblock,maxclust,16,0.188
complete,cityblock,maxclust,17,0.189
complete,cityblock,maxclust,18,0.1866
complete,cityblock,maxclust,19,0.1899
complete,cityblock,maxclust,20,0.1816
complete,cityblock,maxclust,21,0.1925
complete,cityblock,maxclust,22,0.1878
complete,cityblock,maxclust,23,0.1966
complete,cityblock,maxclust,24,0.2082
complete,cityblock,maxclust,25,0.2118
complete,cityblock,distance,10.0,0.0001
