linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1445
ward,euclidean,maxclust,3,0.1314
ward,euclidean,maxclust,4,0.1226
ward,euclidean,maxclust,5,0.1201
ward,euclidean,maxclust,6,0.1217
ward,euclidean,maxclust,7,0.1259
ward,euclidean,maxclust,8,0.1163
ward,euclidean,maxclust,9,0.1221
ward,euclidean,maxclust,10,0.1284
ward,euclidean,maxclust,11,0.1378
ward,euclidean,maxclust,12,0.1406
ward,euclidean,maxclust,13,0.1475
ward,euclidean,maxclust,14,0.1515
ward,euclidean,maxclust,15,0.1496
ward,euclidean,maxclust,16,0.1529
ward,euclidean,maxclust,17,0.1586
ward,euclidean,maxclust,18,0.1621
ward,euclidean,maxclust,19,0.1569
ward,euclidean,maxclust,20,0.1575
ward,euclidean,maxclust,21,0.158
ward,euclidean,maxclust,22,0.1508
ward,euclidean,maxclust,23,0.1497
ward,euclidean,maxclust,24,0.1502
ward,euclidean,maxclust,25,0.1509
ward,euclidean,distance,5.0,0.0951
ward,euclidean,distance,10.0,0.0736
ward,euclidean,distance,15.0,0.0444
ward,euclidean,distance,20.0,0.0338
average,euclidean,maxclust,2,0.1394
average,euclidean,maxclust,3,0.1263
average,euclidean,maxclust,4,0.1261
average,euclidean,maxclust,5,0.1056
average,euclidean,maxclust,6,0.1115
average,euclidean,maxclust,7,0.095
average,euclidean,maxclust,8,0.086
average,euclidean,maxclust,9,0.0799
average,euclidean,maxclust,10,0.0944
average,euclidean,maxclust,11,0.1054
average,euclidean,maxclust,12,0.1107
average,euclidean,maxclust,13,0.115
average,euclidean,maxclust,14,0.1192
average,euclidean,maxclust,15,0.1246
average,euclidean,maxclust,16,0.1319
average,euclidean,maxclust,17,0.1416
average,euclidean,maxclust,18,0.1359
average,euclidean,maxclust,19,0.1411
average,euclidean,maxclust,20,0.1397
average,euclidean,maxclust,21,0.1419
average,euclidean,maxclust,22,0.1491
average,euclidean,maxclust,23,0.1554
average,euclidean,maxclust,24,0.1573
average,euclidean,maxclust,25,0.1529
average,euclidean,distance,5.0,0.0908
average,euclidean,distance,10.0,0.0485
average,euclidean,distance,15.0,0.1107
average,cityblock,maxclust,2,0.1271
average,cityblock,maxclust,3,0.1321
average,cityblock,maxclust,4,0.1199
average,cityblock,maxclust,5,0.1002
average,cityblock,maxclust,6,0.105
average,cityblock,maxclust,7,0.1133
average,cityblock,maxclust,8,0.1045
average,cityblock,maxclust,9,0.1155
average,cityblock,maxclust,10,0.1088
average,cityblock,maxclust,11,0.1159
average,cityblock,maxclust,12,0.1154
average,cityblock,maxclust,13,0.12
average,cityblock,maxclust,14,0.1239
average,cityblock,maxclust,15,0.1194
average,cityblock,maxclust,16,0.1152
average,cityblock,maxclust,17,0.1109
average,cityblock,maxclust,18,0.1215
average,cityblock,maxclust,19,0.1176
average,cityblock,maxclust,20,0.1262
average,cityblock,maxclust,21,0.1343
average,cityblock,maxclust,22,0.1326
average,cityblock,maxclust,23,0.1288
average,cityblock,maxclust,24,0.1282
average,cityblock,maxclust,25,0.1242
average,cityblock,distance,15.0,0.0002
average,cityblock,distance,20.0,0.0038
average,cosine,maxclust,2,0.1441
average,cosine,maxclust,3,0.1235
average,cosine,maxclust,4,0.1197
average,cosine,maxclust,5,0.1203
average,cosine,maxclust,6,0.1177
average,cosine,maxclust,7,0.1072
average,cosine,maxclust,8,0.1016
average,cosine,maxclust,9,0.1114
average,cosine,maxclust,10,0.1035
average,cosine,maxclust,11,0.1129
average,cosine,maxclust,12,0.1125
average,cosine,maxclust,13,0.1102
average,cosine,maxclust,14,0.1165
average,cosine,maxclust,15,0.1112
average,cosine,maxclust,16,0.1223
average,cosine,maxclust,17,0.1316
average,cosine,maxclust,18,0.1363
average,cosine,maxclust,19,0.1386
average,cosine,maxclust,20,0.1405
average,cosine,maxclust,21,0.1518
average,cosine,maxclust,22,0.1528
average,cosine,maxclust,23,0.1594
average,cosine,maxclust,24,0.1589
average,cosine,maxclust,25,0.1586
average,correlation,maxclust,2,0.1441
average,correlation,maxclust,3,0.1235
average,correlation,maxclust,4,0.1197
average,correlation,maxclust,5,0.1203
average,correlation,maxclust,6,0.1177
average,correlation,maxclust,7,0.1072
average,correlation,maxclust,8,0.1016
average,correlation,maxclust,9,0.1114
average,correlation,maxclust,10,0.1035
average,correlation,maxclust,11,0.1129
average,correlation,maxclust,12,0.1125
average,correlation,maxclust,13,0.1102
average,correlation,maxclust,14,0.1165
average,correlation,maxclust,15,0.1112
average,correlation,maxclust,16,0.1223
average,correlation,maxclust,17,0.1316
average,correlation,maxclust,18,0.1363
average,correlation,maxclust,19,0.1386
average,correlation,maxclust,20,0.1405
average,correlation,maxclust,21,0.1518
average,correlation,maxclust,22,0.1528
average,correlation,maxclust,23,0.1594
average,correlation,maxclust,24,0.1589
average,correlation,maxclust,25,0.1586
complete,euclidean,maxclust,2,0.1358
complete,euclidean,maxclust,3,0.1402
complete,euclidean,maxclust,4,0.1111
complete,euclidean,maxclust,5,0.1138
complete,euclidean,maxclust,6,0.0993
complete,euclidean,maxclust,7,0.1046
complete,euclidean,maxclust,8,0.0984
complete,euclidean,maxclust,9,0.0903
complete,euclidean,maxclust,10,0.0901
complete,euclidean,maxclust,11,0.0768
complete,euclidean,maxclust,12,0.0865
complete,euclidean,maxclust,13,0.0882
complete,euclidean,maxclust,14,0.0839
complete,euclidean,maxclust,15,0.0868
complete,euclidean,maxclust,16,0.0839
complete,euclidean,maxclust,17,0.0829
complete,euclidean,maxclust,18,0.077
complete,euclidean,maxclust,19,0.0719
complete,euclidean,maxclust,20,0.0796
complete,euclidean,maxclust,21,0.0804
complete,euclidean,maxclust,22,0.0802
complete,euclidean,maxclust,23,0.0834
complete,euclidean,maxclust,24,0.0836
complete,euclidean,maxclust,25,0.082
complete,euclidean,distance,5.0,0.0902
complete,euclidean,distance,10.0,0.0301
complete,euclidean,distance,15.0,0.0439
complete,euclidean,distance,20.0,0.0802
complete,cityblock,maxclust,2,0.1455
complete,cityblock,maxclust,3,0.1094
complete,cityblock,maxclust,4,0.0991
complete,cityblock,maxclust,5,0.0941
complete,cityblock,maxclust,6,0.095
complete,cityblock,maxclust,7,0.0949
complete,cityblock,maxclust,8,0.0894
complete,cityblock,maxclust,9,0.0909
complete,cityblock,maxclust,10,0.0866
complete,cityblock,maxclust,11,0.0894
complete,cityblock,maxclust,12,0.0818
complete,cityblock,maxclust,13,0.0766
complete,cityblock,maxclust,14,0.0709
complete,cityblock,maxclust,15,0.0676
complete,cityblock,maxclust,16,0.0717
complete,cityblock,maxclust,17,0.0664
complete,cityblock,maxclust,18,0.0611
complete,cityblock,maxclust,19,0.0578
complete,cityblock,maxclust,20,0.058
complete,cityblock,maxclust,21,0.0746
complete,cityblock,maxclust,22,0.0785
complete,cityblock,maxclust,23,0.0784
complete,cityblock,maxclust,24,0.0884
complete,cityblock,maxclust,25,0.0886
complete,cityblock,distance,15.0,0.0002
complete,cityblock,distance,20.0,0.0037
complete,cosine,maxclust,2,0.1358
complete,cosine,maxclust,3,0.1402
complete,cosine,maxclust,4,0.1111
complete,cosine,maxclust,5,0.1138
complete,cosine,maxclust,6,0.0993
complete,cosine,maxclust,7,0.1046
complete,cosine,maxclust,8,0.0984
complete,cosine,maxclust,9,0.0903
complete,cosine,maxclust,10,0.0901
complete,cosine,maxclust,11,0.0768
complete,cosine,maxclust,12,0.0865
complete,cosine,maxclust,13,0.0882
complete,cosine,maxclust,14,0.0839
complete,cosine,maxclust,15,0.0868
complete,cosine,maxclust,16,0.0839
complete,cosine,maxclust,17,0.0829
complete,cosine,maxclust,18,0.077
complete,cosine,maxclust,19,0.0719
complete,cosine,maxclust,20,0.0796
complete,cosine,maxclust,21,0.0804
complete,cosine,maxclust,22,0.0802
complete,cosine,maxclust,23,0.0834
complete,cosine,maxclust,24,0.0836
complete,cosine,maxclust,25,0.082
complete,correlation,maxclust,2,0.1358
complete,correlation,maxclust,3,0.1402
complete,correlation,maxclust,4,0.1111
complete,correlation,maxclust,5,0.1138
complete,correlation,maxclust,6,0.0993
complete,correlation,maxclust,7,0.1046
complete,correlation,maxclust,8,0.0984
complete,correlation,maxclust,9,0.0903
complete,correlation,maxclust,10,0.0901
complete,correlation,maxclust,11,0.0768
complete,correlation,maxclust,12,0.0865
complete,correlation,maxclust,13,0.0882
complete,correlation,maxclust,14,0.0839
complete,correlation,maxclust,15,0.0868
complete,correlation,maxclust,16,0.0839
complete,correlation,maxclust,17,0.0829
complete,correlation,maxclust,18,0.077
complete,correlation,maxclust,19,0.0719
complete,correlation,maxclust,20,0.0796
complete,correlation,maxclust,21,0.0804
complete,correlation,maxclust,22,0.0802
complete,correlation,maxclust,23,0.0834
complete,correlation,maxclust,24,0.0836
complete,correlation,maxclust,25,0.082
