linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.2446
ward,euclidean,maxclust,3,0.2346
ward,euclidean,maxclust,4,0.2002
ward,euclidean,maxclust,5,0.1792
ward,euclidean,maxclust,6,0.1854
ward,euclidean,maxclust,7,0.1586
ward,euclidean,maxclust,8,0.163
ward,euclidean,maxclust,9,0.1662
ward,euclidean,maxclust,10,0.162
ward,euclidean,maxclust,11,0.164
ward,euclidean,maxclust,12,0.1598
ward,euclidean,maxclust,13,0.1607
ward,euclidean,maxclust,14,0.1585
ward,euclidean,maxclust,15,0.15
ward,euclidean,maxclust,16,0.1456
ward,euclidean,maxclust,17,0.139
ward,euclidean,maxclust,18,0.1327
ward,euclidean,maxclust,19,0.1329
ward,euclidean,maxclust,20,0.1292
ward,euclidean,maxclust,21,0.1325
ward,euclidean,maxclust,22,0.1354
ward,euclidean,maxclust,23,0.1348
ward,euclidean,maxclust,24,0.1353
ward,euclidean,maxclust,25,0.138
ward,euclidean,distance,5.0,0.1508
ward,euclidean,distance,10.0,0.0898
ward,euclidean,distance,15.0,0.0641
ward,euclidean,distance,20.0,0.0628
average,euclidean,maxclust,2,0.2478
average,euclidean,maxclust,3,0.2118
average,euclidean,maxclust,4,0.2028
average,euclidean,maxclust,5,0.1943
average,euclidean,maxclust,6,0.1779
average,euclidean,maxclust,7,0.1635
average,euclidean,maxclust,8,0.1447
average,euclidean,maxclust,9,0.1397
average,euclidean,maxclust,10,0.1321
average,euclidean,maxclust,11,0.1318
average,euclidean,maxclust,12,0.1256
average,euclidean,maxclust,13,0.1203
average,euclidean,maxclust,14,0.1137
average,euclidean,maxclust,15,0.1264
average,euclidean,maxclust,16,0.1221
average,euclidean,maxclust,17,0.1201
average,euclidean,maxclust,18,0.1287
average,euclidean,maxclust,19,0.1249
average,euclidean,maxclust,20,0.1204
average,euclidean,maxclust,21,0.1306
average,euclidean,maxclust,22,0.1269
average,euclidean,maxclust,23,0.1241
average,euclidean,maxclust,24,0.1237
average,euclidean,maxclust,25,0.1364
average,euclidean,distance,5.0,0.1752
average,euclidean,distance,10.0,0.1208
average,euclidean,distance,15.0,0.1779
average,cityblock,maxclust,2,0.2244
average,cityblock,maxclust,3,0.2357
average,cityblock,maxclust,4,0.189
average,cityblock,maxclust,5,0.1975
average,cityblock,maxclust,6,0.183
average,cityblock,maxclust,7,0.1704
average,cityblock,maxclust,8,0.1563
average,cityblock,maxclust,9,0.1521
average,cityblock,maxclust,10,0.1458
average,cityblock,maxclust,11,0.1345
average,cityblock,maxclust,12,0.1177
average,cityblock,maxclust,13,0.1318
average,cityblock,maxclust,14,0.1204
average,cityblock,maxclust,15,0.106
average,cityblock,maxclust,16,0.1005
average,cityblock,maxclust,17,0.1046
average,cityblock,maxclust,18,0.1027
average,cityblock,maxclust,19,0.1119
average,cityblock,maxclust,20,0.1061
average,cityblock,maxclust,21,0.1042
average,cityblock,maxclust,22,0.1101
average,cityblock,maxclust,23,0.1127
average,cityblock,maxclust,24,0.1113
average,cityblock,maxclust,25,0.1104
average,cityblock,distance,10.0,0.0008
average,cityblock,distance,15.0,0.0213
average,cityblock,distance,20.0,0.0927
average,cosine,maxclust,2,0.22
average,cosine,maxclust,3,0.219
average,cosine,maxclust,4,0.1944
average,cosine,maxclust,5,0.1743
average,cosine,maxclust,6,0.1589
average,cosine,maxclust,7,0.1422
average,cosine,maxclust,8,0.1435
average,cosine,maxclust,9,0.1389
average,cosine,maxclust,10,0.1255
average,cosine,maxclust,11,0.1284
average,cosine,maxclust,12,0.1393
average,cosine,maxclust,13,0.1475
average,cosine,maxclust,14,0.1462
average,cosine,maxclust,15,0.1437
average,cosine,maxclust,16,0.1529
average,cosine,maxclust,17,0.1513
average,cosine,maxclust,18,0.1486
average,cosine,maxclust,19,0.1664
average,cosine,maxclust,20,0.1651
average,cosine,maxclust,21,0.164
average,cosine,maxclust,22,0.1712
average,cosine,maxclust,23,0.169
average,cosine,maxclust,24,0.1686
average,cosine,maxclust,25,0.1654
average,correlation,maxclust,2,0.22
average,correlation,maxclust,3,0.219
average,correlation,maxclust,4,0.1944
average,correlation,maxclust,5,0.1743
average,correlation,maxclust,6,0.1589
average,correlation,maxclust,7,0.1422
average,correlation,maxclust,8,0.1435
average,correlation,maxclust,9,0.1389
average,correlation,maxclust,10,0.1255
average,correlation,maxclust,11,0.1284
average,correlation,maxclust,12,0.1393
average,correlation,maxclust,13,0.1475
average,correlation,maxclust,14,0.1462
average,correlation,maxclust,15,0.1437
average,correlation,maxclust,16,0.1529
average,correlation,maxclust,17,0.1513
average,correlation,maxclust,18,0.1486
average,correlation,maxclust,19,0.1664
average,correlation,maxclust,20,0.1651
average,correlation,maxclust,21,0.164
average,correlation,maxclust,22,0.1712
average,correlation,maxclust,23,0.169
average,correlation,maxclust,24,0.1686
average,correlation,maxclust,25,0.1654
complete,euclidean,maxclust,2,0.2449
complete,euclidean,maxclust,3,0.2031
complete,euclidean,maxclust,4,0.1685
complete,euclidean,maxclust,5,0.1421
complete,euclidean,maxclust,6,0.1301
complete,euclidean,maxclust,7,0.1318
complete,euclidean,maxclust,8,0.1342
complete,euclidean,maxclust,9,0.1588
complete,euclidean,maxclust,10,0.1613
complete,euclidean,maxclust,11,0.1607
complete,euclidean,maxclust,12,0.1589
complete,euclidean,maxclust,13,0.1587
complete,euclidean,maxclust,14,0.1431
complete,euclidean,maxclust,15,0.1345
complete,euclidean,maxclust,16,0.1284
complete,euclidean,maxclust,17,0.1301
complete,euclidean,maxclust,18,0.1365
complete,euclidean,maxclust,19,0.1358
complete,euclidean,maxclust,20,0.1361
complete,euclidean,maxclust,21,0.1371
complete,euclidean,maxclust,22,0.1373
complete,euclidean,maxclust,23,0.1358
complete,euclidean,maxclust,24,0.1318
complete,euclidean,maxclust,25,0.1317
complete,euclidean,distance,5.0,0.1082
complete,euclidean,distance,10.0,0.1061
complete,euclidean,distance,15.0,0.1281
complete,euclidean,distance,20.0,0.1365
complete,cityblock,maxclust,2,0.198
complete,cityblock,maxclust,3,0.2393
complete,cityblock,maxclust,4,0.2029
complete,cityblock,maxclust,5,0.1753
complete,cityblock,maxclust,6,0.1586
complete,cityblock,maxclust,7,0.1557
complete,cityblock,maxclust,8,0.1325
complete,cityblock,maxclust,9,0.1491
complete,cityblock,maxclust,10,0.1425
complete,cityblock,maxclust,11,0.1243
complete,cityblock,maxclust,12,0.1303
complete,cityblock,maxclust,13,0.1272
complete,cityblock,maxclust,14,0.1269
complete,cityblock,maxclust,15,0.1164
complete,cityblock,maxclust,16,0.1155
complete,cityblock,maxclust,17,0.1162
complete,cityblock,maxclust,18,0.1027
complete,cityblock,maxclust,19,0.1029
complete,cityblock,maxclust,20,0.0991
complete,cityblock,maxclust,21,0.0988
complete,cityblock,maxclust,22,0.0942
complete,cityblock,maxclust,23,0.0929
complete,cityblock,maxclust,24,0.0981
complete,cityblock,maxclust,25,0.0967
complete,cityblock,distance,10.0,0.0008
complete,cityblock,distance,15.0,0.0209
complete,cityblock,distance,20.0,0.0928
complete,cosine,maxclust,2,0.2449
complete,cosine,maxclust,3,0.2031
complete,cosine,maxclust,4,0.1685
complete,cosine,maxclust,5,0.1421
complete,cosine,maxclust,6,0.1301
complete,cosine,maxclust,7,0.1318
complete,cosine,maxclust,8,0.1342
complete,cosine,maxclust,9,0.1588
complete,cosine,maxclust,10,0.1613
complete,cosine,maxclust,11,0.1607
complete,cosine,maxclust,12,0.1589
complete,cosine,maxclust,13,0.1587
complete,cosine,maxclust,14,0.1431
complete,cosine,maxclust,15,0.1345
complete,cosine,maxclust,16,0.1284
complete,cosine,maxclust,17,0.1301
complete,cosine,maxclust,18,0.1365
complete,cosine,maxclust,19,0.1358
complete,cosine,maxclust,20,0.1361
complete,cosine,maxclust,21,0.1371
complete,cosine,maxclust,22,0.1373
complete,cosine,maxclust,23,0.1358
complete,cosine,maxclust,24,0.1318
complete,cosine,maxclust,25,0.1317
complete,correlation,maxclust,2,0.2449
complete,correlation,maxclust,3,0.2031
complete,correlation,maxclust,4,0.1685
complete,correlation,maxclust,5,0.1421
complete,correlation,maxclust,6,0.1301
complete,correlation,maxclust,7,0.1318
complete,correlation,maxclust,8,0.1342
complete,correlation,maxclust,9,0.1588
complete,correlation,maxclust,10,0.1613
complete,correlation,maxclust,11,0.1607
complete,correlation,maxclust,12,0.1589
complete,correlation,maxclust,13,0.1587
complete,correlation,maxclust,14,0.1431
complete,correlation,maxclust,15,0.1345
complete,correlation,maxclust,16,0.1284
complete,correlation,maxclust,17,0.1301
complete,correlation,maxclust,18,0.1365
complete,correlation,maxclust,19,0.1358
complete,correlation,maxclust,20,0.1361
complete,correlation,maxclust,21,0.1371
complete,correlation,maxclust,22,0.1373
complete,correlation,maxclust,23,0.1358
