linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0388
ward,euclidean,maxclust,3,0.0243
ward,euclidean,maxclust,4,0.0219
ward,euclidean,maxclust,5,0.0233
ward,euclidean,maxclust,6,0.0189
ward,euclidean,maxclust,7,0.0238
ward,euclidean,maxclust,8,0.0222
ward,euclidean,maxclust,9,0.0229
ward,euclidean,maxclust,10,0.0269
ward,euclidean,maxclust,11,0.0235
ward,euclidean,maxclust,12,0.018
ward,euclidean,maxclust,13,0.0184
ward,euclidean,maxclust,14,0.0213
ward,euclidean,maxclust,15,0.0165
ward,euclidean,maxclust,16,0.0155
ward,euclidean,maxclust,17,0.0142
ward,euclidean,maxclust,18,0.016
ward,euclidean,maxclust,19,0.0158
ward,euclidean,maxclust,20,0.0182
ward,euclidean,maxclust,21,0.0154
ward,euclidean,maxclust,22,0.0145
ward,euclidean,maxclust,23,0.0134
ward,euclidean,maxclust,24,0.0154
ward,euclidean,maxclust,25,0.016
ward,euclidean,distance,5.0,0.2714
ward,euclidean,distance,10.0,0.2722
ward,euclidean,distance,15.0,0.2091
ward,euclidean,distance,20.0,0.1378
average,euclidean,maxclust,2,0.0447
average,euclidean,maxclust,3,0.0348
average,euclidean,maxclust,4,0.0257
average,euclidean,maxclust,5,0.0263
average,euclidean,maxclust,6,0.022
average,euclidean,maxclust,7,0.0202
average,euclidean,maxclust,8,0.0172
average,euclidean,maxclust,9,0.0138
average,euclidean,maxclust,10,0.0121
average,euclidean,maxclust,11,0.0201
average,euclidean,maxclust,12,0.0213
average,euclidean,maxclust,13,0.0246
average,euclidean,maxclust,14,0.0232
average,euclidean,maxclust,15,0.0228
average,euclidean,maxclust,16,0.0195
average,euclidean,maxclust,17,0.0186
average,euclidean,maxclust,18,0.0177
average,euclidean,maxclust,19,0.0171
average,euclidean,maxclust,20,0.0222
average,euclidean,maxclust,21,0.0215
average,euclidean,maxclust,22,0.022
average,euclidean,maxclust,23,0.0217
average,euclidean,maxclust,24,0.0211
average,euclidean,maxclust,25,0.0209
average,euclidean,distance,5.0,0.275
average,euclidean,distance,10.0,0.1224
average,euclidean,distance,15.0,0.0206
average,cityblock,maxclust,2,0.0419
average,cityblock,maxclust,3,0.0294
average,cityblock,maxclust,4,0.0276
average,cityblock,maxclust,5,0.0256
average,cityblock,maxclust,6,0.0239
average,cityblock,maxclust,7,0.0232
average,cityblock,maxclust,8,0.0237
average,cityblock,maxclust,9,0.0289
average,cityblock,maxclust,10,0.0341
average,cityblock,maxclust,11,0.031
average,cityblock,maxclust,12,0.0283
average,cityblock,maxclust,13,0.0304
average,cityblock,maxclust,14,0.0293
average,cityblock,maxclust,15,0.0291
average,cityblock,maxclust,16,0.0289
average,cityblock,maxclust,17,0.0314
average,cityblock,maxclust,18,0.0316
average,cityblock,maxclust,19,0.0305
average,cityblock,maxclust,20,0.0301
average,cityblock,maxclust,21,0.0293
average,cityblock,maxclust,22,0.0292
average,cityblock,maxclust,23,0.0287
average,cityblock,maxclust,24,0.0284
average,cityblock,maxclust,25,0.0304
average,cityblock,distance,5.0,0.0001
average,cityblock,distance,10.0,0.0036
average,cityblock,distance,15.0,0.01
average,cityblock,distance,20.0,0.0571
average,cosine,maxclust,2,0.0417
average,cosine,maxclust,3,0.0249
average,cosine,maxclust,4,0.0236
average,cosine,maxclust,5,0.0242
average,cosine,maxclust,6,0.0289
average,cosine,maxclust,7,0.0246
average,cosine,maxclust,8,0.0251
average,cosine,maxclust,9,0.0244
average,cosine,maxclust,10,0.0137
average,cosine,maxclust,11,0.0138
average,cosine,maxclust,12,0.0132
average,cosine,maxclust,13,0.0197
