linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1036
ward,euclidean,maxclust,3,0.0836
ward,euclidean,maxclust,4,0.0707
ward,euclidean,maxclust,5,0.0724
ward,euclidean,maxclust,6,0.0785
ward,euclidean,maxclust,7,0.0843
ward,euclidean,maxclust,8,0.0906
ward,euclidean,maxclust,9,0.0983
ward,euclidean,maxclust,10,0.1045
ward,euclidean,maxclust,11,0.1132
ward,euclidean,maxclust,12,0.1063
ward,euclidean,maxclust,13,0.1137
ward,euclidean,maxclust,14,0.1074
ward,euclidean,maxclust,15,0.1135
ward,euclidean,maxclust,16,0.1058
ward,euclidean,maxclust,17,0.0986
ward,euclidean,maxclust,18,0.0938
ward,euclidean,maxclust,19,0.0866
ward,euclidean,maxclust,20,0.0907
ward,euclidean,maxclust,21,0.0943
ward,euclidean,maxclust,22,0.0836
ward,euclidean,maxclust,23,0.0867
ward,euclidean,maxclust,24,0.0894
ward,euclidean,maxclust,25,0.0824
ward,euclidean,distance,5.0,0.2067
ward,euclidean,distance,10.0,0.1581
ward,euclidean,distance,15.0,0.1306
ward,euclidean,distance,20.0,0.0975
average,euclidean,maxclust,2,0.1099
average,euclidean,maxclust,3,0.1045
average,euclidean,maxclust,4,0.0974
average,euclidean,maxclust,5,0.088
average,euclidean,maxclust,6,0.0899
average,euclidean,maxclust,7,0.0849
average,euclidean,maxclust,8,0.081
average,euclidean,maxclust,9,0.0906
average,euclidean,maxclust,10,0.0876
average,euclidean,maxclust,11,0.0905
average,euclidean,maxclust,12,0.0887
average,euclidean,maxclust,13,0.0865
average,euclidean,maxclust,14,0.0836
average,euclidean,maxclust,15,0.0947
average,euclidean,maxclust,16,0.0936
average,euclidean,maxclust,17,0.0917
average,euclidean,maxclust,18,0.0901
average,euclidean,maxclust,19,0.088
average,euclidean,maxclust,20,0.0915
average,euclidean,maxclust,21,0.0917
average,euclidean,maxclust,22,0.1115
average,euclidean,maxclust,23,0.1109
average,euclidean,maxclust,24,0.1134
average,euclidean,maxclust,25,0.1223
average,euclidean,distance,5.0,0.1713
average,euclidean,distance,10.0,0.127
average,euclidean,distance,15.0,0.1298
average,cityblock,maxclust,2,0.0949
average,cityblock,maxclust,3,0.0998
average,cityblock,maxclust,4,0.089
average,cityblock,maxclust,5,0.0757
average,cityblock,maxclust,6,0.0777
average,cityblock,maxclust,7,0.0821
average,cityblock,maxclust,8,0.0807
average,cityblock,maxclust,9,0.0735
average,cityblock,maxclust,10,0.0699
average,cityblock,maxclust,11,0.0634
average,cityblock,maxclust,12,0.0601
average,cityblock,maxclust,13,0.0573
average,cityblock,maxclust,14,0.0708
average,cityblock,maxclust,15,0.0915
average,cityblock,maxclust,16,0.09
average,cityblock,maxclust,17,0.0852
average,cityblock,maxclust,18,0.0791
average,cityblock,maxclust,19,0.0783
average,cityblock,maxclust,20,0.0745
average,cityblock,maxclust,21,0.0705
average,cityblock,maxclust,22,0.0669
average,cityblock,maxclust,23,0.0657
average,cityblock,maxclust,24,0.0642
average,cityblock,maxclust,25,0.0665
average,cityblock,distance,10.0,0.0013
average,cityblock,distance,15.0,0.0037
average,cityblock,distance,20.0,0.0129
average,cosine,maxclust,2,0.1041
average,cosine,maxclust,3,0.0995
average,cosine,maxclust,4,0.0819
average,cosine,maxclust,5,0.085
average,cosine,maxclust,6,0.0856
average,cosine,maxclust,7,0.0742
average,cosine,maxclust,8,0.0726
average,cosine,maxclust,9,0.0794
average,cosine,maxclust,10,0.084
average,cosine,maxclust,11,0.0856
average,cosine,maxclust,12,0.0843
average,cosine,maxclust,13,0.0823
average,cosine,maxclust,14,0.0804
average,cosine,maxclust,15,0.097
average,cosine,maxclust,16,0.0968
average,cosine,maxclust,17,0.1124
average,cosine,maxclust,18,0.1124
average,cosine,maxclust,19,0.1121
average,cosine,maxclust,20,0.1113
average,cosine,maxclust,21,0.1133
average,cosine,maxclust,22,0.1141
average,cosine,maxclust,23,0.1161
average,cosine,maxclust,24,0.1147
average,cosine,maxclust,25,0.1255
average,correlation,maxclust,2,0.1041
average,correlation,maxclust,3,0.0995
average,correlation,maxclust,4,0.0819
average,correlation,maxclust,5,0.085
average,correlation,maxclust,6,0.0856
average,correlation,maxclust,7,0.0742
average,correlation,maxclust,8,0.0726
average,correlation,maxclust,9,0.0794
average,correlation,maxclust,10,0.084
average,correlation,maxclust,11,0.0856
average,correlation,maxclust,12,0.0843
average,correlation,maxclust,13,0.0823
average,correlation,maxclust,14,0.0804
average,correlation,maxclust,15,0.097
average,correlation,maxclust,16,0.0968
average,correlation,maxclust,17,0.1124
average,correlation,maxclust,18,0.1124
average,correlation,maxclust,19,0.1121
average,correlation,maxclust,20,0.1113
average,correlation,maxclust,21,0.1133
average,correlation,maxclust,22,0.1141
average,correlation,maxclust,23,0.1161
average,correlation,maxclust,24,0.1147
average,correlation,maxclust,25,0.1255
complete,euclidean,maxclust,2,0.0421
complete,euclidean,maxclust,3,0.032
complete,euclidean,maxclust,4,0.0288
complete,euclidean,maxclust,5,0.0315
complete,euclidean,maxclust,6,0.0547
complete,euclidean,maxclust,7,0.0573
complete,euclidean,maxclust,8,0.058
complete,euclidean,maxclust,9,0.0761
complete,euclidean,maxclust,10,0.0795
complete,euclidean,maxclust,11,0.0702
complete,euclidean,maxclust,12,0.0708
complete,euclidean,maxclust,13,0.0736
complete,euclidean,maxclust,14,0.0575
complete,euclidean,maxclust,15,0.0532
complete,euclidean,maxclust,16,0.0566
complete,euclidean,maxclust,17,0.0681
complete,euclidean,maxclust,18,0.0683
complete,euclidean,maxclust,19,0.0684
complete,euclidean,maxclust,20,0.0693
complete,euclidean,maxclust,21,0.0704
complete,euclidean,maxclust,22,0.0701
complete,euclidean,maxclust,23,0.0712
complete,euclidean,maxclust,24,0.0765
complete,euclidean,maxclust,25,0.0763
complete,euclidean,distance,5.0,0.1762
complete,euclidean,distance,10.0,0.1128
complete,euclidean,distance,15.0,0.0677
complete,euclidean,distance,20.0,0.0884
complete,cityblock,maxclust,2,0.0519
complete,cityblock,maxclust,3,0.055
complete,cityblock,maxclust,4,0.0476
complete,cityblock,maxclust,5,0.0495
complete,cityblock,maxclust,6,0.0395
complete,cityblock,maxclust,7,0.0628
complete,cityblock,maxclust,8,0.0567
complete,cityblock,maxclust,9,0.0667
complete,cityblock,maxclust,10,0.0828
complete,cityblock,maxclust,11,0.0831
complete,cityblock,maxclust,12,0.0841
complete,cityblock,maxclust,13,0.0863
complete,cityblock,maxclust,14,0.084
complete,cityblock,maxclust,15,0.0772
complete,cityblock,maxclust,16,0.0761
complete,cityblock,maxclust,17,0.0756
complete,cityblock,maxclust,18,0.0795
complete,cityblock,maxclust,19,0.081
complete,cityblock,maxclust,20,0.0812
complete,cityblock,maxclust,21,0.0839
complete,cityblock,maxclust,22,0.084
complete,cityblock,maxclust,23,0.0783
complete,cityblock,maxclust,24,0.0806
complete,cityblock,maxclust,25,0.0882
complete,cityblock,distance,10.0,0.0013
complete,cityblock,distance,15.0,0.0033
complete,cityblock,distance,20.0,0.0126
complete,cosine,maxclust,2,0.0421
complete,cosine,maxclust,3,0.032
complete,cosine,maxclust,4,0.0288
complete,cosine,maxclust,5,0.0315
complete,cosine,maxclust,6,0.0547
complete,cosine,maxclust,7,0.0573
complete,cosine,maxclust,8,0.058
complete,cosine,maxclust,9,0.0761
complete,cosine,maxclust,10,0.0795
complete,cosine,maxclust,11,0.0702
complete,cosine,maxclust,12,0.0708
complete,cosine,maxclust,13,0.0736
complete,cosine,maxclust,14,0.0575
complete,cosine,maxclust,15,0.0532
complete,cosine,maxclust,16,0.0566
complete,cosine,maxclust,17,0.0681
complete,cosine,maxclust,18,0.0683
complete,cosine,maxclust,19,0.0684
complete,cosine,maxclust,20,0.0693
complete,cosine,maxclust,21,0.0704
complete,cosine,maxclust,22,0.0701
complete,cosine,maxclust,23,0.0712
complete,cosine,maxclust,24,0.0765
complete,cosine,maxclust,25,0.0763
complete,correlation,maxclust,2,0.0421
complete,correlation,maxclust,3,0.032
