linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.2496
ward,euclidean,maxclust,3,0.2703
ward,euclidean,maxclust,4,0.2836
ward,euclidean,maxclust,5,0.2678
ward,euclidean,maxclust,6,0.2568
ward,euclidean,maxclust,7,0.2538
ward,euclidean,maxclust,8,0.2373
ward,euclidean,maxclust,9,0.2206
ward,euclidean,maxclust,10,0.1992
ward,euclidean,maxclust,11,0.1839
ward,euclidean,maxclust,12,0.1728
ward,euclidean,maxclust,13,0.1676
ward,euclidean,maxclust,14,0.1668
ward,euclidean,maxclust,15,0.1626
ward,euclidean,maxclust,16,0.1649
ward,euclidean,maxclust,17,0.1711
ward,euclidean,maxclust,18,0.1768
ward,euclidean,maxclust,19,0.1817
ward,euclidean,maxclust,20,0.1882
ward,euclidean,maxclust,21,0.1945
ward,euclidean,maxclust,22,0.198
ward,euclidean,maxclust,23,0.2028
ward,euclidean,maxclust,24,0.2069
ward,euclidean,maxclust,25,0.2099
ward,euclidean,distance,5.0,0.0916
ward,euclidean,distance,10.0,0.0406
ward,euclidean,distance,15.0,0.0357
ward,euclidean,distance,20.0,0.0373
average,euclidean,maxclust,2,0.2459
average,euclidean,maxclust,3,0.2722
average,euclidean,maxclust,4,0.2761
average,euclidean,maxclust,5,0.2856
average,euclidean,maxclust,6,0.2797
average,euclidean,maxclust,7,0.2752
average,euclidean,maxclust,8,0.2708
average,euclidean,maxclust,9,0.258
average,euclidean,maxclust,10,0.2491
average,euclidean,maxclust,11,0.2318
average,euclidean,maxclust,12,0.2258
average,euclidean,maxclust,13,0.2283
average,euclidean,maxclust,14,0.2268
average,euclidean,maxclust,15,0.2218
average,euclidean,maxclust,16,0.2041
average,euclidean,maxclust,17,0.2009
average,euclidean,maxclust,18,0.1923
average,euclidean,maxclust,19,0.1883
average,euclidean,maxclust,20,0.187
average,euclidean,maxclust,21,0.2007
average,euclidean,maxclust,22,0.1981
average,euclidean,maxclust,23,0.2025
average,euclidean,maxclust,24,0.1935
average,euclidean,maxclust,25,0.1877
average,euclidean,distance,5.0,0.0669
average,euclidean,distance,10.0,0.1291
average,euclidean,distance,15.0,0.2797
average,cityblock,maxclust,2,0.2488
average,cityblock,maxclust,3,0.2632
average,cityblock,maxclust,4,0.2711
average,cityblock,maxclust,5,0.2623
average,cityblock,maxclust,6,0.2471
average,cityblock,maxclust,7,0.225
average,cityblock,maxclust,8,0.2082
average,cityblock,maxclust,9,0.2358
average,cityblock,maxclust,10,0.2293
average,cityblock,maxclust,11,0.2388
average,cityblock,maxclust,12,0.2379
average,cityblock,maxclust,13,0.23
average,cityblock,maxclust,14,0.2353
average,cityblock,maxclust,15,0.216
average,cityblock,maxclust,16,0.2113
average,cityblock,maxclust,17,0.1973
average,cityblock,maxclust,18,0.1849
average,cityblock,maxclust,19,0.1716
average,cityblock,maxclust,20,0.1662
average,cityblock,maxclust,21,0.1624
average,cityblock,maxclust,22,0.1486
average,cityblock,maxclust,23,0.1485
average,cityblock,maxclust,24,0.1295
average,cityblock,maxclust,25,0.1273
average,cityblock,distance,15.0,0.007
average,cityblock,distance,20.0,0.0722
average,cosine,maxclust,2,0.2359
average,cosine,maxclust,3,0.272
average,cosine,maxclust,4,0.2738
average,cosine,maxclust,5,0.2594
average,cosine,maxclust,6,0.2599
average,cosine,maxclust,7,0.243
average,cosine,maxclust,8,0.2402
average,cosine,maxclust,9,0.2427
average,cosine,maxclust,10,0.242
average,cosine,maxclust,11,0.2263
average,cosine,maxclust,12,0.2153
average,cosine,maxclust,13,0.2096
average,cosine,maxclust,14,0.2235
average,cosine,maxclust,15,0.2209
average,cosine,maxclust,16,0.2203
average,cosine,maxclust,17,0.2147
average,cosine,maxclust,18,0.2052
average,cosine,maxclust,19,0.2015
average,cosine,maxclust,20,0.1931
average,cosine,maxclust,21,0.1819
average,cosine,maxclust,22,0.1778
average,cosine,maxclust,23,0.187
average,cosine,maxclust,24,0.1767
average,cosine,maxclust,25,0.173
average,correlation,maxclust,2,0.2359
average,correlation,maxclust,3,0.272
average,correlation,maxclust,4,0.2738
average,correlation,maxclust,5,0.2594
average,correlation,maxclust,6,0.2599
average,correlation,maxclust,7,0.243
average,correlation,maxclust,8,0.2402
average,correlation,maxclust,9,0.2427
average,correlation,maxclust,10,0.242
average,correlation,maxclust,11,0.2263
average,correlation,maxclust,12,0.2153
average,correlation,maxclust,13,0.2096
average,correlation,maxclust,14,0.2235
average,correlation,maxclust,15,0.2209
average,correlation,maxclust,16,0.2203
average,correlation,maxclust,17,0.2147
average,correlation,maxclust,18,0.2052
average,correlation,maxclust,19,0.2015
average,correlation,maxclust,20,0.1931
average,correlation,maxclust,21,0.1819
average,correlation,maxclust,22,0.1778
average,correlation,maxclust,23,0.187
average,correlation,maxclust,24,0.1767
average,correlation,maxclust,25,0.173
complete,euclidean,maxclust,2,0.2444
complete,euclidean,maxclust,3,0.2645
complete,euclidean,maxclust,4,0.2834
complete,euclidean,maxclust,5,0.2662
complete,euclidean,maxclust,6,0.2409
complete,euclidean,maxclust,7,0.2284
complete,euclidean,maxclust,8,0.2285
complete,euclidean,maxclust,9,0.2183
complete,euclidean,maxclust,10,0.2042
complete,euclidean,maxclust,11,0.1987
complete,euclidean,maxclust,12,0.2033
complete,euclidean,maxclust,13,0.2029
complete,euclidean,maxclust,14,0.2053
complete,euclidean,maxclust,15,0.1933
complete,euclidean,maxclust,16,0.1779
complete,euclidean,maxclust,17,0.1708
complete,euclidean,maxclust,18,0.171
complete,euclidean,maxclust,19,0.1703
complete,euclidean,maxclust,20,0.1718
complete,euclidean,maxclust,21,0.1699
complete,euclidean,maxclust,22,0.1631
complete,euclidean,maxclust,23,0.1546
complete,euclidean,maxclust,24,0.1458
complete,euclidean,maxclust,25,0.1366
complete,euclidean,distance,5.0,0.0483
complete,euclidean,distance,10.0,0.0852
complete,euclidean,distance,15.0,0.1541
complete,euclidean,distance,20.0,0.2042
complete,cityblock,maxclust,2,0.1882
complete,cityblock,maxclust,3,0.2557
complete,cityblock,maxclust,4,0.282
complete,cityblock,maxclust,5,0.2624
complete,cityblock,maxclust,6,0.2541
complete,cityblock,maxclust,7,0.2152
complete,cityblock,maxclust,8,0.1976
complete,cityblock,maxclust,9,0.1844
complete,cityblock,maxclust,10,0.1843
complete,cityblock,maxclust,11,0.1712
complete,cityblock,maxclust,12,0.1703
complete,cityblock,maxclust,13,0.169
complete,cityblock,maxclust,14,0.1706
complete,cityblock,maxclust,15,0.1779
complete,cityblock,maxclust,16,0.1781
complete,cityblock,maxclust,17,0.1733
complete,cityblock,maxclust,18,0.1734
complete,cityblock,maxclust,19,0.1643
complete,cityblock,maxclust,20,0.1634
complete,cityblock,maxclust,21,0.1634
complete,cityblock,maxclust,22,0.162
complete,cityblock,maxclust,23,0.1478
complete,cityblock,maxclust,24,0.1534
complete,cityblock,maxclust,25,0.1527
complete,cityblock,distance,15.0,0.0069
complete,cityblock,distance,20.0,0.0654
complete,cosine,maxclust,2,0.2444
complete,cosine,maxclust,3,0.2645
complete,cosine,maxclust,4,0.2834
complete,cosine,maxclust,5,0.2662
complete,cosine,maxclust,6,0.2409
complete,cosine,maxclust,7,0.2284
complete,cosine,maxclust,8,0.2285
complete,cosine,maxclust,9,0.2183
complete,cosine,maxclust,10,0.2042
complete,cosine,maxclust,11,0.1987
complete,cosine,maxclust,12,0.2033
complete,cosine,maxclust,13,0.2029
complete,cosine,maxclust,14,0.2053
complete,cosine,maxclust,15,0.1933
complete,cosine,maxclust,16,0.1779
complete,cosine,maxclust,17,0.1708
complete,cosine,maxclust,18,0.171
complete,cosine,maxclust,19,0.1703
complete,cosine,maxclust,20,0.1718
complete,cosine,maxclust,21,0.1699
complete,cosine,maxclust,22,0.1631
complete,cosine,maxclust,23,0.1546
complete,cosine,maxclust,24,0.1458
complete,cosine,maxclust,25,0.1366
complete,correlation,maxclust,2,0.2444
complete,correlation,maxclust,3,0.2645
complete,correlation,maxclust,4,0.2834
complete,correlation,maxclust,5,0.2662
complete,correlation,maxclust,6,0.2409
complete,correlation,maxclust,7,0.2284
complete,correlation,maxclust,8,0.2285
complete,correlation,maxclust,9,0.2183
complete,correlation,maxclust,10,0.2042
complete,correlation,maxclust,11,0.1987
complete,correlation,maxclust,12,0.2033
complete,correlation,maxclust,13,0.2029
complete,correlation,maxclust,14,0.2053
complete,correlation,maxclust,15,0.1933
complete,correlation,maxclust,16,0.1779
complete,correlation,maxclust,17,0.1708
complete,correlation,maxclust,18,0.171
complete,correlation,maxclust,19,0.1703
complete,correlation,maxclust,20,0.1718
complete,correlation,maxclust,21,0.1699
complete,correlation,maxclust,22,0.1631
complete,correlation,maxclust,23,0.1546
complete,correlation,maxclust,24,0.1458
complete,correlation,maxclust,25,0.1366
