linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.5115
ward,euclidean,maxclust,3,0.4645
ward,euclidean,maxclust,4,0.4754
ward,euclidean,maxclust,5,0.4079
ward,euclidean,maxclust,6,0.4009
ward,euclidean,maxclust,7,0.4011
ward,euclidean,maxclust,8,0.4054
ward,euclidean,maxclust,9,0.3987
ward,euclidean,maxclust,10,0.4074
ward,euclidean,maxclust,11,0.4046
ward,euclidean,maxclust,12,0.4086
ward,euclidean,maxclust,13,0.4063
ward,euclidean,maxclust,14,0.4166
ward,euclidean,maxclust,15,0.42
ward,euclidean,maxclust,16,0.4198
ward,euclidean,maxclust,17,0.422
ward,euclidean,maxclust,18,0.4103
ward,euclidean,maxclust,19,0.4163
ward,euclidean,maxclust,20,0.418
ward,euclidean,maxclust,21,0.3981
ward,euclidean,maxclust,22,0.4044
ward,euclidean,maxclust,23,0.4012
ward,euclidean,maxclust,24,0.4036
ward,euclidean,maxclust,25,0.3611
ward,euclidean,distance,5.0,0.1817
ward,euclidean,distance,10.0,0.1902
ward,euclidean,distance,15.0,0.2086
ward,euclidean,distance,20.0,0.2093
average,euclidean,maxclust,2,0.5397
average,euclidean,maxclust,3,0.4208
average,euclidean,maxclust,4,0.3857
average,euclidean,maxclust,5,0.4182
average,euclidean,maxclust,6,0.3889
average,euclidean,maxclust,7,0.4194
average,euclidean,maxclust,8,0.4172
average,euclidean,maxclust,9,0.4139
average,euclidean,maxclust,10,0.4036
average,euclidean,maxclust,11,0.3915
average,euclidean,maxclust,12,0.3771
average,euclidean,maxclust,13,0.3613
average,euclidean,maxclust,14,0.3952
average,euclidean,maxclust,15,0.3799
average,euclidean,maxclust,16,0.3796
average,euclidean,maxclust,17,0.3685
average,euclidean,maxclust,18,0.3677
average,euclidean,maxclust,19,0.3676
average,euclidean,maxclust,20,0.3675
average,euclidean,maxclust,21,0.3669
average,euclidean,maxclust,22,0.3753
average,euclidean,maxclust,23,0.4114
average,euclidean,maxclust,24,0.4049
average,euclidean,maxclust,25,0.4055
average,euclidean,distance,5.0,0.3787
average,euclidean,distance,10.0,0.3613
average,euclidean,distance,15.0,0.4182
average,euclidean,distance,20.0,0.5397
average,cityblock,maxclust,2,0.5326
average,cityblock,maxclust,3,0.4959
average,cityblock,maxclust,4,0.4363
average,cityblock,maxclust,5,0.4125
average,cityblock,maxclust,6,0.4411
average,cityblock,maxclust,7,0.4341
average,cityblock,maxclust,8,0.4291
average,cityblock,maxclust,9,0.3979
average,cityblock,maxclust,10,0.3893
average,cityblock,maxclust,11,0.3709
average,cityblock,maxclust,12,0.3696
average,cityblock,maxclust,13,0.3675
average,cityblock,maxclust,14,0.3654
average,cityblock,maxclust,15,0.4077
average,cityblock,maxclust,16,0.4056
average,cityblock,maxclust,17,0.3859
average,cityblock,maxclust,18,0.3871
average,cityblock,maxclust,19,0.3874
average,cityblock,maxclust,20,0.3885
average,cityblock,maxclust,21,0.3787
average,cityblock,maxclust,22,0.3787
average,cityblock,maxclust,23,0.3778
average,cityblock,maxclust,24,0.3767
average,cityblock,maxclust,25,0.3767
average,cityblock,distance,5.0,0.0863
average,cityblock,distance,10.0,0.1366
average,cityblock,distance,15.0,0.1815
average,cityblock,distance,20.0,0.2351
average,cosine,maxclust,2,0.5278
average,cosine,maxclust,3,0.5001
average,cosine,maxclust,4,0.4299
average,cosine,maxclust,5,0.449
average,cosine,maxclust,6,0.439
average,cosine,maxclust,7,0.4308
average,cosine,maxclust,8,0.4371
average,cosine,maxclust,9,0.4149
average,cosine,maxclust,10,0.4128
average,cosine,maxclust,11,0.4078
average,cosine,maxclust,12,0.4069
average,cosine,maxclust,13,0.4046
average,cosine,maxclust,14,0.4088
average,cosine,maxclust,15,0.3958
average,cosine,maxclust,16,0.3934
average,cosine,maxclust,17,0.3916
average,cosine,maxclust,18,0.4209
average,cosine,maxclust,19,0.4152
average,cosine,maxclust,20,0.408
average,cosine,maxclust,21,0.4042
average,cosine,maxclust,22,0.4024
average,cosine,maxclust,23,0.4008
average,cosine,maxclust,24,0.3974
average,cosine,maxclust,25,0.3896
average,correlation,maxclust,2,0.5278
average,correlation,maxclust,3,0.5001
average,correlation,maxclust,4,0.4299
average,correlation,maxclust,5,0.449
average,correlation,maxclust,6,0.439
average,correlation,maxclust,7,0.4308
average,correlation,maxclust,8,0.4371
average,correlation,maxclust,9,0.4149
average,correlation,maxclust,10,0.4128
average,correlation,maxclust,11,0.4078
average,correlation,maxclust,12,0.4069
average,correlation,maxclust,13,0.4046
average,correlation,maxclust,14,0.4088
average,correlation,maxclust,15,0.3958
average,correlation,maxclust,16,0.3934
average,correlation,maxclust,17,0.3916
average,correlation,maxclust,18,0.4209
average,correlation,maxclust,19,0.4152
average,correlation,maxclust,20,0.408
average,correlation,maxclust,21,0.4042
average,correlation,maxclust,22,0.4024
average,correlation,maxclust,23,0.4008
average,correlation,maxclust,24,0.3974
average,correlation,maxclust,25,0.3896
complete,euclidean,maxclust,2,0.5448
complete,euclidean,maxclust,3,0.4811
complete,euclidean,maxclust,4,0.452
complete,euclidean,maxclust,5,0.4271
complete,euclidean,maxclust,6,0.4053
complete,euclidean,maxclust,7,0.3929
complete,euclidean,maxclust,8,0.3866
complete,euclidean,maxclust,9,0.3867
complete,euclidean,maxclust,10,0.364
complete,euclidean,maxclust,11,0.3597
complete,euclidean,maxclust,12,0.3579
complete,euclidean,maxclust,13,0.3777
complete,euclidean,maxclust,14,0.3769
complete,euclidean,maxclust,15,0.3748
complete,euclidean,maxclust,16,0.3739
complete,euclidean,maxclust,17,0.3758
complete,euclidean,maxclust,18,0.377
complete,euclidean,maxclust,19,0.3716
complete,euclidean,maxclust,20,0.3664
complete,euclidean,maxclust,21,0.363
complete,euclidean,maxclust,22,0.402
complete,euclidean,maxclust,23,0.346
complete,euclidean,maxclust,24,0.3452
complete,euclidean,maxclust,25,0.3434
complete,euclidean,distance,5.0,0.2843
complete,euclidean,distance,10.0,0.3488
complete,euclidean,distance,15.0,0.363
complete,euclidean,distance,20.0,0.364
complete,cityblock,maxclust,2,0.5249
complete,cityblock,maxclust,3,0.4444
complete,cityblock,maxclust,4,0.3663
complete,cityblock,maxclust,5,0.3722
complete,cityblock,maxclust,6,0.4039
complete,cityblock,maxclust,7,0.3891
complete,cityblock,maxclust,8,0.3984
complete,cityblock,maxclust,9,0.3999
complete,cityblock,maxclust,10,0.3917
complete,cityblock,maxclust,11,0.3902
complete,cityblock,maxclust,12,0.3912
complete,cityblock,maxclust,13,0.39
complete,cityblock,maxclust,14,0.3914
complete,cityblock,maxclust,15,0.3869
complete,cityblock,maxclust,16,0.384
complete,cityblock,maxclust,17,0.3839
complete,cityblock,maxclust,18,0.3768
complete,cityblock,maxclust,19,0.379
complete,cityblock,maxclust,20,0.3789
