linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.3642
ward,euclidean,maxclust,3,0.4125
ward,euclidean,maxclust,4,0.4166
ward,euclidean,maxclust,5,0.4323
ward,euclidean,maxclust,6,0.4367
ward,euclidean,maxclust,7,0.4361
ward,euclidean,maxclust,8,0.441
ward,euclidean,maxclust,9,0.4409
ward,euclidean,maxclust,10,0.4308
ward,euclidean,maxclust,11,0.4272
ward,euclidean,maxclust,12,0.4283
ward,euclidean,maxclust,13,0.4321
ward,euclidean,maxclust,14,0.4325
ward,euclidean,maxclust,15,0.4384
ward,euclidean,maxclust,16,0.4317
ward,euclidean,maxclust,17,0.4313
ward,euclidean,maxclust,18,0.4379
ward,euclidean,maxclust,19,0.4438
ward,euclidean,maxclust,20,0.4409
ward,euclidean,maxclust,21,0.4349
ward,euclidean,maxclust,22,0.4343
ward,euclidean,maxclust,23,0.4374
ward,euclidean,maxclust,24,0.4307
ward,euclidean,maxclust,25,0.4278
ward,euclidean,distance,5.0,0.2103
ward,euclidean,distance,10.0,0.2823
ward,euclidean,distance,15.0,0.3076
ward,euclidean,distance,20.0,0.3566
average,euclidean,maxclust,2,0.3482
average,euclidean,maxclust,3,0.4158
average,euclidean,maxclust,4,0.4043
average,euclidean,maxclust,5,0.4043
average,euclidean,maxclust,6,0.4363
average,euclidean,maxclust,7,0.4363
average,euclidean,maxclust,8,0.4191
average,euclidean,maxclust,9,0.4205
average,euclidean,maxclust,10,0.415
average,euclidean,maxclust,11,0.411
average,euclidean,maxclust,12,0.4083
average,euclidean,maxclust,13,0.4022
average,euclidean,maxclust,14,0.4013
average,euclidean,maxclust,15,0.4006
average,euclidean,maxclust,16,0.416
average,euclidean,maxclust,17,0.438
average,euclidean,maxclust,18,0.4497
average,euclidean,maxclust,19,0.4494
average,euclidean,maxclust,20,0.4489
average,euclidean,maxclust,21,0.4472
average,euclidean,maxclust,22,0.4435
average,euclidean,maxclust,23,0.4436
average,euclidean,maxclust,24,0.4436
average,euclidean,maxclust,25,0.4436
average,euclidean,distance,5.0,0.4376
average,euclidean,distance,10.0,0.4363
average,euclidean,distance,15.0,0.4158
average,cityblock,maxclust,2,0.3688
average,cityblock,maxclust,3,0.398
average,cityblock,maxclust,4,0.3951
average,cityblock,maxclust,5,0.3988
average,cityblock,maxclust,6,0.419
average,cityblock,maxclust,7,0.4373
average,cityblock,maxclust,8,0.4477
average,cityblock,maxclust,9,0.4417
average,cityblock,maxclust,10,0.4224
average,cityblock,maxclust,11,0.4172
average,cityblock,maxclust,12,0.4146
average,cityblock,maxclust,13,0.4113
average,cityblock,maxclust,14,0.4099
average,cityblock,maxclust,15,0.3972
average,cityblock,maxclust,16,0.3928
average,cityblock,maxclust,17,0.3968
average,cityblock,maxclust,18,0.4233
average,cityblock,maxclust,19,0.4268
average,cityblock,maxclust,20,0.4374
average,cityblock,maxclust,21,0.4468
average,cityblock,maxclust,22,0.4462
average,cityblock,maxclust,23,0.4489
average,cityblock,maxclust,24,0.4493
average,cityblock,maxclust,25,0.4494
average,cityblock,distance,5.0,0.1946
average,cityblock,distance,10.0,0.2536
average,cityblock,distance,15.0,0.3535
average,cityblock,distance,20.0,0.3967
average,cosine,maxclust,2,0.3647
average,cosine,maxclust,3,0.3805
average,cosine,maxclust,4,0.4319
average,cosine,maxclust,5,0.4112
average,cosine,maxclust,6,0.4137
average,cosine,maxclust,7,0.4014
average,cosine,maxclust,8,0.411
average,cosine,maxclust,9,0.4213
average,cosine,maxclust,10,0.4304
average,cosine,maxclust,11,0.4398
average,cosine,maxclust,12,0.4399
average,cosine,maxclust,13,0.4376
average,cosine,maxclust,14,0.4381
average,cosine,maxclust,15,0.438
average,cosine,maxclust,16,0.4384
average,cosine,maxclust,17,0.4368
average,cosine,maxclust,18,0.4362
average,cosine,maxclust,19,0.4325
average,cosine,maxclust,20,0.4322
average,cosine,maxclust,21,0.4322
average,cosine,maxclust,22,0.4405
average,cosine,maxclust,23,0.4474
average,cosine,maxclust,24,0.4471
average,cosine,maxclust,25,0.4467
average,correlation,maxclust,2,0.3647
average,correlation,maxclust,3,0.3805
average,correlation,maxclust,4,0.4319
average,correlation,maxclust,5,0.4112
average,correlation,maxclust,6,0.4137
average,correlation,maxclust,7,0.4014
average,correlation,maxclust,8,0.411
average,correlation,maxclust,9,0.4213
average,correlation,maxclust,10,0.4304
