linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1562
ward,euclidean,maxclust,3,0.1716
ward,euclidean,maxclust,4,0.1595
ward,euclidean,maxclust,5,0.1359
ward,euclidean,maxclust,6,0.1164
ward,euclidean,maxclust,7,0.1077
ward,euclidean,maxclust,8,0.1113
ward,euclidean,maxclust,9,0.1116
ward,euclidean,maxclust,10,0.1155
ward,euclidean,maxclust,11,0.1134
ward,euclidean,maxclust,12,0.1088
ward,euclidean,maxclust,13,0.112
ward,euclidean,maxclust,14,0.1112
ward,euclidean,maxclust,15,0.1151
ward,euclidean,maxclust,16,0.1174
ward,euclidean,maxclust,17,0.1223
ward,euclidean,maxclust,18,0.1256
ward,euclidean,maxclust,19,0.129
ward,euclidean,maxclust,20,0.131
ward,euclidean,maxclust,21,0.1331
ward,euclidean,maxclust,22,0.1337
ward,euclidean,maxclust,23,0.1366
ward,euclidean,maxclust,24,0.1396
ward,euclidean,maxclust,25,0.1395
ward,euclidean,distance,5.0,0.2406
ward,euclidean,distance,10.0,0.2804
ward,euclidean,distance,15.0,0.2333
ward,euclidean,distance,20.0,0.2263
average,euclidean,maxclust,2,0.1587
average,euclidean,maxclust,3,0.1743
average,euclidean,maxclust,4,0.1382
average,euclidean,maxclust,5,0.1202
average,euclidean,maxclust,6,0.1309
average,euclidean,maxclust,7,0.125
average,euclidean,maxclust,8,0.1192
average,euclidean,maxclust,9,0.1226
average,euclidean,maxclust,10,0.1207
average,euclidean,maxclust,11,0.117
average,euclidean,maxclust,12,0.11
average,euclidean,maxclust,13,0.1077
average,euclidean,maxclust,14,0.103
average,euclidean,maxclust,15,0.0964
average,euclidean,maxclust,16,0.0951
average,euclidean,maxclust,17,0.0967
average,euclidean,maxclust,18,0.0966
average,euclidean,maxclust,19,0.0987
average,euclidean,maxclust,20,0.1084
average,euclidean,maxclust,21,0.1079
average,euclidean,maxclust,22,0.1063
average,euclidean,maxclust,23,0.1097
average,euclidean,maxclust,24,0.1109
average,euclidean,maxclust,25,0.116
average,euclidean,distance,5.0,0.2756
average,euclidean,distance,10.0,0.1588
average,euclidean,distance,15.0,0.11
average,cityblock,maxclust,2,0.1649
average,cityblock,maxclust,3,0.1678
average,cityblock,maxclust,4,0.1667
average,cityblock,maxclust,5,0.1525
average,cityblock,maxclust,6,0.1386
average,cityblock,maxclust,7,0.1311
average,cityblock,maxclust,8,0.144
average,cityblock,maxclust,9,0.1405
average,cityblock,maxclust,10,0.1359
average,cityblock,maxclust,11,0.1241
average,cityblock,maxclust,12,0.1184
average,cityblock,maxclust,13,0.1163
average,cityblock,maxclust,14,0.1127
average,cityblock,maxclust,15,0.1133
average,cityblock,maxclust,16,0.11
average,cityblock,maxclust,17,0.1116
average,cityblock,maxclust,18,0.111
average,cityblock,maxclust,19,0.11
average,cityblock,maxclust,20,0.1083
average,cityblock,maxclust,21,0.1146
average,cityblock,maxclust,22,0.1103
average,cityblock,maxclust,23,0.1073
average,cityblock,maxclust,24,0.1111
average,cityblock,maxclust,25,0.1155
average,cityblock,distance,15.0,0.0176
average,cityblock,distance,20.0,0.0992
average,cosine,maxclust,2,0.1563
average,cosine,maxclust,3,0.1668
average,cosine,maxclust,4,0.1532
average,cosine,maxclust,5,0.1392
average,cosine,maxclust,6,0.1336
average,cosine,maxclust,7,0.1266
average,cosine,maxclust,8,0.1215
average,cosine,maxclust,9,0.1198
average,cosine,maxclust,10,0.1123
average,cosine,maxclust,11,0.1092
average,cosine,maxclust,12,0.0986
average,cosine,maxclust,13,0.0999
average,cosine,maxclust,14,0.0992
average,cosine,maxclust,15,0.0935
average,cosine,maxclust,16,0.0925
average,cosine,maxclust,17,0.0926
average,cosine,maxclust,18,0.0882
average,cosine,maxclust,19,0.0924
average,cosine,maxclust,20,0.0909
average,cosine,maxclust,21,0.0945
average,cosine,maxclust,22,0.0999
average,cosine,maxclust,23,0.1051
average,cosine,maxclust,24,0.1085
average,cosine,maxclust,25,0.1083
average,correlation,maxclust,2,0.1563
average,correlation,maxclust,3,0.1668
average,correlation,maxclust,4,0.1532
average,correlation,maxclust,5,0.1392
average,correlation,maxclust,6,0.1336
average,correlation,maxclust,7,0.1266
average,correlation,maxclust,8,0.1215
average,correlation,maxclust,9,0.1198
average,correlation,maxclust,10,0.1123
average,correlation,maxclust,11,0.1092
average,correlation,maxclust,12,0.0986
average,correlation,maxclust,13,0.0999
average,correlation,maxclust,14,0.0992
average,correlation,maxclust,15,0.0935
average,correlation,maxclust,16,0.0925
average,correlation,maxclust,17,0.0926
average,correlation,maxclust,18,0.0882
average,correlation,maxclust,19,0.0924
average,correlation,maxclust,20,0.0909
average,correlation,maxclust,21,0.0945
average,correlation,maxclust,22,0.0999
average,correlation,maxclust,23,0.1051
average,correlation,maxclust,24,0.1085
average,correlation,maxclust,25,0.1083
complete,euclidean,maxclust,2,0.1629
complete,euclidean,maxclust,3,0.1432
complete,euclidean,maxclust,4,0.1342
complete,euclidean,maxclust,5,0.1214
complete,euclidean,maxclust,6,0.11
complete,euclidean,maxclust,7,0.1028
complete,euclidean,maxclust,8,0.0981
complete,euclidean,maxclust,9,0.104
complete,euclidean,maxclust,10,0.106
complete,euclidean,maxclust,11,0.1058
complete,euclidean,maxclust,12,0.0964
complete,euclidean,maxclust,13,0.0978
complete,euclidean,maxclust,14,0.0952
complete,euclidean,maxclust,15,0.0938
complete,euclidean,maxclust,16,0.0974
complete,euclidean,maxclust,17,0.0987
complete,euclidean,maxclust,18,0.0971
complete,euclidean,maxclust,19,0.0996
complete,euclidean,maxclust,20,0.102
complete,euclidean,maxclust,21,0.1038
complete,euclidean,maxclust,22,0.1002
complete,euclidean,maxclust,23,0.0974
complete,euclidean,maxclust,24,0.0987
complete,euclidean,maxclust,25,0.1025
complete,euclidean,distance,5.0,0.2997
complete,euclidean,distance,10.0,0.212
complete,euclidean,distance,15.0,0.1444
complete,euclidean,distance,20.0,0.0996
complete,cityblock,maxclust,2,0.1546
complete,cityblock,maxclust,3,0.1748
complete,cityblock,maxclust,4,0.1616
complete,cityblock,maxclust,5,0.1442
complete,cityblock,maxclust,6,0.1158
complete,cityblock,maxclust,7,0.1079
complete,cityblock,maxclust,8,0.0947
complete,cityblock,maxclust,9,0.0889
complete,cityblock,maxclust,10,0.0977
complete,cityblock,maxclust,11,0.088
complete,cityblock,maxclust,12,0.0936
complete,cityblock,maxclust,13,0.0947
complete,cityblock,maxclust,14,0.0884
complete,cityblock,maxclust,15,0.0906
complete,cityblock,maxclust,16,0.0947
complete,cityblock,maxclust,17,0.0989
complete,cityblock,maxclust,18,0.1032
complete,cityblock,maxclust,19,0.1043
complete,cityblock,maxclust,20,0.1028
complete,cityblock,maxclust,21,0.1007
complete,cityblock,maxclust,22,0.1029
complete,cityblock,maxclust,23,0.1005
complete,cityblock,maxclust,24,0.0959
complete,cityblock,maxclust,25,0.0988
complete,cityblock,distance,15.0,0.0173
complete,cityblock,distance,20.0,0.0879
complete,cosine,maxclust,2,0.1629
complete,cosine,maxclust,3,0.1432
complete,cosine,maxclust,4,0.1342
complete,cosine,maxclust,5,0.1214
complete,cosine,maxclust,6,0.11
complete,cosine,maxclust,7,0.1028
complete,cosine,maxclust,8,0.0981
complete,cosine,maxclust,9,0.104
complete,cosine,maxclust,10,0.106
complete,cosine,maxclust,11,0.1058
complete,cosine,maxclust,12,0.0964
complete,cosine,maxclust,13,0.0978
complete,cosine,maxclust,14,0.0952
complete,cosine,maxclust,15,0.0938
complete,cosine,maxclust,16,0.0974
complete,cosine,maxclust,17,0.0987
complete,cosine,maxclust,18,0.0971
complete,cosine,maxclust,19,0.0996
complete,cosine,maxclust,20,0.102
