linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0432
ward,euclidean,maxclust,3,0.0533
ward,euclidean,maxclust,4,0.0617
ward,euclidean,maxclust,5,0.0731
ward,euclidean,maxclust,6,0.0844
ward,euclidean,maxclust,7,0.0933
ward,euclidean,maxclust,8,0.1031
ward,euclidean,maxclust,9,0.1157
ward,euclidean,maxclust,10,0.1253
ward,euclidean,maxclust,11,0.1325
ward,euclidean,maxclust,12,0.1402
ward,euclidean,maxclust,13,0.1459
ward,euclidean,maxclust,14,0.1491
ward,euclidean,maxclust,15,0.1571
ward,euclidean,maxclust,16,0.1647
ward,euclidean,maxclust,17,0.174
ward,euclidean,maxclust,18,0.1836
ward,euclidean,maxclust,19,0.192
ward,euclidean,maxclust,20,0.196
ward,euclidean,maxclust,21,0.1997
ward,euclidean,maxclust,22,0.2084
ward,euclidean,maxclust,23,0.2143
ward,euclidean,maxclust,24,0.2217
ward,euclidean,maxclust,25,0.2275
ward,euclidean,distance,5.0,0.0662
ward,euclidean,distance,10.0,0.0847
ward,euclidean,distance,15.0,0.0896
ward,euclidean,distance,20.0,0.0998
average,euclidean,maxclust,2,0.0481
average,euclidean,maxclust,3,0.0572
average,euclidean,maxclust,4,0.0701
average,euclidean,maxclust,5,0.078
average,euclidean,maxclust,6,0.0884
average,euclidean,maxclust,7,0.0981
average,euclidean,maxclust,8,0.1106
average,euclidean,maxclust,9,0.1219
average,euclidean,maxclust,10,0.1313
average,euclidean,maxclust,11,0.1378
average,euclidean,maxclust,12,0.1421
average,euclidean,maxclust,13,0.1461
average,euclidean,maxclust,14,0.1517
average,euclidean,maxclust,15,0.1505
average,euclidean,maxclust,16,0.1499
average,euclidean,maxclust,17,0.1479
average,euclidean,maxclust,18,0.1571
average,euclidean,maxclust,19,0.1665
average,euclidean,maxclust,20,0.1759
average,euclidean,maxclust,21,0.1828
average,euclidean,maxclust,22,0.1921
average,euclidean,maxclust,23,0.2021
average,euclidean,maxclust,24,0.2123
average,euclidean,maxclust,25,0.2179
average,euclidean,distance,5.0,0.0773
average,euclidean,distance,10.0,0.2159
average,euclidean,distance,15.0,0.244
average,cityblock,maxclust,2,0.004
average,cityblock,maxclust,3,-0.0162
average,cityblock,maxclust,4,-0.029
average,cityblock,maxclust,5,-0.0343
average,cityblock,maxclust,6,-0.0384
average,cityblock,maxclust,7,-0.0396
average,cityblock,maxclust,8,-0.051
average,cityblock,maxclust,9,-0.0538
average,cityblock,maxclust,10,-0.0612
average,cityblock,maxclust,11,-0.0634
average,cityblock,maxclust,12,-0.0648
average,cityblock,maxclust,13,-0.0705
average,cityblock,maxclust,14,-0.0768
average,cityblock,maxclust,15,-0.0821
average,cityblock,maxclust,16,-0.0847
average,cityblock,maxclust,17,-0.0903
average,cityblock,maxclust,18,-0.0945
average,cityblock,maxclust,19,-0.0952
average,cityblock,maxclust,20,-0.096
average,cityblock,maxclust,21,-0.1017
average,cityblock,maxclust,22,-0.1026
average,cityblock,maxclust,23,-0.0853
average,cityblock,maxclust,24,-0.088
average,cityblock,maxclust,25,-0.0889
average,cityblock,distance,10.0,0.0002
average,cityblock,distance,15.0,0.0115
average,cityblock,distance,20.0,0.0259
average,cosine,maxclust,2,0.0443
average,cosine,maxclust,3,0.0515
average,cosine,maxclust,4,0.0652
average,cosine,maxclust,5,0.077
average,cosine,maxclust,6,0.0887
average,cosine,maxclust,7,0.1024
average,cosine,maxclust,8,0.1105
average,cosine,maxclust,9,0.1254
average,cosine,maxclust,10,0.1322
average,cosine,maxclust,11,0.1376
average,cosine,maxclust,12,0.144
average,cosine,maxclust,13,0.1492
average,cosine,maxclust,14,0.1461
average,cosine,maxclust,15,0.1427
average,cosine,maxclust,16,0.148
average,cosine,maxclust,17,0.153
average,cosine,maxclust,18,0.1508
average,cosine,maxclust,19,0.1562
average,cosine,maxclust,20,0.1608
average,cosine,maxclust,21,0.17
average,cosine,maxclust,22,0.1799
average,cosine,maxclust,23,0.1877
average,cosine,maxclust,24,0.1962
average,cosine,maxclust,25,0.2027
average,correlation,maxclust,2,0.0443
average,correlation,maxclust,3,0.0515
average,correlation,maxclust,4,0.0652
average,correlation,maxclust,5,0.077
average,correlation,maxclust,6,0.0887
average,correlation,maxclust,7,0.1024
average,correlation,maxclust,8,0.1105
average,correlation,maxclust,9,0.1254
average,correlation,maxclust,10,0.1322
average,correlation,maxclust,11,0.1376
average,correlation,maxclust,12,0.144
average,correlation,maxclust,13,0.1492
average,correlation,maxclust,14,0.1461
average,correlation,maxclust,15,0.1427
