linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.2948
ward,euclidean,maxclust,3,0.3086
ward,euclidean,maxclust,4,0.3043
ward,euclidean,maxclust,5,0.2817
ward,euclidean,maxclust,6,0.2621
ward,euclidean,maxclust,7,0.231
ward,euclidean,maxclust,8,0.2196
ward,euclidean,maxclust,9,0.196
ward,euclidean,maxclust,10,0.2062
ward,euclidean,maxclust,11,0.1917
ward,euclidean,maxclust,12,0.1891
ward,euclidean,maxclust,13,0.194
ward,euclidean,maxclust,14,0.1833
ward,euclidean,maxclust,15,0.186
ward,euclidean,maxclust,16,0.1868
ward,euclidean,maxclust,17,0.1914
ward,euclidean,maxclust,18,0.1957
ward,euclidean,maxclust,19,0.1998
ward,euclidean,maxclust,20,0.1951
ward,euclidean,maxclust,21,0.1977
ward,euclidean,maxclust,22,0.198
ward,euclidean,maxclust,23,0.1996
ward,euclidean,maxclust,24,0.1946
ward,euclidean,maxclust,25,0.1962
ward,euclidean,distance,5.0,0.1395
ward,euclidean,distance,10.0,0.1146
ward,euclidean,distance,15.0,0.1111
ward,euclidean,distance,20.0,0.0951
average,euclidean,maxclust,2,0.2985
average,euclidean,maxclust,3,0.2992
average,euclidean,maxclust,4,0.2908
average,euclidean,maxclust,5,0.2737
average,euclidean,maxclust,6,0.2699
average,euclidean,maxclust,7,0.27
average,euclidean,maxclust,8,0.2638
average,euclidean,maxclust,9,0.2515
average,euclidean,maxclust,10,0.248
average,euclidean,maxclust,11,0.2448
average,euclidean,maxclust,12,0.2436
average,euclidean,maxclust,13,0.2427
average,euclidean,maxclust,14,0.278
average,euclidean,maxclust,15,0.2764
average,euclidean,maxclust,16,0.2715
average,euclidean,maxclust,17,0.2632
average,euclidean,maxclust,18,0.2623
average,euclidean,maxclust,19,0.2614
average,euclidean,maxclust,20,0.2567
average,euclidean,maxclust,21,0.2535
average,euclidean,maxclust,22,0.2511
average,euclidean,maxclust,23,0.2476
average,euclidean,maxclust,24,0.2405
average,euclidean,maxclust,25,0.2378
average,euclidean,distance,5.0,0.1069
average,euclidean,distance,10.0,0.1557
average,euclidean,distance,15.0,0.2638
average,cityblock,maxclust,2,0.2912
average,cityblock,maxclust,3,0.3135
average,cityblock,maxclust,4,0.2954
average,cityblock,maxclust,5,0.2755
average,cityblock,maxclust,6,0.2707
average,cityblock,maxclust,7,0.2666
average,cityblock,maxclust,8,0.2655
average,cityblock,maxclust,9,0.2709
average,cityblock,maxclust,10,0.2664
average,cityblock,maxclust,11,0.2618
average,cityblock,maxclust,12,0.2618
average,cityblock,maxclust,13,0.2561
average,cityblock,maxclust,14,0.2514
average,cityblock,maxclust,15,0.249
average,cityblock,maxclust,16,0.247
average,cityblock,maxclust,17,0.2422
average,cityblock,maxclust,18,0.243
average,cityblock,maxclust,19,0.2398
average,cityblock,maxclust,20,0.2317
average,cityblock,maxclust,21,0.2267
average,cityblock,maxclust,22,0.2263
average,cityblock,maxclust,23,0.225
average,cityblock,maxclust,24,0.2211
average,cityblock,maxclust,25,0.2168
average,cityblock,distance,10.0,0.0169
average,cityblock,distance,15.0,0.0862
average,cityblock,distance,20.0,0.109
average,cosine,maxclust,2,0.3024
average,cosine,maxclust,3,0.306
average,cosine,maxclust,4,0.3038
average,cosine,maxclust,5,0.2969
average,cosine,maxclust,6,0.2716
average,cosine,maxclust,7,0.266
average,cosine,maxclust,8,0.2572
average,cosine,maxclust,9,0.2525
average,cosine,maxclust,10,0.2451
average,cosine,maxclust,11,0.2447
average,cosine,maxclust,12,0.2431
average,cosine,maxclust,13,0.2344
average,cosine,maxclust,14,0.2271
average,cosine,maxclust,15,0.226
average,cosine,maxclust,16,0.2212
average,cosine,maxclust,17,0.242
average,cosine,maxclust,18,0.2409
average,cosine,maxclust,19,0.2412
average,cosine,maxclust,20,0.2404
average,cosine,maxclust,21,0.2383
average,cosine,maxclust,22,0.253
average,cosine,maxclust,23,0.2474
average,cosine,maxclust,24,0.2468
average,cosine,maxclust,25,0.2433
average,correlation,maxclust,2,0.3024
average,correlation,maxclust,3,0.306
average,correlation,maxclust,4,0.3038
average,correlation,maxclust,5,0.2969
average,correlation,maxclust,6,0.2716
average,correlation,maxclust,7,0.266
average,correlation,maxclust,8,0.2572
average,correlation,maxclust,9,0.2525
average,correlation,maxclust,10,0.2451
average,correlation,maxclust,11,0.2447
average,correlation,maxclust,12,0.2431
average,correlation,maxclust,13,0.2344
average,correlation,maxclust,14,0.2271
average,correlation,maxclust,15,0.226
average,correlation,maxclust,16,0.2212
average,correlation,maxclust,17,0.242
average,correlation,maxclust,18,0.2409
average,correlation,maxclust,19,0.2412
average,correlation,maxclust,20,0.2404
average,correlation,maxclust,21,0.2383
average,correlation,maxclust,22,0.253
average,correlation,maxclust,23,0.2474
average,correlation,maxclust,24,0.2468
average,correlation,maxclust,25,0.2433
complete,euclidean,maxclust,2,0.2665
complete,euclidean,maxclust,3,0.3257
complete,euclidean,maxclust,4,0.278
complete,euclidean,maxclust,5,0.2682
complete,euclidean,maxclust,6,0.2678
complete,euclidean,maxclust,7,0.2659
complete,euclidean,maxclust,8,0.2659
complete,euclidean,maxclust,9,0.2675
complete,euclidean,maxclust,10,0.261
complete,euclidean,maxclust,11,0.2608
complete,euclidean,maxclust,12,0.2607
complete,euclidean,maxclust,13,0.2103
complete,euclidean,maxclust,14,0.1922
complete,euclidean,maxclust,15,0.1932
complete,euclidean,maxclust,16,0.1939
complete,euclidean,maxclust,17,0.1942
complete,euclidean,maxclust,18,0.1946
complete,euclidean,maxclust,19,0.1948
complete,euclidean,maxclust,20,0.195
complete,euclidean,maxclust,21,0.1937
complete,euclidean,maxclust,22,0.1856
complete,euclidean,maxclust,23,0.1761
complete,euclidean,maxclust,24,0.1756
complete,euclidean,maxclust,25,0.1748
complete,euclidean,distance,5.0,0.0861
complete,euclidean,distance,10.0,0.1144
complete,euclidean,distance,15.0,0.1157
complete,euclidean,distance,20.0,0.1942
complete,cityblock,maxclust,2,0.2848
complete,cityblock,maxclust,3,0.2838
complete,cityblock,maxclust,4,0.2858
complete,cityblock,maxclust,5,0.2868
complete,cityblock,maxclust,6,0.2699
complete,cityblock,maxclust,7,0.235
complete,cityblock,maxclust,8,0.2056
complete,cityblock,maxclust,9,0.1985
complete,cityblock,maxclust,10,0.1995
complete,cityblock,maxclust,11,0.2003
complete,cityblock,maxclust,12,0.1888
complete,cityblock,maxclust,13,0.1884
complete,cityblock,maxclust,14,0.1889
complete,cityblock,maxclust,15,0.1707
complete,cityblock,maxclust,16,0.1716
complete,cityblock,maxclust,17,0.1714
complete,cityblock,maxclust,18,0.1705
complete,cityblock,maxclust,19,0.149
complete,cityblock,maxclust,20,0.1476
complete,cityblock,maxclust,21,0.1482
complete,cityblock,maxclust,22,0.1485
complete,cityblock,maxclust,23,0.1484
complete,cityblock,maxclust,24,0.1448
complete,cityblock,maxclust,25,0.1435
complete,cityblock,distance,10.0,0.0169
complete,cityblock,distance,15.0,0.0801
complete,cityblock,distance,20.0,0.1073
complete,cosine,maxclust,2,0.2665
complete,cosine,maxclust,3,0.3257
complete,cosine,maxclust,4,0.278
complete,cosine,maxclust,5,0.2682
complete,cosine,maxclust,6,0.2678
complete,cosine,maxclust,7,0.2659
complete,cosine,maxclust,8,0.2659
complete,cosine,maxclust,9,0.2675
complete,cosine,maxclust,10,0.261
complete,cosine,maxclust,11,0.2608
complete,cosine,maxclust,12,0.2607
complete,cosine,maxclust,13,0.2103
complete,cosine,maxclust,14,0.1922
complete,cosine,maxclust,15,0.1932
complete,cosine,maxclust,16,0.1939
complete,cosine,maxclust,17,0.1942
complete,cosine,maxclust,18,0.1946
complete,cosine,maxclust,19,0.1948
complete,cosine,maxclust,20,0.195
complete,cosine,maxclust,21,0.1937
complete,cosine,maxclust,22,0.1856
complete,cosine,maxclust,23,0.1761
complete,cosine,maxclust,24,0.1756
complete,cosine,maxclust,25,0.1748
complete,correlation,maxclust,2,0.2665
complete,correlation,maxclust,3,0.3257
complete,correlation,maxclust,4,0.278
complete,correlation,maxclust,5,0.2682
complete,correlation,maxclust,6,0.2678
complete,correlation,maxclust,7,0.2659
complete,correlation,maxclust,8,0.2659
complete,correlation,maxclust,9,0.2675
complete,correlation,maxclust,10,0.261
complete,correlation,maxclust,11,0.2608
complete,correlation,maxclust,12,0.2607
complete,correlation,maxclust,13,0.2103
complete,correlation,maxclust,14,0.1922
complete,correlation,maxclust,15,0.1932
complete,correlation,maxclust,16,0.1939
complete,correlation,maxclust,17,0.1942
complete,correlation,maxclust,18,0.1946
complete,correlation,maxclust,19,0.1948
complete,correlation,maxclust,20,0.195
complete,correlation,maxclust,21,0.1937
complete,correlation,maxclust,22,0.1856
complete,correlation,maxclust,23,0.1761
complete,correlation,maxclust,24,0.1756
complete,correlation,maxclust,25,0.1748
