linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0133
ward,euclidean,maxclust,3,0.0105
ward,euclidean,maxclust,4,0.0107
ward,euclidean,maxclust,5,0.012
ward,euclidean,maxclust,6,0.0131
ward,euclidean,maxclust,7,0.0137
ward,euclidean,maxclust,8,0.0164
ward,euclidean,maxclust,9,0.0183
ward,euclidean,maxclust,10,0.0204
ward,euclidean,maxclust,11,0.0211
ward,euclidean,maxclust,12,0.024
ward,euclidean,maxclust,13,0.0269
ward,euclidean,maxclust,14,0.0289
ward,euclidean,maxclust,15,0.031
ward,euclidean,maxclust,16,0.0317
ward,euclidean,maxclust,17,0.0332
ward,euclidean,maxclust,18,0.0347
ward,euclidean,maxclust,19,0.0362
ward,euclidean,maxclust,20,0.0383
ward,euclidean,maxclust,21,0.04
ward,euclidean,maxclust,22,0.0416
ward,euclidean,maxclust,23,0.0406
ward,euclidean,maxclust,24,0.0419
ward,euclidean,maxclust,25,0.0444
ward,euclidean,distance,5.0,0.002
ward,euclidean,distance,10.0,0.0994
ward,euclidean,distance,15.0,0.1201
ward,euclidean,distance,20.0,0.1082
average,euclidean,maxclust,2,0.0144
average,euclidean,maxclust,3,0.0135
average,euclidean,maxclust,4,0.015
average,euclidean,maxclust,5,0.0172
average,euclidean,maxclust,6,0.0207
average,euclidean,maxclust,7,0.0231
average,euclidean,maxclust,8,0.0246
average,euclidean,maxclust,9,0.0267
average,euclidean,maxclust,10,0.0272
average,euclidean,maxclust,11,0.0288
average,euclidean,maxclust,12,0.0307
average,euclidean,maxclust,13,0.0326
average,euclidean,maxclust,14,0.0329
average,euclidean,maxclust,15,0.0308
average,euclidean,maxclust,16,0.0296
average,euclidean,maxclust,17,0.0311
average,euclidean,maxclust,18,0.0326
average,euclidean,maxclust,19,0.0334
average,euclidean,maxclust,20,0.0352
average,euclidean,maxclust,21,0.0357
average,euclidean,maxclust,22,0.0347
average,euclidean,maxclust,23,0.0346
average,euclidean,maxclust,24,0.0353
average,euclidean,maxclust,25,0.0357
average,euclidean,distance,5.0,0.002
average,euclidean,distance,10.0,0.0996
average,euclidean,distance,15.0,0.0899
average,cityblock,maxclust,2,0.0003
average,cityblock,maxclust,3,-0.0236
average,cityblock,maxclust,4,-0.032
average,cityblock,maxclust,5,-0.0372
average,cityblock,maxclust,6,-0.0407
average,cityblock,maxclust,7,-0.0445
average,cityblock,maxclust,8,-0.0492
average,cityblock,maxclust,9,-0.0534
average,cityblock,maxclust,10,-0.055
average,cityblock,maxclust,11,-0.0563
average,cityblock,maxclust,12,-0.0568
average,cityblock,maxclust,13,-0.0606
average,cityblock,maxclust,14,-0.0615
average,cityblock,maxclust,15,-0.0619
average,cityblock,maxclust,16,-0.0629
average,cityblock,maxclust,17,-0.0632
average,cityblock,maxclust,18,-0.0632
average,cityblock,maxclust,19,-0.0635
average,cityblock,maxclust,20,-0.0641
average,cityblock,maxclust,21,-0.0648
average,cityblock,maxclust,22,-0.0651
average,cityblock,maxclust,23,-0.0661
average,cityblock,maxclust,24,-0.0671
average,cityblock,maxclust,25,-0.0678
average,cosine,maxclust,2,0.0141
average,cosine,maxclust,3,0.0147
average,cosine,maxclust,4,0.0147
average,cosine,maxclust,5,0.0175
average,cosine,maxclust,6,0.0201
average,cosine,maxclust,7,0.0212
average,cosine,maxclust,8,0.0244
average,cosine,maxclust,9,0.0281
average,cosine,maxclust,10,0.0298
average,cosine,maxclust,11,0.0309
average,cosine,maxclust,12,0.0321
average,cosine,maxclust,13,0.0325
average,cosine,maxclust,14,0.0312
average,cosine,maxclust,15,0.0311
average,cosine,maxclust,16,0.0322
average,cosine,maxclust,17,0.0323
average,cosine,maxclust,18,0.0321
average,cosine,maxclust,19,0.0323
average,cosine,maxclust,20,0.0329
average,cosine,maxclust,21,0.032
average,cosine,maxclust,22,0.0337
average,cosine,maxclust,23,0.0348
average,cosine,maxclust,24,0.0373
average,cosine,maxclust,25,0.0372
average,correlation,maxclust,2,0.0141
average,correlation,maxclust,3,0.0147
average,correlation,maxclust,4,0.0147
average,correlation,maxclust,5,0.0175
average,correlation,maxclust,6,0.0201
average,correlation,maxclust,7,0.0212
average,correlation,maxclust,8,0.0244
average,correlation,maxclust,9,0.0281
average,correlation,maxclust,10,0.0298
average,correlation,maxclust,11,0.0309
average,correlation,maxclust,12,0.0321
average,correlation,maxclust,13,0.0325
average,correlation,maxclust,14,0.0312
average,correlation,maxclust,15,0.0311
average,correlation,maxclust,16,0.0322
average,correlation,maxclust,17,0.0323
average,correlation,maxclust,18,0.0321
average,correlation,maxclust,19,0.0323
average,correlation,maxclust,20,0.0329
average,correlation,maxclust,21,0.032
average,correlation,maxclust,22,0.0337
average,correlation,maxclust,23,0.0348
average,correlation,maxclust,24,0.0373
average,correlation,maxclust,25,0.0372
complete,euclidean,maxclust,2,0.0052
complete,euclidean,maxclust,3,0.0014
complete,euclidean,maxclust,4,0.0011
complete,euclidean,maxclust,5,0.0007
complete,euclidean,maxclust,6,-0.001
complete,euclidean,maxclust,7,-0.0003
complete,euclidean,maxclust,8,-0.0007
complete,euclidean,maxclust,9,-0.0008
complete,euclidean,maxclust,10,0.0002
complete,euclidean,maxclust,11,0.0007
complete,euclidean,maxclust,12,0.0011
complete,euclidean,maxclust,13,0.0002
complete,euclidean,maxclust,14,-0.0004
complete,euclidean,maxclust,15,0.0002
complete,euclidean,maxclust,16,-0.0001
complete,euclidean,maxclust,17,0.0002
complete,euclidean,maxclust,18,-0.0003
complete,euclidean,maxclust,19,-0.0002
complete,euclidean,maxclust,20,-0.0001
complete,euclidean,maxclust,21,0.0
complete,euclidean,maxclust,22,0.0008
complete,euclidean,maxclust,23,0.0014
complete,euclidean,maxclust,24,0.0016
complete,euclidean,maxclust,25,0.0022
complete,euclidean,distance,5.0,0.002
complete,euclidean,distance,10.0,0.0917
complete,euclidean,distance,15.0,0.0942
complete,euclidean,distance,20.0,0.0089
complete,cityblock,maxclust,2,0.01
complete,cityblock,maxclust,3,0.0095
complete,cityblock,maxclust,4,0.0094
complete,cityblock,maxclust,5,0.0077
complete,cityblock,maxclust,6,0.0078
complete,cityblock,maxclust,7,0.0066
complete,cityblock,maxclust,8,0.0053
complete,cityblock,maxclust,9,0.0078
complete,cityblock,maxclust,10,0.0065
complete,cityblock,maxclust,11,0.0086
complete,cityblock,maxclust,12,0.0103
complete,cityblock,maxclust,13,0.0114
complete,cityblock,maxclust,14,0.0121
complete,cityblock,maxclust,15,0.0155
complete,cityblock,maxclust,16,0.0152
complete,cityblock,maxclust,17,0.0145
complete,cityblock,maxclust,18,0.014
complete,cityblock,maxclust,19,0.0145
complete,cityblock,maxclust,20,0.0161
complete,cityblock,maxclust,21,0.0162
complete,cityblock,maxclust,22,0.0183
complete,cityblock,maxclust,23,0.0182
complete,cityblock,maxclust,24,0.0176
complete,cityblock,maxclust,25,0.0181
complete,cosine,maxclust,2,0.0052
complete,cosine,maxclust,3,0.0014
complete,cosine,maxclust,4,0.0011
complete,cosine,maxclust,5,0.0007
complete,cosine,maxclust,6,-0.001
complete,cosine,maxclust,7,-0.0003
complete,cosine,maxclust,8,-0.0007
complete,cosine,maxclust,9,-0.0008
complete,cosine,maxclust,10,0.0002
complete,cosine,maxclust,11,0.0007
complete,cosine,maxclust,12,0.0011
complete,cosine,maxclust,13,0.0002
complete,cosine,maxclust,14,-0.0004
complete,cosine,maxclust,15,0.0002
complete,cosine,maxclust,16,-0.0001
complete,cosine,maxclust,17,0.0002
complete,cosine,maxclust,18,-0.0003
complete,cosine,maxclust,19,-0.0002
complete,cosine,maxclust,20,-0.0001
complete,cosine,maxclust,21,0.0
complete,cosine,maxclust,22,0.0008
complete,cosine,maxclust,23,0.0014
complete,cosine,maxclust,24,0.0016
complete,cosine,maxclust,25,0.0022
complete,correlation,maxclust,2,0.0052
complete,correlation,maxclust,3,0.0014
complete,correlation,maxclust,4,0.0011
complete,correlation,maxclust,5,0.0007
complete,correlation,maxclust,6,-0.001
complete,correlation,maxclust,7,-0.0003
complete,correlation,maxclust,8,-0.0007
complete,correlation,maxclust,9,-0.0008
complete,correlation,maxclust,10,0.0002
complete,correlation,maxclust,11,0.0007
complete,correlation,maxclust,12,0.0011
complete,correlation,maxclust,13,0.0002
complete,correlation,maxclust,14,-0.0004
complete,correlation,maxclust,15,0.0002
complete,correlation,maxclust,16,-0.0001
complete,correlation,maxclust,17,0.0002
complete,correlation,maxclust,18,-0.0003
complete,correlation,maxclust,19,-0.0002
complete,correlation,maxclust,20,-0.0001
complete,correlation,maxclust,21,0.0
complete,correlation,maxclust,22,0.0008
complete,correlation,maxclust,23,0.0014
complete,correlation,maxclust,24,0.0016
complete,correlation,maxclust,25,0.0022
