linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0425
ward,euclidean,maxclust,3,0.0382
ward,euclidean,maxclust,4,0.04
ward,euclidean,maxclust,5,0.0412
ward,euclidean,maxclust,6,0.0406
ward,euclidean,maxclust,7,0.0419
ward,euclidean,maxclust,8,0.0442
ward,euclidean,maxclust,9,0.0437
ward,euclidean,maxclust,10,0.0478
ward,euclidean,maxclust,11,0.0488
ward,euclidean,maxclust,12,0.049
ward,euclidean,maxclust,13,0.0518
ward,euclidean,maxclust,14,0.0553
ward,euclidean,maxclust,15,0.0587
ward,euclidean,maxclust,16,0.0616
ward,euclidean,maxclust,17,0.0602
ward,euclidean,maxclust,18,0.0627
ward,euclidean,maxclust,19,0.0654
ward,euclidean,maxclust,20,0.0679
ward,euclidean,maxclust,21,0.0699
ward,euclidean,maxclust,22,0.0718
ward,euclidean,maxclust,23,0.075
ward,euclidean,maxclust,24,0.0783
ward,euclidean,maxclust,25,0.0789
ward,euclidean,distance,5.0,0.0189
ward,euclidean,distance,10.0,0.1077
ward,euclidean,distance,15.0,0.0914
ward,euclidean,distance,20.0,0.0834
average,euclidean,maxclust,2,0.047
average,euclidean,maxclust,3,0.0369
average,euclidean,maxclust,4,0.0373
average,euclidean,maxclust,5,0.0418
average,euclidean,maxclust,6,0.0412
average,euclidean,maxclust,7,0.0423
average,euclidean,maxclust,8,0.0442
average,euclidean,maxclust,9,0.0487
average,euclidean,maxclust,10,0.0511
average,euclidean,maxclust,11,0.0475
average,euclidean,maxclust,12,0.0509
average,euclidean,maxclust,13,0.0505
average,euclidean,maxclust,14,0.054
average,euclidean,maxclust,15,0.0577
average,euclidean,maxclust,16,0.0616
average,euclidean,maxclust,17,0.0639
average,euclidean,maxclust,18,0.0644
average,euclidean,maxclust,19,0.0665
average,euclidean,maxclust,20,0.0679
average,euclidean,maxclust,21,0.0661
average,euclidean,maxclust,22,0.0667
average,euclidean,maxclust,23,0.0678
average,euclidean,maxclust,24,0.0695
average,euclidean,maxclust,25,0.0722
average,euclidean,distance,5.0,0.0193
average,euclidean,distance,10.0,0.1056
average,euclidean,distance,15.0,0.0888
average,cityblock,maxclust,2,0.0445
average,cityblock,maxclust,3,0.0375
average,cityblock,maxclust,4,0.0357
average,cityblock,maxclust,5,0.0347
average,cityblock,maxclust,6,0.0391
average,cityblock,maxclust,7,0.0402
average,cityblock,maxclust,8,0.0406
average,cityblock,maxclust,9,0.0432
average,cityblock,maxclust,10,0.0463
average,cityblock,maxclust,11,0.0481
average,cityblock,maxclust,12,0.053
average,cityblock,maxclust,13,0.0554
average,cityblock,maxclust,14,0.0554
average,cityblock,maxclust,15,0.0605
average,cityblock,maxclust,16,0.0621
average,cityblock,maxclust,17,0.063
average,cityblock,maxclust,18,0.0629
average,cityblock,maxclust,19,0.0666
average,cityblock,maxclust,20,0.0658
average,cityblock,maxclust,21,0.0643
average,cityblock,maxclust,22,0.0626
average,cityblock,maxclust,23,0.0657
average,cityblock,maxclust,24,0.067
average,cityblock,maxclust,25,0.0682
average,cosine,maxclust,2,0.0474
average,cosine,maxclust,3,0.0443
average,cosine,maxclust,4,0.0392
average,cosine,maxclust,5,0.038
average,cosine,maxclust,6,0.0388
average,cosine,maxclust,7,0.0414
average,cosine,maxclust,8,0.0466
average,cosine,maxclust,9,0.0503
average,cosine,maxclust,10,0.0529
average,cosine,maxclust,11,0.057
average,cosine,maxclust,12,0.055
average,cosine,maxclust,13,0.0522
average,cosine,maxclust,14,0.0535
average,cosine,maxclust,15,0.0527
average,cosine,maxclust,16,0.0533
average,cosine,maxclust,17,0.0539
average,cosine,maxclust,18,0.0561
average,cosine,maxclust,19,0.0585
average,cosine,maxclust,20,0.0603
average,cosine,maxclust,21,0.0621
average,cosine,maxclust,22,0.0661
average,cosine,maxclust,23,0.0689
average,cosine,maxclust,24,0.0722
average,cosine,maxclust,25,0.0746
average,correlation,maxclust,2,0.0456
average,correlation,maxclust,3,0.0369
average,correlation,maxclust,4,0.0389
average,correlation,maxclust,5,0.0396
average,correlation,maxclust,6,0.0389
average,correlation,maxclust,7,0.0379
average,correlation,maxclust,8,0.0416
average,correlation,maxclust,9,0.0431
average,correlation,maxclust,10,0.0465
average,correlation,maxclust,11,0.0503
average,correlation,maxclust,12,0.0474
average,correlation,maxclust,13,0.0522
average,correlation,maxclust,14,0.0555
average,correlation,maxclust,15,0.0585
average,correlation,maxclust,16,0.0598
average,correlation,maxclust,17,0.0624
average,correlation,maxclust,18,0.0637
average,correlation,maxclust,19,0.0654
average,correlation,maxclust,20,0.0666
average,correlation,maxclust,21,0.0686
average,correlation,maxclust,22,0.0719
average,correlation,maxclust,23,0.0737
average,correlation,maxclust,24,0.0732
average,correlation,maxclust,25,0.0748
complete,euclidean,maxclust,2,0.0308
complete,euclidean,maxclust,3,0.0279
complete,euclidean,maxclust,4,0.0216
complete,euclidean,maxclust,5,0.0217
complete,euclidean,maxclust,6,0.033
complete,euclidean,maxclust,7,0.0323
complete,euclidean,maxclust,8,0.0317
complete,euclidean,maxclust,9,0.0308
complete,euclidean,maxclust,10,0.0325
complete,euclidean,maxclust,11,0.0341
complete,euclidean,maxclust,12,0.0326
complete,euclidean,maxclust,13,0.031
complete,euclidean,maxclust,14,0.0324
complete,euclidean,maxclust,15,0.0338
complete,euclidean,maxclust,16,0.0369
complete,euclidean,maxclust,17,0.0398
complete,euclidean,maxclust,18,0.0395
complete,euclidean,maxclust,19,0.0404
complete,euclidean,maxclust,20,0.0421
complete,euclidean,maxclust,21,0.0425
complete,euclidean,maxclust,22,0.0403
complete,euclidean,maxclust,23,0.0397
complete,euclidean,maxclust,24,0.039
complete,euclidean,maxclust,25,0.0403
complete,euclidean,distance,5.0,0.0186
complete,euclidean,distance,10.0,0.1
complete,euclidean,distance,15.0,0.073
complete,euclidean,distance,20.0,0.0451
complete,cityblock,maxclust,2,0.0367
complete,cityblock,maxclust,3,0.0299
complete,cityblock,maxclust,4,0.0363
complete,cityblock,maxclust,5,0.0359
complete,cityblock,maxclust,6,0.035
complete,cityblock,maxclust,7,0.0346
complete,cityblock,maxclust,8,0.0422
complete,cityblock,maxclust,9,0.0446
complete,cityblock,maxclust,10,0.0407
complete,cityblock,maxclust,11,0.0439
complete,cityblock,maxclust,12,0.0439
complete,cityblock,maxclust,13,0.0444
complete,cityblock,maxclust,14,0.0407
complete,cityblock,maxclust,15,0.0425
complete,cityblock,maxclust,16,0.0419
complete,cityblock,maxclust,17,0.0418
complete,cityblock,maxclust,18,0.0405
complete,cityblock,maxclust,19,0.0446
complete,cityblock,maxclust,20,0.0438
complete,cityblock,maxclust,21,0.0446
complete,cityblock,maxclust,22,0.0436
