linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.2086
ward,euclidean,maxclust,3,0.2454
ward,euclidean,maxclust,4,0.2715
ward,euclidean,maxclust,5,0.2519
ward,euclidean,maxclust,6,0.2518
ward,euclidean,maxclust,7,0.2434
ward,euclidean,maxclust,8,0.2326
ward,euclidean,maxclust,9,0.2141
ward,euclidean,maxclust,10,0.1958
ward,euclidean,maxclust,11,0.1822
ward,euclidean,maxclust,12,0.1747
ward,euclidean,maxclust,13,0.169
ward,euclidean,maxclust,14,0.1614
ward,euclidean,maxclust,15,0.1587
ward,euclidean,maxclust,16,0.1646
ward,euclidean,maxclust,17,0.1682
ward,euclidean,maxclust,18,0.173
ward,euclidean,maxclust,19,0.1776
ward,euclidean,maxclust,20,0.1815
ward,euclidean,maxclust,21,0.1864
ward,euclidean,maxclust,22,0.1909
ward,euclidean,maxclust,23,0.1956
ward,euclidean,maxclust,24,0.1971
ward,euclidean,maxclust,25,0.2034
ward,euclidean,distance,5.0,0.4928
ward,euclidean,distance,10.0,0.2568
ward,euclidean,distance,15.0,0.1814
ward,euclidean,distance,20.0,0.1686
average,euclidean,maxclust,2,0.2103
average,euclidean,maxclust,3,0.2336
average,euclidean,maxclust,4,0.2646
average,euclidean,maxclust,5,0.254
average,euclidean,maxclust,6,0.2482
average,euclidean,maxclust,7,0.2389
average,euclidean,maxclust,8,0.2252
average,euclidean,maxclust,9,0.2282
average,euclidean,maxclust,10,0.2273
average,euclidean,maxclust,11,0.2222
average,euclidean,maxclust,12,0.2221
average,euclidean,maxclust,13,0.2019
average,euclidean,maxclust,14,0.2015
average,euclidean,maxclust,15,0.1911
average,euclidean,maxclust,16,0.1944
average,euclidean,maxclust,17,0.1927
average,euclidean,maxclust,18,0.1929
average,euclidean,maxclust,19,0.1905
average,euclidean,maxclust,20,0.1998
average,euclidean,maxclust,21,0.2017
average,euclidean,maxclust,22,0.204
average,euclidean,maxclust,23,0.2035
average,euclidean,maxclust,24,0.2006
average,euclidean,maxclust,25,0.1993
average,euclidean,distance,5.0,0.1605
average,euclidean,distance,10.0,0.2256
average,euclidean,distance,15.0,0.254
average,cityblock,maxclust,2,0.21
average,cityblock,maxclust,3,0.24
average,cityblock,maxclust,4,0.1725
average,cityblock,maxclust,5,0.2097
average,cityblock,maxclust,6,0.1749
average,cityblock,maxclust,7,0.2122
average,cityblock,maxclust,8,0.2268
average,cityblock,maxclust,9,0.2206
average,cityblock,maxclust,10,0.2198
average,cityblock,maxclust,11,0.2112
average,cityblock,maxclust,12,0.2025
average,cityblock,maxclust,13,0.2027
average,cityblock,maxclust,14,0.195
average,cityblock,maxclust,15,0.1901
average,cityblock,maxclust,16,0.1914
average,cityblock,maxclust,17,0.1849
average,cityblock,maxclust,18,0.1697
average,cityblock,maxclust,19,0.172
average,cityblock,maxclust,20,0.1744
average,cityblock,maxclust,21,0.1715
average,cityblock,maxclust,22,0.1714
average,cityblock,maxclust,23,0.185
average,cityblock,maxclust,24,0.1754
average,cityblock,maxclust,25,0.1753
average,cityblock,distance,5.0,0.4998
average,cityblock,distance,10.0,0.1736
average,cityblock,distance,15.0,0.1335
average,cityblock,distance,20.0,0.1082
complete,euclidean,maxclust,2,0.1597
complete,euclidean,maxclust,3,0.2112
complete,euclidean,maxclust,4,0.2611
complete,euclidean,maxclust,5,0.2711
complete,euclidean,maxclust,6,0.2407
complete,euclidean,maxclust,7,0.2293
complete,euclidean,maxclust,8,0.2224
complete,euclidean,maxclust,9,0.2103
complete,euclidean,maxclust,10,0.1909
complete,euclidean,maxclust,11,0.178
complete,euclidean,maxclust,12,0.1715
complete,euclidean,maxclust,13,0.1737
complete,euclidean,maxclust,14,0.1695
complete,euclidean,maxclust,15,0.1724
complete,euclidean,maxclust,16,0.1743
complete,euclidean,maxclust,17,0.1743
complete,euclidean,maxclust,18,0.1709
complete,euclidean,maxclust,19,0.1706
complete,euclidean,maxclust,20,0.1683
complete,euclidean,maxclust,21,0.1649
complete,euclidean,maxclust,22,0.1649
complete,euclidean,maxclust,23,0.1656
complete,euclidean,maxclust,24,0.169
complete,euclidean,maxclust,25,0.1709
complete,euclidean,distance,5.0,0.2355
complete,euclidean,distance,10.0,0.1489
complete,euclidean,distance,15.0,0.1769
complete,euclidean,distance,20.0,0.2224
complete,cityblock,maxclust,2,0.2087
complete,cityblock,maxclust,3,0.1951
complete,cityblock,maxclust,4,0.2452
complete,cityblock,maxclust,5,0.2281
complete,cityblock,maxclust,6,0.2329
complete,cityblock,maxclust,7,0.2209
complete,cityblock,maxclust,8,0.2231
complete,cityblock,maxclust,9,0.2132
complete,cityblock,maxclust,10,0.1988
complete,cityblock,maxclust,11,0.1825
complete,cityblock,maxclust,12,0.1812
complete,cityblock,maxclust,13,0.1748
complete,cityblock,maxclust,14,0.173
complete,cityblock,maxclust,15,0.1556
complete,cityblock,maxclust,16,0.1476
complete,cityblock,maxclust,17,0.146
complete,cityblock,maxclust,18,0.1455
complete,cityblock,maxclust,19,0.1519
complete,cityblock,maxclust,20,0.1524
complete,cityblock,maxclust,21,0.1509
complete,cityblock,maxclust,22,0.1496
complete,cityblock,maxclust,23,0.1534
complete,cityblock,maxclust,24,0.1566
complete,cityblock,maxclust,25,0.1574
complete,cityblock,distance,5.0,0.4238
complete,cityblock,distance,10.0,0.2955
complete,cityblock,distance,15.0,0.1926
complete,cityblock,distance,20.0,0.1761
