linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0729
ward,euclidean,maxclust,3,0.0613
ward,euclidean,maxclust,4,0.0547
ward,euclidean,maxclust,5,0.0602
ward,euclidean,maxclust,6,0.0653
ward,euclidean,maxclust,7,0.073
ward,euclidean,maxclust,8,0.0662
ward,euclidean,maxclust,9,0.0621
ward,euclidean,maxclust,10,0.0566
ward,euclidean,maxclust,11,0.0392
ward,euclidean,maxclust,12,0.0326
ward,euclidean,maxclust,13,0.0332
ward,euclidean,maxclust,14,0.0364
ward,euclidean,maxclust,15,0.0375
ward,euclidean,maxclust,16,0.0351
ward,euclidean,maxclust,17,0.0323
ward,euclidean,maxclust,18,0.0335
ward,euclidean,maxclust,19,0.0333
ward,euclidean,maxclust,20,0.0324
ward,euclidean,maxclust,21,0.0328
ward,euclidean,maxclust,22,0.0304
ward,euclidean,maxclust,23,0.0304
ward,euclidean,maxclust,24,0.0312
ward,euclidean,maxclust,25,0.0336
ward,euclidean,distance,5.0,0.0626
ward,euclidean,distance,10.0,0.1512
ward,euclidean,distance,15.0,0.1201
ward,euclidean,distance,20.0,0.0836
average,euclidean,maxclust,2,0.0775
average,euclidean,maxclust,3,0.0652
average,euclidean,maxclust,4,0.065
average,euclidean,maxclust,5,0.0749
average,euclidean,maxclust,6,0.0828
average,euclidean,maxclust,7,0.0771
average,euclidean,maxclust,8,0.0719
average,euclidean,maxclust,9,0.0701
average,euclidean,maxclust,10,0.0681
average,euclidean,maxclust,11,0.0656
average,euclidean,maxclust,12,0.0629
average,euclidean,maxclust,13,0.0585
average,euclidean,maxclust,14,0.0577
average,euclidean,maxclust,15,0.0612
average,euclidean,maxclust,16,0.0603
average,euclidean,maxclust,17,0.0597
average,euclidean,maxclust,18,0.0578
average,euclidean,maxclust,19,0.057
average,euclidean,maxclust,20,0.0559
average,euclidean,maxclust,21,0.0553
average,euclidean,maxclust,22,0.0535
average,euclidean,maxclust,23,0.0529
average,euclidean,maxclust,24,0.0503
average,euclidean,maxclust,25,0.0478
average,euclidean,distance,5.0,0.0651
average,euclidean,distance,10.0,0.1092
average,euclidean,distance,15.0,0.0433
average,cityblock,maxclust,2,0.073
average,cityblock,maxclust,3,0.0664
average,cityblock,maxclust,4,0.0639
average,cityblock,maxclust,5,0.0701
average,cityblock,maxclust,6,0.0762
average,cityblock,maxclust,7,0.0728
average,cityblock,maxclust,8,0.0727
average,cityblock,maxclust,9,0.0646
average,cityblock,maxclust,10,0.0616
average,cityblock,maxclust,11,0.0642
average,cityblock,maxclust,12,0.0605
average,cityblock,maxclust,13,0.0596
average,cityblock,maxclust,14,0.0601
average,cityblock,maxclust,15,0.0596
average,cityblock,maxclust,16,0.0594
average,cityblock,maxclust,17,0.0574
average,cityblock,maxclust,18,0.0561
average,cityblock,maxclust,19,0.0544
average,cityblock,maxclust,20,0.0547
average,cityblock,maxclust,21,0.0533
average,cityblock,maxclust,22,0.053
average,cityblock,maxclust,23,0.0529
average,cityblock,maxclust,24,0.0523
average,cityblock,maxclust,25,0.0535
average,cityblock,distance,10.0,0.0001
average,cityblock,distance,15.0,0.005
average,cityblock,distance,20.0,0.011
average,cosine,maxclust,2,0.0731
average,cosine,maxclust,3,0.0655
average,cosine,maxclust,4,0.0645
average,cosine,maxclust,5,0.0652
average,cosine,maxclust,6,0.0688
average,cosine,maxclust,7,0.0837
average,cosine,maxclust,8,0.0779
average,cosine,maxclust,9,0.0763
average,cosine,maxclust,10,0.0741
average,cosine,maxclust,11,0.0713
average,cosine,maxclust,12,0.0688
average,cosine,maxclust,13,0.0656
average,cosine,maxclust,14,0.0657
average,cosine,maxclust,15,0.0639
average,cosine,maxclust,16,0.0619
average,cosine,maxclust,17,0.0634
average,cosine,maxclust,18,0.0645
average,cosine,maxclust,19,0.0642
average,cosine,maxclust,20,0.0639
average,cosine,maxclust,21,0.0627
average,cosine,maxclust,22,0.0609
average,cosine,maxclust,23,0.057
average,cosine,maxclust,24,0.0563
average,cosine,maxclust,25,0.056
average,correlation,maxclust,2,0.0731
average,correlation,maxclust,3,0.0655
average,correlation,maxclust,4,0.0645
average,correlation,maxclust,5,0.0652
average,correlation,maxclust,6,0.0688
average,correlation,maxclust,7,0.0837
average,correlation,maxclust,8,0.0779
average,correlation,maxclust,9,0.0763
average,correlation,maxclust,10,0.0741
average,correlation,maxclust,11,0.0713
average,correlation,maxclust,12,0.0688
average,correlation,maxclust,13,0.0656
average,correlation,maxclust,14,0.0657
average,correlation,maxclust,15,0.0639
average,correlation,maxclust,16,0.0619
average,correlation,maxclust,17,0.0634
average,correlation,maxclust,18,0.0645
average,correlation,maxclust,19,0.0642
average,correlation,maxclust,20,0.0639
average,correlation,maxclust,21,0.0627
average,correlation,maxclust,22,0.0609
average,correlation,maxclust,23,0.057
average,correlation,maxclust,24,0.0563
average,correlation,maxclust,25,0.056
complete,euclidean,maxclust,2,0.0786
complete,euclidean,maxclust,3,0.052
complete,euclidean,maxclust,4,0.0549
complete,euclidean,maxclust,5,0.039
complete,euclidean,maxclust,6,0.0389
complete,euclidean,maxclust,7,0.033
complete,euclidean,maxclust,8,0.0326
complete,euclidean,maxclust,9,0.0328
complete,euclidean,maxclust,10,0.0265
complete,euclidean,maxclust,11,0.0289
complete,euclidean,maxclust,12,0.0364
complete,euclidean,maxclust,13,0.0334
complete,euclidean,maxclust,14,0.0326
complete,euclidean,maxclust,15,0.0318
complete,euclidean,maxclust,16,0.0346
complete,euclidean,maxclust,17,0.0302
complete,euclidean,maxclust,18,0.0307
complete,euclidean,maxclust,19,0.0238
complete,euclidean,maxclust,20,0.021
complete,euclidean,maxclust,21,0.0191
complete,euclidean,maxclust,22,0.0182
complete,euclidean,maxclust,23,0.0189
complete,euclidean,maxclust,24,0.0201
complete,euclidean,maxclust,25,0.0182
complete,euclidean,distance,5.0,0.0609
complete,euclidean,distance,10.0,0.1174
complete,euclidean,distance,15.0,0.0435
complete,euclidean,distance,20.0,0.0229
complete,cityblock,maxclust,2,0.0512
complete,cityblock,maxclust,3,0.0248
complete,cityblock,maxclust,4,0.0392
complete,cityblock,maxclust,5,0.0297
complete,cityblock,maxclust,6,0.0302
complete,cityblock,maxclust,7,0.0336
complete,cityblock,maxclust,8,0.0302
complete,cityblock,maxclust,9,0.0278
complete,cityblock,maxclust,10,0.0263
complete,cityblock,maxclust,11,0.0186
complete,cityblock,maxclust,12,0.0182
complete,cityblock,maxclust,13,0.0209
complete,cityblock,maxclust,14,0.0232
complete,cityblock,maxclust,15,0.025
complete,cityblock,maxclust,16,0.024
complete,cityblock,maxclust,17,0.0242
complete,cityblock,maxclust,18,0.0255
complete,cityblock,maxclust,19,0.0287
complete,cityblock,maxclust,20,0.0296
complete,cityblock,maxclust,21,0.0309
complete,cityblock,maxclust,22,0.03
complete,cityblock,maxclust,23,0.0284
complete,cityblock,maxclust,24,0.0272
complete,cityblock,maxclust,25,0.0262
complete,cityblock,distance,10.0,0.0001
complete,cityblock,distance,15.0,0.0049
complete,cityblock,distance,20.0,0.0099
complete,cosine,maxclust,2,0.0786
complete,cosine,maxclust,3,0.052
complete,cosine,maxclust,4,0.0549
complete,cosine,maxclust,5,0.039
complete,cosine,maxclust,6,0.0389
complete,cosine,maxclust,7,0.033
complete,cosine,maxclust,8,0.0326
complete,cosine,maxclust,9,0.0328
complete,cosine,maxclust,10,0.0265
complete,cosine,maxclust,11,0.0289
complete,cosine,maxclust,12,0.0364
complete,cosine,maxclust,13,0.0334
complete,cosine,maxclust,14,0.0326
complete,cosine,maxclust,15,0.0318
complete,cosine,maxclust,16,0.0346
complete,cosine,maxclust,17,0.0302
complete,cosine,maxclust,18,0.0307
complete,cosine,maxclust,19,0.0238
complete,cosine,maxclust,20,0.021
complete,cosine,maxclust,21,0.0191
complete,cosine,maxclust,22,0.0182
complete,cosine,maxclust,23,0.0189
complete,cosine,maxclust,24,0.0201
complete,cosine,maxclust,25,0.0182
complete,correlation,maxclust,2,0.0786
complete,correlation,maxclust,3,0.052
complete,correlation,maxclust,4,0.0549
complete,correlation,maxclust,5,0.039
complete,correlation,maxclust,6,0.0389
complete,correlation,maxclust,7,0.033
complete,correlation,maxclust,8,0.0326
complete,correlation,maxclust,9,0.0328
complete,correlation,maxclust,10,0.0265
complete,correlation,maxclust,11,0.0289
complete,correlation,maxclust,12,0.0364
complete,correlation,maxclust,13,0.0334
complete,correlation,maxclust,14,0.0326
complete,correlation,maxclust,15,0.0318
complete,correlation,maxclust,16,0.0346
complete,correlation,maxclust,17,0.0302
complete,correlation,maxclust,18,0.0307
complete,correlation,maxclust,19,0.0238
complete,correlation,maxclust,20,0.021
complete,correlation,maxclust,21,0.0191
complete,correlation,maxclust,22,0.0182
complete,correlation,maxclust,23,0.0189
complete,correlation,maxclust,24,0.0201
complete,correlation,maxclust,25,0.0182
