linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.3229
ward,euclidean,maxclust,3,0.3752
ward,euclidean,maxclust,4,0.4182
ward,euclidean,maxclust,5,0.4347
ward,euclidean,maxclust,6,0.4461
ward,euclidean,maxclust,7,0.4535
ward,euclidean,maxclust,8,0.4458
ward,euclidean,maxclust,9,0.4429
ward,euclidean,maxclust,10,0.3876
ward,euclidean,maxclust,11,0.3809
ward,euclidean,maxclust,12,0.3731
ward,euclidean,maxclust,13,0.3811
ward,euclidean,maxclust,14,0.382
ward,euclidean,maxclust,15,0.3851
ward,euclidean,maxclust,16,0.3861
ward,euclidean,maxclust,17,0.3873
ward,euclidean,maxclust,18,0.3435
ward,euclidean,maxclust,19,0.3456
ward,euclidean,maxclust,20,0.3454
ward,euclidean,maxclust,21,0.3406
ward,euclidean,maxclust,22,0.3327
ward,euclidean,maxclust,23,0.327
ward,euclidean,maxclust,24,0.3195
ward,euclidean,maxclust,25,0.3148
ward,euclidean,distance,5.0,0.1633
ward,euclidean,distance,10.0,0.1971
ward,euclidean,distance,15.0,0.2265
ward,euclidean,distance,20.0,0.2568
average,euclidean,maxclust,2,0.334
average,euclidean,maxclust,3,0.3476
average,euclidean,maxclust,4,0.3996
average,euclidean,maxclust,5,0.4007
average,euclidean,maxclust,6,0.407
average,euclidean,maxclust,7,0.4354
average,euclidean,maxclust,8,0.4488
average,euclidean,maxclust,9,0.4522
average,euclidean,maxclust,10,0.4355
average,euclidean,maxclust,11,0.3961
average,euclidean,maxclust,12,0.3929
average,euclidean,maxclust,13,0.375
average,euclidean,maxclust,14,0.3707
average,euclidean,maxclust,15,0.3696
average,euclidean,maxclust,16,0.3661
average,euclidean,maxclust,17,0.3652
average,euclidean,maxclust,18,0.3649
average,euclidean,maxclust,19,0.3609
average,euclidean,maxclust,20,0.3578
average,euclidean,maxclust,21,0.3544
average,euclidean,maxclust,22,0.355
average,euclidean,maxclust,23,0.3472
average,euclidean,maxclust,24,0.3466
average,euclidean,maxclust,25,0.3259
average,euclidean,distance,5.0,0.274
average,euclidean,distance,10.0,0.4522
average,euclidean,distance,15.0,0.3996
