linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1642
ward,euclidean,maxclust,3,0.1873
ward,euclidean,maxclust,4,0.1862
ward,euclidean,maxclust,5,0.1898
ward,euclidean,maxclust,6,0.1783
ward,euclidean,maxclust,7,0.1924
ward,euclidean,maxclust,8,0.2058
ward,euclidean,maxclust,9,0.218
ward,euclidean,maxclust,10,0.2238
ward,euclidean,maxclust,11,0.2373
ward,euclidean,maxclust,12,0.2512
ward,euclidean,maxclust,13,0.2617
ward,euclidean,maxclust,14,0.2705
ward,euclidean,maxclust,15,0.2826
ward,euclidean,maxclust,16,0.2911
ward,euclidean,maxclust,17,0.3026
ward,euclidean,maxclust,18,0.3116
ward,euclidean,maxclust,19,0.3229
ward,euclidean,maxclust,20,0.3342
ward,euclidean,maxclust,21,0.3411
ward,euclidean,maxclust,22,0.3337
ward,euclidean,maxclust,23,0.3403
ward,euclidean,maxclust,24,0.3452
ward,euclidean,maxclust,25,0.35
ward,euclidean,distance,5.0,0.1766
ward,euclidean,distance,10.0,0.1641
ward,euclidean,distance,15.0,0.1745
ward,euclidean,distance,20.0,0.2296
average,euclidean,maxclust,2,0.1694
average,euclidean,maxclust,3,0.1761
average,euclidean,maxclust,4,0.1537
average,euclidean,maxclust,5,0.1607
average,euclidean,maxclust,6,0.1935
average,euclidean,maxclust,7,0.2142
average,euclidean,maxclust,8,0.2273
average,euclidean,maxclust,9,0.2356
average,euclidean,maxclust,10,0.2298
average,euclidean,maxclust,11,0.2252
average,euclidean,maxclust,12,0.2183
average,euclidean,maxclust,13,0.2222
average,euclidean,maxclust,14,0.2331
average,euclidean,maxclust,15,0.2356
average,euclidean,maxclust,16,0.2286
average,euclidean,maxclust,17,0.2433
average,euclidean,maxclust,18,0.2592
average,euclidean,maxclust,19,0.2729
average,euclidean,maxclust,20,0.2844
average,euclidean,maxclust,21,0.2738
average,euclidean,maxclust,22,0.2884
average,euclidean,maxclust,23,0.2982
average,euclidean,maxclust,24,0.3056
average,euclidean,maxclust,25,0.319
average,euclidean,distance,5.0,0.3122
average,euclidean,distance,10.0,0.3667
average,euclidean,distance,15.0,0.2356
average,cityblock,maxclust,2,0.1695
average,cityblock,maxclust,3,0.1698
average,cityblock,maxclust,4,0.1235
average,cityblock,maxclust,5,0.128
average,cityblock,maxclust,6,0.1141
average,cityblock,maxclust,7,0.1574
average,cityblock,maxclust,8,0.1389
average,cityblock,maxclust,9,0.1116
average,cityblock,maxclust,10,0.1019
average,cityblock,maxclust,11,0.122
average,cityblock,maxclust,12,0.1192
average,cityblock,maxclust,13,0.1142
average,cityblock,maxclust,14,0.0918
average,cityblock,maxclust,15,0.112
average,cityblock,maxclust,16,0.1313
average,cityblock,maxclust,17,0.1298
average,cityblock,maxclust,18,0.1709
average,cityblock,maxclust,19,0.1561
average,cityblock,maxclust,20,0.1466
average,cityblock,maxclust,21,0.1622
average,cityblock,maxclust,22,0.1595
average,cityblock,maxclust,23,0.1517
average,cityblock,maxclust,24,0.1391
average,cityblock,maxclust,25,0.1545
average,cityblock,distance,5.0,0.035
average,cityblock,distance,10.0,0.1229
average,cityblock,distance,15.0,0.0968
average,cityblock,distance,20.0,0.0753
average,cosine,maxclust,2,0.1684
average,cosine,maxclust,3,0.1831
average,cosine,maxclust,4,0.1616
average,cosine,maxclust,5,0.1647
average,cosine,maxclust,6,0.1801
average,cosine,maxclust,7,0.1864
average,cosine,maxclust,8,0.2037
average,cosine,maxclust,9,0.2151
average,cosine,maxclust,10,0.2049
average,cosine,maxclust,11,0.1994
average,cosine,maxclust,12,0.2145
average,cosine,maxclust,13,0.2267
average,cosine,maxclust,14,0.2175
average,cosine,maxclust,15,0.2217
average,cosine,maxclust,16,0.2189
average,cosine,maxclust,17,0.2125
average,cosine,maxclust,18,0.2232
average,cosine,maxclust,19,0.2411
average,cosine,maxclust,20,0.231
average,cosine,maxclust,21,0.2406
average,cosine,maxclust,22,0.2599
average,cosine,maxclust,23,0.2624
average,cosine,maxclust,24,0.2659
average,cosine,maxclust,25,0.2712
average,correlation,maxclust,2,0.1684
average,correlation,maxclust,3,0.1831
average,correlation,maxclust,4,0.1616
average,correlation,maxclust,5,0.1647
average,correlation,maxclust,6,0.1801
average,correlation,maxclust,7,0.1864
average,correlation,maxclust,8,0.2037
average,correlation,maxclust,9,0.2151
average,correlation,maxclust,10,0.2049
average,correlation,maxclust,11,0.1994
average,correlation,maxclust,12,0.2145
average,correlation,maxclust,13,0.2267
average,correlation,maxclust,14,0.2175
average,correlation,maxclust,15,0.2217
average,correlation,maxclust,16,0.2189
average,correlation,maxclust,17,0.2125
average,correlation,maxclust,18,0.2232
average,correlation,maxclust,19,0.2411
average,correlation,maxclust,20,0.231
average,correlation,maxclust,21,0.2406
average,correlation,maxclust,22,0.2599
average,correlation,maxclust,23,0.2624
average,correlation,maxclust,24,0.2659
average,correlation,maxclust,25,0.2712
complete,euclidean,maxclust,2,0.1509
complete,euclidean,maxclust,3,0.1544
complete,euclidean,maxclust,4,0.1429
complete,euclidean,maxclust,5,0.1375
complete,euclidean,maxclust,6,0.1468
complete,euclidean,maxclust,7,0.146
complete,euclidean,maxclust,8,0.1469
complete,euclidean,maxclust,9,0.1509
complete,euclidean,maxclust,10,0.1673
complete,euclidean,maxclust,11,0.1703
complete,euclidean,maxclust,12,0.1811
complete,euclidean,maxclust,13,0.1779
complete,euclidean,maxclust,14,0.1784
complete,euclidean,maxclust,15,0.1761
complete,euclidean,maxclust,16,0.1921
complete,euclidean,maxclust,17,0.1917
complete,euclidean,maxclust,18,0.1885
complete,euclidean,maxclust,19,0.1916
complete,euclidean,maxclust,20,0.206
complete,euclidean,maxclust,21,0.2076
complete,euclidean,maxclust,22,0.2168
complete,euclidean,maxclust,23,0.2169
complete,euclidean,maxclust,24,0.2205
complete,euclidean,maxclust,25,0.2273
complete,euclidean,distance,5.0,0.1916
complete,euclidean,distance,10.0,0.2964
complete,euclidean,distance,15.0,0.3443
complete,euclidean,distance,20.0,0.1921
complete,cityblock,maxclust,2,0.1613
complete,cityblock,maxclust,3,0.1741
complete,cityblock,maxclust,4,0.1765
complete,cityblock,maxclust,5,0.1838
complete,cityblock,maxclust,6,0.1871
complete,cityblock,maxclust,7,0.1909
complete,cityblock,maxclust,8,0.1802
complete,cityblock,maxclust,9,0.1786
complete,cityblock,maxclust,10,0.1919
complete,cityblock,maxclust,11,0.1817
complete,cityblock,maxclust,12,0.1738
complete,cityblock,maxclust,13,0.1878
complete,cityblock,maxclust,14,0.1969
complete,cityblock,maxclust,15,0.216
complete,cityblock,maxclust,16,0.2208
complete,cityblock,maxclust,17,0.2286
complete,cityblock,maxclust,18,0.238
complete,cityblock,maxclust,19,0.2287
complete,cityblock,maxclust,20,0.2253
complete,cityblock,maxclust,21,0.2367
complete,cityblock,maxclust,22,0.2526
complete,cityblock,maxclust,23,0.2477
complete,cityblock,maxclust,24,0.2513
complete,cityblock,maxclust,25,0.2586
complete,cityblock,distance,5.0,0.0343
complete,cityblock,distance,10.0,0.1096
complete,cityblock,distance,15.0,0.1279
complete,cityblock,distance,20.0,0.1283
complete,cosine,maxclust,2,0.1509
complete,cosine,maxclust,3,0.1544
complete,cosine,maxclust,4,0.1429
complete,cosine,maxclust,5,0.1375
complete,cosine,maxclust,6,0.1468
complete,cosine,maxclust,7,0.146
complete,cosine,maxclust,8,0.1469
complete,cosine,maxclust,9,0.1509
complete,cosine,maxclust,10,0.1673
complete,cosine,maxclust,11,0.1703
complete,cosine,maxclust,12,0.1811
complete,cosine,maxclust,13,0.1779
complete,cosine,maxclust,14,0.1784
complete,cosine,maxclust,15,0.1761
complete,cosine,maxclust,16,0.1921
complete,cosine,maxclust,17,0.1917
complete,cosine,maxclust,18,0.1885
complete,cosine,maxclust,19,0.1916
complete,cosine,maxclust,20,0.206
complete,cosine,maxclust,21,0.2076
complete,cosine,maxclust,22,0.2168
complete,cosine,maxclust,23,0.2169
complete,cosine,maxclust,24,0.2205
complete,cosine,maxclust,25,0.2273
complete,correlation,maxclust,2,0.1509
complete,correlation,maxclust,3,0.1544
complete,correlation,maxclust,4,0.1429
complete,correlation,maxclust,5,0.1375
complete,correlation,maxclust,6,0.1468
complete,correlation,maxclust,7,0.146
complete,correlation,maxclust,8,0.1469
complete,correlation,maxclust,9,0.1509
complete,correlation,maxclust,10,0.1673
complete,correlation,maxclust,11,0.1703
complete,correlation,maxclust,12,0.1811
complete,correlation,maxclust,13,0.1779
complete,correlation,maxclust,14,0.1784
complete,correlation,maxclust,15,0.1761
complete,correlation,maxclust,16,0.1921
complete,correlation,maxclust,17,0.1917
complete,correlation,maxclust,18,0.1885
complete,correlation,maxclust,19,0.1916
complete,correlation,maxclust,20,0.206
complete,correlation,maxclust,21,0.2076
complete,correlation,maxclust,22,0.2168
complete,correlation,maxclust,23,0.2169
complete,correlation,maxclust,24,0.2205
complete,correlation,maxclust,25,0.2273
