linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0893
ward,euclidean,maxclust,3,0.0876
ward,euclidean,maxclust,4,0.0854
ward,euclidean,maxclust,5,0.0921
ward,euclidean,maxclust,6,0.0968
ward,euclidean,maxclust,7,0.1035
ward,euclidean,maxclust,8,0.1044
ward,euclidean,maxclust,9,0.1066
ward,euclidean,maxclust,10,0.1105
ward,euclidean,maxclust,11,0.1105
ward,euclidean,maxclust,12,0.1135
ward,euclidean,maxclust,13,0.1134
ward,euclidean,maxclust,14,0.1159
ward,euclidean,maxclust,15,0.1163
ward,euclidean,maxclust,16,0.1197
ward,euclidean,maxclust,17,0.1249
ward,euclidean,maxclust,18,0.1252
ward,euclidean,maxclust,19,0.1249
ward,euclidean,maxclust,20,0.1282
ward,euclidean,maxclust,21,0.1327
ward,euclidean,maxclust,22,0.1367
ward,euclidean,maxclust,23,0.1382
ward,euclidean,maxclust,24,0.142
ward,euclidean,maxclust,25,0.1425
ward,euclidean,distance,5.0,0.1004
ward,euclidean,distance,10.0,0.1084
ward,euclidean,distance,15.0,0.0954
ward,euclidean,distance,20.0,0.0928
average,euclidean,maxclust,2,0.0782
average,euclidean,maxclust,3,0.0829
average,euclidean,maxclust,4,0.0887
average,euclidean,maxclust,5,0.1012
average,euclidean,maxclust,6,0.1096
average,euclidean,maxclust,7,0.0951
average,euclidean,maxclust,8,0.0967
average,euclidean,maxclust,9,0.103
average,euclidean,maxclust,10,0.1076
average,euclidean,maxclust,11,0.1114
average,euclidean,maxclust,12,0.1109
average,euclidean,maxclust,13,0.1114
average,euclidean,maxclust,14,0.1045
average,euclidean,maxclust,15,0.0999
average,euclidean,maxclust,16,0.1031
average,euclidean,maxclust,17,0.1054
average,euclidean,maxclust,18,0.1077
average,euclidean,maxclust,19,0.1043
average,euclidean,maxclust,20,0.1018
average,euclidean,maxclust,21,0.107
average,euclidean,maxclust,22,0.1087
average,euclidean,maxclust,23,0.1048
average,euclidean,maxclust,24,0.1098
average,euclidean,maxclust,25,0.1149
average,euclidean,distance,5.0,0.0993
average,euclidean,distance,10.0,0.1153
average,euclidean,distance,15.0,0.1018
average,cityblock,maxclust,2,0.0864
average,cityblock,maxclust,3,0.0793
average,cityblock,maxclust,4,0.0864
average,cityblock,maxclust,5,0.0803
average,cityblock,maxclust,6,0.09
average,cityblock,maxclust,7,0.1057
average,cityblock,maxclust,8,0.1099
average,cityblock,maxclust,9,0.1099
average,cityblock,maxclust,10,0.1168
average,cityblock,maxclust,11,0.1191
average,cityblock,maxclust,12,0.1167
average,cityblock,maxclust,13,0.1182
average,cityblock,maxclust,14,0.1201
average,cityblock,maxclust,15,0.1228
average,cityblock,maxclust,16,0.1233
average,cityblock,maxclust,17,0.124
average,cityblock,maxclust,18,0.1238
average,cityblock,maxclust,19,0.1258
average,cityblock,maxclust,20,0.1275
average,cityblock,maxclust,21,0.1297
average,cityblock,maxclust,22,0.1322
average,cityblock,maxclust,23,0.1382
average,cityblock,maxclust,24,0.1378
average,cityblock,maxclust,25,0.1406
average,cosine,maxclust,2,0.0732
average,cosine,maxclust,3,0.0724
average,cosine,maxclust,4,0.0845
average,cosine,maxclust,5,0.0987
average,cosine,maxclust,6,0.1006
average,cosine,maxclust,7,0.1116
average,cosine,maxclust,8,0.1162
average,cosine,maxclust,9,0.1156
average,cosine,maxclust,10,0.1175
average,cosine,maxclust,11,0.1207
average,cosine,maxclust,12,0.1224
average,cosine,maxclust,13,0.122
average,cosine,maxclust,14,0.1183
average,cosine,maxclust,15,0.1222
average,cosine,maxclust,16,0.126
average,cosine,maxclust,17,0.1223
average,cosine,maxclust,18,0.1222
average,cosine,maxclust,19,0.1234
average,cosine,maxclust,20,0.1245
average,cosine,maxclust,21,0.1231
average,cosine,maxclust,22,0.1267
average,cosine,maxclust,23,0.1291
average,cosine,maxclust,24,0.1331
average,cosine,maxclust,25,0.1301
average,correlation,maxclust,2,0.0732
average,correlation,maxclust,3,0.0724
average,correlation,maxclust,4,0.0845
average,correlation,maxclust,5,0.0987
average,correlation,maxclust,6,0.1006
average,correlation,maxclust,7,0.1116
average,correlation,maxclust,8,0.1162
average,correlation,maxclust,9,0.1156
average,correlation,maxclust,10,0.1175
average,correlation,maxclust,11,0.1207
average,correlation,maxclust,12,0.1224
average,correlation,maxclust,13,0.122
