linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1166
ward,euclidean,maxclust,3,0.1143
ward,euclidean,maxclust,4,0.0916
ward,euclidean,maxclust,5,0.097
ward,euclidean,maxclust,6,0.0778
ward,euclidean,maxclust,7,0.0821
ward,euclidean,maxclust,8,0.0795
ward,euclidean,maxclust,9,0.0697
ward,euclidean,maxclust,10,0.0597
ward,euclidean,maxclust,11,0.0613
ward,euclidean,maxclust,12,0.0561
ward,euclidean,maxclust,13,0.056
ward,euclidean,maxclust,14,0.0618
ward,euclidean,maxclust,15,0.0636
ward,euclidean,maxclust,16,0.0702
ward,euclidean,maxclust,17,0.0703
ward,euclidean,maxclust,18,0.0747
ward,euclidean,maxclust,19,0.0772
ward,euclidean,maxclust,20,0.0787
ward,euclidean,maxclust,21,0.0809
ward,euclidean,maxclust,22,0.0837
ward,euclidean,maxclust,23,0.0869
ward,euclidean,maxclust,24,0.0907
ward,euclidean,maxclust,25,0.0945
ward,euclidean,distance,5.0,0.2639
ward,euclidean,distance,10.0,0.2311
ward,euclidean,distance,15.0,0.1891
ward,euclidean,distance,20.0,0.15
average,euclidean,maxclust,2,0.1183
average,euclidean,maxclust,3,0.1106
average,euclidean,maxclust,4,0.1005
average,euclidean,maxclust,5,0.0954
average,euclidean,maxclust,6,0.0954
average,euclidean,maxclust,7,0.0892
average,euclidean,maxclust,8,0.0893
average,euclidean,maxclust,9,0.0844
average,euclidean,maxclust,10,0.0905
average,euclidean,maxclust,11,0.0901
average,euclidean,maxclust,12,0.0926
average,euclidean,maxclust,13,0.0906
average,euclidean,maxclust,14,0.0905
average,euclidean,maxclust,15,0.0912
average,euclidean,maxclust,16,0.1079
average,euclidean,maxclust,17,0.1078
average,euclidean,maxclust,18,0.1066
average,euclidean,maxclust,19,0.1063
average,euclidean,maxclust,20,0.1044
average,euclidean,maxclust,21,0.1037
average,euclidean,maxclust,22,0.1113
average,euclidean,maxclust,23,0.1081
average,euclidean,maxclust,24,0.1062
average,euclidean,maxclust,25,0.1064
average,euclidean,distance,5.0,0.2425
average,euclidean,distance,10.0,0.1795
average,euclidean,distance,15.0,0.0936
average,cityblock,maxclust,2,0.1264
average,cityblock,maxclust,3,0.1142
average,cityblock,maxclust,4,0.106
average,cityblock,maxclust,5,0.0988
average,cityblock,maxclust,6,0.0951
average,cityblock,maxclust,7,0.0899
average,cityblock,maxclust,8,0.0933
average,cityblock,maxclust,9,0.0932
average,cityblock,maxclust,10,0.0891
average,cityblock,maxclust,11,0.0936
average,cityblock,maxclust,12,0.1022
average,cityblock,maxclust,13,0.1023
average,cityblock,maxclust,14,0.1009
average,cityblock,maxclust,15,0.1002
average,cityblock,maxclust,16,0.0984
average,cityblock,maxclust,17,0.1051
average,cityblock,maxclust,18,0.1068
average,cityblock,maxclust,19,0.1095
average,cityblock,maxclust,20,0.1094
average,cityblock,maxclust,21,0.1096
average,cityblock,maxclust,22,0.1082
average,cityblock,maxclust,23,0.1084
average,cityblock,maxclust,24,0.1067
average,cityblock,maxclust,25,0.1036
average,cityblock,distance,15.0,0.0069
average,cityblock,distance,20.0,0.0197
average,cosine,maxclust,2,0.1346
average,cosine,maxclust,3,0.1177
average,cosine,maxclust,4,0.0991
average,cosine,maxclust,5,0.0943
average,cosine,maxclust,6,0.0916
average,cosine,maxclust,7,0.0906
average,cosine,maxclust,8,0.0881
average,cosine,maxclust,9,0.0876
average,cosine,maxclust,10,0.0842
average,cosine,maxclust,11,0.0976
average,cosine,maxclust,12,0.0978
average,cosine,maxclust,13,0.1005
average,cosine,maxclust,14,0.0974
average,cosine,maxclust,15,0.0979
average,cosine,maxclust,16,0.1014
average,cosine,maxclust,17,0.1009
average,cosine,maxclust,18,0.1008
average,cosine,maxclust,19,0.1009
average,cosine,maxclust,20,0.0986
average,cosine,maxclust,21,0.1037
average,cosine,maxclust,22,0.1025
average,cosine,maxclust,23,0.1055
average,cosine,maxclust,24,0.1054
average,cosine,maxclust,25,0.1182
average,correlation,maxclust,2,0.1346
average,correlation,maxclust,3,0.1177
average,correlation,maxclust,4,0.0991
average,correlation,maxclust,5,0.0943
average,correlation,maxclust,6,0.0916
average,correlation,maxclust,7,0.0906
average,correlation,maxclust,8,0.0881
average,correlation,maxclust,9,0.0876
average,correlation,maxclust,10,0.0842
average,correlation,maxclust,11,0.0976
average,correlation,maxclust,12,0.0978
average,correlation,maxclust,13,0.1005
average,correlation,maxclust,14,0.0974
average,correlation,maxclust,15,0.0979
average,correlation,maxclust,16,0.1014
average,correlation,maxclust,17,0.1009
average,correlation,maxclust,18,0.1008
average,correlation,maxclust,19,0.1009
average,correlation,maxclust,20,0.0986
average,correlation,maxclust,21,0.1037
average,correlation,maxclust,22,0.1025
average,correlation,maxclust,23,0.1055
average,correlation,maxclust,24,0.1054
average,correlation,maxclust,25,0.1182
complete,euclidean,maxclust,2,0.072
complete,euclidean,maxclust,3,0.0655
complete,euclidean,maxclust,4,0.073
complete,euclidean,maxclust,5,0.0615
complete,euclidean,maxclust,6,0.077
complete,euclidean,maxclust,7,0.0827
complete,euclidean,maxclust,8,0.0898
complete,euclidean,maxclust,9,0.0938
complete,euclidean,maxclust,10,0.088
complete,euclidean,maxclust,11,0.0749
complete,euclidean,maxclust,12,0.0772
complete,euclidean,maxclust,13,0.0804
complete,euclidean,maxclust,14,0.0814
complete,euclidean,maxclust,15,0.0836
complete,euclidean,maxclust,16,0.0823
complete,euclidean,maxclust,17,0.0759
