linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1218
ward,euclidean,maxclust,3,0.1088
ward,euclidean,maxclust,4,0.1018
ward,euclidean,maxclust,5,0.0952
ward,euclidean,maxclust,6,0.0953
ward,euclidean,maxclust,7,0.0957
ward,euclidean,maxclust,8,0.104
ward,euclidean,maxclust,9,0.1099
ward,euclidean,maxclust,10,0.115
ward,euclidean,maxclust,11,0.1211
ward,euclidean,maxclust,12,0.127
ward,euclidean,maxclust,13,0.135
ward,euclidean,maxclust,14,0.1443
ward,euclidean,maxclust,15,0.1547
ward,euclidean,maxclust,16,0.1597
ward,euclidean,maxclust,17,0.1676
ward,euclidean,maxclust,18,0.1759
ward,euclidean,maxclust,19,0.1849
ward,euclidean,maxclust,20,0.1896
ward,euclidean,maxclust,21,0.194
ward,euclidean,maxclust,22,0.1867
ward,euclidean,maxclust,23,0.1902
ward,euclidean,maxclust,24,0.1935
ward,euclidean,maxclust,25,0.1853
ward,euclidean,distance,5.0,0.1094
ward,euclidean,distance,10.0,0.1117
ward,euclidean,distance,15.0,0.1232
ward,euclidean,distance,20.0,0.1297
average,euclidean,maxclust,2,0.1316
average,euclidean,maxclust,3,0.1186
average,euclidean,maxclust,4,0.1224
average,euclidean,maxclust,5,0.1179
average,euclidean,maxclust,6,0.1132
average,euclidean,maxclust,7,0.1101
average,euclidean,maxclust,8,0.1118
average,euclidean,maxclust,9,0.113
average,euclidean,maxclust,10,0.1071
average,euclidean,maxclust,11,0.1065
average,euclidean,maxclust,12,0.1163
average,euclidean,maxclust,13,0.1162
average,euclidean,maxclust,14,0.1127
average,euclidean,maxclust,15,0.1114
average,euclidean,maxclust,16,0.1106
average,euclidean,maxclust,17,0.1084
average,euclidean,maxclust,18,0.1031
average,euclidean,maxclust,19,0.1117
average,euclidean,maxclust,20,0.1297
average,euclidean,maxclust,21,0.1425
average,euclidean,maxclust,22,0.1438
average,euclidean,maxclust,23,0.1422
average,euclidean,maxclust,24,0.1422
average,euclidean,maxclust,25,0.142
average,euclidean,distance,5.0,0.0888
average,euclidean,distance,10.0,0.1914
average,euclidean,distance,15.0,0.1422
average,cityblock,maxclust,2,0.117
average,cityblock,maxclust,3,0.1215
average,cityblock,maxclust,4,0.1298
average,cityblock,maxclust,5,0.1246
average,cityblock,maxclust,6,0.1431
average,cityblock,maxclust,7,0.1404
average,cityblock,maxclust,8,0.1379
average,cityblock,maxclust,9,0.1341
average,cityblock,maxclust,10,0.1294
average,cityblock,maxclust,11,0.1258
average,cityblock,maxclust,12,0.1325
average,cityblock,maxclust,13,0.1291
average,cityblock,maxclust,14,0.1382
average,cityblock,maxclust,15,0.1397
average,cityblock,maxclust,16,0.1371
average,cityblock,maxclust,17,0.138
average,cityblock,maxclust,18,0.1373
average,cityblock,maxclust,19,0.1374
average,cityblock,maxclust,20,0.1382
average,cityblock,maxclust,21,0.1419
average,cityblock,maxclust,22,0.1537
average,cityblock,maxclust,23,0.1604
average,cityblock,maxclust,24,0.1602
average,cityblock,maxclust,25,0.1631
average,cityblock,distance,10.0,0.0003
average,cityblock,distance,15.0,0.0085
average,cityblock,distance,20.0,0.0254
average,cosine,maxclust,2,0.1281
average,cosine,maxclust,3,0.1265
average,cosine,maxclust,4,0.1207
average,cosine,maxclust,5,0.1186
average,cosine,maxclust,6,0.1176
average,cosine,maxclust,7,0.1149
average,cosine,maxclust,8,0.1126
average,cosine,maxclust,9,0.1084
average,cosine,maxclust,10,0.1018
average,cosine,maxclust,11,0.1022
average,cosine,maxclust,12,0.1159
average,cosine,maxclust,13,0.1122
average,cosine,maxclust,14,0.1107
average,cosine,maxclust,15,0.1092
average,cosine,maxclust,16,0.1064
average,cosine,maxclust,17,0.1092
average,cosine,maxclust,18,0.1183
average,cosine,maxclust,19,0.1302
average,cosine,maxclust,20,0.1299
average,cosine,maxclust,21,0.1307
average,cosine,maxclust,22,0.1318
average,cosine,maxclust,23,0.1329
average,cosine,maxclust,24,0.1316
average,cosine,maxclust,25,0.1426
average,correlation,maxclust,2,0.1281
average,correlation,maxclust,3,0.1265
average,correlation,maxclust,4,0.1207
average,correlation,maxclust,5,0.1186
average,correlation,maxclust,6,0.1176
average,correlation,maxclust,7,0.1149
average,correlation,maxclust,8,0.1126
average,correlation,maxclust,9,0.1084
average,correlation,maxclust,10,0.1018
average,correlation,maxclust,11,0.1022
average,correlation,maxclust,12,0.1159
average,correlation,maxclust,13,0.1122
average,correlation,maxclust,14,0.1107
average,correlation,maxclust,15,0.1092
average,correlation,maxclust,16,0.1064
average,correlation,maxclust,17,0.1092
average,correlation,maxclust,18,0.1183
average,correlation,maxclust,19,0.1302
average,correlation,maxclust,20,0.1299
average,correlation,maxclust,21,0.1307
average,correlation,maxclust,22,0.1318
average,correlation,maxclust,23,0.1329
average,correlation,maxclust,24,0.1316
average,correlation,maxclust,25,0.1426
complete,euclidean,maxclust,2,0.1033
complete,euclidean,maxclust,3,0.1007
complete,euclidean,maxclust,4,0.1028
complete,euclidean,maxclust,5,0.1026
complete,euclidean,maxclust,6,0.0895
complete,euclidean,maxclust,7,0.09
complete,euclidean,maxclust,8,0.084
complete,euclidean,maxclust,9,0.067
complete,euclidean,maxclust,10,0.0714
complete,euclidean,maxclust,11,0.0741
complete,euclidean,maxclust,12,0.0706
complete,euclidean,maxclust,13,0.0664
complete,euclidean,maxclust,14,0.064
complete,euclidean,maxclust,15,0.0636
complete,euclidean,maxclust,16,0.0768
complete,euclidean,maxclust,17,0.0805
complete,euclidean,maxclust,18,0.0839
complete,euclidean,maxclust,19,0.0839
complete,euclidean,maxclust,20,0.0861
complete,euclidean,maxclust,21,0.0824
complete,euclidean,maxclust,22,0.0805
complete,euclidean,maxclust,23,0.0781
complete,euclidean,maxclust,24,0.0778
complete,euclidean,maxclust,25,0.079
complete,euclidean,distance,5.0,0.0903
complete,euclidean,distance,10.0,0.1159
complete,euclidean,distance,15.0,0.1559
complete,euclidean,distance,20.0,0.0861
complete,cityblock,maxclust,2,0.0798
complete,cityblock,maxclust,3,0.0562
complete,cityblock,maxclust,4,0.062
complete,cityblock,maxclust,5,0.0656
complete,cityblock,maxclust,6,0.0917
complete,cityblock,maxclust,7,0.091
complete,cityblock,maxclust,8,0.0963
