linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.1274
ward,euclidean,maxclust,3,0.1104
ward,euclidean,maxclust,4,0.1184
ward,euclidean,maxclust,5,0.127
ward,euclidean,maxclust,6,0.112
ward,euclidean,maxclust,7,0.0966
ward,euclidean,maxclust,8,0.1068
ward,euclidean,maxclust,9,0.1143
ward,euclidean,maxclust,10,0.1032
ward,euclidean,maxclust,11,0.0918
ward,euclidean,maxclust,12,0.0898
ward,euclidean,maxclust,13,0.079
ward,euclidean,maxclust,14,0.0644
ward,euclidean,maxclust,15,0.0682
ward,euclidean,maxclust,16,0.0716
ward,euclidean,maxclust,17,0.0642
ward,euclidean,maxclust,18,0.0668
ward,euclidean,maxclust,19,0.058
ward,euclidean,maxclust,20,0.0598
ward,euclidean,maxclust,21,0.0621
ward,euclidean,maxclust,22,0.056
ward,euclidean,maxclust,23,0.0566
ward,euclidean,maxclust,24,0.0577
ward,euclidean,maxclust,25,0.0599
ward,euclidean,distance,5.0,0.1556
ward,euclidean,distance,10.0,0.1562
ward,euclidean,distance,15.0,0.1326
ward,euclidean,distance,20.0,0.1085
average,euclidean,maxclust,2,0.1442
average,euclidean,maxclust,3,0.1181
average,euclidean,maxclust,4,0.1037
average,euclidean,maxclust,5,0.0879
average,euclidean,maxclust,6,0.0839
average,euclidean,maxclust,7,0.1182
average,euclidean,maxclust,8,0.1168
average,euclidean,maxclust,9,0.1162
average,euclidean,maxclust,10,0.1148
average,euclidean,maxclust,11,0.1116
average,euclidean,maxclust,12,0.1111
average,euclidean,maxclust,13,0.1108
average,euclidean,maxclust,14,0.1086
average,euclidean,maxclust,15,0.1074
average,euclidean,maxclust,16,0.1324
average,euclidean,maxclust,17,0.1313
average,euclidean,maxclust,18,0.1309
average,euclidean,maxclust,19,0.1306
average,euclidean,maxclust,20,0.1303
average,euclidean,maxclust,21,0.1298
average,euclidean,maxclust,22,0.1295
average,euclidean,maxclust,23,0.1294
average,euclidean,maxclust,24,0.1292
average,euclidean,maxclust,25,0.1292
average,euclidean,distance,5.0,0.1407
average,euclidean,distance,10.0,0.1186
average,euclidean,distance,15.0,0.104
average,cityblock,maxclust,2,0.1343
average,cityblock,maxclust,3,0.1183
average,cityblock,maxclust,4,0.1002
average,cityblock,maxclust,5,0.0948
average,cityblock,maxclust,6,0.1205
average,cityblock,maxclust,7,0.147
average,cityblock,maxclust,8,0.1455
average,cityblock,maxclust,9,0.1456
average,cityblock,maxclust,10,0.1447
average,cityblock,maxclust,11,0.1434
average,cityblock,maxclust,12,0.1422
average,cityblock,maxclust,13,0.1412
average,cityblock,maxclust,14,0.14
average,cityblock,maxclust,15,0.1355
average,cityblock,maxclust,16,0.1344
average,cityblock,maxclust,17,0.1345
average,cityblock,maxclust,18,0.1345
average,cityblock,maxclust,19,0.1328
average,cityblock,maxclust,20,0.136
average,cityblock,maxclust,21,0.1354
average,cityblock,maxclust,22,0.1348
average,cityblock,maxclust,23,0.1327
average,cityblock,maxclust,24,0.1326
average,cityblock,maxclust,25,0.1319
average,cityblock,distance,10.0,0.0076
average,cityblock,distance,15.0,0.0251
average,cityblock,distance,20.0,0.0908
average,cosine,maxclust,2,0.1393
average,cosine,maxclust,3,0.1145
average,cosine,maxclust,4,0.123
average,cosine,maxclust,5,0.115
average,cosine,maxclust,6,0.1181
average,cosine,maxclust,7,0.1171
average,cosine,maxclust,8,0.1153
average,cosine,maxclust,9,0.1133
average,cosine,maxclust,10,0.1129
average,cosine,maxclust,11,0.1128
average,cosine,maxclust,12,0.1119
average,cosine,maxclust,13,0.1409
average,cosine,maxclust,14,0.1404
average,cosine,maxclust,15,0.1443
average,cosine,maxclust,16,0.1435
average,cosine,maxclust,17,0.1434
average,cosine,maxclust,18,0.1432
average,cosine,maxclust,19,0.143
average,cosine,maxclust,20,0.1429
average,cosine,maxclust,21,0.1424
average,cosine,maxclust,22,0.1405
average,cosine,maxclust,23,0.1389
average,cosine,maxclust,24,0.1388
average,cosine,maxclust,25,0.1387
average,correlation,maxclust,2,0.1231
average,correlation,maxclust,3,0.1201
average,correlation,maxclust,4,0.1231
average,correlation,maxclust,5,0.117
average,correlation,maxclust,6,0.1217
average,correlation,maxclust,7,0.1213
average,correlation,maxclust,8,0.1196
average,correlation,maxclust,9,0.1175
average,correlation,maxclust,10,0.1169
average,correlation,maxclust,11,0.1168
average,correlation,maxclust,12,0.1165
average,correlation,maxclust,13,0.1164
average,correlation,maxclust,14,0.1153
average,correlation,maxclust,15,0.1152
average,correlation,maxclust,16,0.1148
average,correlation,maxclust,17,0.1413
average,correlation,maxclust,18,0.141
average,correlation,maxclust,19,0.1407
average,correlation,maxclust,20,0.1403
average,correlation,maxclust,21,0.14
average,correlation,maxclust,22,0.1394
average,correlation,maxclust,23,0.1392
average,correlation,maxclust,24,0.1391
average,correlation,maxclust,25,0.139
complete,euclidean,maxclust,2,0.1327
complete,euclidean,maxclust,3,0.1019
complete,euclidean,maxclust,4,0.0896
complete,euclidean,maxclust,5,0.0775
complete,euclidean,maxclust,6,0.0715
complete,euclidean,maxclust,7,0.0621
complete,euclidean,maxclust,8,0.06
complete,euclidean,maxclust,9,0.0598
complete,euclidean,maxclust,10,0.0593
complete,euclidean,maxclust,11,0.0675
complete,euclidean,maxclust,12,0.0676
complete,euclidean,maxclust,13,0.0727
complete,euclidean,maxclust,14,0.0729
complete,euclidean,maxclust,15,0.071
complete,euclidean,maxclust,16,0.0703
complete,euclidean,maxclust,17,0.0669
complete,euclidean,maxclust,18,0.0776
complete,euclidean,maxclust,19,0.0774
complete,euclidean,maxclust,20,0.0785
complete,euclidean,maxclust,21,0.0581
complete,euclidean,maxclust,22,0.0578
complete,euclidean,maxclust,23,0.0564
complete,euclidean,maxclust,24,0.0518
complete,euclidean,maxclust,25,0.0547
complete,euclidean,distance,5.0,0.1252
complete,euclidean,distance,10.0,0.1244
complete,euclidean,distance,15.0,0.0762
complete,euclidean,distance,20.0,0.0585
complete,cityblock,maxclust,2,0.1006
complete,cityblock,maxclust,3,0.0786
complete,cityblock,maxclust,4,0.0752
complete,cityblock,maxclust,5,0.0576
complete,cityblock,maxclust,6,0.077
complete,cityblock,maxclust,7,0.0857
complete,cityblock,maxclust,8,0.0866
complete,cityblock,maxclust,9,0.077
complete,cityblock,maxclust,10,0.0767
complete,cityblock,maxclust,11,0.0747
complete,cityblock,maxclust,12,0.0857
complete,cityblock,maxclust,13,0.0879
complete,cityblock,maxclust,14,0.085
complete,cityblock,maxclust,15,0.0874
complete,cityblock,maxclust,16,0.0863
complete,cityblock,maxclust,17,0.0873
complete,cityblock,maxclust,18,0.0883
complete,cityblock,maxclust,19,0.0883
complete,cityblock,maxclust,20,0.0882
complete,cityblock,maxclust,21,0.0871
complete,cityblock,maxclust,22,0.0845
complete,cityblock,maxclust,23,0.085
complete,cityblock,maxclust,24,0.0773
complete,cityblock,maxclust,25,0.0757
complete,cityblock,distance,10.0,0.0073
complete,cityblock,distance,15.0,0.0226
complete,cityblock,distance,20.0,0.086
