linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0238
ward,euclidean,maxclust,3,0.0116
ward,euclidean,maxclust,4,0.0091
ward,euclidean,maxclust,5,0.0091
ward,euclidean,maxclust,6,0.0071
ward,euclidean,maxclust,7,0.0075
ward,euclidean,maxclust,8,0.0107
ward,euclidean,maxclust,9,0.0102
ward,euclidean,maxclust,10,0.0092
ward,euclidean,maxclust,11,0.0105
ward,euclidean,maxclust,12,0.0088
ward,euclidean,maxclust,13,0.0103
ward,euclidean,maxclust,14,0.0101
ward,euclidean,maxclust,15,0.0093
ward,euclidean,maxclust,16,0.0071
ward,euclidean,maxclust,17,0.0077
ward,euclidean,maxclust,18,0.0096
ward,euclidean,maxclust,19,0.0115
ward,euclidean,maxclust,20,0.0116
ward,euclidean,maxclust,21,0.0096
ward,euclidean,maxclust,22,0.0111
ward,euclidean,maxclust,23,0.0106
ward,euclidean,maxclust,24,0.0106
ward,euclidean,maxclust,25,0.0084
ward,euclidean,distance,5.0,0.0717
ward,euclidean,distance,10.0,0.1584
ward,euclidean,distance,15.0,0.1432
ward,euclidean,distance,20.0,0.0878
average,euclidean,maxclust,2,0.0271
average,euclidean,maxclust,3,0.0187
average,euclidean,maxclust,4,0.0166
average,euclidean,maxclust,5,0.0138
average,euclidean,maxclust,6,0.0117
average,euclidean,maxclust,7,0.0109
average,euclidean,maxclust,8,0.012
average,euclidean,maxclust,9,0.0097
average,euclidean,maxclust,10,0.0125
average,euclidean,maxclust,11,0.0115
average,euclidean,maxclust,12,0.0114
average,euclidean,maxclust,13,0.0118
average,euclidean,maxclust,14,0.0167
average,euclidean,maxclust,15,0.0203
average,euclidean,maxclust,16,0.0192
average,euclidean,maxclust,17,0.0189
average,euclidean,maxclust,18,0.0194
average,euclidean,maxclust,19,0.0195
average,euclidean,maxclust,20,0.0193
average,euclidean,maxclust,21,0.0215
average,euclidean,maxclust,22,0.023
average,euclidean,maxclust,23,0.0225
average,euclidean,maxclust,24,0.0223
average,euclidean,maxclust,25,0.0216
average,euclidean,distance,5.0,0.0759
average,euclidean,distance,10.0,0.137
average,euclidean,distance,15.0,0.0313
average,cityblock,maxclust,2,0.0244
average,cityblock,maxclust,3,0.0096
average,cityblock,maxclust,4,0.0011
average,cityblock,maxclust,5,-0.0023
average,cityblock,maxclust,6,-0.0058
average,cityblock,maxclust,7,-0.0082
average,cityblock,maxclust,8,-0.0096
average,cityblock,maxclust,9,-0.0126
average,cityblock,maxclust,10,-0.0172
average,cityblock,maxclust,11,-0.0208
average,cityblock,maxclust,12,-0.0222
average,cityblock,maxclust,13,-0.0238
average,cityblock,maxclust,14,-0.0262
average,cityblock,maxclust,15,-0.0266
average,cityblock,maxclust,16,-0.0281
average,cityblock,maxclust,17,-0.0303
average,cityblock,maxclust,18,-0.0314
average,cityblock,maxclust,19,-0.0318
average,cityblock,maxclust,20,-0.0277
average,cityblock,maxclust,21,-0.0278
average,cityblock,maxclust,22,-0.0284
average,cityblock,maxclust,23,-0.0293
average,cityblock,maxclust,24,-0.0229
average,cityblock,maxclust,25,-0.0241
average,cityblock,distance,10.0,0.0006
average,cityblock,distance,15.0,0.0011
average,cityblock,distance,20.0,0.0014
average,cosine,maxclust,2,0.0268
average,cosine,maxclust,3,0.0163
average,cosine,maxclust,4,0.0126
average,cosine,maxclust,5,0.0152
average,cosine,maxclust,6,0.0147
average,cosine,maxclust,7,0.017
average,cosine,maxclust,8,0.0161
average,cosine,maxclust,9,0.0157
average,cosine,maxclust,10,0.0142
average,cosine,maxclust,11,0.015
average,cosine,maxclust,12,0.0133
average,cosine,maxclust,13,0.0128
average,cosine,maxclust,14,0.0124
average,cosine,maxclust,15,0.017
average,cosine,maxclust,16,0.0182
average,cosine,maxclust,17,0.0173
average,cosine,maxclust,18,0.018
average,cosine,maxclust,19,0.0181
average,cosine,maxclust,20,0.0177
average,cosine,maxclust,21,0.0171
average,cosine,maxclust,22,0.0177
average,cosine,maxclust,23,0.0169
average,cosine,maxclust,24,0.0166
average,cosine,maxclust,25,0.0161
average,correlation,maxclust,2,0.0274
average,correlation,maxclust,3,0.019
average,correlation,maxclust,4,0.0159
average,correlation,maxclust,5,0.0132
average,correlation,maxclust,6,0.0133
average,correlation,maxclust,7,0.0132
average,correlation,maxclust,8,0.0125
average,correlation,maxclust,9,0.0122
average,correlation,maxclust,10,0.0163
average,correlation,maxclust,11,0.0174
average,correlation,maxclust,12,0.0159
average,correlation,maxclust,13,0.0153
average,correlation,maxclust,14,0.0149
average,correlation,maxclust,15,0.0145
average,correlation,maxclust,16,0.0176
average,correlation,maxclust,17,0.0193
average,correlation,maxclust,18,0.0194
average,correlation,maxclust,19,0.019
average,correlation,maxclust,20,0.0191
average,correlation,maxclust,21,0.0217
average,correlation,maxclust,22,0.0204
average,correlation,maxclust,23,0.0202
average,correlation,maxclust,24,0.02
average,correlation,maxclust,25,0.0195
complete,euclidean,maxclust,2,0.0125
complete,euclidean,maxclust,3,0.0029
complete,euclidean,maxclust,4,0.0028
complete,euclidean,maxclust,5,-0.003
complete,euclidean,maxclust,6,-0.0026
complete,euclidean,maxclust,7,-0.0023
complete,euclidean,maxclust,8,-0.0015
complete,euclidean,maxclust,9,-0.001
complete,euclidean,maxclust,10,-0.0014
complete,euclidean,maxclust,11,-0.0024
complete,euclidean,maxclust,12,-0.0027
complete,euclidean,maxclust,13,-0.0042
complete,euclidean,maxclust,14,-0.004
complete,euclidean,maxclust,15,-0.003
complete,euclidean,maxclust,16,-0.003
complete,euclidean,maxclust,17,-0.0038
complete,euclidean,maxclust,18,-0.003
complete,euclidean,maxclust,19,-0.0028
complete,euclidean,maxclust,20,-0.0028
complete,euclidean,maxclust,21,-0.0038
complete,euclidean,maxclust,22,-0.0035
complete,euclidean,maxclust,23,-0.0042
complete,euclidean,maxclust,24,-0.0045
complete,euclidean,maxclust,25,-0.0043
complete,euclidean,distance,5.0,0.0713
complete,euclidean,distance,10.0,0.1284
complete,euclidean,distance,15.0,0.0575
complete,euclidean,distance,20.0,0.003
complete,cityblock,maxclust,2,0.0242
complete,cityblock,maxclust,3,0.0118
complete,cityblock,maxclust,4,0.0068
complete,cityblock,maxclust,5,0.0055
complete,cityblock,maxclust,6,0.0036
complete,cityblock,maxclust,7,0.0017
complete,cityblock,maxclust,8,0.0004
complete,cityblock,maxclust,9,-0.0019
complete,cityblock,maxclust,10,-0.0013
complete,cityblock,maxclust,11,-0.0031
complete,cityblock,maxclust,12,-0.003
complete,cityblock,maxclust,13,-0.0075
complete,cityblock,maxclust,14,-0.0086
complete,cityblock,maxclust,15,-0.0087
complete,cityblock,maxclust,16,-0.0098
complete,cityblock,maxclust,17,-0.0095
complete,cityblock,maxclust,18,-0.0101
complete,cityblock,maxclust,19,-0.0101
complete,cityblock,maxclust,20,-0.0095
complete,cityblock,maxclust,21,-0.0087
complete,cityblock,maxclust,22,-0.0092
complete,cityblock,maxclust,23,-0.0089
complete,cityblock,maxclust,24,-0.0082
complete,cityblock,maxclust,25,-0.0084
complete,cityblock,distance,10.0,0.0006
complete,cityblock,distance,15.0,0.001
complete,cityblock,distance,20.0,0.0012
complete,cosine,maxclust,2,0.0161
complete,cosine,maxclust,3,0.0062
complete,cosine,maxclust,4,0.0013
complete,cosine,maxclust,5,0.0004
complete,cosine,maxclust,6,-0.0014
complete,cosine,maxclust,7,-0.004
complete,cosine,maxclust,8,-0.0036
complete,cosine,maxclust,9,-0.0027
complete,cosine,maxclust,10,-0.0054
complete,cosine,maxclust,11,-0.0055
complete,cosine,maxclust,12,-0.0062
complete,cosine,maxclust,13,-0.0056
complete,cosine,maxclust,14,-0.0055
complete,cosine,maxclust,15,-0.006
complete,cosine,maxclust,16,-0.0048
complete,cosine,maxclust,17,-0.0052
complete,cosine,maxclust,18,-0.0067
complete,cosine,maxclust,19,-0.0061
complete,cosine,maxclust,20,-0.006
complete,cosine,maxclust,21,-0.0046
complete,cosine,maxclust,22,-0.0055
complete,cosine,maxclust,23,-0.0054
complete,cosine,maxclust,24,-0.0062
complete,cosine,maxclust,25,-0.0055
complete,correlation,maxclust,2,0.0088
complete,correlation,maxclust,3,0.0054
complete,correlation,maxclust,4,0.0035
complete,correlation,maxclust,5,0.0002
complete,correlation,maxclust,6,-0.0015
complete,correlation,maxclust,7,-0.0014
complete,correlation,maxclust,8,-0.0018
complete,correlation,maxclust,9,-0.0025
complete,correlation,maxclust,10,-0.003
complete,correlation,maxclust,11,-0.0044
complete,correlation,maxclust,12,-0.0055
complete,correlation,maxclust,13,-0.0062
complete,correlation,maxclust,14,-0.0071
complete,correlation,maxclust,15,-0.0066
complete,correlation,maxclust,16,-0.0064
complete,correlation,maxclust,17,-0.0058
complete,correlation,maxclust,18,-0.0061
complete,correlation,maxclust,19,-0.0058
complete,correlation,maxclust,20,-0.0061
complete,correlation,maxclust,21,-0.0063
complete,correlation,maxclust,22,-0.0074
complete,correlation,maxclust,23,-0.0072
complete,correlation,maxclust,24,-0.0071
complete,correlation,maxclust,25,-0.0066
