linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0891
ward,euclidean,maxclust,3,0.0906
ward,euclidean,maxclust,4,0.0932
ward,euclidean,maxclust,5,0.1118
ward,euclidean,maxclust,6,0.1095
ward,euclidean,maxclust,7,0.1019
ward,euclidean,maxclust,8,0.0924
ward,euclidean,maxclust,9,0.1005
ward,euclidean,maxclust,10,0.1087
ward,euclidean,maxclust,11,0.0999
ward,euclidean,maxclust,12,0.0942
ward,euclidean,maxclust,13,0.1016
ward,euclidean,maxclust,14,0.1087
ward,euclidean,maxclust,15,0.1148
ward,euclidean,maxclust,16,0.1205
ward,euclidean,maxclust,17,0.1265
ward,euclidean,maxclust,18,0.1211
ward,euclidean,maxclust,19,0.1267
ward,euclidean,maxclust,20,0.1322
ward,euclidean,maxclust,21,0.137
ward,euclidean,maxclust,22,0.1421
ward,euclidean,maxclust,23,0.1472
ward,euclidean,maxclust,24,0.1527
ward,euclidean,maxclust,25,0.1574
ward,euclidean,distance,5.0,0.1903
ward,euclidean,distance,10.0,0.227
ward,euclidean,distance,15.0,0.2215
ward,euclidean,distance,20.0,0.2079
average,euclidean,maxclust,2,0.0775
average,euclidean,maxclust,3,0.0652
average,euclidean,maxclust,4,0.0693
average,euclidean,maxclust,5,0.0708
average,euclidean,maxclust,6,0.0741
average,euclidean,maxclust,7,0.0933
average,euclidean,maxclust,8,0.1117
average,euclidean,maxclust,9,0.1177
average,euclidean,maxclust,10,0.1259
average,euclidean,maxclust,11,0.1297
average,euclidean,maxclust,12,0.1342
average,euclidean,maxclust,13,0.139
average,euclidean,maxclust,14,0.1495
average,euclidean,maxclust,15,0.1528
average,euclidean,maxclust,16,0.1563
average,euclidean,maxclust,17,0.1595
average,euclidean,maxclust,18,0.167
average,euclidean,maxclust,19,0.1729
average,euclidean,maxclust,20,0.18
average,euclidean,maxclust,21,0.1888
average,euclidean,maxclust,22,0.1928
average,euclidean,maxclust,23,0.1961
average,euclidean,maxclust,24,0.1996
average,euclidean,maxclust,25,0.2029
average,euclidean,distance,5.0,0.2104
average,euclidean,distance,10.0,0.2524
average,euclidean,distance,15.0,0.2435
average,cityblock,maxclust,2,0.0897
average,cityblock,maxclust,3,0.0855
average,cityblock,maxclust,4,0.0859
average,cityblock,maxclust,5,0.1026
average,cityblock,maxclust,6,0.1047
average,cityblock,maxclust,7,0.0975
average,cityblock,maxclust,8,0.0908
average,cityblock,maxclust,9,0.0864
average,cityblock,maxclust,10,0.0815
average,cityblock,maxclust,11,0.0771
average,cityblock,maxclust,12,0.0777
average,cityblock,maxclust,13,0.0737
average,cityblock,maxclust,14,0.0769
average,cityblock,maxclust,15,0.0846
average,cityblock,maxclust,16,0.081
average,cityblock,maxclust,17,0.0787
average,cityblock,maxclust,18,0.0755
average,cityblock,maxclust,19,0.0653
average,cityblock,maxclust,20,0.0618
average,cityblock,maxclust,21,0.0606
average,cityblock,maxclust,22,0.0562
average,cityblock,maxclust,23,0.0675
average,cityblock,maxclust,24,0.0727
average,cityblock,maxclust,25,0.076
average,cityblock,distance,10.0,0.015
average,cityblock,distance,15.0,0.0735
average,cityblock,distance,20.0,0.1173
average,cosine,maxclust,2,0.0736
average,cosine,maxclust,3,0.0752
average,cosine,maxclust,4,0.0802
average,cosine,maxclust,5,0.0957
average,cosine,maxclust,6,0.0994
average,cosine,maxclust,7,0.1073
average,cosine,maxclust,8,0.1187
average,cosine,maxclust,9,0.1285
average,cosine,maxclust,10,0.1354
average,cosine,maxclust,11,0.1396
average,cosine,maxclust,12,0.1432
average,cosine,maxclust,13,0.1473
average,cosine,maxclust,14,0.1543
average,cosine,maxclust,15,0.1597
average,cosine,maxclust,16,0.1639
average,cosine,maxclust,17,0.1719
average,cosine,maxclust,18,0.1756
average,cosine,maxclust,19,0.1802
average,cosine,maxclust,20,0.1833
average,cosine,maxclust,21,0.1908
average,cosine,maxclust,22,0.1942
average,cosine,maxclust,23,0.1957
average,cosine,maxclust,24,0.2052
average,cosine,maxclust,25,0.2086
average,correlation,maxclust,2,0.0736
average,correlation,maxclust,3,0.0752
average,correlation,maxclust,4,0.0802
