linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0336
ward,euclidean,maxclust,3,0.0345
ward,euclidean,maxclust,4,0.0365
ward,euclidean,maxclust,5,0.0396
ward,euclidean,maxclust,6,0.0438
ward,euclidean,maxclust,7,0.0495
ward,euclidean,maxclust,8,0.0534
ward,euclidean,maxclust,9,0.0571
ward,euclidean,maxclust,10,0.061
ward,euclidean,maxclust,11,0.0618
ward,euclidean,maxclust,12,0.0676
ward,euclidean,maxclust,13,0.0704
ward,euclidean,maxclust,14,0.0734
ward,euclidean,maxclust,15,0.0789
ward,euclidean,maxclust,16,0.0814
ward,euclidean,maxclust,17,0.0852
ward,euclidean,maxclust,18,0.0884
ward,euclidean,maxclust,19,0.0892
ward,euclidean,maxclust,20,0.0905
ward,euclidean,maxclust,21,0.0929
ward,euclidean,maxclust,22,0.0954
ward,euclidean,maxclust,23,0.0986
ward,euclidean,maxclust,24,0.1026
ward,euclidean,maxclust,25,0.1059
ward,euclidean,distance,5.0,0.1637
ward,euclidean,distance,10.0,0.1989
ward,euclidean,distance,15.0,0.2004
ward,euclidean,distance,20.0,0.1991
average,euclidean,maxclust,2,0.0385
average,euclidean,maxclust,3,0.0402
average,euclidean,maxclust,4,0.0438
average,euclidean,maxclust,5,0.0467
average,euclidean,maxclust,6,0.0509
average,euclidean,maxclust,7,0.056
average,euclidean,maxclust,8,0.0598
average,euclidean,maxclust,9,0.0618
average,euclidean,maxclust,10,0.0661
average,euclidean,maxclust,11,0.0728
average,euclidean,maxclust,12,0.0746
average,euclidean,maxclust,13,0.0802
average,euclidean,maxclust,14,0.0865
average,euclidean,maxclust,15,0.0916
average,euclidean,maxclust,16,0.0914
average,euclidean,maxclust,17,0.0985
average,euclidean,maxclust,18,0.1007
average,euclidean,maxclust,19,0.1072
average,euclidean,maxclust,20,0.1149
average,euclidean,maxclust,21,0.1152
average,euclidean,maxclust,22,0.1153
average,euclidean,maxclust,23,0.1195
average,euclidean,maxclust,24,0.1213
average,euclidean,maxclust,25,0.1212
average,euclidean,distance,5.0,0.1784
