linkage,metric,criterion,param,silhouette_score
ward,euclidean,maxclust,2,0.0734
ward,euclidean,maxclust,3,0.0666
ward,euclidean,maxclust,4,0.0648
ward,euclidean,maxclust,5,0.0613
ward,euclidean,maxclust,6,0.0592
ward,euclidean,maxclust,7,0.0563
ward,euclidean,maxclust,8,0.0484
ward,euclidean,maxclust,9,0.0486
ward,euclidean,maxclust,10,0.0517
ward,euclidean,maxclust,11,0.0529
ward,euclidean,maxclust,12,0.0552
ward,euclidean,maxclust,13,0.0549
ward,euclidean,maxclust,14,0.0604
ward,euclidean,maxclust,15,0.0575
ward,euclidean,maxclust,16,0.0619
ward,euclidean,maxclust,17,0.0594
ward,euclidean,maxclust,18,0.0597
ward,euclidean,maxclust,19,0.0605
ward,euclidean,maxclust,20,0.0651
ward,euclidean,maxclust,21,0.0688
ward,euclidean,maxclust,22,0.0698
ward,euclidean,maxclust,23,0.073
ward,euclidean,maxclust,24,0.0724
ward,euclidean,maxclust,25,0.0746
ward,euclidean,distance,5.0,0.1778
ward,euclidean,distance,10.0,0.1976
ward,euclidean,distance,15.0,0.1734
ward,euclidean,distance,20.0,0.1414
average,euclidean,maxclust,2,0.0866
average,euclidean,maxclust,3,0.0683
average,euclidean,maxclust,4,0.0623
average,euclidean,maxclust,5,0.0557
average,euclidean,maxclust,6,0.0508
average,euclidean,maxclust,7,0.0505
average,euclidean,maxclust,8,0.0442
average,euclidean,maxclust,9,0.0426
average,euclidean,maxclust,10,0.0425
average,euclidean,maxclust,11,0.045
average,euclidean,maxclust,12,0.0439
average,euclidean,maxclust,13,0.0426
average,euclidean,maxclust,14,0.0413
average,euclidean,maxclust,15,0.038
average,euclidean,maxclust,16,0.0342
average,euclidean,maxclust,17,0.0328
average,euclidean,maxclust,18,0.037
average,euclidean,maxclust,19,0.0389
average,euclidean,maxclust,20,0.0546
average,euclidean,maxclust,21,0.0559
average,euclidean,maxclust,22,0.061
average,euclidean,maxclust,23,0.0632
average,euclidean,maxclust,24,0.063
average,euclidean,maxclust,25,0.0628
average,euclidean,distance,5.0,0.1607
average,euclidean,distance,10.0,0.1583
average,euclidean,distance,15.0,0.0666
average,cityblock,maxclust,2,0.0273
average,cityblock,maxclust,3,-0.0149
average,cityblock,maxclust,4,-0.0127
average,cityblock,maxclust,5,-0.0144
average,cityblock,maxclust,6,-0.0172
average,cityblock,maxclust,7,-0.0241
average,cityblock,maxclust,8,-0.0218
average,cityblock,maxclust,9,-0.0248
average,cityblock,maxclust,10,-0.0081
average,cityblock,maxclust,11,-0.0101
average,cityblock,maxclust,12,-0.0106
average,cityblock,maxclust,13,-0.0071
average,cityblock,maxclust,14,-0.0078
average,cityblock,maxclust,15,-0.0083
average,cityblock,maxclust,16,-0.0105
average,cityblock,maxclust,17,0.0064
average,cityblock,maxclust,18,0.0063
average,cityblock,maxclust,19,0.0045
average,cityblock,maxclust,20,0.0033
average,cityblock,maxclust,21,0.0192
average,cityblock,maxclust,22,0.0193
average,cityblock,maxclust,23,0.0193
average,cityblock,maxclust,24,0.0196
average,cityblock,maxclust,25,0.019
average,cityblock,distance,10.0,0.013
average,cityblock,distance,15.0,0.0409
average,cityblock,distance,20.0,0.0879
average,cosine,maxclust,2,0.0859
average,cosine,maxclust,3,0.0722
average,cosine,maxclust,4,0.0639
average,cosine,maxclust,5,0.0545
average,cosine,maxclust,6,0.0484
average,cosine,maxclust,7,0.0443
average,cosine,maxclust,8,0.0457
average,cosine,maxclust,9,0.0394
average,cosine,maxclust,10,0.0361
average,cosine,maxclust,11,0.0353
average,cosine,maxclust,12,0.0403
average,cosine,maxclust,13,0.0547
average,cosine,maxclust,14,0.0541
average,cosine,maxclust,15,0.0537
average,cosine,maxclust,16,0.0518
average,cosine,maxclust,17,0.0506
average,cosine,maxclust,18,0.0513
average,cosine,maxclust,19,0.052
average,cosine,maxclust,20,0.0473
average,cosine,maxclust,21,0.046
average,cosine,maxclust,22,0.0463
average,cosine,maxclust,23,0.0476
average,cosine,maxclust,24,0.0475
average,cosine,maxclust,25,0.0439
average,correlation,maxclust,2,0.0859
average,correlation,maxclust,3,0.0722
average,correlation,maxclust,4,0.0639
average,correlation,maxclust,5,0.0545
average,correlation,maxclust,6,0.0484
average,correlation,maxclust,7,0.0443
average,correlation,maxclust,8,0.0457
average,correlation,maxclust,9,0.0394
average,correlation,maxclust,10,0.0361
average,correlation,maxclust,11,0.0353
average,correlation,maxclust,12,0.0403
average,correlation,maxclust,13,0.0547
average,correlation,maxclust,14,0.0541
